Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,40.21,40.78,40.19,40.24,246300,40.24
2014-02-21,40.63,40.63,40.04,40.09,180900,40.09
2014-02-20,40.00,40.50,40.00,40.42,179000,40.42
2014-02-19,39.63,40.52,39.63,40.03,193900,40.03
2014-02-18,40.00,40.21,39.49,39.88,214700,39.88
2014-02-14,39.77,39.93,39.41,39.91,113000,39.91
2014-02-13,38.83,39.99,38.83,39.76,175600,39.76
2014-02-12,39.14,39.45,38.80,39.06,112500,39.06
2014-02-11,38.72,39.38,38.53,39.17,190400,39.17
2014-02-10,38.06,38.62,37.76,38.55,187700,38.55
2014-02-07,38.23,38.59,37.93,38.15,174600,38.15
2014-02-06,37.94,38.47,37.92,38.23,140500,38.23
2014-02-05,38.15,38.25,37.59,37.92,280400,37.92
2014-02-04,38.59,38.90,38.10,38.39,330000,38.39
2014-02-03,39.88,40.70,38.24,38.37,512100,38.37
2014-01-31,39.90,40.86,39.87,40.00,257200,40.00
2014-01-30,40.51,41.82,40.30,40.45,315500,40.45
2014-01-29,40.52,40.86,39.45,39.56,197600,39.56
2014-01-28,40.30,41.84,40.30,40.71,283800,40.71
2014-01-27,40.91,41.27,40.31,40.69,282700,40.69
2014-01-24,40.96,40.96,40.23,40.72,236300,40.72
2014-01-23,41.35,41.74,41.10,41.30,231000,41.30
2014-01-22,40.97,41.63,40.89,41.56,277400,41.56
2014-01-21,40.89,41.06,40.47,40.86,194800,40.86
2014-01-17,40.54,40.94,40.33,40.55,174900,40.55
2014-01-16,40.60,41.09,40.23,40.56,231100,40.56
2014-01-15,40.98,41.57,40.67,40.69,342700,40.69
2014-01-14,41.05,41.05,40.60,40.84,322800,40.84
2014-01-13,41.25,41.61,40.53,40.84,248900,40.84
2014-01-10,41.16,41.57,40.98,41.38,181400,41.38
2014-01-09,41.54,42.07,40.81,41.13,184500,41.13
2014-01-08,41.74,41.84,40.93,41.47,203200,41.47
2014-01-07,41.90,42.44,41.07,41.89,306300,41.89
2014-01-06,41.68,41.97,41.30,41.62,290000,41.62
2014-01-03,41.44,41.81,41.16,41.61,194600,41.61
2014-01-02,41.55,41.59,40.83,41.43,201300,41.43
2013-12-31,41.93,42.28,41.60,41.74,202000,41.74
2013-12-30,41.74,41.97,41.27,41.86,123500,41.86
2013-12-27,41.52,41.70,41.23,41.69,134100,41.69
2013-12-26,42.16,42.45,41.27,41.39,155100,41.39
2013-12-24,41.61,42.15,41.50,42.08,107700,42.08
2013-12-23,41.57,42.00,41.30,41.48,118400,41.48
2013-12-20,40.98,41.54,40.36,41.46,448400,41.46
2013-12-19,41.37,41.37,40.60,40.78,179400,40.78
2013-12-18,40.79,41.75,40.54,41.54,369400,41.54
2013-12-17,40.48,40.79,39.94,40.71,213800,40.71
2013-12-16,39.71,40.77,39.61,40.55,264900,40.55
2013-12-13,39.09,39.69,38.81,39.61,204200,39.61
2013-12-12,39.48,39.51,39.05,39.18,172200,38.83
2013-12-11,39.96,40.01,39.19,39.50,235100,39.15
2013-12-10,40.13,40.48,39.75,39.83,248000,39.47
2013-12-09,40.63,41.13,40.10,40.30,220100,39.94
2013-12-06,40.07,40.57,39.95,40.48,242100,40.12
2013-12-05,39.62,40.01,39.30,39.75,212400,39.39
2013-12-04,39.69,40.30,39.39,39.63,99200,39.28
2013-12-03,39.84,40.49,39.78,39.83,237900,39.47
2013-12-02,39.95,40.08,39.52,39.91,182900,39.55
2013-11-29,40.37,40.37,39.73,39.85,112900,39.49
2013-11-27,39.36,40.22,38.98,40.20,121800,39.84
2013-11-26,38.80,39.35,38.57,39.23,155600,38.88
2013-11-25,39.37,39.37,38.59,38.76,133900,38.41
2013-11-22,39.31,39.49,38.84,39.34,258300,38.99
2013-11-21,38.89,39.37,38.47,39.37,546000,39.02
2013-11-20,38.95,39.28,38.49,38.66,268200,38.31
