Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,46.35,46.82,45.88,46.00,110700,46.00
2014-02-21,45.28,46.50,44.55,46.35,155500,46.35
2014-02-20,44.94,46.19,44.31,45.05,58500,45.05
2014-02-19,44.58,45.75,44.50,44.98,113200,44.98
2014-02-18,44.93,45.11,44.13,44.64,147900,44.64
2014-02-14,45.30,45.32,44.47,44.80,53200,44.80
2014-02-13,43.72,45.46,43.64,45.28,49100,45.28
2014-02-12,44.27,44.86,43.38,44.07,78700,44.07
2014-02-11,43.68,44.67,43.67,44.36,73500,44.36
2014-02-10,43.61,43.90,42.33,43.73,74100,43.73
2014-02-07,43.71,44.62,42.94,43.54,75400,43.54
2014-02-06,43.96,44.28,43.45,43.63,59300,43.63
2014-02-05,43.45,44.05,42.09,43.83,70200,43.83
2014-02-04,44.13,45.44,43.48,43.69,107400,43.69
2014-02-03,45.36,45.77,43.07,44.00,131100,44.00
2014-01-31,45.58,46.20,45.19,45.44,129000,45.44
2014-01-30,45.35,46.68,45.35,46.49,91400,46.49
2014-01-29,45.11,45.54,44.48,44.78,93500,44.78
2014-01-28,44.88,45.83,44.76,45.61,137700,45.61
2014-01-27,46.12,46.12,44.00,44.88,189000,44.88
2014-01-24,47.60,47.60,45.60,46.12,99700,46.12
2014-01-23,47.96,47.96,47.00,47.77,137600,47.77
2014-01-22,48.00,48.42,47.84,48.20,97800,48.20
2014-01-21,48.35,48.98,47.74,48.03,133100,48.03
2014-01-17,48.21,48.35,47.86,48.15,75100,48.15
2014-01-16,48.09,48.48,48.09,48.43,86500,48.43
2014-01-15,48.00,48.35,47.11,48.33,119100,48.33
2014-01-14,46.30,48.17,46.20,47.92,113100,47.92
2014-01-13,47.85,48.01,45.90,46.23,162600,46.23
2014-01-10,48.04,48.20,47.26,47.85,94300,47.85
2014-01-09,48.35,48.42,47.67,47.93,87700,47.93
2014-01-08,48.17,48.67,47.66,48.17,105600,48.17
2014-01-07,47.75,48.40,47.75,48.35,121000,48.35
2014-01-06,49.35,49.35,46.91,47.61,188800,47.61
2014-01-03,49.02,49.70,48.97,49.23,141900,49.23
2014-01-02,48.87,49.30,48.30,48.98,108400,48.98
2013-12-31,50.08,50.19,49.05,49.18,66600,49.18
2013-12-30,49.34,50.09,49.09,49.95,138900,49.95
2013-12-27,49.67,49.96,48.85,49.50,274900,49.50
2013-12-26,49.95,50.23,49.33,49.46,156500,49.46
2013-12-24,49.08,50.00,49.03,49.80,69300,49.80
2013-12-23,49.19,49.63,48.82,49.16,88900,49.16
2013-12-20,50.24,50.48,48.80,49.13,256200,49.13
2013-12-19,49.42,50.45,49.02,50.00,93500,50.00
2013-12-18,47.88,49.50,47.47,49.39,138700,49.39
2013-12-17,48.85,48.93,47.59,47.95,135400,47.95
2013-12-16,47.83,48.75,47.45,48.59,159900,48.59
2013-12-13,47.23,48.08,46.75,47.66,116700,47.66
2013-12-12,48.12,48.38,47.03,47.28,99000,47.28
2013-12-11,48.65,49.29,47.75,48.18,221400,48.18
2013-12-10,48.83,48.91,47.93,48.71,124400,48.71
2013-12-09,49.00,49.32,47.91,48.77,129200,48.77
2013-12-06,49.25,49.47,48.24,48.78,146700,48.78
2013-12-05,48.78,49.33,48.54,48.71,110900,48.71
2013-12-04,49.79,50.30,48.02,48.92,136500,48.92
2013-12-03,49.86,50.30,49.67,50.03,218500,50.03
2013-12-02,50.60,51.33,49.74,50.12,116600,50.12
2013-11-29,50.99,51.51,49.52,50.35,61100,50.35
2013-11-27,50.69,51.53,49.82,50.76,162200,50.76
2013-11-26,48.00,50.61,47.55,50.31,206600,50.31
2013-11-25,48.05,48.57,47.33,48.00,121200,48.00
2013-11-22,48.05,48.46,47.63,48.05,110700,48.05
2013-11-21,48.10,48.24,47.64,47.90,156300,47.90
2013-11-20,49.16,49.16,47.70,48.10,137800,48.10
2013-11-19,48.13,49.45,48.00,48.86,171600,48.86
2013-11-18,49.00,49.14,47.41,48.02,210300,48.02
2013-11-15,45.52,48.96,45.49,48.89,252000,48.89
2013-11-14,47.97,48.62,45.23,45.57,312800,45.57
2013-11-13,47.94,49.47,45.34,48.95,522900,48.95
2013-11-12,38.68,40.95,38.42,40.90,245200,40.90
2013-11-11,38.30,38.79,38.17,38.68,136000,38.68
2013-11-08,38.32,39.50,38.22,38.48,135600,38.48
2013-11-07,38.52,38.76,37.99,38.36,90000,38.36
2013-11-06,38.33,38.68,37.99,38.51,73800,38.51
2013-11-05,38.45,38.55,37.65,38.06,86100,38.06
2013-11-04,37.83,38.90,37.61,38.52,122300,38.52
2013-11-01,38.00,38.23,37.24,37.84,117800,37.84
2013-10-31,38.14,38.59,37.76,38.06,56400,38.06
2013-10-30,38.37,38.37,37.40,38.08,110200,38.08
2013-10-29,38.58,38.95,37.81,38.37,49900,38.37
2013-10-28,37.15,38.55,37.12,38.55,164700,38.55
2013-10-25,39.29,39.29,38.04,38.17,61700,38.17
2013-10-24,39.24,39.47,38.83,39.07,42900,39.07
2013-10-23,39.16,39.83,38.71,39.07,46000,39.07
2013-10-22,38.77,39.54,38.72,39.25,63600,39.25
2013-10-21,39.10,39.16,38.42,38.73,56700,38.73
2013-10-18,38.50,39.10,38.31,38.93,60800,38.93
2013-10-17,37.70,38.45,37.47,38.17,57100,38.17
2013-10-16,37.41,38.03,37.41,37.81,49700,37.81
2013-10-15,38.64,39.00,37.24,37.28,78600,37.28
2013-10-14,38.25,39.23,38.25,38.86,34300,38.86
2013-10-11,38.13,38.78,37.89,38.66,45600,38.66
2013-10-10,37.72,38.46,37.41,38.33,35500,38.33
2013-10-09,37.27,37.75,36.98,37.18,78600,37.18
2013-10-08,37.94,38.04,36.79,37.05,84500,37.05
2013-10-07,37.98,38.56,37.00,37.82,66000,37.82
2013-10-04,38.31,38.92,38.19,38.22,78100,38.22
2013-10-03,38.99,39.26,38.29,38.39,52500,38.39
2013-10-02,39.41,39.55,38.64,39.17,88300,39.17
2013-10-01,39.88,40.14,39.56,39.80,67400,39.80
2013-09-30,38.96,39.90,38.81,39.81,91400,39.81
2013-09-27,39.32,39.75,38.80,39.47,74500,39.47
2013-09-26,39.70,40.44,39.44,39.67,91300,39.64
2013-09-25,39.23,39.99,38.94,39.49,74700,39.46
2013-09-24,39.04,39.78,38.55,39.28,74000,39.25
2013-09-23,39.35,39.60,38.82,39.02,61300,38.99
2013-09-20,38.81,39.80,38.81,39.35,140700,39.32
2013-09-19,38.17,38.73,38.10,38.67,51600,38.64
2013-09-18,38.01,38.44,37.38,38.15,59800,38.12
2013-09-17,37.21,38.13,36.99,37.86,64200,37.83
2013-09-16,37.74,37.87,37.07,37.11,74200,37.08
2013-09-13,37.52,37.66,36.98,37.46,52200,37.43
2013-09-12,38.02,38.10,37.52,37.55,61900,37.52
2013-09-11,37.76,38.16,37.67,38.06,47700,38.03
2013-09-10,38.24,38.24,37.68,37.98,58700,37.95
2013-09-09,37.38,38.11,37.33,37.96,98900,37.93
2013-09-06,37.62,37.68,36.72,37.27,61200,37.24
2013-09-05,37.08,37.79,37.08,37.42,79200,37.39
2013-09-04,37.16,37.54,36.59,37.07,305500,37.04
2013-09-03,37.01,37.85,36.74,37.19,159100,37.16
2013-08-30,37.53,37.74,36.74,36.85,123600,36.82
2013-08-29,37.01,37.66,37.00,37.44,52900,37.41
2013-08-28,36.18,37.35,36.18,36.93,67400,36.90
2013-08-27,37.01,37.03,35.90,36.25,128100,36.22
2013-08-26,37.48,38.30,36.88,37.41,216200,37.38
2013-08-23,37.43,37.59,37.15,37.49,54800,37.46
2013-08-22,37.46,37.95,36.42,37.45,28200,37.42
2013-08-21,37.40,37.81,37.13,37.30,186600,37.27
2013-08-20,36.65,37.48,36.65,37.40,52000,37.37
2013-08-19,36.85,37.25,36.65,36.68,94200,36.65
2013-08-16,36.50,36.92,36.01,36.82,94800,36.79
2013-08-15,37.17,37.32,36.61,36.74,89300,36.71
2013-08-14,37.52,38.22,37.31,37.67,139400,37.64
2013-08-13,37.45,37.68,36.52,37.64,253600,37.61
2013-08-12,38.08,38.35,37.28,37.65,223100,37.62
