Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,1.55,1.59,1.50,1.50,134900,1.50
2014-02-21,1.58,1.60,1.51,1.52,194600,1.52
2014-02-20,1.70,1.70,1.58,1.60,130100,1.60
2014-02-19,1.72,1.81,1.71,1.71,106100,1.71
2014-02-18,1.74,1.74,1.65,1.70,77000,1.70
2014-02-14,1.66,1.73,1.65,1.66,146400,1.66
2014-02-13,1.70,1.77,1.62,1.70,350300,1.70
2014-02-12,2.20,2.33,1.45,1.61,1147700,1.61
2014-02-11,2.62,2.62,2.31,2.34,76900,2.34
2014-02-10,2.52,2.63,2.50,2.59,18200,2.59
2014-02-07,2.61,2.61,2.50,2.57,47800,2.57
2014-02-06,2.59,2.66,2.51,2.66,18000,2.66
2014-02-05,2.67,2.68,2.55,2.60,18300,2.60
2014-02-04,2.62,2.66,2.51,2.66,28300,2.66
2014-02-03,2.52,2.64,2.52,2.57,21100,2.57
2014-01-31,2.50,2.74,2.50,2.50,90200,2.50
2014-01-30,2.48,2.53,2.45,2.50,63400,2.50
2014-01-29,2.55,2.57,2.45,2.47,43500,2.47
2014-01-28,2.84,2.84,2.48,2.60,117400,2.60
2014-01-27,3.00,3.48,2.70,2.80,434500,2.80
2014-01-24,2.73,2.94,2.61,2.92,123400,2.92
2014-01-23,2.63,2.69,2.55,2.63,19900,2.63
2014-01-22,2.64,2.64,2.54,2.58,36100,2.58
2014-01-21,2.60,2.71,2.52,2.59,58100,2.59
2014-01-17,2.58,2.62,2.51,2.54,46900,2.54
2014-01-16,2.53,2.63,2.50,2.61,65600,2.61
2014-01-15,2.57,2.60,2.46,2.53,45800,2.53
2014-01-14,2.46,2.64,2.32,2.62,75200,2.62
2014-01-13,2.95,2.98,2.42,2.48,202400,2.48
2014-01-10,3.25,3.48,2.55,2.78,442900,2.78
2014-01-09,2.84,3.55,2.76,3.28,1026700,3.28
2014-01-08,2.10,2.67,2.10,2.65,672000,2.65
2014-01-07,1.90,2.10,1.90,2.06,215000,2.06
2014-01-06,1.90,1.95,1.90,1.90,27700,1.90
2014-01-03,1.95,2.04,1.81,1.90,72000,1.90
2014-01-02,1.79,1.95,1.74,1.89,61700,1.89
2013-12-31,1.82,1.82,1.73,1.74,49000,1.74
2013-12-30,1.76,1.95,1.75,1.79,86100,1.79
2013-12-27,1.66,1.99,1.63,1.82,188600,1.82
2013-12-26,1.65,1.74,1.63,1.65,59800,1.65
2013-12-24,1.58,1.61,1.58,1.59,28600,1.59
2013-12-23,1.55,1.60,1.55,1.59,15700,1.59
2013-12-20,1.55,1.59,1.55,1.55,46100,1.55
2013-12-19,1.60,1.62,1.56,1.57,23000,1.57
2013-12-18,1.66,1.66,1.51,1.61,60300,1.61
2013-12-17,1.63,1.63,1.50,1.54,49900,1.54
2013-12-16,1.69,1.82,1.57,1.59,89700,1.59
2013-12-13,1.75,1.78,1.52,1.60,116500,1.60
2013-12-12,1.72,1.84,1.72,1.77,9700,1.77
2013-12-11,1.95,1.95,1.74,1.74,24200,1.74
2013-12-10,1.85,1.88,1.82,1.82,13100,1.82
2013-12-09,1.95,1.96,1.82,1.90,25800,1.90
2013-12-06,1.97,1.97,1.83,1.90,8000,1.90
2013-12-05,1.90,2.02,1.88,1.88,32600,1.88
2013-12-04,1.70,1.97,1.70,1.88,29700,1.88
2013-12-03,1.81,1.81,1.70,1.72,16000,1.72
2013-12-02,1.78,1.91,1.78,1.80,45800,1.80
2013-11-29,1.66,1.77,1.66,1.75,31000,1.75
2013-11-27,1.70,1.75,1.67,1.67,39800,1.67
2013-11-26,1.82,1.82,1.67,1.72,81800,1.72
2013-11-25,2.06,2.06,1.85,1.85,78800,1.85
2013-11-22,2.12,2.15,2.03,2.04,75200,2.04
2013-11-21,2.22,2.22,2.14,2.14,29700,2.14
2013-11-20,2.22,2.24,2.17,2.20,15200,2.20
2013-11-19,2.19,2.45,2.15,2.23,207400,2.23
2013-11-18,2.19,2.25,2.19,2.19,47300,2.19
2013-11-15,2.25,2.29,2.18,2.23,36800,2.23
2013-11-14,2.23,2.52,2.20,2.25,305100,2.25
2013-11-13,2.16,2.25,2.16,2.24,12500,2.24
2013-11-12,2.31,2.45,2.15,2.18,85500,2.18
2013-11-11,2.40,2.49,2.25,2.26,55400,2.26
2013-11-08,2.31,2.80,2.30,2.38,157300,2.38
2013-11-07,2.33,2.43,2.30,2.31,13100,2.31
2013-11-06,2.41,2.44,2.32,2.36,144700,2.36
2013-11-05,2.43,2.43,2.30,2.37,28300,2.37
2013-11-04,2.26,2.40,2.25,2.33,58600,2.33
2013-11-01,2.23,2.45,2.23,2.34,167600,2.34
2013-10-31,2.38,2.54,2.25,2.25,40000,2.25
2013-10-30,2.35,2.40,2.28,2.40,103500,2.40
2013-10-29,2.52,2.70,2.31,2.37,150300,2.37
2013-10-28,2.92,2.92,2.39,2.46,231000,2.46
2013-10-25,2.97,2.99,2.90,2.96,42400,2.96
2013-10-24,3.01,3.01,2.96,2.96,40000,2.96
2013-10-23,3.05,3.09,2.89,3.00,115100,3.00
2013-10-22,3.10,3.12,3.05,3.05,25800,3.05
2013-10-21,3.11,3.18,3.05,3.10,90500,3.10
2013-10-18,3.13,3.21,3.04,3.06,25500,3.06
2013-10-17,3.02,3.10,3.02,3.06,28600,3.06
2013-10-16,3.03,3.06,3.02,3.03,35300,3.03
2013-10-15,3.08,3.15,3.01,3.04,57100,3.04
2013-10-14,3.05,3.25,3.03,3.08,28900,3.08
2013-10-11,2.92,3.12,2.90,3.12,73400,3.12
2013-10-10,2.94,3.00,2.90,2.91,30800,2.91
2013-10-09,3.00,3.00,2.81,2.92,71700,2.92
2013-10-08,2.97,3.02,2.85,2.92,78800,2.92
2013-10-07,3.19,3.30,3.00,3.00,117500,3.00
2013-10-04,2.90,3.45,2.90,3.26,262900,3.26
2013-10-03,2.80,2.94,2.80,2.90,86500,2.90
2013-10-02,3.00,3.00,2.73,2.79,94200,2.79
2013-10-01,3.25,3.25,2.71,2.89,191500,2.89
2013-09-30,3.38,3.38,3.01,3.06,154700,3.06
2013-09-27,3.44,3.45,2.97,2.99,354700,2.99
2013-09-26,4.00,4.14,3.30,3.35,535800,3.35
2013-09-25,4.20,4.20,3.83,4.00,97400,4.00
2013-09-24,4.03,4.28,4.00,4.20,81700,4.20
2013-09-23,4.20,4.29,4.03,4.04,123100,4.04
2013-09-20,5.14,5.14,4.20,4.21,310800,4.21
2013-09-19,5.06,5.60,4.60,4.82,1578200,4.82
2013-09-18,3.60,4.09,3.42,3.71,222200,3.71
2013-09-17,3.86,3.89,3.57,3.59,118600,3.59
2013-09-16,4.02,4.60,3.80,3.85,650500,3.85
2013-09-13,3.98,4.34,3.52,3.95,400600,3.95
2013-09-12,4.36,4.90,3.90,3.99,621800,3.99
2013-09-11,5.58,5.69,4.32,4.41,611300,4.41
2013-09-10,4.58,5.87,4.58,5.38,1385500,5.38
2013-09-09,2.89,4.60,2.89,4.35,1989700,4.35
2013-09-06,2.51,3.18,2.31,2.86,719400,2.86
2013-09-05,2.26,2.89,2.20,2.45,543100,2.45
2013-09-04,3.00,3.00,2.15,2.15,198900,2.15
2013-09-03,0.06,0.06,0.06,0.06,300,3.00
2013-08-30,0.06,0.06,0.06,0.06,5900,3.00
2013-08-29,0.06,0.06,0.06,0.06,15200,3.00
2013-08-28,0.06,0.06,0.06,0.06,7100,3.00
2013-08-27,0.06,0.06,0.06,0.06,15800,3.00
2013-08-26,0.07,0.07,0.06,0.06,22000,3.00
2013-08-23,0.06,0.06,0.06,0.06,25800,3.00
2013-08-22,0.07,0.07,0.06,0.07,10800,3.50
2013-08-21,0.07,0.08,0.06,0.07,20500,3.50
2013-08-20,0.07,0.07,0.07,0.07,15300,3.50
2013-08-19,0.07,0.07,0.06,0.07,22900,3.50
2013-08-16,0.07,0.07,0.06,0.07,52500,3.50
2013-08-15,0.06,0.07,0.06,0.07,33900,3.50
2013-08-14,0.07,0.07,0.07,0.07,16400,3.50
2013-08-13,0.07,0.07,0.07,0.07,13700,3.50
2013-08-12,0.07,0.07,0.07,0.07,15800,3.50
2013-08-09,0.07,0.07,0.06,0.07,46200,3.50
2013-08-08,0.07,0.07,0.07,0.07,26600,3.50
2013-08-07,0.07,0.08,0.07,0.07,11700,3.50
2013-08-06,0.07,0.08,0.07,0.07,30300,3.50
2013-08-05,0.07,0.08,0.07,0.07,10600,3.50
2013-08-02,0.08,0.08,0.07,0.07,23400,3.50
2013-08-01,0.07,0.08,0.06,0.07,98400,3.50
2013-07-31,0.07,0.07,0.06,0.06,66500,3.00
2013-07-30,0.08,0.08,0.07,0.08,35400,4.00
2013-07-29,0.08,0.08,0.08,0.08,21300,4.00
2013-07-26,0.08,0.08,0.08,0.08,23600,4.00
2013-07-25,0.09,0.09,0.07,0.08,57500,4.00
2013-07-24,0.09,0.09,0.08,0.08,37700,4.00
2013-07-23,0.09,0.09,0.08,0.09,30200,4.50
2013-07-22,0.09,0.09,0.08,0.09,36800,4.50
2013-07-19,0.09,0.09,0.08,0.08,33600,4.00
2013-07-18,0.08,0.09,0.08,0.09,53600,4.50
2013-07-17,0.09,0.09,0.08,0.08,56100,4.00
2013-07-16,0.09,0.11,0.07,0.09,168500,4.50
