Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,67.90,68.00,67.01,67.46,2900,67.46
2014-02-21,67.50,68.00,67.50,68.00,800,68.00
2014-02-20,65.79,68.00,65.79,67.99,5300,67.99
2014-02-19,66.54,66.57,66.51,66.57,800,66.57
2014-02-18,67.00,67.37,66.49,66.49,1000,66.49
2014-02-14,66.97,67.47,66.97,67.46,2100,67.46
2014-02-13,66.11,67.49,66.11,67.32,5700,67.32
2014-02-12,65.51,67.03,65.51,66.83,2100,66.83
2014-02-11,65.49,66.03,65.18,65.18,6700,65.18
2014-02-10,65.77,66.72,65.42,65.42,7200,65.42
2014-02-07,67.71,67.71,65.25,65.50,8400,65.50
2014-02-06,67.00,67.71,66.94,67.71,1800,67.71
2014-02-05,67.85,68.00,65.21,66.11,2500,66.11
2014-02-04,67.86,67.86,67.86,67.86,300,67.86
2014-02-03,67.21,67.21,67.06,67.06,500,67.06
2014-01-31,67.48,70.00,67.48,69.00,800,69.00
2014-01-30,67.47,67.50,67.47,67.50,500,67.50
2014-01-29,66.60,67.50,66.60,67.24,5400,67.24
2014-01-28,67.60,67.80,67.21,67.21,700,67.21
2014-01-27,67.47,67.47,67.47,67.47,200,67.47
2014-01-24,66.60,67.25,66.60,67.25,3300,67.25
2014-01-23,67.00,67.09,66.82,67.01,1300,67.01
2014-01-22,67.62,67.62,66.54,66.54,300,66.54
2014-01-21,66.54,66.54,66.54,66.54,000,66.54
2014-01-17,66.25,67.42,66.25,66.54,4900,66.54
2014-01-16,66.11,66.50,66.11,66.50,600,66.50
2014-01-15,66.88,67.01,65.65,66.15,3800,66.15
2014-01-14,66.11,66.84,65.36,66.84,500,66.84
2014-01-13,66.50,66.50,66.50,66.50,200,66.50
2014-01-10,66.03,66.03,66.03,66.03,200,66.03
2014-01-09,66.40,66.49,66.29,66.29,1500,66.29
2014-01-08,65.50,66.00,65.50,66.00,2700,66.00
2014-01-07,65.17,65.57,65.15,65.50,3000,65.50
2014-01-06,66.30,66.30,64.20,65.20,11900,65.20
2014-01-03,66.31,66.31,66.21,66.30,1000,66.30
2014-01-02,66.48,66.48,64.17,66.21,2800,66.21
2013-12-31,66.00,67.00,63.24,67.00,1200,67.00
2013-12-30,65.50,66.00,65.00,66.00,5100,66.00
2013-12-27,65.44,65.71,65.44,65.71,1300,65.71
2013-12-26,66.95,67.00,64.69,67.00,2800,67.00
2013-12-24,66.02,67.70,65.30,67.70,900,67.70
2013-12-23,65.60,66.99,65.60,66.09,11500,66.09
2013-12-20,65.50,65.50,65.50,65.50,000,65.50
2013-12-19,67.54,67.62,65.07,65.50,3900,65.50
2013-12-18,65.30,66.96,65.30,66.25,500,66.25
2013-12-17,64.55,67.00,64.35,65.06,3800,65.06
