Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,6.40,6.67,6.21,6.46,24400,6.46
2014-02-21,6.32,6.51,6.29,6.41,16500,6.41
2014-02-20,6.39,6.48,6.33,6.38,8000,6.38
2014-02-19,6.58,6.65,6.40,6.40,19600,6.40
2014-02-18,6.50,6.54,6.32,6.53,20500,6.53
2014-02-14,6.30,6.61,6.28,6.50,27900,6.50
2014-02-13,5.80,6.35,5.64,6.35,40500,6.35
2014-02-12,6.16,6.17,5.87,6.07,42900,6.07
2014-02-11,6.31,6.66,5.60,6.17,204800,6.17
2014-02-10,6.30,6.60,6.30,6.32,31300,6.32
2014-02-07,6.51,6.51,6.25,6.26,44000,6.26
2014-02-06,6.44,6.63,6.37,6.43,27800,6.43
2014-02-05,6.49,6.58,6.25,6.29,35600,6.29
2014-02-04,6.13,6.70,6.13,6.45,42000,6.45
2014-02-03,6.38,6.48,6.00,6.13,74000,6.13
2014-01-31,6.37,6.50,6.15,6.34,112800,6.34
2014-01-30,7.05,7.06,6.36,6.38,137800,6.38
2014-01-29,7.86,7.86,7.05,7.11,44900,7.11
2014-01-28,7.37,7.54,7.22,7.36,26800,7.36
2014-01-27,7.51,7.51,7.31,7.39,43200,7.39
2014-01-24,7.84,7.86,7.34,7.55,90200,7.55
2014-01-23,7.87,7.99,7.80,7.89,16000,7.89
2014-01-22,7.91,7.99,7.75,7.94,40400,7.94
2014-01-21,8.02,8.03,7.91,7.95,17200,7.95
2014-01-17,8.05,8.10,8.00,8.03,31700,8.03
2014-01-16,8.04,8.10,7.97,8.09,5800,8.09
2014-01-15,8.01,8.07,8.00,8.04,47200,8.04
2014-01-14,8.00,8.00,7.95,7.97,10800,7.97
2014-01-13,8.00,8.00,7.93,8.00,27200,8.00
2014-01-10,8.00,8.00,7.99,8.00,10600,8.00
2014-01-09,8.09,8.15,7.93,7.98,12100,7.98
2014-01-08,7.95,8.08,7.94,8.05,27400,8.05
2014-01-07,8.06,8.06,7.90,7.95,30700,7.95
2014-01-06,7.96,8.16,7.96,7.98,22200,7.98
2014-01-03,8.10,8.14,7.96,7.99,33400,7.99
2014-01-02,8.08,8.19,8.01,8.09,19000,8.09
2013-12-31,8.14,8.19,8.03,8.06,31200,8.06
2013-12-30,8.29,8.29,8.06,8.17,18900,8.17
2013-12-27,8.19,8.29,8.00,8.28,24700,8.28
2013-12-26,7.98,8.29,7.95,8.22,23800,8.22
2013-12-24,8.20,8.29,7.92,7.92,5100,7.92
2013-12-23,7.74,8.33,7.74,8.19,48900,8.19
2013-12-20,7.97,7.97,7.52,7.69,61500,7.69
2013-12-19,8.10,8.11,7.83,7.92,43500,7.92
2013-12-18,8.19,8.25,8.10,8.19,14200,8.19
2013-12-17,8.18,8.19,8.03,8.18,10600,8.18
2013-12-16,8.23,8.24,8.13,8.15,14700,8.15
2013-12-13,8.23,8.32,8.23,8.24,25500,8.24
2013-12-12,8.32,8.39,8.23,8.30,31200,8.30
2013-12-11,8.39,8.44,8.20,8.32,43500,8.32
2013-12-10,8.41,8.41,8.25,8.39,23800,8.39
2013-12-09,8.32,8.35,8.26,8.34,14400,8.34
2013-12-06,8.42,8.42,8.20,8.25,16500,8.25
2013-12-05,8.23,8.35,8.23,8.35,13100,8.35
2013-12-04,8.20,8.37,8.20,8.28,25900,8.28
2013-12-03,8.56,8.79,8.00,8.11,77800,8.11
2013-12-02,8.84,8.91,8.45,8.63,27100,8.63
2013-11-29,8.60,8.87,8.60,8.79,5500,8.79
2013-11-27,8.50,8.58,8.39,8.52,18400,8.52
2013-11-26,8.50,8.53,8.30,8.50,32100,8.50
2013-11-25,8.68,8.68,8.50,8.53,20000,8.53
2013-11-22,8.73,8.79,8.63,8.70,17700,8.70
2013-11-21,8.72,8.85,8.62,8.69,12700,8.69
2013-11-20,8.87,8.90,8.67,8.76,31100,8.76
2013-11-19,8.95,8.95,8.82,8.84,23800,8.84
2013-11-18,8.82,9.09,8.71,8.93,86600,8.93
2013-11-15,8.36,8.84,8.36,8.79,37500,8.79
2013-11-14,8.46,8.60,8.44,8.49,20600,8.49
2013-11-13,8.30,8.65,8.00,8.51,62100,8.51
2013-11-12,8.56,8.60,8.32,8.36,40500,8.36
2013-11-11,8.18,8.79,8.18,8.56,36600,8.56
2013-11-08,8.01,8.24,8.01,8.22,15800,8.22
2013-11-07,8.22,8.27,7.84,8.12,37600,8.12
2013-11-06,8.22,8.23,8.10,8.16,19300,8.16
2013-11-05,8.16,8.32,8.16,8.21,13100,8.21
2013-11-04,8.18,8.26,7.95,8.22,19100,8.22
2013-11-01,8.18,8.39,8.09,8.20,14500,8.20
2013-10-31,8.12,8.26,7.71,8.19,32900,8.19
2013-10-30,8.34,8.37,8.01,8.13,40500,8.13
2013-10-29,8.33,8.47,8.18,8.35,30800,8.35
2013-10-28,8.44,8.47,8.21,8.33,26700,8.33
2013-10-25,8.69,8.69,8.27,8.42,55900,8.42
2013-10-24,8.54,8.70,8.50,8.69,46400,8.69
2013-10-23,8.34,8.70,8.04,8.66,148200,8.66
2013-10-22,8.48,8.48,8.03,8.30,61200,8.30
2013-10-21,7.98,8.47,7.92,8.47,65400,8.47
2013-10-18,8.03,8.03,7.95,7.96,16500,7.96
2013-10-17,7.88,8.05,7.88,8.00,35100,8.00
2013-10-16,8.00,8.06,7.80,7.95,59600,7.95
2013-10-15,8.02,8.13,7.81,7.96,22300,7.96
2013-10-14,8.12,8.12,7.73,7.99,62800,7.99
2013-10-11,7.73,8.20,7.73,8.16,74400,8.16
2013-10-10,7.57,7.84,7.57,7.65,48100,7.65
2013-10-09,7.29,7.65,7.15,7.44,35700,7.44
2013-10-08,7.49,7.63,7.15,7.32,68600,7.32
2013-10-07,7.69,7.69,7.46,7.52,25200,7.52
2013-10-04,7.40,7.80,7.35,7.73,33500,7.73
2013-10-03,7.79,7.81,7.37,7.46,115900,7.46
2013-10-02,7.84,8.05,7.50,7.85,82700,7.85
2013-10-01,7.81,7.96,7.61,7.87,87900,7.87
2013-09-30,7.89,7.89,7.64,7.80,88600,7.80
2013-09-27,7.34,8.21,7.31,7.89,176700,7.89
2013-09-26,7.03,7.46,7.03,7.28,59300,7.28
2013-09-25,6.67,7.07,6.67,7.03,57900,7.03
2013-09-24,6.82,6.88,6.62,6.68,76500,6.68
2013-09-23,7.08,7.08,6.87,6.90,33300,6.90
2013-09-20,7.34,7.34,6.58,7.07,145800,7.07
2013-09-19,7.41,7.43,7.30,7.35,17600,7.35
2013-09-18,7.35,7.41,7.25,7.41,87800,7.41
2013-09-17,7.27,7.40,7.26,7.39,31800,7.39
2013-09-16,7.37,7.38,7.27,7.30,13100,7.30
2013-09-13,7.35,7.38,7.25,7.30,23500,7.30
2013-09-12,7.32,7.46,7.28,7.38,32500,7.38
2013-09-11,7.31,7.38,7.28,7.34,17100,7.34
2013-09-10,7.35,7.43,7.25,7.37,29600,7.37
2013-09-09,7.36,7.47,7.25,7.25,33400,7.25
2013-09-06,7.47,7.47,7.10,7.31,31400,7.31
2013-09-05,7.35,7.47,7.24,7.44,18400,7.44
