Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,40.25,40.99,39.60,40.68,304500,40.68
2014-02-21,40.30,41.38,39.76,39.99,255500,39.99
2014-02-20,40.41,40.77,39.19,40.35,354400,40.35
2014-02-19,39.90,41.39,39.73,40.72,398500,40.72
2014-02-18,40.74,41.58,39.10,40.14,425700,40.14
2014-02-14,38.56,40.15,38.55,39.93,311500,39.93
2014-02-13,38.81,39.21,38.43,38.69,280200,38.69
2014-02-12,39.02,40.94,38.44,39.21,400200,39.21
2014-02-11,38.56,39.45,38.39,39.07,268300,39.07
2014-02-10,39.40,40.95,38.88,39.03,248500,39.03
2014-02-07,39.85,40.24,38.22,39.48,356800,39.48
2014-02-06,36.47,38.95,36.19,38.69,715500,38.69
2014-02-05,34.00,36.12,34.00,35.73,363900,35.73
2014-02-04,34.80,35.39,32.70,33.74,694600,33.74
2014-02-03,36.16,37.20,34.40,34.54,448000,34.54
2014-01-31,35.56,36.43,35.30,36.09,278100,36.09
2014-01-30,36.50,36.99,35.13,35.88,423400,35.88
2014-01-29,36.90,37.00,35.13,36.23,488800,36.23
2014-01-28,36.32,37.65,36.12,37.60,848200,37.60
2014-01-27,37.00,37.64,33.60,35.56,1348400,35.56
2014-01-24,38.04,39.49,36.64,37.31,675900,37.31
2014-01-23,41.52,41.72,37.98,38.23,1112900,38.23
2014-01-22,41.56,42.75,40.56,41.51,970200,41.51
2014-01-21,39.33,42.19,39.00,40.01,1182700,40.01
2014-01-17,46.72,47.90,38.00,40.00,3557100,40.00
2014-01-16,45.00,46.90,45.00,46.06,1455500,46.06
2014-01-15,50.01,50.09,42.00,45.02,3966800,45.02
2014-01-14,52.46,54.66,51.81,53.96,566900,53.96
2014-01-13,52.13,54.44,51.49,51.68,650100,51.68
2014-01-10,54.15,55.00,51.08,51.20,547700,51.20
2014-01-09,57.07,57.16,53.49,54.41,623600,54.41
2014-01-08,56.50,57.53,56.01,56.37,295300,56.37
2014-01-07,55.75,56.50,55.50,56.00,402900,56.00
2014-01-06,55.99,56.80,55.22,55.81,410700,55.81
2014-01-03,55.96,55.99,55.28,55.86,310900,55.86
2014-01-02,57.10,57.87,55.12,55.73,449700,55.73
2013-12-31,56.00,56.95,55.04,56.00,346600,56.00
2013-12-30,56.28,57.76,55.63,55.92,373500,55.92
2013-12-27,55.85,59.24,54.62,55.68,489100,55.68
2013-12-26,55.22,56.50,54.78,55.98,444000,55.98
2013-12-24,56.84,56.87,53.60,54.71,196600,54.71
2013-12-23,53.80,57.39,53.70,55.62,505200,55.62
