Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,9.98,10.05,9.98,9.99,5000,9.99
2014-02-21,10.00,10.00,10.00,10.00,000,10.00
2014-02-20,10.01,10.01,10.00,10.00,500,10.00
2014-02-19,10.04,10.04,10.04,10.04,000,10.04
2014-02-18,10.04,10.04,10.04,10.04,500,10.04
2014-02-14,10.02,10.02,10.02,10.02,000,10.02
2014-02-13,10.04,10.05,10.02,10.02,400,10.02
2014-02-12,10.00,10.05,10.00,10.02,900,10.02
2014-02-11,10.05,10.06,10.00,10.06,1600,10.06
2014-02-10,10.06,10.15,10.00,10.04,8500,10.04
2014-02-07,10.10,10.10,10.10,10.10,200,10.10
2014-02-06,9.92,10.05,9.92,10.02,7700,10.02
2014-02-05,10.32,10.32,10.00,10.18,7900,10.18
2014-02-04,10.60,10.80,9.98,10.03,4600,10.03
2014-02-03,10.36,10.44,10.02,10.06,258400,10.06
2014-01-31,10.00,10.10,9.93,10.00,84000,10.00
2014-01-30,10.03,10.05,9.97,10.05,1200,10.05
2014-01-29,9.98,10.10,9.93,10.10,38300,10.10
2014-01-28,10.00,10.10,9.96,10.10,59300,10.10
2014-01-27,9.99,10.03,9.98,10.00,7500,10.00
2014-01-24,10.01,10.10,10.01,10.01,4000,10.01
2014-01-23,9.96,10.05,9.91,9.99,3100,9.99
2014-01-22,9.96,10.00,9.93,9.93,1700,9.93
2014-01-21,9.96,10.01,9.88,9.98,35200,9.98
2014-01-17,9.85,10.05,9.85,10.03,14100,10.03
2014-01-16,9.98,10.05,9.92,9.95,142000,9.95
2014-01-15,10.10,10.10,10.10,10.10,000,10.10
2014-01-14,10.10,10.10,10.10,10.10,000,10.10
2014-01-13,10.10,10.10,10.10,10.10,000,10.10
2014-01-10,10.10,10.10,10.10,10.10,000,10.10
2014-01-09,10.10,10.10,10.10,10.10,000,10.10
2014-01-08,10.10,10.10,10.10,10.10,000,10.10
2014-01-07,10.10,10.10,10.10,10.10,000,10.10
2014-01-06,10.10,10.10,10.10,10.10,000,10.10
2014-01-03,10.10,10.10,10.10,10.10,000,10.10
2014-01-02,10.10,10.10,10.10,10.10,000,10.10
2013-12-31,10.10,10.10,10.10,10.10,25000,10.10
2013-12-30,10.15,10.15,10.15,10.15,000,10.15
2013-12-27,10.15,10.15,10.15,10.15,000,10.15
2013-12-26,9.92,10.15,9.92,10.15,43300,10.15
2013-12-24,10.50,10.50,10.50,10.50,000,10.50
2013-12-23,10.50,10.50,10.50,10.50,000,10.50
2013-12-20,10.50,10.50,10.50,10.50,000,10.50
2013-12-19,10.50,10.50,10.50,10.50,000,10.50
2013-12-18,10.50,10.50,10.50,10.50,000,10.50
2013-12-17,10.50,10.50,10.50,10.50,000,10.50
2013-12-16,10.50,10.50,10.50,10.50,000,10.50
2013-12-13,10.50,10.50,10.50,10.50,000,10.50
2013-12-12,10.50,10.50,10.50,10.50,000,10.50
2013-12-11,10.50,10.50,10.50,10.50,000,10.50
2013-12-10,10.50,10.50,10.50,10.50,000,10.50
2013-12-09,10.50,10.50,10.50,10.50,000,10.50
2013-12-06,10.50,10.50,10.50,10.50,000,10.50
2013-12-05,10.50,10.50,10.50,10.50,000,10.50
2013-12-04,10.50,10.50,10.50,10.50,000,10.50
2013-12-03,10.50,10.50,10.50,10.50,000,10.50
2013-12-02,10.50,10.50,10.50,10.50,000,10.50
2013-11-29,10.50,10.50,10.50,10.50,000,10.50
2013-11-27,10.50,10.50,10.50,10.50,000,10.50
2013-11-26,10.50,10.50,10.50,10.50,000,10.50
2013-11-25,10.50,10.50,10.50,10.50,000,10.50
2013-11-22,10.50,10.50,10.50,10.50,000,10.50
2013-11-21,10.50,10.50,10.50,10.50,000,10.50
2013-11-20,10.50,10.50,10.50,10.50,000,10.50
2013-11-19,10.50,10.50,10.50,10.50,000,10.50
2013-11-18,10.50,10.50,10.50,10.50,000,10.50
2013-11-15,10.50,10.50,10.50,10.50,000,10.50
2013-11-14,10.50,10.50,10.50,10.50,000,10.50
2013-11-13,10.50,10.50,10.50,10.50,200,10.50
2013-11-12,9.87,9.87,9.86,9.86,3200,9.86
2013-11-11,10.00,10.00,10.00,10.00,000,10.00
2013-11-08,10.00,10.00,10.00,10.00,000,10.00
2013-11-07,10.00,10.00,10.00,10.00,1000,10.00
2013-11-06,9.31,9.90,9.31,9.90,1100,9.90
2013-11-05,10.00,10.00,10.00,10.00,000,10.00
2013-11-04,10.00,10.00,10.00,10.00,100,10.00
2013-11-01,9.90,9.90,9.90,9.90,000,9.90
2013-10-31,9.90,9.90,9.90,9.90,000,9.90
2013-10-30,9.90,9.90,9.90,9.90,1500,9.90
2013-10-29,9.90,9.90,9.90,9.90,000,9.90
2013-10-28,9.90,9.90,9.90,9.90,000,9.90
2013-10-25,9.90,9.90,9.90,9.90,000,9.90
2013-10-24,9.90,9.90,9.90,9.90,000,9.90
2013-10-23,9.90,9.90,9.90,9.90,000,9.90
2013-10-22,9.71,9.90,9.71,9.90,300,9.90
2013-10-21,9.90,9.90,9.90,9.90,100,9.90
2013-10-18,10.00,10.00,9.90,9.90,000,9.90
