Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,9.72,9.74,9.72,9.74,1800,9.74
2014-02-21,9.72,9.72,9.71,9.72,237900,9.72
2014-02-20,9.72,9.72,9.72,9.72,265000,9.72
2014-02-19,9.72,9.72,9.72,9.72,5900,9.72
2014-02-18,9.75,9.75,9.75,9.75,100,9.75
2014-02-14,9.72,9.81,9.71,9.80,17400,9.80
2014-02-13,9.72,9.72,9.72,9.72,5200,9.72
2014-02-12,9.73,9.81,9.71,9.71,10500,9.71
2014-02-11,9.72,9.72,9.72,9.72,000,9.72
2014-02-10,9.71,9.74,9.71,9.72,1100,9.72
2014-02-07,9.72,9.72,9.72,9.72,300,9.72
2014-02-06,9.72,9.73,9.71,9.71,10300,9.71
2014-02-05,9.00,9.00,9.00,9.00,25200,9.00
2014-02-04,9.00,9.00,9.00,9.00,9200,9.00
2014-02-03,9.71,9.78,9.70,9.72,70400,9.72
2014-01-31,9.70,9.83,9.70,9.74,213700,9.74
2014-01-30,9.74,9.83,9.70,9.76,238800,9.76
2014-01-29,9.74,9.74,9.74,9.74,000,9.74
2014-01-28,9.65,9.79,9.65,9.74,16500,9.74
