Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,10.06,10.06,10.06,10.06,000,10.06
2014-02-21,10.06,10.06,10.06,10.06,000,10.06
2014-02-20,10.12,10.12,10.06,10.06,200,10.06
2014-02-19,10.06,10.06,10.06,10.06,000,10.06
2014-02-18,10.06,10.06,10.06,10.06,000,10.06
2014-02-14,10.06,10.06,10.06,10.06,000,10.06
2014-02-13,10.06,10.06,10.06,10.06,000,10.06
2014-02-12,10.06,10.06,10.06,10.06,000,10.06
2014-02-11,10.06,10.06,10.06,10.06,000,10.06
2014-02-10,10.06,10.06,10.06,10.06,000,10.06
2014-02-07,10.06,10.06,10.06,10.06,000,10.06
2014-02-06,10.06,10.06,10.06,10.06,000,10.06
2014-02-05,10.06,10.06,10.06,10.06,000,10.06
2014-02-04,10.07,10.15,10.04,10.06,172700,10.06
2014-02-03,10.06,10.07,10.04,10.06,24700,10.06
2014-01-31,10.07,10.27,10.01,10.03,205500,10.03
2014-01-30,10.07,10.07,10.02,10.04,284100,10.04
2014-01-29,10.08,10.10,10.03,10.06,28400,10.06
2014-01-28,10.05,10.05,10.05,10.05,000,10.05
2014-01-27,10.05,10.05,10.05,10.05,000,10.05
2014-01-24,10.05,10.05,10.05,10.05,000,10.05
2014-01-23,10.05,10.05,10.05,10.05,000,10.05
2014-01-22,10.05,10.05,10.05,10.05,000,10.05
2014-01-21,10.05,10.05,10.05,10.05,100,10.05
2014-01-17,10.05,10.08,10.05,10.08,5100,10.08
2014-01-16,10.06,10.06,10.06,10.06,100,10.06
2014-01-15,10.06,10.06,10.06,10.06,000,10.06
2014-01-14,10.06,10.06,10.06,10.06,000,10.06
2014-01-13,10.06,10.06,10.06,10.06,000,10.06
2014-01-10,10.06,10.06,10.06,10.06,000,10.06
2014-01-09,10.06,10.06,10.06,10.06,000,10.06
2014-01-08,10.06,10.06,10.06,10.06,3700,10.06
2014-01-07,10.05,10.05,10.05,10.05,24200,10.05
2014-01-06,10.05,10.05,10.05,10.05,2200,10.05
2014-01-03,10.08,10.08,10.08,10.08,000,10.08
2014-01-02,10.08,10.08,10.08,10.08,000,10.08
2013-12-31,10.06,10.08,10.01,10.08,16100,10.08
2013-12-30,10.08,10.08,10.08,10.08,000,10.08
2013-12-27,10.08,10.08,10.08,10.08,100,10.08
2013-12-26,10.05,10.05,10.05,10.05,800,10.05
2013-12-24,10.07,10.07,10.07,10.07,000,10.07
2013-12-23,10.07,10.07,10.07,10.07,000,10.07
2013-12-20,10.07,10.07,10.07,10.07,000,10.07
2013-12-19,10.07,10.07,10.07,10.07,000,10.07
2013-12-18,10.10,10.10,10.07,10.07,200,10.07
2013-12-17,10.07,10.07,10.07,10.07,000,10.07
2013-12-16,10.07,10.07,10.07,10.07,000,10.07
2013-12-13,10.07,10.07,10.07,10.07,000,10.07
2013-12-12,10.07,10.07,10.07,10.07,000,10.07
2013-12-11,10.07,10.07,10.07,10.07,100,10.07
2013-12-10,10.07,10.07,10.07,10.07,300,10.07
2013-12-09,10.05,10.05,10.05,10.05,1000,10.05
2013-12-06,10.05,10.06,10.05,10.05,21100,10.05
2013-12-05,10.03,10.03,10.02,10.03,3700,10.03
2013-12-04,10.02,10.02,10.02,10.02,000,10.02
2013-12-03,10.02,10.02,10.02,10.02,000,10.02
2013-12-02,10.03,10.03,10.01,10.02,26600,10.02
2013-11-29,10.05,10.05,10.05,10.05,000,10.05
2013-11-27,10.05,10.05,10.05,10.05,000,10.05
2013-11-26,10.05,10.05,10.05,10.05,1300,10.05
2013-11-25,10.02,10.05,10.02,10.05,600,10.05
2013-11-22,10.07,10.07,10.07,10.07,000,10.07
2013-11-21,10.10,10.10,10.07,10.07,2100,10.07
2013-11-20,10.05,10.06,10.05,10.06,600,10.06
2013-11-19,10.10,10.10,10.10,10.10,600,10.10
2013-11-18,10.10,10.10,10.08,10.08,1200,10.08
2013-11-15,10.05,10.05,10.05,10.05,000,10.05
2013-11-14,10.05,10.05,10.05,10.05,200,10.05
2013-11-13,10.14,10.15,10.14,10.15,9900,10.15
2013-11-12,10.08,10.10,10.05,10.05,15100,10.05
2013-11-11,10.05,10.05,10.05,10.05,000,10.05
2013-11-08,10.05,10.05,10.05,10.05,200,10.05
2013-11-07,10.05,10.05,10.05,10.05,400,10.05
2013-11-06,10.07,10.07,10.05,10.05,7200,10.05
2013-11-05,10.10,10.10,10.05,10.10,1900,10.10
2013-11-04,10.05,10.09,10.05,10.05,3500,10.05
2013-11-01,10.05,10.05,10.05,10.05,7700,10.05
2013-10-31,10.09,10.09,10.05,10.05,4200,10.05
2013-10-30,10.05,10.09,10.05,10.07,12200,10.07
2013-10-29,10.01,10.10,10.01,10.05,980400,10.05
