Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,7.00,7.69,6.92,7.44,116200,7.44
2014-02-21,6.75,6.90,6.67,6.88,46200,6.88
2014-02-20,6.70,7.00,6.50,6.69,86600,6.69
2014-02-19,6.64,6.75,6.28,6.50,66400,6.50
2014-02-18,5.98,6.85,5.98,6.40,191300,6.40
2014-02-14,6.10,6.10,5.95,5.97,16800,5.97
2014-02-13,5.88,6.04,5.76,5.95,15100,5.95
2014-02-12,5.72,5.96,5.70,5.78,64200,5.78
2014-02-11,6.03,6.08,5.67,5.70,32200,5.70
2014-02-10,5.89,6.75,5.81,5.96,80200,5.96
2014-02-07,5.97,6.19,5.60,5.67,36000,5.67
2014-02-06,5.81,6.08,5.60,5.86,45300,5.86
2014-02-05,5.79,6.01,5.59,5.94,13700,5.94
2014-02-04,5.56,5.83,5.51,5.60,10200,5.60
2014-02-03,6.45,6.45,5.59,5.78,56700,5.78
2014-01-31,6.04,6.27,5.84,6.27,27300,6.27
2014-01-30,6.24,6.36,6.05,6.25,13400,6.25
2014-01-29,6.35,6.66,6.25,6.25,37000,6.25
2014-01-28,5.96,6.19,5.96,6.11,8100,6.11
2014-01-27,6.01,6.01,5.30,5.68,29300,5.68
2014-01-24,6.50,6.51,5.86,6.01,39100,6.01
2014-01-23,6.54,6.80,6.49,6.50,29000,6.50
2014-01-22,6.42,6.68,6.40,6.49,33100,6.49
2014-01-21,6.47,6.50,6.31,6.34,30900,6.34
2014-01-17,6.54,6.54,6.25,6.33,16600,6.33
2014-01-16,6.39,6.53,6.39,6.47,27400,6.47
2014-01-15,6.10,6.69,6.10,6.11,57100,6.11
2014-01-14,6.17,6.38,5.82,5.97,38100,5.97
2014-01-13,5.88,6.40,5.81,6.05,47200,6.05
2014-01-10,5.57,6.00,5.50,5.82,34800,5.82
2014-01-09,5.40,5.55,5.40,5.46,9400,5.46
2014-01-08,5.61,5.69,5.40,5.40,28300,5.40
2014-01-07,5.40,5.60,5.28,5.29,16300,5.29
2014-01-06,5.09,5.60,5.09,5.38,42000,5.38
2014-01-03,4.90,5.22,4.90,5.10,8300,5.10
2014-01-02,4.90,4.98,4.80,4.80,10200,4.80
2013-12-31,5.11,5.14,4.77,4.77,46000,4.77
2013-12-30,5.10,5.21,5.05,5.05,27700,5.05
2013-12-27,5.14,5.33,5.11,5.11,16200,5.11
2013-12-26,5.23,5.53,5.12,5.18,13700,5.18
2013-12-24,5.15,5.59,5.13,5.27,5500,5.27
2013-12-23,5.05,5.59,5.05,5.36,14900,5.36
2013-12-20,5.45,5.73,5.00,5.08,98800,5.08
2013-12-19,5.89,5.89,5.33,5.49,24000,5.49
