Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,11.58,12.12,11.58,11.84,11700,11.84
2014-02-21,11.60,11.95,11.60,11.62,5300,11.62
2014-02-20,11.45,11.60,11.45,11.59,12900,11.59
2014-02-19,11.42,11.58,11.42,11.58,11000,11.58
2014-02-18,11.56,11.56,11.43,11.48,2900,11.48
2014-02-14,11.38,11.57,11.34,11.57,6500,11.57
2014-02-13,11.39,11.51,11.37,11.44,8100,11.44
2014-02-12,11.44,11.51,11.40,11.40,4000,11.40
2014-02-11,11.48,11.54,11.33,11.41,6200,11.41
2014-02-10,11.44,11.51,11.31,11.42,2700,11.42
2014-02-07,11.41,11.58,11.31,11.33,4900,11.33
2014-02-06,11.34,11.68,11.33,11.36,6400,11.36
2014-02-05,11.50,11.55,11.38,11.40,6900,11.40
2014-02-04,11.48,11.68,11.46,11.60,4100,11.60
2014-02-03,11.98,11.98,11.45,11.65,83700,11.65
2014-01-31,11.70,11.75,11.62,11.65,2700,11.65
2014-01-30,11.78,11.78,11.60,11.74,5900,11.74
2014-01-29,11.71,11.80,11.67,11.67,1900,11.67
2014-01-28,11.58,11.85,11.51,11.85,6600,11.85
2014-01-27,11.70,11.89,11.56,11.56,8700,11.56
2014-01-24,12.06,12.11,11.55,11.60,30700,11.60
2014-01-23,12.23,12.26,12.02,12.06,7700,12.06
2014-01-22,12.11,12.48,12.01,12.12,31700,12.12
2014-01-21,12.58,12.99,11.71,12.01,23400,12.01
2014-01-17,11.74,11.74,11.56,11.65,5000,11.65
2014-01-16,11.50,11.86,11.50,11.74,18300,11.74
2014-01-15,11.75,11.88,11.55,11.58,8300,11.58
2014-01-14,11.74,11.98,11.74,11.78,4600,11.78
2014-01-13,11.76,11.97,11.70,11.72,10400,11.72
2014-01-10,11.97,12.09,11.69,11.82,7500,11.82
2014-01-09,11.94,12.11,11.85,11.90,3700,11.90
2014-01-08,11.85,12.12,11.85,11.87,11500,11.87
2014-01-07,11.89,12.12,11.72,11.81,20500,11.81
2014-01-06,11.62,12.09,11.61,11.76,12900,11.76
2014-01-03,11.56,11.84,11.56,11.59,9800,11.59
2014-01-02,11.52,11.82,11.51,11.55,9900,11.55
2013-12-31,11.71,12.02,11.56,11.61,20900,11.61
2013-12-30,11.80,12.02,11.63,11.77,11500,11.77
2013-12-27,11.98,11.98,11.80,11.85,13100,11.85
2013-12-26,11.92,11.95,11.80,11.93,11800,11.93
2013-12-24,12.05,12.07,11.74,11.96,14500,11.96
2013-12-23,11.71,11.90,11.61,11.81,24300,11.81
2013-12-20,11.80,12.01,11.66,11.71,25800,11.71
2013-12-19,12.04,12.04,11.81,11.82,3400,11.82
2013-12-18,12.08,12.08,11.78,11.78,9700,11.78
2013-12-17,12.00,12.05,11.88,12.02,8300,12.02
2013-12-16,11.80,11.90,11.75,11.87,20600,11.87
2013-12-13,11.96,11.96,11.70,11.81,12100,11.81
2013-12-12,11.98,12.11,11.71,12.07,7300,12.07
2013-12-11,12.10,12.15,11.69,11.91,17700,11.91
2013-12-10,12.12,12.22,12.05,12.22,12700,12.22
2013-12-09,12.25,12.25,12.05,12.06,17500,12.06
2013-12-06,12.19,12.34,12.05,12.28,26300,12.28
2013-12-05,12.37,12.52,12.05,12.10,29200,12.10
2013-12-04,12.48,12.60,12.40,12.43,15400,12.43
2013-12-03,13.03,13.09,12.60,12.75,6200,12.75
2013-12-02,13.45,13.45,12.88,12.88,9600,12.88
2013-11-29,13.45,13.45,13.23,13.40,1400,13.40
2013-11-27,13.45,13.56,13.26,13.40,1400,13.40
2013-11-26,13.50,13.67,13.15,13.45,25500,13.45
2013-11-25,13.05,13.35,13.03,13.27,3900,13.16
2013-11-22,12.91,13.10,12.90,13.10,17300,12.99
2013-11-21,12.75,12.92,12.74,12.82,3700,12.71
2013-11-20,12.70,12.84,12.70,12.76,3100,12.65
2013-11-19,12.80,12.88,12.70,12.71,10100,12.60
2013-11-18,12.51,12.85,12.51,12.78,7900,12.67
2013-11-15,12.65,12.65,12.57,12.57,12200,12.47
2013-11-14,12.50,12.72,12.50,12.62,11000,12.52
2013-11-13,12.51,12.69,12.48,12.51,9500,12.41
2013-11-12,12.60,12.65,12.56,12.58,8000,12.48
2013-11-11,12.60,12.70,12.60,12.61,5500,12.51
2013-11-08,12.56,12.70,12.50,12.61,7600,12.51
2013-11-07,12.60,12.68,12.50,12.50,8400,12.40
2013-11-06,12.69,12.73,12.56,12.56,16700,12.46
2013-11-05,12.57,12.75,12.56,12.67,9600,12.56
2013-11-04,12.66,12.72,12.58,12.58,2000,12.48
2013-11-01,12.73,12.73,12.60,12.66,2700,12.56
2013-10-31,12.67,12.75,12.56,12.68,16900,12.57
2013-10-30,12.67,12.73,12.56,12.73,7100,12.62
2013-10-29,12.70,12.71,12.62,12.69,41300,12.58
2013-10-28,12.59,12.75,12.59,12.70,17900,12.59
2013-10-25,12.50,12.68,12.50,12.59,6500,12.49
2013-10-24,12.55,12.63,12.49,12.49,6200,12.39
2013-10-23,12.71,12.71,12.59,12.61,1900,12.51
2013-10-22,12.69,12.71,12.29,12.70,10700,12.59
2013-10-21,12.78,12.78,12.70,12.71,11100,12.60
2013-10-18,12.69,12.71,12.65,12.71,14900,12.60
2013-10-17,12.72,12.72,12.62,12.64,6300,12.54
2013-10-16,12.61,12.72,12.61,12.70,9700,12.59
2013-10-15,12.59,12.70,12.50,12.68,12000,12.57
2013-10-14,12.60,12.60,12.50,12.60,22600,12.50
2013-10-11,12.59,12.69,12.51,12.60,5200,12.50
2013-10-10,12.51,12.67,12.51,12.51,4600,12.41
2013-10-09,12.53,12.62,12.51,12.51,4400,12.41
2013-10-08,12.50,12.64,12.50,12.64,6100,12.54
2013-10-07,12.36,12.50,12.35,12.50,17100,12.40
2013-10-04,12.51,12.59,12.28,12.32,8300,12.22
2013-10-03,12.27,12.51,12.15,12.47,15400,12.37
2013-10-02,12.18,12.28,12.16,12.16,7300,12.06
2013-10-01,12.10,12.28,12.10,12.19,6500,12.09
2013-09-30,12.10,12.27,12.10,12.10,12800,12.00
2013-09-27,12.24,12.35,12.21,12.24,12200,12.14
2013-09-26,12.32,12.33,12.17,12.24,5500,12.14
2013-09-25,12.30,12.39,12.30,12.30,3100,12.20
2013-09-24,12.29,12.45,12.29,12.30,2900,12.20
2013-09-23,12.51,12.59,12.25,12.28,8500,12.18
2013-09-20,12.30,12.54,12.13,12.54,20000,12.44
2013-09-19,12.42,12.58,12.34,12.34,9100,12.24
2013-09-18,12.31,12.43,12.12,12.41,15400,12.31
2013-09-17,12.44,12.51,12.30,12.43,13800,12.33
2013-09-16,12.58,12.67,12.18,12.54,31800,12.44
2013-09-13,12.60,12.73,12.50,12.59,20000,12.49
2013-09-12,12.32,12.72,12.24,12.58,17800,12.48
2013-09-11,12.18,12.37,12.05,12.23,17600,12.13
2013-09-10,12.25,12.32,12.01,12.21,14700,12.11
2013-09-09,12.10,12.33,12.10,12.28,8500,12.18
2013-09-06,12.11,12.13,12.07,12.10,1000,12.00
2013-09-05,12.02,12.39,12.02,12.15,3100,12.05
2013-09-04,12.18,12.37,11.36,12.02,24500,11.92
2013-09-03,12.25,12.29,12.21,12.22,13900,12.12
2013-08-30,12.19,12.24,12.16,12.21,2600,12.11
2013-08-29,12.25,12.25,12.15,12.20,2100,12.10
2013-08-28,12.39,12.40,12.14,12.35,16000,12.14
2013-08-27,12.42,12.79,12.25,12.44,10000,12.23
2013-08-26,12.82,12.82,12.38,12.50,8600,12.29
2013-08-23,12.70,12.75,12.64,12.69,4000,12.47
2013-08-22,12.51,12.88,12.51,12.60,6000,12.38
2013-08-21,12.67,12.82,12.67,12.70,1300,12.48
2013-08-20,12.50,13.15,12.50,12.65,17400,12.43
2013-08-19,12.66,12.66,12.50,12.50,8300,12.29
2013-08-16,12.80,12.80,12.61,12.72,8000,12.50
2013-08-15,13.05,13.05,12.50,12.87,16400,12.65
2013-08-14,13.25,13.26,13.00,13.15,12500,12.92
2013-08-13,13.34,13.40,13.13,13.30,4600,13.07
2013-08-12,13.52,13.55,13.34,13.34,3500,13.11
2013-08-09,13.42,13.78,13.41,13.51,8200,13.28
2013-08-08,13.68,13.98,13.68,13.69,5600,13.46
