Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,2.60,2.73,2.60,2.73,3100,2.73
2014-02-21,2.64,2.67,2.54,2.56,14200,2.56
2014-02-20,2.60,2.60,2.46,2.56,19000,2.56
2014-02-19,2.57,2.62,2.49,2.57,5900,2.57
2014-02-18,2.59,2.59,2.41,2.46,77500,2.46
2014-02-14,2.47,2.60,2.47,2.59,8500,2.59
2014-02-13,2.23,2.53,2.21,2.49,11100,2.49
2014-02-12,2.38,2.38,2.27,2.31,7100,2.31
2014-02-11,2.24,2.41,2.23,2.41,17000,2.41
2014-02-10,2.23,2.27,2.23,2.24,5700,2.24
2014-02-07,2.19,2.25,2.19,2.21,2900,2.21
2014-02-06,2.15,2.25,2.07,2.07,15700,2.07
2014-02-05,2.05,2.09,2.05,2.06,8600,2.06
2014-02-04,2.12,2.18,2.12,2.18,17300,2.18
2014-02-03,2.27,2.34,2.06,2.10,29000,2.10
2014-01-31,2.05,2.46,2.05,2.46,18100,2.46
2014-01-30,2.20,2.20,2.10,2.11,23400,2.11
2014-01-29,2.06,2.13,2.05,2.13,12200,2.13
2014-01-28,2.10,2.21,2.01,2.12,40100,2.12
2014-01-27,2.38,2.46,2.25,2.25,28000,2.25
2014-01-24,2.53,2.53,2.41,2.49,13600,2.49
2014-01-23,2.82,2.82,2.82,2.82,000,2.82
2014-01-22,2.78,2.84,2.78,2.82,24900,2.82
2014-01-21,2.77,2.77,2.69,2.72,2100,2.72
2014-01-17,2.73,2.73,2.73,2.73,100,2.73
2014-01-16,2.83,2.83,2.79,2.79,16200,2.79
2014-01-15,2.66,2.75,2.66,2.75,18200,2.75
2014-01-14,2.68,2.68,2.64,2.64,3300,2.64
2014-01-13,2.59,2.69,2.45,2.50,3400,2.50
2014-01-10,2.53,2.75,2.53,2.60,10500,2.60
2014-01-09,2.65,2.73,2.60,2.73,2300,2.73
2014-01-08,2.90,2.90,2.50,2.50,23700,2.50
2014-01-07,2.77,2.77,2.77,2.77,000,2.77
2014-01-06,2.72,2.77,2.72,2.77,1900,2.77
2014-01-03,2.74,2.75,2.74,2.75,10000,2.75
2014-01-02,2.67,2.70,2.56,2.57,28500,2.57
2013-12-31,2.91,2.93,2.87,2.92,16100,2.92
2013-12-30,3.03,3.05,2.96,2.96,22200,2.96
2013-12-27,3.20,3.23,2.90,3.02,27500,3.02
2013-12-26,3.02,3.05,2.95,3.01,78900,3.01
2013-12-24,2.99,3.03,2.95,3.00,27900,3.00
2013-12-23,2.85,3.00,2.85,2.98,14200,2.98
2013-12-20,2.80,2.97,2.79,2.90,32300,2.90
2013-12-19,2.68,2.75,2.68,2.75,1600,2.75
2013-12-18,2.59,2.85,2.59,2.85,28400,2.85
2013-12-17,2.55,2.63,2.55,2.61,500,2.61
2013-12-16,2.44,2.44,2.44,2.44,100,2.44
2013-12-13,2.51,2.51,2.51,2.51,000,2.51
2013-12-12,2.55,2.55,2.50,2.51,1900,2.51
2013-12-11,2.72,2.72,2.53,2.63,9000,2.63
2013-12-10,3.13,3.19,2.90,2.93,21500,2.93
2013-12-09,2.84,3.05,2.79,3.05,76800,3.05
2013-12-06,2.69,2.84,2.69,2.84,26700,2.84
2013-12-05,2.60,2.60,2.59,2.60,2800,2.60
2013-12-04,2.55,2.64,2.45,2.63,13600,2.63
2013-12-03,2.37,2.61,2.37,2.55,6200,2.55
2013-12-02,2.60,2.60,2.46,2.46,300,2.46
2013-11-29,2.62,2.62,2.62,2.62,300,2.62
2013-11-27,2.55,2.65,2.55,2.63,25100,2.63
2013-11-26,2.45,2.50,2.45,2.50,5600,2.50
2013-11-25,2.54,2.54,2.50,2.50,7800,2.50
2013-11-22,2.67,2.67,2.63,2.66,3900,2.66
2013-11-21,2.58,2.62,2.58,2.60,3300,2.60
2013-11-20,2.81,2.81,2.56,2.56,1600,2.56
2013-11-19,2.74,2.75,2.62,2.65,2500,2.65
2013-11-18,2.77,2.80,2.64,2.64,12400,2.64
2013-11-15,2.80,2.80,2.70,2.77,31800,2.77
2013-11-14,2.71,2.71,2.62,2.64,4700,2.64
2013-11-13,2.41,2.50,2.26,2.50,35100,2.50
2013-11-12,2.24,2.44,2.24,2.44,23000,2.44
2013-11-11,2.43,2.50,2.11,2.41,131100,2.41
2013-11-08,2.42,2.59,2.42,2.50,41000,2.50
2013-11-07,2.78,2.87,2.70,2.76,2700,2.76
2013-11-06,2.84,2.90,2.74,2.74,6000,2.74
2013-11-05,2.70,2.73,2.66,2.67,1700,2.67
2013-11-04,2.75,2.77,2.57,2.69,22400,2.69
2013-11-01,2.85,2.85,2.70,2.75,6800,2.75
2013-10-31,2.89,2.99,2.78,2.98,51100,2.98
2013-10-30,2.79,2.94,2.75,2.83,28200,2.83
2013-10-29,2.77,2.77,2.77,2.77,000,2.77
2013-10-28,2.60,2.80,2.60,2.77,14000,2.77
2013-10-25,2.75,2.85,2.75,2.80,10200,2.80
2013-10-24,2.73,2.88,2.73,2.81,47800,2.81
2013-10-23,2.67,2.68,2.56,2.56,4100,2.56
2013-10-22,2.72,2.75,2.58,2.62,35200,2.62
2013-10-21,2.74,2.80,2.67,2.75,68600,2.75
2013-10-18,2.60,2.63,2.56,2.56,3600,2.56
2013-10-17,2.44,2.60,2.43,2.60,17900,2.60
2013-10-16,2.29,2.48,2.29,2.47,73700,2.47
2013-10-15,2.25,2.25,2.19,2.19,1700,2.19
2013-10-14,2.37,2.37,2.08,2.08,1300,2.08
2013-10-11,2.24,2.45,2.24,2.40,31800,2.40
2013-10-10,2.20,2.25,2.20,2.25,12800,2.25
2013-10-09,1.95,2.12,1.95,2.10,7900,2.10
2013-10-08,2.19,2.19,2.03,2.15,27500,2.15
2013-10-07,2.18,2.18,2.18,2.18,1000,2.18
2013-10-04,2.15,2.20,2.15,2.20,15000,2.20
2013-10-03,2.17,2.20,2.02,2.09,33600,2.09
2013-10-02,2.31,2.31,2.20,2.24,35500,2.24
2013-10-01,2.13,2.30,2.13,2.29,49400,2.29
2013-09-30,2.09,2.11,2.09,2.10,14500,2.10
2013-09-27,2.03,2.20,2.01,2.11,8400,2.11
2013-09-26,2.20,2.23,2.20,2.20,6100,2.20
2013-09-25,2.15,2.15,2.10,2.10,900,2.10
2013-09-24,2.10,2.20,2.10,2.15,16000,2.15
2013-09-23,1.97,2.11,1.97,2.10,28800,2.10
2013-09-20,2.01,2.10,2.00,2.09,23100,2.09
2013-09-19,2.15,2.15,2.13,2.13,8800,2.13
2013-09-18,2.04,2.16,2.00,2.16,49800,2.16
2013-09-17,1.96,2.05,1.96,2.05,46200,2.05
2013-09-16,1.86,1.95,1.84,1.95,48800,1.95
2013-09-13,1.88,1.90,1.81,1.81,38500,1.81
2013-09-12,1.84,1.84,1.84,1.84,000,1.84
2013-09-11,1.84,1.89,1.84,1.84,20500,1.84
2013-09-10,1.84,1.95,1.84,1.84,34300,1.84
2013-09-09,1.79,1.86,1.79,1.80,36000,1.80
2013-09-06,1.67,1.84,1.67,1.71,35100,1.71
2013-09-05,1.75,1.94,1.75,1.75,38000,1.75
2013-09-04,1.77,1.95,1.77,1.85,27100,1.85
2013-09-03,1.85,1.90,1.85,1.85,25100,1.85
2013-08-30,1.97,1.97,1.85,1.95,30100,1.95
2013-08-29,1.95,1.98,1.90,1.98,38100,1.98
2013-08-28,1.99,2.01,1.95,2.00,27600,2.00
2013-08-27,1.85,2.04,1.85,2.02,24100,2.02
2013-08-26,1.99,2.07,1.99,2.06,42900,2.06
2013-08-23,2.05,2.05,2.05,2.05,000,2.05
2013-08-22,2.05,2.05,2.05,2.05,000,2.05
2013-08-21,1.92,2.09,1.77,2.05,38800,2.05
2013-08-20,1.69,1.95,1.68,1.93,36000,1.93
2013-08-19,1.52,1.75,1.52,1.68,49000,1.68
2013-08-16,1.67,1.75,1.50,1.75,104200,1.75
2013-08-15,1.81,1.88,1.68,1.78,45800,1.78
2013-08-14,1.88,1.93,1.79,1.93,56300,1.93
2013-08-13,1.97,1.97,1.85,1.97,45300,1.97
2013-08-12,2.00,2.00,1.95,2.00,340400,2.00
2013-08-09,2.00,2.05,1.98,2.00,37600,2.00
2013-08-08,2.00,2.00,1.90,1.90,17300,1.90
2013-08-07,1.90,1.95,1.83,1.95,11100,1.95
2013-08-06,1.90,1.99,1.90,1.99,13500,1.99
2013-08-05,1.92,1.92,1.72,1.75,13900,1.75
2013-08-02,1.77,1.96,1.77,1.90,37000,1.90
2013-08-01,1.80,1.94,1.63,1.83,34600,1.83
2013-07-31,2.00,2.00,1.73,1.79,26000,1.79
2013-07-30,2.00,2.05,2.00,2.05,7200,2.05
2013-07-29,2.00,2.07,2.00,2.06,4900,2.06
2013-07-26,2.13,2.21,2.13,2.21,1100,2.21
2013-07-25,2.37,2.37,2.01,2.01,6500,2.01
2013-07-24,2.30,2.30,1.83,2.05,1300,2.05
2013-07-23,2.30,2.30,2.30,2.30,000,2.30
2013-07-22,2.30,2.30,2.30,2.30,000,2.30
2013-07-19,2.30,2.30,2.30,2.30,1500,2.30
2013-07-18,2.25,2.30,2.24,2.30,12700,2.30
2013-07-17,2.25,2.25,2.16,2.20,14600,2.20
2013-07-16,2.18,2.20,2.10,2.12,25400,2.12
2013-07-15,2.07,2.18,2.06,2.17,2700,2.17
2013-07-12,2.11,2.16,2.11,2.13,21000,2.13
2013-07-11,2.03,2.15,2.02,2.10,30800,2.10
2013-07-10,1.85,1.95,1.85,1.88,5700,1.88
2013-07-09,1.75,1.76,1.71,1.75,36100,1.75
2013-07-08,1.75,1.75,1.70,1.70,7900,1.70
2013-07-05,1.72,1.73,1.53,1.67,17000,1.67
2013-07-03,1.74,1.74,1.74,1.74,100,1.74
2013-07-02,1.96,1.96,1.77,1.82,2700,1.82
2013-07-01,1.96,1.96,1.96,1.96,500,1.96
2013-06-28,2.05,2.05,1.95,2.01,11500,2.01
2013-06-27,1.65,2.14,1.65,1.96,58900,1.96
2013-06-26,1.65,1.65,1.51,1.60,52000,1.60
2013-06-25,1.57,1.60,1.57,1.60,2000,1.60
2013-06-24,1.60,1.60,1.44,1.55,36900,1.55
2013-06-21,1.75,1.75,1.63,1.63,50800,1.63
2013-06-20,2.05,2.05,1.70,1.75,102200,1.75
2013-06-19,2.20,2.20,2.05,2.07,13800,2.07
2013-06-18,2.28,2.28,2.19,2.22,11300,2.22
2013-06-17,2.40,2.44,2.29,2.29,2800,2.29
2013-06-14,2.14,2.40,2.12,2.14,17900,2.14
2013-06-13,1.99,2.20,1.97,2.20,35700,2.20
2013-06-12,2.01,2.11,1.99,2.07,40800,2.07
2013-06-11,2.25,2.35,2.14,2.16,2900,2.16
2013-06-10,2.40,2.48,2.39,2.39,1700,2.39
2013-06-07,2.43,2.48,2.35,2.35,32400,2.35
2013-06-06,2.05,2.32,2.05,2.25,43400,2.25
2013-06-05,2.19,2.19,2.01,2.11,193100,2.11
2013-06-04,2.29,2.29,2.13,2.15,25700,2.15
2013-06-03,2.06,2.36,2.01,2.20,71700,2.20
2013-05-31,2.16,2.22,2.05,2.05,129800,2.05
2013-05-30,2.22,2.27,2.13,2.21,130300,2.21
2013-05-29,2.73,2.75,1.91,2.14,220700,2.14
2013-05-28,2.80,3.15,2.67,2.76,147300,2.76
