Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,9.68,9.68,9.68,9.68,2200,9.68
2014-02-21,9.68,9.68,9.68,9.68,000,9.68
2014-02-20,9.74,9.74,9.59,9.68,1300,9.68
2014-02-19,9.69,9.69,9.69,9.69,000,9.69
2014-02-18,9.69,9.69,9.69,9.69,000,9.69
2014-02-14,9.69,9.69,9.69,9.69,000,9.69
2014-02-13,9.69,9.69,9.69,9.69,000,9.69
2014-02-12,9.60,9.78,9.60,9.69,38600,9.69
2014-02-11,9.70,9.70,9.70,9.70,000,9.70
2014-02-10,9.68,9.82,9.65,9.70,12500,9.70
2014-02-07,9.60,9.90,9.51,9.71,22500,9.71
2014-02-06,9.60,9.92,9.59,9.62,10200,9.62
2014-02-05,9.59,9.95,9.56,9.89,11600,9.89
