Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,10.14,10.14,10.14,10.14,000,10.14
2014-02-21,10.13,10.14,10.13,10.14,500,10.14
2014-02-20,10.11,10.11,10.11,10.11,000,10.11
2014-02-19,10.11,10.11,10.11,10.11,25000,10.11
2014-02-18,10.11,10.11,10.11,10.11,000,10.11
2014-02-14,10.11,10.11,10.11,10.11,000,10.11
2014-02-13,10.11,10.11,10.11,10.11,000,10.11
2014-02-12,10.11,10.11,10.11,10.11,000,10.11
2014-02-11,10.11,10.11,10.11,10.11,000,10.11
2014-02-10,10.11,10.11,10.11,10.11,54600,10.11
2014-02-07,10.11,10.11,10.11,10.11,000,10.11
2014-02-06,10.11,10.11,10.11,10.11,000,10.11
2014-02-05,10.09,10.18,10.05,10.11,14600,10.11
2014-02-04,10.05,10.05,10.05,10.05,000,10.05
2014-02-03,10.05,10.05,10.05,10.05,000,10.05
2014-01-31,10.10,10.13,10.05,10.05,600,10.05
2014-01-30,10.20,10.20,10.20,10.20,000,10.20
2014-01-29,10.20,10.20,10.20,10.20,000,10.20
2014-01-28,10.14,10.20,10.14,10.20,600,10.20
2014-01-27,10.25,10.40,10.15,10.17,1200,10.17
2014-01-24,10.11,10.11,10.11,10.11,000,10.11
2014-01-23,10.11,10.11,10.11,10.11,000,10.11
2014-01-22,10.11,10.11,10.11,10.11,000,10.11
2014-01-21,10.11,10.11,10.11,10.11,000,10.11
2014-01-17,10.11,10.11,10.11,10.11,000,10.11
2014-01-16,10.11,10.11,10.11,10.11,000,10.11
2014-01-15,10.11,10.11,10.11,10.11,000,10.11
2014-01-14,10.11,10.11,10.11,10.11,000,10.11
2014-01-13,10.11,10.11,10.11,10.11,000,10.11
2014-01-10,10.11,10.11,10.11,10.11,000,10.11
2014-01-09,10.11,10.11,10.11,10.11,000,10.11
2014-01-08,10.11,10.11,10.11,10.11,000,10.11
2014-01-07,10.11,10.11,10.11,10.11,000,10.11
2014-01-06,10.11,10.11,10.11,10.11,000,10.11
2014-01-03,10.11,10.11,10.11,10.11,000,10.11
2014-01-02,10.11,10.11,10.11,10.11,100,10.11
2013-12-31,10.02,10.02,10.02,10.02,000,10.02
2013-12-30,10.02,10.02,10.02,10.02,9100,10.02
2013-12-27,10.20,10.20,10.20,10.20,000,10.20
2013-12-26,10.20,10.20,10.20,10.20,100,10.20
2013-12-24,10.20,10.20,10.20,10.20,000,10.20
2013-12-23,10.20,10.20,10.20,10.20,100,10.20
2013-12-20,10.20,10.20,10.20,10.20,000,10.20
2013-12-19,10.20,10.20,10.20,10.20,000,10.20
2013-12-18,10.20,10.20,10.20,10.20,000,10.20
2013-12-17,10.20,10.20,10.20,10.20,000,10.20
2013-12-16,10.20,10.20,10.20,10.20,000,10.20
2013-12-13,10.20,10.20,10.20,10.20,000,10.20
2013-12-12,10.20,10.20,10.20,10.20,000,10.20
2013-12-11,10.20,10.20,10.20,10.20,000,10.20
2013-12-10,10.10,10.20,10.10,10.20,400,10.20
2013-12-09,10.05,10.55,10.00,10.45,21800,10.45
2013-12-06,10.10,10.10,10.10,10.10,000,10.10
2013-12-05,10.10,10.10,10.10,10.10,000,10.10
2013-12-04,10.10,10.10,10.10,10.10,000,10.10
2013-12-03,10.10,10.10,10.10,10.10,000,10.10
2013-12-02,10.10,10.10,10.10,10.10,000,10.10
2013-11-29,10.10,10.10,10.10,10.10,000,10.10
2013-11-27,10.10,10.10,10.10,10.10,000,10.10
2013-11-26,10.10,10.10,10.10,10.10,000,10.10
2013-11-25,10.10,10.10,10.10,10.10,1600,10.10
2013-11-22,10.06,10.06,10.06,10.06,100,10.06
2013-11-21,10.05,10.05,10.05,10.05,000,10.05
2013-11-20,10.05,10.05,10.05,10.05,000,10.05
2013-11-19,10.05,10.05,10.05,10.05,000,10.05
2013-11-18,10.05,10.05,10.05,10.05,000,10.05
2013-11-15,10.05,10.05,10.05,10.05,000,10.05
2013-11-14,10.05,10.05,10.05,10.05,000,10.05
2013-11-13,10.05,10.05,10.05,10.05,000,10.05
2013-11-12,10.05,10.05,10.05,10.05,000,10.05
2013-11-11,10.05,10.05,10.05,10.05,000,10.05
2013-11-08,10.05,10.05,10.05,10.05,000,10.05
2013-11-07,10.05,10.05,10.05,10.05,000,10.05
2013-11-06,10.05,10.05,10.05,10.05,000,10.05
2013-11-05,10.05,10.05,10.05,10.05,000,10.05
2013-11-04,10.05,10.05,10.05,10.05,600,10.05
2013-11-01,10.10,10.10,10.10,10.10,000,10.10
2013-10-31,10.10,10.10,10.10,10.10,000,10.10
2013-10-30,10.10,10.10,10.10,10.10,000,10.10
2013-10-29,10.10,10.10,10.10,10.10,000,10.10
2013-10-28,10.10,10.10,10.10,10.10,000,10.10
2013-10-25,10.05,10.10,10.05,10.10,400,10.10
2013-10-24,10.05,10.05,10.05,10.05,000,10.05
2013-10-23,10.05,10.09,10.05,10.05,700,10.05
2013-10-22,10.10,10.10,10.10,10.10,000,10.10
2013-10-21,10.07,10.10,10.07,10.10,2000,10.10
2013-10-18,10.10,10.10,10.10,10.10,500,10.10
2013-10-17,10.07,10.07,10.07,10.07,000,10.07
2013-10-16,10.07,10.07,10.07,10.07,100,10.07
2013-10-15,10.05,10.05,10.05,10.05,100,10.05
2013-10-14,10.06,10.06,10.06,10.06,100,10.06
2013-10-11,10.10,10.10,10.10,10.10,000,10.10
2013-10-10,10.10,10.10,10.10,10.10,000,10.10
2013-10-09,10.10,10.10,10.10,10.10,000,10.10
2013-10-08,10.10,10.10,10.10,10.10,000,10.10
2013-10-07,10.10,10.10,10.10,10.10,100,10.10
2013-10-04,10.10,10.10,10.10,10.10,000,10.10
2013-10-03,10.05,10.10,10.05,10.10,22000,10.10
2013-10-02,10.09,10.09,10.09,10.09,000,10.09
2013-10-01,10.09,10.09,10.09,10.09,000,10.09
2013-09-30,10.09,10.09,10.09,10.09,000,10.09
2013-09-27,10.09,10.09,10.09,10.09,100,10.09
2013-09-26,10.09,10.09,10.05,10.07,500,10.07
2013-09-25,10.06,10.07,10.05,10.05,1600,10.05
2013-09-24,10.10,10.10,10.10,10.10,000,10.10
2013-09-23,10.00,10.10,10.00,10.10,7800,10.10
2013-09-20,10.00,10.00,9.90,9.90,8500,9.90
2013-09-19,10.03,10.03,9.98,9.98,18000,9.98
2013-09-18,10.05,10.06,10.01,10.02,211500,10.02
2013-09-17,10.00,10.02,10.00,10.00,532600,10.00
