Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,4.01,4.12,3.89,4.03,387900,4.03
2014-02-21,3.89,4.10,3.87,4.01,368300,4.01
2014-02-20,3.91,3.98,3.85,3.91,140000,3.91
2014-02-19,3.95,4.01,3.89,3.94,173200,3.94
2014-02-18,4.11,4.20,3.92,3.99,497800,3.99
2014-02-14,3.90,3.99,3.78,3.84,240100,3.84
2014-02-13,3.66,4.14,3.60,3.92,1348800,3.92
2014-02-12,3.73,3.80,3.65,3.69,187000,3.69
2014-02-11,3.60,3.80,3.56,3.72,341300,3.72
2014-02-10,3.52,3.63,3.45,3.59,211200,3.59
2014-02-07,3.42,3.57,3.39,3.49,193600,3.49
2014-02-06,3.36,3.44,3.36,3.43,160500,3.43
2014-02-05,3.52,3.54,3.30,3.45,615500,3.45
2014-02-04,3.53,3.61,3.51,3.52,92900,3.52
2014-02-03,3.63,3.64,3.46,3.54,239600,3.54
2014-01-31,3.59,3.65,3.52,3.61,188400,3.61
2014-01-30,3.52,3.71,3.48,3.61,202900,3.61
2014-01-29,3.53,3.57,3.42,3.54,121800,3.54
2014-01-28,3.54,3.65,3.49,3.53,105300,3.53
2014-01-27,3.61,3.71,3.47,3.55,264900,3.55
2014-01-24,3.69,3.71,3.45,3.61,356900,3.61
2014-01-23,3.77,3.81,3.66,3.68,229800,3.68
2014-01-22,3.84,3.94,3.70,3.75,410700,3.75
2014-01-21,3.85,3.94,3.67,3.83,1018500,3.83
2014-01-17,3.47,3.74,3.46,3.54,264600,3.54
2014-01-16,3.77,3.78,3.50,3.57,625600,3.57
2014-01-15,3.60,3.68,3.45,3.47,462900,3.47
2014-01-14,3.71,3.72,3.43,3.63,856700,3.63
2014-01-13,4.05,4.37,3.69,3.77,7251100,3.77
2014-01-10,3.00,3.25,3.00,3.19,708300,3.19
2014-01-09,3.04,3.05,2.92,2.99,107800,2.99
2014-01-08,2.94,3.05,2.91,3.00,86300,3.00
2014-01-07,3.02,3.07,2.93,2.97,98400,2.97
2014-01-06,3.03,3.13,2.90,3.02,106300,3.02
2014-01-03,3.10,3.18,2.98,3.07,150200,3.07
2014-01-02,2.92,3.14,2.87,3.13,274300,3.13
2013-12-31,2.83,2.94,2.76,2.92,178800,2.92
2013-12-30,2.95,2.97,2.82,2.86,201900,2.86
2013-12-27,2.91,2.97,2.87,2.92,146200,2.92
2013-12-26,2.92,2.99,2.89,2.90,109600,2.90
2013-12-24,2.90,2.97,2.86,2.93,49000,2.93
2013-12-23,2.94,2.95,2.86,2.92,136300,2.92
2013-12-20,2.97,2.97,2.84,2.92,98900,2.92
2013-12-19,2.86,2.99,2.86,2.93,102900,2.93
2013-12-18,2.81,2.90,2.79,2.84,122300,2.84
2013-12-17,2.97,2.97,2.83,2.84,181100,2.84
2013-12-16,2.96,3.10,2.92,2.97,114400,2.97
2013-12-13,3.10,3.13,2.88,3.01,287600,3.01
2013-12-12,3.20,3.28,3.07,3.07,264200,3.07
2013-12-11,2.99,3.18,2.95,3.17,393600,3.17
2013-12-10,2.98,3.09,2.95,3.01,290100,3.01
2013-12-09,3.42,3.59,3.06,3.09,3198400,3.09
2013-12-06,3.08,3.20,2.97,3.02,286700,3.02
2013-12-05,2.94,3.10,2.94,3.06,293000,3.06
2013-12-04,2.85,3.04,2.83,2.91,239500,2.91
2013-12-03,2.75,2.83,2.71,2.83,86200,2.83
2013-12-02,2.66,2.75,2.64,2.70,106900,2.70
2013-11-29,2.70,2.73,2.61,2.68,28500,2.68
2013-11-27,2.65,2.74,2.58,2.69,49800,2.69
2013-11-26,2.77,2.79,2.65,2.69,92200,2.69
2013-11-25,2.66,2.94,2.66,2.78,363400,2.78
2013-11-22,2.50,2.74,2.50,2.69,297500,2.69
2013-11-21,2.44,2.68,2.44,2.45,308400,2.45
2013-11-20,2.47,2.50,2.35,2.44,111100,2.44
2013-11-19,2.44,2.50,2.42,2.42,47800,2.42
2013-11-18,2.51,2.56,2.42,2.46,94700,2.46
2013-11-15,2.50,2.56,2.49,2.52,74600,2.52
2013-11-14,2.49,2.56,2.45,2.49,93200,2.49
2013-11-13,2.53,2.57,2.45,2.49,62300,2.49
2013-11-12,2.45,2.56,2.43,2.55,132600,2.55
2013-11-11,2.50,2.51,2.41,2.46,57100,2.46
2013-11-08,2.48,2.59,2.45,2.48,55000,2.48
2013-11-07,2.45,2.60,2.42,2.48,206400,2.48
2013-11-06,2.53,2.57,2.38,2.40,216500,2.40
2013-11-05,2.60,2.60,2.40,2.50,158300,2.50
2013-11-04,2.72,2.75,2.55,2.59,123400,2.59
2013-11-01,2.66,2.74,2.60,2.71,92300,2.71
2013-10-31,2.70,2.78,2.48,2.68,224100,2.68
2013-10-30,3.01,3.01,2.50,2.70,725300,2.70
2013-10-29,3.10,3.15,3.03,3.10,31700,3.10
2013-10-28,3.09,3.18,3.08,3.13,58900,3.13
2013-10-25,3.16,3.19,3.10,3.11,52000,3.11
2013-10-24,3.09,3.20,3.08,3.15,117100,3.15
2013-10-23,3.19,3.20,3.08,3.08,161200,3.08
2013-10-22,3.15,3.43,3.10,3.20,875700,3.20
2013-10-21,3.17,3.24,3.10,3.15,58700,3.15
2013-10-18,3.25,3.25,3.14,3.16,69100,3.16
2013-10-17,3.22,3.25,3.17,3.18,61200,3.18
2013-10-16,3.20,3.27,3.07,3.18,154100,3.18
2013-10-15,3.20,3.25,3.16,3.16,61500,3.16
2013-10-14,3.20,3.27,3.18,3.23,78900,3.23
2013-10-11,3.19,3.25,3.18,3.21,43400,3.21
2013-10-10,3.18,3.23,3.10,3.21,141200,3.21
2013-10-09,3.34,3.34,3.17,3.19,131900,3.19
2013-10-08,3.41,3.48,3.25,3.25,199900,3.25
2013-10-07,3.28,3.54,3.28,3.37,390400,3.37
2013-10-04,3.22,3.33,3.22,3.28,97700,3.28
2013-10-03,3.27,3.34,3.21,3.24,83000,3.24
2013-10-02,3.14,3.31,3.11,3.22,113800,3.22
2013-10-01,3.17,3.22,3.12,3.16,38800,3.16
2013-09-30,3.20,3.20,3.13,3.18,28400,3.18
2013-09-27,3.21,3.25,3.13,3.20,62400,3.20
2013-09-26,3.25,3.25,3.15,3.22,59400,3.22
2013-09-25,3.18,3.34,3.17,3.20,63000,3.20
2013-09-24,3.15,3.19,3.12,3.16,79100,3.16
