Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,48.33,48.33,48.33,48.33,000,48.33
2014-02-21,48.33,48.33,48.33,48.33,000,48.33
2014-02-20,48.33,48.33,48.33,48.33,000,48.33
2014-02-19,48.33,48.33,48.33,48.33,000,48.33
2014-02-18,48.33,48.33,48.33,48.33,000,48.33
2014-02-14,48.33,48.33,48.33,48.33,000,48.33
2014-02-13,48.33,48.33,48.33,48.33,000,48.33
2014-02-12,48.33,48.33,48.33,48.33,000,48.33
2014-02-11,48.33,48.33,48.33,48.33,000,48.33
2014-02-10,48.33,48.33,48.33,48.33,000,48.33
2014-02-07,48.33,48.33,48.33,48.33,000,48.33
2014-02-06,48.33,48.33,48.33,48.33,000,48.33
2014-02-05,48.33,48.33,48.33,48.33,000,48.33
2014-02-04,48.33,48.33,48.33,48.33,000,48.33
2014-02-03,48.33,48.33,48.33,48.33,000,48.33
2014-01-31,48.33,48.33,48.33,48.33,000,48.33
2014-01-30,48.33,48.33,48.33,48.33,000,48.33
2014-01-29,48.33,48.33,48.33,48.33,000,48.33
2014-01-28,48.33,48.33,48.33,48.33,000,48.33
2014-01-27,48.33,48.33,48.33,48.33,000,48.33
2014-01-24,48.33,48.33,48.33,48.33,000,48.33
2014-01-23,48.33,48.33,48.33,48.33,000,48.33
2014-01-22,48.33,48.33,48.33,48.33,000,48.33
2014-01-21,48.33,48.33,48.33,48.33,000,48.33
2014-01-17,48.33,48.33,48.33,48.33,000,48.33
2014-01-16,48.33,48.33,48.33,48.33,000,48.33
2014-01-15,48.33,48.33,48.33,48.33,000,48.33
2014-01-14,48.33,48.33,48.33,48.33,000,48.33
2014-01-13,48.33,48.33,48.33,48.33,000,48.33
2014-01-10,48.33,48.33,48.33,48.33,000,48.33
2014-01-09,48.33,48.33,48.33,48.33,000,48.33
2014-01-08,48.33,48.33,48.33,48.33,000,48.33
2014-01-07,48.33,48.33,48.33,48.33,000,48.33
2014-01-06,48.33,48.33,48.33,48.33,000,48.33
2014-01-03,48.33,48.33,48.33,48.33,000,48.33
2014-01-02,48.33,48.33,48.33,48.33,000,48.33
2013-12-31,48.33,48.33,48.33,48.33,000,48.33
2013-12-30,48.33,48.33,48.33,48.33,000,48.33
2013-12-27,48.33,48.33,48.33,48.33,000,48.33
2013-12-26,48.33,48.33,48.33,48.33,200,48.33
2013-12-24,51.02,51.02,51.02,51.02,000,50.93
2013-12-23,51.02,51.02,51.02,51.02,000,50.93
2013-12-20,51.02,51.02,51.02,51.02,000,50.93
2013-12-19,51.02,51.02,51.02,51.02,000,50.93
2013-12-18,51.02,51.02,51.02,51.02,000,50.93
2013-12-17,51.22,51.22,50.65,51.02,21800,50.93
2013-12-16,50.95,50.97,50.90,50.90,6200,50.81
2013-12-13,50.32,50.32,50.32,50.32,000,50.23
2013-12-12,50.32,50.32,50.32,50.32,000,50.23
2013-12-11,50.40,50.40,50.32,50.32,4100,50.23
2013-12-10,51.05,51.05,51.05,51.05,000,50.96
2013-12-09,51.05,51.05,51.05,51.05,2800,50.96
2013-12-06,52.39,52.39,52.39,52.39,000,52.29
2013-12-05,52.39,52.39,52.39,52.39,000,52.29
2013-12-04,52.39,52.39,52.39,52.39,000,52.29
2013-12-03,52.39,52.39,52.39,52.39,000,52.29
2013-12-02,52.39,52.39,52.39,52.39,000,52.29
2013-11-29,52.39,52.39,52.39,52.39,000,52.29
2013-11-27,52.39,52.39,52.39,52.39,000,52.29
2013-11-26,52.39,52.39,52.39,52.39,000,52.29
