Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,72.93,73.64,72.02,72.23,353100,72.23
2014-02-21,75.08,75.15,72.59,72.72,299900,72.72
2014-02-20,73.83,74.93,73.31,74.68,231500,74.68
2014-02-19,74.12,74.39,72.98,73.58,255400,73.58
2014-02-18,74.25,75.35,73.82,74.61,225900,74.61
2014-02-14,72.72,74.51,72.51,74.02,214100,74.02
2014-02-13,71.56,73.00,71.21,72.66,252600,72.66
2014-02-12,71.90,72.35,71.52,71.97,238700,71.97
2014-02-11,72.48,72.62,71.52,72.00,190300,72.00
2014-02-10,71.96,72.85,71.36,72.69,251500,72.69
2014-02-07,70.61,72.09,70.61,71.85,287900,71.85
2014-02-06,70.96,72.10,70.36,70.60,204500,70.60
2014-02-05,71.53,71.66,70.45,70.55,232400,70.55
2014-02-04,72.03,72.96,71.62,71.94,169600,71.94
2014-02-03,74.25,75.09,71.33,71.97,263200,71.97
2014-01-31,72.16,75.53,71.57,74.35,454000,74.35
2014-01-30,72.80,73.65,71.94,73.07,186800,72.87
2014-01-29,72.84,73.87,71.58,72.30,201700,72.10
2014-01-28,73.20,73.86,72.45,73.36,247100,73.16
2014-01-27,75.05,75.35,73.15,73.24,196600,73.04
2014-01-24,75.65,76.28,74.27,74.63,253700,74.43
2014-01-23,75.86,76.86,75.29,76.36,202900,76.15
2014-01-22,76.77,77.09,76.38,76.38,137800,76.17
2014-01-21,73.43,76.56,73.27,76.48,293600,76.27
2014-01-17,72.83,72.83,72.02,72.71,173200,72.51
2014-01-16,73.53,73.96,72.81,73.16,179200,72.96
2014-01-15,73.38,73.53,72.12,72.75,166400,72.55
2014-01-14,73.21,73.83,72.81,73.34,100100,73.14
2014-01-13,74.04,74.95,72.44,72.69,201700,72.49
2014-01-10,73.91,74.32,73.29,74.03,163700,73.83
2014-01-09,72.12,73.77,71.17,73.63,274400,73.43
2014-01-08,73.29,73.86,71.27,72.04,189700,71.84
2014-01-07,72.75,73.97,72.75,73.29,228600,73.09
2014-01-06,73.80,73.91,72.22,72.31,239600,72.11
2014-01-03,72.02,73.86,71.93,73.33,315700,73.13
2014-01-02,72.33,72.33,71.71,72.00,273900,71.80
2013-12-31,72.34,73.00,72.02,72.33,236400,72.13
2013-12-30,72.52,72.94,71.81,72.44,197300,72.24
2013-12-27,72.40,72.62,71.38,72.33,119400,72.13
2013-12-26,71.64,72.19,70.88,72.04,139700,71.84
2013-12-24,70.80,71.80,70.57,71.43,143800,71.23
2013-12-23,70.01,70.63,69.26,70.52,257900,70.33
2013-12-20,69.99,70.53,69.11,69.43,442700,69.24
2013-12-19,70.91,71.57,70.00,70.05,288900,69.86
2013-12-18,68.23,71.67,68.00,71.26,457100,71.06
2013-12-17,69.00,70.99,65.80,68.42,520700,68.23
2013-12-16,70.24,71.34,69.36,70.75,367600,70.56
2013-12-13,68.55,69.85,67.91,69.00,196800,68.81
2013-12-12,67.37,68.53,67.22,68.22,173400,68.03
2013-12-11,67.91,68.25,67.33,67.71,127400,67.52
2013-12-10,69.24,69.82,67.35,67.87,190700,67.68
2013-12-09,67.89,69.93,67.89,69.49,211300,69.30
2013-12-06,66.90,68.05,66.61,67.63,163800,67.44
2013-12-05,67.12,67.17,65.81,66.35,236900,66.17
2013-12-04,67.24,68.48,66.61,67.13,187900,66.95
2013-12-03,67.02,68.52,67.02,67.66,381600,67.47
