Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,43.00,43.92,42.50,42.85,756300,42.85
2014-02-21,43.12,43.50,42.23,43.00,660700,43.00
2014-02-20,42.00,43.00,41.50,42.74,1009400,42.74
2014-02-19,41.75,42.20,41.36,41.57,322200,41.57
2014-02-18,42.64,42.74,41.58,42.01,556400,42.01
2014-02-14,42.00,42.98,41.62,41.96,565400,41.96
2014-02-13,41.98,42.82,41.59,41.72,845600,41.72
2014-02-12,41.99,43.60,40.90,42.31,1741400,42.31
2014-02-11,40.07,42.00,38.37,40.86,2907200,40.86
2014-02-10,40.00,41.80,39.37,41.33,2700700,41.33
2014-02-07,37.29,38.95,36.90,38.55,2586100,38.55
2014-02-06,37.00,39.38,36.45,37.27,2598300,37.27
2014-02-05,34.40,34.67,33.62,34.08,691400,34.08
2014-02-04,33.31,34.31,33.31,34.12,829700,34.12
2014-02-03,35.49,35.50,33.01,33.17,677800,33.17
2014-01-31,34.95,35.92,34.30,35.41,801400,35.41
2014-01-30,34.62,35.92,34.62,35.54,639800,35.54
2014-01-29,34.49,34.49,33.75,34.11,793700,34.11
2014-01-28,34.33,34.97,33.51,34.78,703500,34.78
2014-01-27,35.20,35.20,32.60,34.01,914200,34.01
2014-01-24,33.22,33.74,32.15,32.90,643500,32.90
2014-01-23,33.29,34.00,33.05,33.52,511300,33.52
2014-01-22,33.03,33.66,32.83,33.58,669200,33.58
2014-01-21,32.76,33.23,32.62,32.94,619100,32.94
2014-01-17,32.27,32.67,31.60,32.58,418300,32.58
2014-01-16,32.03,32.86,32.00,32.60,492500,32.60
2014-01-15,31.26,32.81,31.09,31.99,800000,31.99
2014-01-14,31.06,31.94,30.83,31.04,496000,31.04
2014-01-13,32.75,32.81,30.22,30.84,824600,30.84
2014-01-10,32.55,33.11,32.14,32.75,672700,32.75
2014-01-09,32.19,32.75,31.03,32.69,617500,32.69
2014-01-08,32.11,32.79,31.93,32.23,668100,32.23
2014-01-07,31.31,32.35,30.80,32.25,644000,32.25
2014-01-06,29.82,31.07,29.45,31.01,1001200,31.01
2014-01-03,28.60,28.93,28.10,28.80,301600,28.80
2014-01-02,29.08,29.23,28.01,28.41,309900,28.41
2013-12-31,28.22,29.15,28.11,28.79,259700,28.79
2013-12-30,28.25,28.50,27.60,28.23,456600,28.23
2013-12-27,30.58,30.60,28.22,28.51,471100,28.51
2013-12-26,29.62,30.64,29.60,30.50,878000,30.50
2013-12-24,29.00,30.13,29.00,29.60,409100,29.60
2013-12-23,28.84,29.62,28.80,29.06,460300,29.06
2013-12-20,28.81,28.99,28.26,28.73,1021600,28.73
2013-12-19,27.97,28.66,27.55,28.63,405800,28.63
2013-12-18,27.03,28.24,26.59,28.09,771700,28.09
2013-12-17,26.32,27.24,25.98,26.91,473700,26.91
2013-12-16,26.00,26.79,25.68,26.35,472800,26.35
2013-12-13,26.30,26.45,25.51,25.91,904900,25.91
2013-12-12,26.52,27.23,25.82,26.32,3733600,26.32
