Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,17.11,17.75,16.97,17.51,11300,17.51
2014-02-21,16.70,17.50,16.70,17.14,24000,17.14
2014-02-20,16.67,16.85,16.23,16.59,9300,16.59
2014-02-19,16.95,16.95,16.56,16.69,15600,16.69
2014-02-18,16.19,16.98,16.16,16.97,10400,16.97
2014-02-14,16.36,16.54,16.16,16.27,22900,16.27
2014-02-13,16.66,16.94,16.15,16.27,24500,16.27
2014-02-12,16.95,17.10,16.43,16.43,20800,16.43
2014-02-11,16.09,17.49,16.09,17.02,29900,17.02
2014-02-10,16.34,16.67,16.15,16.40,33700,16.40
2014-02-07,16.05,16.49,16.00,16.26,12300,16.26
2014-02-06,15.99,16.58,15.53,16.14,11600,16.14
2014-02-05,15.77,16.09,15.55,15.82,5400,15.82
2014-02-04,15.82,15.98,15.65,15.82,10300,15.82
2014-02-03,15.68,16.05,15.65,15.82,15400,15.82
2014-01-31,15.50,16.19,15.50,15.80,15100,15.80
2014-01-30,15.60,15.84,15.31,15.50,12100,15.50
2014-01-29,15.90,16.07,15.39,15.39,18200,15.39
2014-01-28,15.70,16.31,15.70,16.01,12700,16.01
2014-01-27,16.14,16.60,15.58,15.61,13300,15.61
2014-01-24,16.01,16.47,15.99,16.02,15000,16.02
2014-01-23,16.18,16.47,16.01,16.01,11700,16.01
2014-01-22,16.66,16.70,16.02,16.57,26100,16.57
2014-01-21,16.46,16.78,16.20,16.56,19000,16.56
2014-01-17,16.12,16.72,15.91,16.44,9500,16.44
2014-01-16,15.81,16.20,15.81,16.19,5900,16.19
2014-01-15,15.00,15.93,14.96,15.92,16300,15.92
2014-01-14,15.94,15.94,14.51,15.10,76000,15.10
2014-01-13,16.31,17.00,15.51,15.92,16100,15.92
2014-01-10,16.68,17.10,16.14,16.30,6100,16.30
2014-01-09,16.97,17.05,16.52,16.66,8400,16.66
2014-01-08,16.66,17.16,16.50,16.86,10500,16.86
2014-01-07,17.45,17.45,16.40,16.61,12300,16.61
2014-01-06,16.70,17.30,16.36,16.54,9900,16.54
2014-01-03,16.66,16.99,16.46,16.80,11700,16.80
2014-01-02,16.88,17.43,16.33,16.58,15400,16.58
2013-12-31,17.21,17.87,16.76,17.05,37900,17.05
2013-12-30,16.70,17.71,16.30,17.12,7000,17.12
2013-12-27,17.00,17.25,15.70,16.50,16500,16.50
2013-12-26,17.88,17.88,16.78,16.93,20000,16.93
2013-12-24,16.81,18.00,16.48,16.99,20200,16.99
2013-12-23,16.65,16.80,16.26,16.74,24200,16.74
2013-12-20,15.91,16.78,15.82,16.75,51200,16.75
2013-12-19,15.73,16.77,15.63,15.85,81800,15.85
2013-12-18,15.66,16.78,15.66,16.26,22000,16.26
2013-12-17,16.99,16.99,16.06,16.36,13200,16.36
2013-12-16,15.40,16.43,15.40,16.18,11600,16.18
2013-12-13,15.94,17.21,15.34,15.65,45000,15.65
2013-12-12,16.45,16.97,15.70,15.83,49400,15.83
2013-12-11,16.68,17.10,16.34,16.49,25000,16.49
2013-12-10,16.70,17.59,16.64,16.64,50100,16.64
2013-12-09,16.60,16.83,16.32,16.80,15500,16.80
2013-12-06,16.18,17.00,16.03,16.54,18300,16.54
2013-12-05,16.00,16.08,15.96,16.00,5400,16.00
2013-12-04,16.50,16.50,15.70,15.95,37300,15.95
2013-12-03,15.79,17.09,15.67,15.87,7200,15.87
2013-12-02,15.79,16.00,15.62,15.99,11200,15.87
2013-11-29,15.41,16.95,15.41,15.90,5700,15.78
2013-11-27,15.00,15.48,14.89,15.48,19400,15.36
2013-11-26,14.85,15.14,14.78,15.00,32400,14.89
2013-11-25,14.90,14.90,14.75,14.76,10000,14.65
2013-11-22,14.73,14.81,14.61,14.81,14100,14.70
2013-11-21,14.63,14.85,14.46,14.74,11300,14.63
2013-11-20,14.63,14.82,14.50,14.50,7100,14.39
2013-11-19,14.50,14.79,14.36,14.70,27200,14.59
2013-11-18,14.42,14.65,14.19,14.50,84400,14.39
2013-11-15,14.62,14.89,14.52,14.70,6400,14.59
2013-11-14,14.11,14.80,14.11,14.67,42200,14.56
2013-11-13,14.19,14.95,14.00,14.92,9300,14.81
2013-11-12,14.20,14.30,14.20,14.30,1700,14.19
2013-11-11,14.82,14.82,14.21,14.29,22200,14.18
2013-11-08,14.71,15.15,14.20,14.80,8300,14.69
2013-11-07,14.55,14.80,14.41,14.64,11600,14.53
2013-11-06,14.69,14.88,14.20,14.77,14000,14.66
2013-11-05,14.60,15.01,14.53,14.78,16200,14.67
2013-11-04,14.47,15.00,14.47,14.75,21200,14.64
2013-11-01,14.64,14.83,14.30,14.40,25400,14.29
2013-10-31,14.25,14.87,14.05,14.77,29600,14.66
2013-10-30,14.30,14.56,13.87,14.20,25100,14.09
2013-10-29,14.37,14.61,13.98,14.34,32600,14.23
2013-10-28,14.51,14.51,14.00,14.39,15300,14.28
2013-10-25,14.29,14.43,13.84,14.22,15800,14.11
2013-10-24,14.13,14.26,13.95,14.25,17100,14.14
2013-10-23,13.75,14.38,13.66,14.01,60600,13.90
2013-10-22,14.57,14.60,13.77,13.86,75500,13.76
2013-10-21,14.59,14.73,14.41,14.50,8900,14.39
2013-10-18,14.54,14.75,14.27,14.53,61400,14.42
2013-10-17,14.63,14.75,14.53,14.63,19800,14.52
