Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,10.98,11.07,10.86,10.95,81000,10.95
2014-02-21,10.74,10.96,10.73,10.91,79100,10.91
2014-02-20,10.66,10.75,10.66,10.68,51800,10.68
2014-02-19,10.77,10.80,10.68,10.70,87200,10.70
2014-02-18,10.82,10.91,10.70,10.81,62300,10.81
2014-02-14,10.89,10.94,10.65,10.83,51100,10.83
2014-02-13,10.75,10.90,10.70,10.88,32900,10.88
2014-02-12,10.90,10.90,10.65,10.77,46300,10.77
2014-02-11,10.80,10.84,10.55,10.79,103100,10.79
2014-02-10,10.74,10.80,10.65,10.80,45300,10.80
2014-02-07,10.82,10.96,10.61,10.80,81500,10.80
2014-02-06,10.83,11.03,10.67,10.81,65300,10.81
2014-02-05,10.88,11.32,10.81,10.85,68700,10.85
2014-02-04,10.83,11.16,10.66,10.94,99700,10.94
2014-02-03,11.15,11.15,10.62,10.84,158700,10.84
2014-01-31,10.99,11.30,10.79,11.15,153300,11.15
2014-01-30,11.00,11.49,10.76,11.32,127500,11.32
2014-01-29,12.08,12.08,11.61,11.65,69400,11.65
2014-01-28,12.02,12.02,11.72,11.83,83300,11.83
2014-01-27,12.32,12.32,11.72,11.97,90400,11.97
2014-01-24,12.36,12.51,12.08,12.32,63700,12.32
2014-01-23,12.50,12.50,12.31,12.48,51300,12.48
2014-01-22,12.50,12.50,12.41,12.50,73200,12.50
2014-01-21,12.50,12.50,12.37,12.45,73100,12.45
2014-01-17,12.26,12.49,12.19,12.43,92800,12.43
2014-01-16,12.25,12.30,12.05,12.28,53200,12.28
2014-01-15,12.15,12.36,12.14,12.23,76200,12.23
2014-01-14,11.87,12.04,11.87,11.99,28900,11.99
2014-01-13,12.18,12.18,11.50,11.86,90700,11.86
2014-01-10,12.18,12.34,11.92,12.29,75100,12.29
2014-01-09,12.25,12.25,12.00,12.15,60300,12.15
2014-01-08,12.19,12.30,12.07,12.20,32600,12.20
2014-01-07,12.28,12.43,12.10,12.17,62900,12.17
2014-01-06,12.27,12.39,12.18,12.20,68700,12.20
2014-01-03,12.20,12.42,12.11,12.25,59200,12.25
2014-01-02,12.12,12.44,12.09,12.19,55700,12.19
2013-12-31,12.27,12.33,12.18,12.20,122600,12.20
2013-12-30,12.34,12.43,12.19,12.23,111300,12.23
2013-12-27,12.34,12.36,12.09,12.34,73500,12.34
2013-12-26,12.41,12.49,12.28,12.36,59600,12.36
2013-12-24,12.25,12.49,12.14,12.40,68300,12.40
2013-12-23,11.57,12.20,11.57,12.20,168100,12.20
2013-12-20,11.54,11.72,11.33,11.37,589000,11.37
2013-12-19,11.75,11.80,11.47,11.55,41100,11.55
2013-12-18,11.65,11.79,11.26,11.73,153500,11.73
2013-12-17,11.64,11.68,11.33,11.66,192600,11.66
2013-12-16,11.17,11.52,11.05,11.52,307300,11.52
2013-12-13,11.67,11.99,10.78,11.15,216300,11.15
2013-12-12,2.30,2.34,2.28,2.32,8800,11.60
2013-12-11,2.30,2.33,2.27,2.31,97300,11.55
2013-12-10,2.33,2.35,2.28,2.31,48900,11.55
2013-12-09,2.35,2.36,2.32,2.35,48400,11.75
2013-12-06,2.34,2.35,2.26,2.33,84100,11.65
2013-12-05,2.31,2.34,2.30,2.31,50500,11.55
2013-12-04,2.27,2.33,2.25,2.31,119900,11.55
2013-12-03,2.23,2.27,2.22,2.26,102400,11.30
2013-12-02,2.26,2.26,2.19,2.22,64000,11.10
2013-11-29,2.25,2.27,2.23,2.26,26700,11.30
2013-11-27,2.24,2.25,2.22,2.24,46200,11.20
2013-11-26,2.20,2.24,2.19,2.24,40900,11.20
2013-11-25,2.20,2.21,2.19,2.19,31300,10.95
2013-11-22,2.20,2.20,2.17,2.19,27500,10.95
2013-11-21,2.15,2.20,2.14,2.19,36000,10.95
2013-11-20,2.17,2.17,2.13,2.14,27400,10.70
2013-11-19,2.12,2.16,2.12,2.15,36300,10.75
2013-11-18,2.11,2.20,2.11,2.12,96800,10.60
2013-11-15,2.17,2.22,2.10,2.16,184800,10.80
2013-11-14,2.25,2.25,2.18,2.19,149000,10.95
2013-11-13,2.21,2.24,2.21,2.24,104300,11.20
2013-11-12,2.23,2.24,2.20,2.21,168600,11.05
2013-11-11,2.24,2.25,2.21,2.23,82700,11.15
2013-11-08,2.24,2.26,2.21,2.23,88100,11.15
2013-11-07,2.26,2.28,2.21,2.24,157200,11.20
2013-11-06,2.25,2.25,2.19,2.25,306000,11.25
2013-11-05,2.19,2.29,2.19,2.27,28800,11.35
2013-11-04,2.25,2.25,2.19,2.20,43800,11.00
2013-11-01,2.28,2.29,2.17,2.25,72900,11.25
2013-10-31,2.24,2.29,2.23,2.28,37500,11.40
2013-10-30,2.31,2.31,2.21,2.24,37800,11.20
2013-10-29,2.27,2.31,2.21,2.30,28400,11.50
2013-10-28,2.14,2.31,2.12,2.27,108200,11.35
2013-10-25,2.27,2.27,2.17,2.20,20900,11.00
2013-10-24,2.20,2.26,2.17,2.24,15100,11.20
2013-10-23,2.19,2.23,2.16,2.19,18100,10.95
2013-10-22,2.27,2.27,2.18,2.22,31300,11.10
2013-10-21,2.24,2.27,2.20,2.26,28200,11.30
2013-10-18,2.19,2.26,2.14,2.23,59500,11.15
2013-10-17,2.12,2.16,2.11,2.15,20300,10.75
2013-10-16,2.12,2.15,2.10,2.14,12100,10.70
2013-10-15,2.12,2.17,2.10,2.11,24000,10.55
2013-10-14,2.05,2.14,2.03,2.13,24200,10.65
2013-10-11,2.03,2.08,2.02,2.06,32300,10.30
2013-10-10,2.06,2.09,2.04,2.05,28300,10.25
2013-10-09,2.06,2.07,2.02,2.02,58000,10.10
2013-10-08,2.08,2.08,2.04,2.04,34100,10.20
2013-10-07,2.06,2.12,2.06,2.07,12900,10.35
2013-10-04,2.06,2.10,2.06,2.08,16600,10.40
2013-10-03,2.08,2.11,2.05,2.06,24400,10.30
2013-10-02,2.15,2.20,2.08,2.09,29800,10.45
2013-10-01,2.17,2.19,2.11,2.17,17400,10.85
2013-09-30,2.09,2.17,2.07,2.17,20200,10.85
2013-09-27,2.15,2.17,2.11,2.11,42000,10.55
2013-09-26,2.20,2.22,2.12,2.17,22500,10.85
2013-09-25,2.23,2.25,2.09,2.16,28500,10.80
2013-09-24,2.22,2.29,2.18,2.22,44400,11.10
2013-09-23,2.22,2.22,2.11,2.21,23200,11.05
2013-09-20,2.15,2.24,2.15,2.22,48000,11.10
2013-09-19,2.17,2.17,2.12,2.15,18200,10.75
2013-09-18,2.12,2.19,2.10,2.17,18300,10.85
2013-09-17,2.11,2.13,2.10,2.13,14100,10.65
2013-09-16,2.11,2.11,2.07,2.11,29200,10.55
2013-09-13,2.11,2.12,2.07,2.10,10400,10.50
2013-09-12,2.10,2.12,2.07,2.10,11400,10.50
2013-09-11,2.10,2.12,2.06,2.11,13100,10.55
2013-09-10,2.09,2.12,2.08,2.10,16500,10.50
2013-09-09,2.10,2.10,2.05,2.08,15000,10.40
2013-09-06,2.07,2.10,2.02,2.05,14800,10.25
2013-09-05,2.09,2.09,2.05,2.05,7000,10.25
2013-09-04,2.07,2.12,2.05,2.05,26200,10.25
2013-09-03,2.11,2.11,2.05,2.07,24400,10.35
2013-08-30,2.10,2.11,2.06,2.06,58800,10.30
2013-08-29,2.12,2.14,2.08,2.11,18300,10.55
2013-08-28,2.05,2.13,2.05,2.12,32300,10.60
2013-08-27,2.12,2.13,2.03,2.04,43000,10.20
2013-08-26,2.20,2.23,2.11,2.15,13700,10.75
2013-08-23,2.18,2.20,2.13,2.20,21300,11.00
2013-08-22,2.15,2.18,2.15,2.18,12400,10.90
2013-08-21,2.17,2.18,2.14,2.15,8300,10.75
2013-08-20,2.16,2.17,2.12,2.17,22800,10.85
2013-08-19,2.13,2.15,2.10,2.14,52800,10.70
2013-08-16,2.17,2.19,2.15,2.15,29300,10.75
2013-08-15,2.21,2.22,2.17,2.19,37600,10.95
2013-08-14,2.24,2.27,2.22,2.22,20100,11.10
2013-08-13,2.25,2.25,2.22,2.25,15400,11.25
2013-08-12,2.24,2.25,2.23,2.24,39500,11.20
2013-08-09,2.25,2.30,2.18,2.25,52800,11.25
2013-08-08,2.29,2.34,2.27,2.29,15500,11.45
2013-08-07,2.33,2.34,2.26,2.28,59200,11.40
2013-08-06,2.38,2.39,2.32,2.34,30300,11.70
2013-08-05,2.40,2.46,2.36,2.38,42000,11.90
2013-08-02,2.40,2.42,2.38,2.39,30700,11.95
2013-08-01,2.38,2.42,2.36,2.42,54200,12.10
2013-07-31,2.36,2.38,2.31,2.36,59600,11.80
2013-07-30,2.36,2.36,2.32,2.34,16300,11.70
2013-07-29,2.41,2.46,2.30,2.32,34600,11.60
2013-07-26,2.39,2.42,2.34,2.37,38500,11.85
2013-07-25,2.35,2.43,2.35,2.43,45600,12.15
2013-07-24,2.33,2.37,2.29,2.35,52400,11.75
2013-07-23,2.29,2.32,2.24,2.32,34000,11.60
2013-07-22,2.25,2.30,2.24,2.27,49000,11.35
2013-07-19,2.34,2.34,2.20,2.25,69300,11.25
2013-07-18,2.33,2.36,2.30,2.33,55900,11.65
2013-07-17,2.33,2.37,2.30,2.31,74700,11.55
2013-07-16,2.35,2.35,2.28,2.30,50500,11.50
2013-07-15,2.25,2.29,2.24,2.28,57100,11.40
2013-07-12,2.20,2.26,2.17,2.24,50500,11.20
2013-07-11,2.29,2.29,2.20,2.20,31400,11.00
2013-07-10,2.28,2.30,2.18,2.23,66900,11.15
2013-07-09,2.24,2.29,2.22,2.29,96400,11.45
2013-07-08,2.19,2.23,2.16,2.23,82000,11.15
2013-07-05,2.20,2.21,2.17,2.19,33400,10.95
2013-07-03,2.17,2.20,2.14,2.19,10400,10.95
2013-07-02,2.20,2.20,2.16,2.18,37500,10.90
2013-07-01,2.20,2.22,2.15,2.20,91700,11.00
2013-06-28,2.14,2.20,2.11,2.20,124400,11.00
2013-06-27,2.12,2.15,2.09,2.15,37300,10.75
2013-06-26,2.02,2.11,2.00,2.11,26500,10.55
2013-06-25,2.01,2.02,2.00,2.01,20200,10.05
2013-06-24,1.98,2.02,1.95,1.99,46700,9.95
2013-06-21,2.00,2.03,1.99,1.99,73700,9.95
2013-06-20,2.06,2.06,2.00,2.01,51100,10.05
2013-06-19,2.13,2.13,2.07,2.08,19400,10.40
2013-06-18,2.12,2.13,2.09,2.13,32000,10.65
2013-06-17,2.09,2.11,2.05,2.11,35000,10.55
2013-06-14,2.10,2.12,2.05,2.06,25500,10.30
2013-06-13,2.09,2.10,2.07,2.09,41900,10.45
2013-06-12,2.13,2.15,2.08,2.09,62000,10.45
2013-06-11,2.13,2.15,2.10,2.11,38500,10.55
2013-06-10,2.17,2.19,2.11,2.15,66600,10.75
2013-06-07,2.15,2.15,2.09,2.13,23700,10.65
2013-06-06,2.11,2.12,2.08,2.12,31500,10.60
2013-06-05,2.14,2.14,2.10,2.12,42400,10.60
2013-06-04,2.15,2.16,2.10,2.14,54000,10.70
2013-06-03,2.11,2.20,2.07,2.16,115800,10.80
2013-05-31,2.10,2.14,2.10,2.11,26300,10.55
2013-05-30,2.09,2.13,2.09,2.12,47800,10.60
2013-05-29,2.14,2.15,2.09,2.09,33400,10.45
2013-05-28,2.18,2.20,2.13,2.14,59500,10.70
2013-05-24,2.10,2.14,2.10,2.13,6800,10.65
2013-05-23,2.11,2.15,2.08,2.13,21200,10.65
2013-05-22,2.15,2.20,2.13,2.13,38500,10.65
2013-05-21,2.14,2.20,2.13,2.15,23600,10.75
2013-05-20,2.15,2.17,2.13,2.15,22800,10.75
2013-05-17,2.14,2.20,2.10,2.17,51900,10.85
2013-05-16,2.13,2.15,2.11,2.13,23800,10.65
2013-05-15,2.07,2.15,2.06,2.15,97900,10.75
2013-05-14,2.06,2.10,2.04,2.07,48900,10.35
2013-05-13,2.03,2.08,2.00,2.04,21600,10.20
2013-05-10,2.05,2.10,2.03,2.04,27500,10.20
2013-05-09,2.04,2.09,2.04,2.04,28200,10.20
2013-05-08,2.04,2.05,2.03,2.04,35100,10.20
2013-05-07,2.05,2.05,2.01,2.03,20600,10.15
2013-05-06,2.01,2.05,2.00,2.05,22300,10.25
2013-05-03,2.06,2.06,2.01,2.03,15700,10.15
2013-05-02,2.01,2.07,2.00,2.03,15300,10.15
2013-05-01,2.11,2.11,2.00,2.02,61300,10.10
2013-04-30,2.09,2.14,2.01,2.14,57900,10.70
2013-04-29,2.06,2.12,1.95,2.10,51100,10.50
2013-04-26,2.00,2.06,1.93,2.04,72000,10.20
2013-04-25,1.93,2.00,1.92,2.00,30200,10.00
2013-04-24,1.95,1.95,1.92,1.93,8300,9.65
2013-04-23,1.86,1.96,1.85,1.95,16200,9.75
2013-04-22,1.88,1.89,1.80,1.84,19500,9.20
2013-04-19,1.80,1.92,1.70,1.90,73000,9.50
2013-04-18,1.87,1.89,1.80,1.81,41500,9.05
2013-04-17,1.90,1.91,1.81,1.86,54700,9.30
2013-04-16,1.86,1.93,1.86,1.92,32500,9.60
2013-04-15,1.94,1.97,1.81,1.85,58200,9.25
2013-04-12,1.99,1.99,1.95,1.96,23300,9.80
2013-04-11,1.99,2.01,1.95,1.97,6200,9.85
2013-04-10,1.92,2.00,1.92,1.98,24700,9.90
2013-04-09,1.99,2.00,1.92,1.92,24100,9.60
2013-04-08,2.02,2.02,1.91,1.98,20700,9.90
2013-04-05,1.99,2.06,1.99,2.00,24300,10.00
2013-04-04,2.01,2.09,1.97,2.04,29500,10.20
2013-04-03,2.06,2.06,2.00,2.01,26800,10.05
2013-04-02,2.06,2.10,2.04,2.05,21600,10.25
2013-04-01,2.09,2.11,2.00,2.05,48300,10.25
2013-03-28,2.07,2.12,2.03,2.09,48400,10.45
2013-03-27,2.10,2.12,2.05,2.05,14200,10.25
2013-03-26,2.06,2.12,2.04,2.12,22300,10.60
2013-03-25,2.04,2.06,1.95,2.04,77700,10.20
2013-03-22,2.04,2.06,2.03,2.04,14000,10.20
2013-03-21,2.06,2.07,2.03,2.04,19400,10.20
2013-03-20,2.05,2.10,2.05,2.08,27900,10.40
2013-03-19,2.08,2.10,2.03,2.03,30500,10.15
2013-03-18,2.12,2.16,1.98,2.07,34500,10.35
2013-03-15,2.18,2.21,2.13,2.13,79400,10.65
2013-03-14,2.23,2.25,2.11,2.17,182800,10.85
2013-03-13,2.17,2.24,2.15,2.22,33100,11.10
2013-03-12,2.19,2.21,2.10,2.16,60400,10.80
2013-03-11,2.12,2.21,2.08,2.20,46900,11.00
2013-03-08,2.10,2.12,2.05,2.11,47800,10.55
2013-03-07,2.04,2.09,2.03,2.08,33300,10.40
2013-03-06,2.10,2.12,2.02,2.04,35500,10.20
2013-03-05,2.06,2.08,2.04,2.07,49900,10.35
2013-03-04,2.02,2.10,2.00,2.03,25000,10.15
2013-03-01,2.03,2.04,1.93,2.02,42100,10.10
2013-02-28,1.97,2.08,1.89,2.06,95200,10.30
2013-02-27,1.91,2.00,1.90,1.96,23600,9.80
2013-02-26,1.85,1.92,1.85,1.92,24200,9.60
2013-02-25,1.96,1.97,1.85,1.85,43800,9.25
2013-02-22,1.97,2.03,1.91,1.94,32900,9.70
2013-02-21,2.00,2.04,1.90,1.96,36600,9.80
2013-02-20,2.06,2.07,2.00,2.01,76400,10.05
2013-02-19,2.06,2.10,2.05,2.06,55400,10.30
2013-02-15,2.03,2.06,1.99,2.05,71800,10.25
2013-02-14,2.02,2.03,1.97,2.01,64100,10.05
2013-02-13,2.02,2.05,1.93,2.02,123200,10.10
2013-02-12,1.93,2.02,1.91,2.01,145100,10.05
2013-02-11,1.90,1.93,1.88,1.93,20400,9.65
2013-02-08,1.89,1.92,1.84,1.90,59700,9.50
2013-02-07,1.89,1.93,1.85,1.89,46700,9.45
2013-02-06,1.90,1.90,1.82,1.89,56200,9.45
2013-02-05,1.87,1.91,1.83,1.90,55900,9.50
2013-02-04,1.85,1.89,1.80,1.87,50900,9.35
2013-02-01,1.80,1.85,1.74,1.85,255400,9.25
2013-01-31,1.75,1.81,1.69,1.79,105600,8.95
2013-01-30,1.70,1.78,1.66,1.77,68400,8.85
2013-01-29,1.71,1.71,1.66,1.71,38100,8.55
2013-01-28,1.69,1.70,1.66,1.70,35600,8.50
2013-01-25,1.69,1.69,1.57,1.68,166500,8.40
2013-01-24,1.68,1.71,1.63,1.69,23600,8.45
2013-01-23,1.72,1.73,1.67,1.68,22800,8.40
2013-01-22,1.71,1.74,1.70,1.72,22900,8.60
2013-01-18,1.72,1.74,1.68,1.70,35600,8.50
2013-01-17,1.72,1.79,1.68,1.71,25000,8.55
2013-01-16,1.64,1.71,1.63,1.70,22800,8.50
2013-01-15,1.62,1.68,1.62,1.65,12000,8.25
