Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,27.92,28.46,27.86,27.96,259300,27.96
2014-02-21,27.92,28.05,27.75,27.83,205200,27.83
2014-02-20,27.52,27.88,27.36,27.78,191400,27.78
2014-02-19,27.55,28.04,27.55,27.58,188700,27.58
2014-02-18,27.40,27.68,27.06,27.58,181200,27.58
2014-02-14,27.42,27.52,27.19,27.33,115000,27.33
2014-02-13,26.95,27.65,26.95,27.38,191400,27.38
2014-02-12,27.02,27.19,26.71,27.06,284100,27.06
2014-02-11,27.57,27.68,27.03,27.27,270300,26.91
2014-02-10,27.49,27.72,27.17,27.53,212400,27.17
2014-02-07,27.46,27.53,27.10,27.39,244600,27.03
2014-02-06,27.78,27.99,27.31,27.36,267900,27.00
2014-02-05,28.04,28.32,27.48,27.62,230100,27.26
2014-02-04,28.27,28.75,28.00,28.06,344700,27.69
2014-02-03,28.98,29.11,28.18,28.23,317600,27.86
2014-01-31,28.55,29.12,28.16,28.93,327500,28.55
2014-01-30,28.70,29.33,28.52,28.90,261700,28.52
2014-01-29,28.65,28.65,28.15,28.52,208900,28.14
2014-01-28,28.39,29.08,28.26,28.81,277400,28.43
2014-01-27,28.68,28.75,27.94,28.28,199900,27.91
2014-01-24,28.02,28.74,27.86,28.47,430500,28.09
2014-01-23,27.93,28.14,27.79,28.06,192200,27.69
2014-01-22,27.64,28.07,27.64,27.97,169300,27.60
2014-01-21,27.40,27.75,27.21,27.55,190600,27.19
2014-01-17,27.31,27.35,27.10,27.29,149900,26.93
2014-01-16,26.79,27.28,26.57,27.27,170400,26.91
2014-01-15,27.00,27.22,26.72,26.79,141800,26.44
2014-01-14,27.12,27.27,26.89,26.90,156300,26.54
2014-01-13,26.98,27.10,26.85,27.04,294700,26.68
2014-01-10,26.35,27.15,26.20,27.05,264700,26.69
2014-01-09,26.11,26.29,25.95,26.27,183800,25.92
2014-01-08,26.21,26.42,25.79,26.16,204400,25.81
2014-01-07,26.04,26.46,25.89,26.22,281500,25.87
2014-01-06,26.06,26.26,25.74,25.98,171800,25.64
2014-01-03,25.89,26.19,25.77,25.97,299300,25.63
2014-01-02,26.01,26.01,25.25,25.88,300000,25.54
2013-12-31,26.19,26.60,25.86,26.14,496000,25.79
2013-12-30,26.14,26.45,25.91,26.19,205600,25.84
2013-12-27,26.26,26.27,25.74,26.23,279500,25.88
2013-12-26,26.35,26.44,26.08,26.20,357600,25.85
2013-12-24,26.40,26.49,26.15,26.29,124600,25.94
2013-12-23,26.49,26.60,26.29,26.40,230100,26.05
2013-12-20,25.96,26.45,25.87,26.36,458900,26.01
2013-12-19,26.22,26.24,25.79,25.84,201700,25.50
2013-12-18,26.10,26.57,25.82,26.29,294300,25.94
2013-12-17,26.08,26.28,25.57,26.00,410900,25.66
2013-12-16,25.77,26.12,25.68,26.04,323200,25.70
2013-12-13,25.48,25.82,25.13,25.71,347700,25.37
2013-12-12,25.54,25.62,24.93,25.37,528400,25.04
2013-12-11,26.30,26.30,25.33,25.59,197600,25.25
2013-12-10,26.34,26.50,26.04,26.22,168000,25.87
2013-12-09,26.30,26.46,25.98,26.33,183400,25.98
2013-12-06,26.41,26.48,25.79,26.28,121500,25.93
2013-12-05,25.89,26.26,25.62,26.09,139500,25.75
2013-12-04,25.98,26.08,25.66,25.88,281200,25.54
2013-12-03,26.14,26.44,25.97,26.07,238400,25.73
2013-12-02,26.60,27.00,26.04,26.26,181100,25.91
2013-11-29,27.24,27.24,26.66,26.68,117800,26.33
2013-11-27,26.84,27.16,26.82,27.11,178800,26.75
2013-11-26,26.72,26.90,26.56,26.74,816700,26.39
2013-11-25,26.64,26.97,26.52,26.60,198400,26.25
2013-11-22,26.92,26.92,26.43,26.66,253000,26.31
2013-11-21,26.29,26.89,26.00,26.84,206900,26.49
2013-11-20,26.52,26.67,25.78,26.20,304200,25.85
2013-11-19,26.52,26.71,26.11,26.47,237000,26.12
2013-11-18,26.28,26.70,26.17,26.57,241800,26.22
2013-11-15,26.04,26.35,25.93,26.24,208900,25.89
2013-11-14,25.88,26.21,25.70,25.91,104200,25.57
2013-11-13,25.62,25.93,25.34,25.86,188400,25.52
2013-11-12,25.74,26.00,25.42,25.97,129100,25.29
2013-11-11,25.63,26.00,25.37,25.77,205400,25.10
2013-11-08,26.26,26.26,25.48,25.71,338300,25.04
2013-11-07,26.96,27.15,26.33,26.41,213400,25.72
2013-11-06,27.08,27.20,26.86,26.90,181100,26.20
2013-11-05,27.03,27.19,26.74,26.96,282200,26.26
2013-11-04,26.97,27.16,26.88,27.12,276600,26.41
2013-11-01,27.00,27.21,26.82,26.90,340900,26.20
2013-10-31,27.25,27.46,26.88,26.90,222800,26.20
2013-10-30,27.33,27.44,27.16,27.28,298600,26.57
2013-10-29,27.42,27.77,27.08,27.33,520600,26.62
2013-10-28,27.37,27.51,27.05,27.47,902400,26.75
2013-10-25,26.79,27.33,26.56,27.27,312700,26.56
2013-10-24,26.38,26.76,25.45,26.73,342200,26.03
2013-10-23,25.57,26.69,25.36,26.19,656400,25.51
2013-10-22,25.37,25.80,25.01,25.67,164000,25.00
2013-10-21,25.46,25.46,24.87,25.27,219300,24.61
2013-10-18,25.40,25.67,25.06,25.45,302700,24.79
2013-10-17,24.26,25.21,24.26,25.20,424900,24.54
2013-10-16,24.08,24.43,23.81,24.36,134100,23.72
2013-10-15,24.00,24.18,23.74,23.91,199700,23.29
2013-10-14,23.74,24.16,23.56,24.13,263900,23.50
2013-10-11,23.30,24.04,23.30,23.96,162200,23.33
2013-10-10,23.07,23.46,22.88,23.36,372800,22.75
2013-10-09,23.02,23.40,22.75,22.79,238100,22.19
2013-10-08,23.08,23.20,22.81,22.98,204200,22.38
2013-10-07,22.55,23.38,22.50,23.14,242900,22.54
2013-10-04,23.05,23.16,22.74,22.77,188600,22.18
2013-10-03,23.27,23.40,22.84,23.03,159900,22.43
2013-10-02,23.61,23.81,23.32,23.39,319600,22.78
2013-10-01,22.94,23.93,22.94,23.76,435500,23.14
2013-09-30,22.94,23.27,22.86,23.01,302100,22.41
2013-09-27,22.94,23.26,22.94,23.18,181100,22.57
2013-09-26,23.26,23.42,22.86,23.09,182500,22.49
2013-09-25,23.12,23.50,22.83,23.26,161200,22.65
2013-09-24,23.52,23.66,23.05,23.10,238500,22.50
2013-09-23,23.65,24.11,23.42,23.51,211900,22.90
2013-09-20,23.80,24.02,23.48,23.75,608700,23.13
2013-09-19,23.93,24.07,23.58,23.70,471000,23.08
2013-09-18,23.04,23.96,22.81,23.85,622800,23.23
2013-09-17,22.76,23.24,22.04,22.49,519800,21.90
2013-09-16,22.66,22.98,22.40,22.76,639300,22.17
2013-09-13,22.29,22.48,22.08,22.26,244800,21.68
2013-09-12,22.37,22.68,22.13,22.21,292200,21.63
2013-09-11,22.42,22.75,22.23,22.40,253800,21.81
2013-09-10,22.72,22.97,21.90,22.41,265800,21.82
2013-09-09,22.29,22.68,22.23,22.65,141900,22.06
2013-09-06,21.96,22.50,21.76,22.24,233000,21.66
2013-09-05,22.24,22.34,21.70,21.73,153700,21.16
2013-09-04,21.85,22.28,21.85,22.14,162200,21.56
2013-09-03,22.40,22.50,21.60,21.88,194200,21.31
2013-08-30,22.56,22.59,22.01,22.11,214500,21.53
2013-08-29,22.25,22.69,22.19,22.51,186500,21.92
2013-08-28,22.57,22.73,22.23,22.33,162400,21.75
2013-08-27,22.66,22.94,22.50,22.52,173200,21.93
2013-08-26,23.03,23.10,22.70,22.95,119200,22.35
2013-08-23,22.37,23.06,22.37,23.03,164600,22.43
2013-08-22,22.93,23.17,22.50,22.69,155100,22.10
2013-08-21,22.75,23.21,22.51,22.86,205300,22.26
2013-08-20,22.16,23.11,22.10,22.94,274400,22.34
2013-08-19,22.62,22.85,21.55,22.18,671300,21.60
2013-08-16,23.79,23.79,22.39,22.55,833000,21.96
2013-08-15,24.78,24.78,23.71,23.91,364200,23.29
2013-08-14,25.18,25.28,24.82,25.16,262000,24.50
2013-08-13,25.09,25.51,24.34,25.03,333600,24.38
2013-08-12,24.96,26.05,24.65,25.54,247400,24.54
2013-08-09,24.99,25.20,24.61,25.13,225600,24.15
2013-08-08,25.85,25.85,25.04,25.08,209800,24.10
2013-08-07,25.82,25.90,25.50,25.79,262200,24.78
2013-08-06,25.95,26.26,25.74,25.94,314200,24.93
2013-08-05,25.38,26.02,25.30,25.98,298100,24.96
2013-08-02,24.85,25.53,24.60,25.47,553900,24.47
2013-08-01,26.45,26.98,24.98,25.19,640900,24.21
2013-07-31,27.21,27.31,26.06,26.30,308900,25.27
2013-07-30,27.27,27.36,26.71,27.16,324500,26.10
2013-07-29,27.46,27.59,27.15,27.24,304700,26.18
2013-07-26,27.48,27.64,27.15,27.52,286000,26.44
2013-07-25,27.03,27.67,26.91,27.63,432300,26.55
2013-07-24,28.42,28.42,26.70,27.02,268500,25.96
2013-07-23,28.28,28.54,28.09,28.41,122200,27.30
2013-07-22,28.15,28.50,28.13,28.17,103100,27.07
2013-07-19,28.14,28.46,28.07,28.10,114700,27.00
2013-07-18,27.91,28.49,27.90,28.18,191300,27.08
2013-07-17,27.85,28.07,27.49,27.77,128700,26.68
2013-07-16,27.68,27.91,27.50,27.60,156100,26.52
2013-07-15,27.15,27.80,27.04,27.68,233700,26.60
2013-07-12,27.18,27.40,26.69,27.18,280600,26.12
2013-07-11,26.62,27.13,26.18,27.00,314600,25.94
2013-07-10,25.97,26.27,25.70,26.10,257800,25.08
2013-07-09,25.52,25.98,25.30,25.94,189300,24.93
2013-07-08,25.66,25.83,25.33,25.38,241100,24.39
2013-07-05,26.30,26.42,25.06,25.66,169100,24.66
2013-07-03,26.16,26.16,25.65,25.89,156300,24.88
2013-07-02,26.41,26.64,25.89,26.23,251300,25.20
2013-07-01,26.30,26.56,26.18,26.36,174600,25.33
2013-06-28,26.39,26.62,26.02,26.11,867000,25.09
2013-06-27,25.61,26.45,25.42,26.40,265500,25.37
2013-06-26,25.18,25.54,25.12,25.41,200200,24.42
2013-06-25,24.70,25.01,24.54,24.94,320100,23.97
2013-06-24,24.52,25.03,23.81,24.44,366800,23.48
2013-06-21,24.84,25.25,24.52,24.94,504600,23.97
2013-06-20,26.30,26.30,24.16,24.76,724500,23.79
2013-06-19,27.37,27.84,26.45,26.57,240500,25.53
2013-06-18,27.11,27.40,26.99,27.28,175100,26.21
2013-06-17,27.27,27.36,26.83,27.04,108700,25.98
2013-06-14,26.57,27.35,26.56,26.95,134000,25.90
2013-06-13,26.53,26.70,26.05,26.66,197300,25.62
2013-06-12,26.97,27.02,26.33,26.52,198200,25.48
2013-06-11,26.80,27.27,26.30,26.77,163200,25.72
2013-06-10,27.98,27.99,26.92,27.03,340900,25.97
2013-06-07,27.01,27.38,26.93,27.25,350400,26.18
2013-06-06,26.26,26.81,25.98,26.80,201300,25.75
2013-06-05,26.83,26.83,25.56,26.50,365200,25.46
2013-06-04,27.34,27.60,26.88,26.91,384900,25.86
2013-06-03,27.17,27.77,26.87,27.36,400600,26.29
2013-05-31,27.82,28.34,26.59,27.05,773900,25.99
2013-05-30,27.14,28.04,27.02,27.76,383900,26.67
