Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,30.83,31.87,30.56,30.97,107300,30.97
2014-02-21,30.31,31.82,30.12,30.81,90600,30.81
2014-02-20,30.79,31.26,30.10,30.45,94500,30.45
2014-02-19,30.88,31.90,30.20,30.85,112700,30.85
2014-02-18,30.10,31.79,30.10,30.96,77700,30.96
2014-02-14,31.88,31.88,29.20,30.17,110500,30.17
2014-02-13,30.37,32.12,30.22,30.47,91600,30.47
2014-02-12,30.84,31.18,29.50,30.94,142700,30.94
2014-02-11,30.66,32.95,29.96,30.87,73900,30.87
2014-02-10,30.68,31.00,29.81,30.89,67500,30.89
2014-02-07,30.13,31.12,29.92,30.83,138800,30.83
2014-02-06,30.29,32.68,30.00,30.15,163000,30.15
2014-02-05,30.80,31.61,28.95,30.09,96700,30.09
2014-02-04,30.60,32.39,30.14,30.41,110100,30.41
2014-02-03,32.58,34.20,30.03,30.52,90000,30.52
2014-01-31,32.50,32.83,31.59,32.09,74600,32.09
2014-01-30,33.71,33.98,32.94,33.00,42200,33.00
2014-01-29,32.49,32.90,32.25,32.69,44400,32.69
2014-01-28,33.00,34.59,32.88,33.00,166200,33.00
2014-01-27,33.89,33.89,32.53,32.96,69400,32.96
2014-01-24,34.38,34.66,33.09,33.95,88900,33.95
2014-01-23,35.65,35.65,34.36,34.74,49800,34.74
2014-01-22,35.55,35.92,35.48,35.61,63700,35.61
2014-01-21,36.17,36.27,35.29,35.52,24300,35.52
2014-01-17,36.71,36.74,35.62,35.82,58700,35.82
2014-01-16,36.67,37.14,36.40,36.61,44800,36.61
2014-01-15,36.81,37.69,36.40,36.84,215500,36.84
2014-01-14,34.68,37.13,34.68,36.91,97200,36.91
2014-01-13,34.28,34.53,34.02,34.43,53100,34.43
2014-01-10,34.33,34.85,33.79,34.41,291900,34.41
2014-01-09,34.70,34.70,33.69,34.17,120600,34.17
2014-01-08,34.63,34.87,33.67,34.69,126500,34.69
2014-01-07,34.92,35.24,34.38,34.58,129900,34.58
2014-01-06,34.91,35.49,33.77,34.70,84600,34.70
2014-01-03,35.23,35.70,34.23,34.82,44900,34.82
2014-01-02,34.54,35.50,34.54,35.26,56300,35.26
2013-12-31,35.14,35.17,33.69,34.84,116200,34.84
2013-12-30,35.20,35.74,34.38,35.00,99100,35.00
2013-12-27,34.90,35.80,34.17,35.04,52700,35.04
2013-12-26,34.18,34.80,34.18,34.76,45300,34.76
2013-12-24,34.76,34.89,34.04,34.12,15400,34.12
2013-12-23,33.99,35.00,33.36,34.78,239800,34.78
2013-12-20,33.30,34.25,32.28,33.81,2280600,33.81
2013-12-19,33.94,34.37,32.78,33.98,116500,33.98
2013-12-18,33.64,35.36,33.15,34.49,295800,34.49
2013-12-17,34.40,34.40,32.50,33.94,248500,33.94
2013-12-16,34.12,34.50,33.48,34.21,164700,34.21
2013-12-13,33.29,34.35,32.57,33.95,104800,33.95
2013-12-12,33.82,33.82,32.34,33.23,114900,33.23
2013-12-11,33.31,33.85,33.31,33.64,165300,33.64
2013-12-10,33.83,33.83,32.34,33.38,186000,33.38
2013-12-09,32.63,33.93,32.28,33.40,171500,33.40
2013-12-06,31.17,32.57,31.10,32.38,63600,32.38
2013-12-05,30.55,32.27,30.00,31.09,94300,31.09
2013-12-04,30.94,30.98,30.30,30.49,74600,30.49
2013-12-03,30.20,30.65,30.01,30.33,84500,30.33
2013-12-02,30.64,31.79,30.06,30.35,228300,30.35
2013-11-29,30.94,31.37,30.00,30.44,11400,30.44
2013-11-27,30.99,31.00,29.90,30.02,120300,30.02
2013-11-26,29.31,30.48,28.91,29.90,107000,29.90
2013-11-25,28.73,28.99,27.95,28.88,66300,28.88
2013-11-22,28.35,29.00,28.35,28.93,33000,28.93
2013-11-21,28.86,29.45,28.53,28.94,83600,28.94
2013-11-20,29.08,29.37,28.53,28.92,85800,28.92
2013-11-19,28.89,29.49,28.51,29.30,131100,29.30
2013-11-18,28.57,29.75,28.50,28.77,102000,28.77
2013-11-15,27.81,28.57,27.20,28.22,184100,28.22
2013-11-14,26.78,28.30,26.74,28.03,103700,28.03
2013-11-13,27.12,28.00,26.56,27.19,202300,27.19
2013-11-12,26.43,26.83,26.35,26.72,194700,26.72
2013-11-11,26.31,26.76,26.22,26.48,279000,26.48
2013-11-08,26.90,26.90,26.26,26.52,393100,26.52
2013-11-07,26.75,26.75,26.02,26.38,606900,26.38
2013-11-06,26.98,26.98,26.14,26.36,306800,26.36
2013-11-05,27.10,27.10,26.39,26.59,185500,26.59
2013-11-04,26.40,27.50,25.95,27.16,87500,27.16
2013-11-01,25.95,26.59,25.69,26.25,413500,26.25
2013-10-31,27.15,27.33,25.76,26.25,557400,26.25
2013-10-30,28.00,28.53,25.50,27.10,8890000,27.10
