Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,15.15,16.05,15.15,15.97,5200,15.97
2014-02-21,15.12,15.25,15.05,15.25,6500,15.25
2014-02-20,15.18,15.82,15.18,15.31,14800,15.31
2014-02-19,14.75,14.88,14.70,14.83,2700,14.83
2014-02-18,14.96,15.14,14.63,14.79,5000,14.79
2014-02-14,14.72,15.10,14.66,15.09,2100,15.09
2014-02-13,15.02,15.32,14.82,15.32,700,15.18
2014-02-12,15.23,15.55,13.50,15.24,4000,15.11
2014-02-11,15.25,15.30,14.50,15.12,3000,14.99
2014-02-10,14.81,14.81,14.20,14.45,8300,14.32
2014-02-07,14.95,14.95,14.63,14.72,35700,14.59
2014-02-06,14.52,14.98,14.52,14.71,1000,14.58
2014-02-05,14.26,14.84,14.26,14.48,2600,14.35
2014-02-04,15.67,15.67,15.67,15.67,200,15.53
2014-02-03,15.07,15.20,14.64,14.96,7900,14.83
2014-01-31,15.00,15.60,14.79,15.60,1700,15.46
2014-01-30,14.48,14.58,14.04,14.57,1800,14.44
2014-01-29,15.29,15.40,14.43,14.65,8400,14.52
2014-01-28,15.76,16.01,15.28,15.31,2600,15.18
2014-01-27,15.87,16.29,15.65,15.71,6300,15.57
2014-01-24,16.41,16.41,15.86,15.95,8500,15.81
2014-01-23,16.56,16.63,16.06,16.27,3200,16.13
2014-01-22,16.50,16.64,16.07,16.42,1600,16.28
2014-01-21,16.11,16.59,15.65,16.39,2600,16.25
2014-01-17,16.16,16.64,15.66,16.27,10200,16.13
2014-01-16,16.01,16.34,16.01,16.15,1200,16.01
2014-01-15,16.14,16.14,16.00,16.04,10400,15.90
2014-01-14,16.35,16.35,15.79,15.99,6500,15.85
2014-01-13,16.60,16.60,16.25,16.25,3000,16.11
2014-01-10,16.25,16.48,16.25,16.36,8700,16.22
2014-01-09,16.25,16.88,16.25,16.27,22400,16.13
2014-01-08,15.75,16.25,15.75,16.04,20400,15.90
2014-01-07,15.63,15.80,15.62,15.70,2500,15.56
2014-01-06,15.25,15.81,15.25,15.63,9500,15.49
2014-01-03,15.52,15.60,15.31,15.31,3300,15.18
2014-01-02,15.43,15.43,15.43,15.43,300,15.29
2013-12-31,15.47,15.78,15.31,15.48,4800,15.34
2013-12-30,15.51,15.59,15.30,15.52,4200,15.38
2013-12-27,15.33,16.05,15.33,15.62,4400,15.48
2013-12-26,16.04,16.10,15.16,15.49,3700,15.35
2013-12-24,15.21,15.66,15.18,15.34,2100,15.20
2013-12-23,16.18,16.18,14.80,15.18,14700,15.05
2013-12-20,15.70,16.07,15.50,16.07,54600,15.93
2013-12-19,15.76,15.98,14.91,15.79,4200,15.65
2013-12-18,15.68,15.89,15.13,15.89,5300,15.75
