Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,33.53,34.08,33.15,34.01,161000,34.01
2014-02-21,33.96,33.96,33.35,33.36,94700,33.36
2014-02-20,33.32,33.98,33.32,33.78,72800,33.78
2014-02-19,33.49,33.94,33.14,33.18,109100,33.18
2014-02-18,33.51,33.82,33.18,33.47,146700,33.47
2014-02-14,33.37,33.70,33.00,33.43,73200,33.43
2014-02-13,32.54,33.42,32.54,33.28,110100,33.28
2014-02-12,32.97,33.31,32.57,32.83,108000,32.83
2014-02-11,32.65,33.28,32.59,32.98,76300,32.98
2014-02-10,32.59,32.93,32.24,32.70,89000,32.70
2014-02-07,32.63,32.90,32.38,32.73,132100,32.73
2014-02-06,32.40,32.67,31.87,32.55,114100,32.55
2014-02-05,32.25,32.45,31.77,32.21,202400,32.21
2014-02-04,32.86,33.11,32.31,32.47,122100,32.47
2014-02-03,33.97,34.14,32.63,32.76,126300,32.76
2014-01-31,33.72,34.58,33.72,33.97,183800,33.97
2014-01-30,34.42,34.49,33.88,34.13,148000,34.13
2014-01-29,33.74,34.69,33.74,34.02,172600,34.02
2014-01-28,33.25,33.80,32.92,33.59,149400,33.59
2014-01-27,34.11,34.36,32.92,33.29,147900,33.29
2014-01-24,34.61,35.27,33.72,33.91,115500,33.91
2014-01-23,35.24,35.24,34.51,34.91,113000,34.91
2014-01-22,35.24,35.54,35.18,35.50,165800,35.50
2014-01-21,34.84,35.28,34.83,35.20,146100,35.20
2014-01-17,35.08,35.08,34.37,34.51,77500,34.51
2014-01-16,34.98,35.32,34.91,35.22,87300,35.22
2014-01-15,35.09,35.35,34.99,35.18,86200,35.18
2014-01-14,34.60,35.18,34.50,35.13,127900,34.93
2014-01-13,34.89,34.92,34.20,34.42,128300,34.22
2014-01-10,34.95,35.14,34.54,34.92,112700,34.72
2014-01-09,34.74,35.05,34.38,35.01,155400,34.81
2014-01-08,35.30,35.40,34.00,34.52,330400,34.32
2014-01-07,36.00,36.83,35.01,35.43,475300,35.23
2014-01-06,34.48,34.62,33.83,33.90,364600,33.71
2014-01-03,34.21,34.70,34.01,34.45,108100,34.25
2014-01-02,34.96,35.34,34.11,34.27,81800,34.07
2013-12-31,35.23,35.53,34.76,35.26,114400,35.06
2013-12-30,34.86,35.43,34.59,35.13,83000,34.93
2013-12-27,35.25,35.25,34.50,34.87,86900,34.67
2013-12-26,34.88,35.21,34.84,35.04,133200,34.84
2013-12-24,34.46,35.00,34.46,34.75,56500,34.55
2013-12-23,34.22,34.99,33.99,34.57,264900,34.37
2013-12-20,33.93,34.56,33.53,34.13,376700,33.94
2013-12-19,33.93,34.28,33.56,33.82,142400,33.63
2013-12-18,33.95,34.15,33.61,34.05,147700,33.86
2013-12-17,33.93,34.10,33.59,33.90,106800,33.71
2013-12-16,33.65,34.28,33.65,33.93,65500,33.74
2013-12-13,33.60,33.80,33.35,33.57,72500,33.38
2013-12-12,33.45,33.83,33.32,33.60,100300,33.41
2013-12-11,34.28,34.28,33.35,33.42,156400,33.23
2013-12-10,34.08,34.35,33.95,34.25,108700,34.06
2013-12-09,34.27,34.52,33.83,34.25,91300,34.06
2013-12-06,34.10,34.47,33.86,34.36,101500,34.16
2013-12-05,33.86,34.16,33.16,33.72,121800,33.53
2013-12-04,34.21,34.60,33.43,33.80,68000,33.61
2013-12-03,34.03,34.57,33.66,34.42,184600,34.22
2013-12-02,34.08,34.64,33.58,34.12,135100,33.93
2013-11-29,34.36,34.44,34.08,34.20,74600,34.01
2013-11-27,33.93,34.15,33.16,34.07,115500,33.88
2013-11-26,34.06,34.46,33.86,33.93,79000,33.74
2013-11-25,34.00,34.18,33.83,33.97,84600,33.78
2013-11-22,34.20,34.24,33.80,33.83,71200,33.64
2013-11-21,34.10,34.23,33.58,34.08,141400,33.89
2013-11-20,34.19,34.26,33.58,33.85,54000,33.66
2013-11-19,34.02,34.50,33.79,34.06,76200,33.87
2013-11-18,34.38,34.50,33.86,34.09,67800,33.90
2013-11-15,34.22,34.52,33.87,34.33,104100,34.13
2013-11-14,34.47,34.83,34.00,34.27,73600,34.07
2013-11-13,33.57,34.57,33.41,34.53,78900,34.33
2013-11-12,33.32,33.83,33.32,33.69,70900,33.50
2013-11-11,33.65,33.95,33.44,33.48,116500,33.29
2013-11-08,33.00,33.98,33.00,33.65,58900,33.46
2013-11-07,33.00,34.02,32.90,33.01,160300,32.82
2013-11-06,33.00,33.20,32.67,32.99,68700,32.80
2013-11-05,33.25,33.26,32.81,32.84,100600,32.65
2013-11-04,33.10,33.43,32.63,33.32,123300,33.13
2013-11-01,33.04,33.26,32.54,32.83,135600,32.64
2013-10-31,33.38,33.85,33.06,33.17,125500,32.98
2013-10-30,33.49,33.85,33.22,33.50,117100,33.31
2013-10-29,33.48,33.90,32.78,33.43,109100,33.24
2013-10-28,33.93,34.12,33.02,33.29,146400,33.10
2013-10-25,33.06,34.05,32.77,34.02,106200,33.83
2013-10-24,31.75,33.03,31.75,32.65,169100,32.46
2013-10-23,31.90,32.22,31.56,31.95,51800,31.57
2013-10-22,32.09,32.47,31.90,32.17,72700,31.79
2013-10-21,32.17,32.17,31.90,31.94,101000,31.56
2013-10-18,30.97,32.28,30.77,32.25,217100,31.87
2013-10-17,29.93,30.59,29.93,30.55,88700,30.19
2013-10-16,30.33,30.70,29.92,29.95,97700,29.59
2013-10-15,29.99,30.35,29.68,30.27,99300,29.91
2013-10-14,29.90,30.22,29.63,30.20,46300,29.84
2013-10-11,29.21,30.34,29.21,30.18,84800,29.82
2013-10-10,28.85,29.48,28.49,29.38,48400,29.03
2013-10-09,28.64,28.70,28.15,28.46,114200,28.12
2013-10-08,28.70,28.70,28.46,28.52,103400,28.18
2013-10-07,28.73,28.88,28.55,28.63,82100,28.29
2013-10-04,28.88,29.24,28.67,29.00,70600,28.65
2013-10-03,29.27,29.39,28.73,29.02,83500,28.67
2013-10-02,29.27,29.64,28.99,29.42,83300,29.07
2013-10-01,29.34,29.62,29.34,29.56,75500,29.21
2013-09-30,28.58,29.64,28.58,29.46,171100,29.11
2013-09-27,28.87,29.28,28.57,28.98,60500,28.63
2013-09-26,29.09,29.53,28.71,29.13,74100,28.78
2013-09-25,29.08,29.64,29.03,29.11,40800,28.76
2013-09-24,28.94,29.56,28.76,29.03,78800,28.68
2013-09-23,29.05,29.26,28.91,28.97,112900,28.62
2013-09-20,28.64,29.28,28.46,29.17,197600,28.82
2013-09-19,28.52,28.82,28.48,28.68,58900,28.34
2013-09-18,28.24,28.89,28.01,28.54,76200,28.20
2013-09-17,28.04,28.47,28.04,28.33,52800,27.99
2013-09-16,28.14,28.21,27.86,28.11,55200,27.78
2013-09-13,27.89,28.14,27.69,27.91,78900,27.58
2013-09-12,27.47,28.28,27.47,27.75,234100,27.42
2013-09-11,27.54,27.87,27.24,27.47,199300,27.14
2013-09-10,27.74,28.13,27.39,27.48,176900,27.15
2013-09-09,27.37,27.77,27.27,27.68,158500,27.35
2013-09-06,27.96,27.97,27.16,27.27,172300,26.95
2013-09-05,28.19,28.26,27.72,27.73,66700,27.40
2013-09-04,27.40,28.27,27.40,28.21,91600,27.87
2013-09-03,27.22,27.70,26.90,27.45,156400,27.12
2013-08-30,26.99,27.12,26.90,26.96,101300,26.64
2013-08-29,26.90,27.43,26.88,27.02,77100,26.70
2013-08-28,26.94,27.19,26.88,26.91,79300,26.59
2013-08-27,26.81,27.11,26.68,26.78,81500,26.46
2013-08-26,27.39,27.39,26.92,26.99,77200,26.67
2013-08-23,27.17,27.52,27.10,27.38,72400,27.05
2013-08-22,27.03,27.44,26.97,27.16,75300,26.84
2013-08-21,27.27,27.45,26.90,27.01,67400,26.69
2013-08-20,27.05,27.55,27.05,27.39,65200,27.06
2013-08-19,26.90,27.15,26.81,26.96,131500,26.64
2013-08-16,26.86,27.27,26.63,26.99,133200,26.67
2013-08-15,27.14,27.23,26.81,27.00,121300,26.68
