Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,34.89,35.35,34.70,35.10,1006600,35.10
2014-02-21,33.46,34.93,33.24,34.69,1191800,34.69
2014-02-20,33.61,33.78,33.24,33.29,529000,33.29
2014-02-19,34.07,34.10,33.39,33.45,642600,33.45
2014-02-18,34.12,34.31,33.81,34.07,409800,34.07
2014-02-14,34.36,34.36,33.94,34.17,233500,34.17
2014-02-13,33.55,34.64,33.50,34.32,450400,34.32
2014-02-12,34.02,34.28,33.57,33.74,337400,33.74
2014-02-11,33.49,34.17,33.22,34.04,691400,34.04
2014-02-10,33.21,33.47,32.84,33.37,442500,33.37
2014-02-07,33.15,33.43,32.80,33.22,476300,33.22
2014-02-06,31.72,33.24,31.30,32.97,1062700,32.97
2014-02-05,30.88,31.64,30.66,31.53,510500,31.53
2014-02-04,31.58,31.81,30.90,30.91,942300,30.91
2014-02-03,32.61,32.75,31.40,31.47,643000,31.47
2014-01-31,32.44,33.10,31.85,32.59,1873300,32.59
2014-01-30,32.78,33.20,32.75,32.88,618900,32.88
2014-01-29,32.89,33.25,32.38,32.44,934900,32.44
2014-01-28,33.17,33.36,32.91,33.11,462900,33.11
2014-01-27,33.05,33.30,32.76,33.04,664600,33.04
2014-01-24,32.70,33.14,32.70,32.85,617200,32.85
2014-01-23,33.47,33.50,32.82,33.00,704400,33.00
2014-01-22,33.24,33.67,32.95,33.53,671400,33.53
2014-01-21,33.98,33.98,33.30,33.31,780600,33.31
2014-01-17,32.90,33.25,32.58,33.16,621900,33.16
2014-01-16,33.30,33.55,32.47,32.84,981200,32.84
2014-01-15,33.82,34.13,33.39,33.46,759300,33.46
2014-01-14,34.10,34.68,33.77,33.84,756100,33.84
2014-01-13,33.38,34.00,33.38,33.82,1047600,33.82
2014-01-10,34.40,34.74,33.16,33.73,2366800,33.73
2014-01-09,33.96,34.53,33.43,34.52,1547100,34.52
2014-01-08,34.07,34.26,33.50,33.96,2107200,33.96
2014-01-07,35.87,36.22,35.23,35.31,666500,35.31
2014-01-06,36.50,36.57,35.60,35.65,577100,35.65
2014-01-03,36.15,36.65,36.08,36.38,317800,36.38
2014-01-02,36.45,36.74,35.91,36.08,522900,36.08
2013-12-31,36.65,36.69,36.26,36.59,737900,36.59
2013-12-30,36.16,36.79,36.01,36.69,494000,36.69
2013-12-27,36.47,36.81,36.03,36.14,353300,36.14
2013-12-26,36.48,36.90,36.27,36.31,332300,36.31
2013-12-24,36.41,36.65,36.20,36.45,188800,36.45
2013-12-23,36.24,36.37,35.78,36.36,437900,36.36
2013-12-20,35.76,36.36,35.50,36.20,814200,36.20
2013-12-19,35.99,36.04,35.48,35.64,722500,35.64
2013-12-18,35.88,36.17,35.60,35.89,722800,35.89
2013-12-17,35.80,35.96,35.45,35.73,448300,35.73
2013-12-16,35.77,36.00,35.68,35.75,476200,35.75
2013-12-13,36.00,36.15,35.53,35.69,532300,35.69
2013-12-12,35.90,36.19,35.74,35.87,778700,35.87
2013-12-11,36.03,36.03,35.64,35.74,654600,35.74
2013-12-10,36.10,36.54,35.53,35.85,1102900,35.85
2013-12-09,36.78,36.78,35.96,36.08,565000,36.08
2013-12-06,39.48,39.48,36.55,36.78,483900,36.78
2013-12-05,37.40,37.41,36.16,36.59,977700,36.59
2013-12-04,38.26,38.27,37.18,37.67,564100,37.67
2013-12-03,38.14,38.85,37.91,38.37,497600,38.37
2013-12-02,38.83,39.25,38.16,38.22,293500,38.22
2013-11-29,39.21,39.26,38.75,38.96,134300,38.96
2013-11-27,39.09,39.13,38.73,38.98,190700,38.98
2013-11-26,39.22,39.22,38.76,38.95,343900,38.95
2013-11-25,39.27,39.32,38.83,39.09,322000,39.09
2013-11-22,38.57,39.19,38.39,39.13,443600,39.13
2013-11-21,38.28,38.52,37.67,38.45,277500,38.45
2013-11-20,38.49,38.77,37.73,38.00,284100,38.00
2013-11-19,38.59,38.79,38.05,38.26,327500,38.26
2013-11-18,38.36,38.82,38.24,38.47,308900,38.47
2013-11-15,38.31,38.44,37.53,38.32,469700,38.32
2013-11-14,39.03,39.03,38.14,38.38,433600,38.38
2013-11-13,38.10,39.04,38.10,39.01,337100,39.01
2013-11-12,37.85,38.35,37.85,38.23,243700,38.23
