Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,2.82,2.88,2.82,2.82,4500,2.82
2014-02-21,2.78,2.82,2.78,2.81,900,2.81
2014-02-20,2.77,2.78,2.75,2.78,11000,2.78
2014-02-19,2.74,2.80,2.74,2.80,1100,2.80
2014-02-18,2.70,2.88,2.70,2.74,3800,2.74
2014-02-14,2.75,2.87,2.66,2.68,3500,2.68
2014-02-13,2.78,2.88,2.74,2.84,5900,2.84
2014-02-12,2.85,3.25,2.80,2.85,26000,2.85
2014-02-11,3.00,3.17,2.76,3.17,5600,3.17
2014-02-10,3.15,3.35,3.15,3.15,11000,3.15
2014-02-07,3.34,3.35,3.11,3.13,13100,3.13
2014-02-06,3.15,3.35,3.13,3.29,16800,3.29
2014-02-05,3.05,3.35,3.00,3.10,20100,3.10
2014-02-04,4.01,4.19,2.66,3.06,115800,3.06
2014-02-03,3.09,4.45,3.09,3.85,102900,3.85
2014-01-31,2.95,3.00,2.55,2.94,20200,2.94
2014-01-30,2.10,2.25,2.10,2.25,4800,2.25
2014-01-29,2.05,2.20,2.04,2.16,2100,2.16
2014-01-28,1.98,2.01,1.98,2.00,4500,2.00
2014-01-27,1.89,1.99,1.75,1.98,16400,1.98
2014-01-24,1.67,1.67,1.67,1.67,600,1.67
2014-01-23,1.66,1.66,1.66,1.66,400,1.66
2014-01-22,1.61,1.61,1.61,1.61,000,1.61
2014-01-21,1.61,1.61,1.61,1.61,000,1.61
2014-01-17,1.61,1.61,1.61,1.61,000,1.61
2014-01-16,1.61,1.62,1.61,1.61,1300,1.61
2014-01-15,1.68,1.68,1.68,1.68,000,1.68
2014-01-14,1.67,1.68,1.67,1.68,13500,1.68
2014-01-13,1.61,1.61,1.61,1.61,000,1.61
2014-01-10,1.61,1.61,1.61,1.61,000,1.61
2014-01-09,1.61,1.61,1.61,1.61,000,1.61
2014-01-08,1.61,1.61,1.61,1.61,000,1.61
2014-01-07,1.61,1.61,1.61,1.61,000,1.61
2014-01-06,1.61,1.61,1.61,1.61,000,1.61
2014-01-03,1.61,1.61,1.61,1.61,000,1.61
2014-01-02,1.61,1.61,1.61,1.61,000,1.61
2013-12-31,1.61,1.64,1.61,1.61,1100,1.61
2013-12-30,1.62,1.72,1.61,1.62,7500,1.62
