Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,3.33,3.36,3.30,3.32,44400,3.32
2014-02-21,3.30,3.37,3.30,3.33,72800,3.33
2014-02-20,3.21,3.30,3.21,3.28,27000,3.28
2014-02-19,3.29,3.35,3.21,3.22,73800,3.22
2014-02-18,3.26,3.34,3.26,3.32,52400,3.32
2014-02-14,3.33,3.33,3.25,3.29,32800,3.29
2014-02-13,3.17,3.33,3.17,3.32,36500,3.32
2014-02-12,3.23,3.25,3.17,3.20,57400,3.20
2014-02-11,3.21,3.27,3.19,3.24,31300,3.24
2014-02-10,3.25,3.25,3.16,3.20,200400,3.20
2014-02-07,3.23,3.27,3.18,3.23,66000,3.23
2014-02-06,3.26,3.35,3.22,3.24,72300,3.24
2014-02-05,3.30,3.33,3.23,3.25,66400,3.25
2014-02-04,3.27,3.36,3.25,3.33,97300,3.33
2014-02-03,3.18,3.30,3.18,3.27,154200,3.27
2014-01-31,3.26,3.44,3.17,3.17,112500,3.17
2014-01-30,3.25,3.40,3.25,3.33,86300,3.33
2014-01-29,3.28,3.29,3.20,3.24,68100,3.24
2014-01-28,3.40,3.40,3.27,3.29,82300,3.29
2014-01-27,3.33,3.38,3.26,3.38,88000,3.38
2014-01-24,3.40,3.40,3.26,3.28,67900,3.28
2014-01-23,3.43,3.48,3.40,3.40,49000,3.40
2014-01-22,3.49,3.55,3.41,3.50,92900,3.50
2014-01-21,3.46,3.51,3.46,3.49,52600,3.49
2014-01-17,3.41,3.50,3.41,3.42,68400,3.42
2014-01-16,3.41,3.41,3.32,3.40,60800,3.40
2014-01-15,3.34,3.50,3.34,3.43,53800,3.43
2014-01-14,3.28,3.36,3.28,3.32,60400,3.32
2014-01-13,3.35,3.37,3.24,3.28,75000,3.28
2014-01-10,3.37,3.39,3.27,3.35,56400,3.35
2014-01-09,3.47,3.47,3.35,3.36,48900,3.36
2014-01-08,3.47,3.51,3.43,3.45,41800,3.45
2014-01-07,3.46,3.52,3.42,3.48,42100,3.48
2014-01-06,3.51,3.55,3.46,3.46,34400,3.46
2014-01-03,3.56,3.58,3.49,3.50,52500,3.50
2014-01-02,3.52,3.57,3.48,3.56,45100,3.56
2013-12-31,3.57,3.57,3.50,3.52,52900,3.52
2013-12-30,3.61,3.61,3.51,3.55,43100,3.55
2013-12-27,3.69,3.69,3.58,3.62,29900,3.62
2013-12-26,3.75,3.81,3.63,3.67,38100,3.67
2013-12-24,3.67,3.77,3.66,3.74,41200,3.74
2013-12-23,3.60,3.70,3.57,3.68,43800,3.68
2013-12-20,3.67,3.70,3.59,3.60,238100,3.60
2013-12-19,3.66,3.73,3.62,3.65,40100,3.65
2013-12-18,3.67,3.72,3.62,3.69,66100,3.69
2013-12-17,3.69,3.70,3.65,3.66,37700,3.66
