Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,42.30,42.98,41.81,42.14,79600,42.14
2014-02-21,42.49,42.49,41.60,42.10,97400,42.10
2014-02-20,40.47,42.39,40.42,42.27,83900,42.27
2014-02-19,40.20,40.71,40.17,40.56,94600,40.56
2014-02-18,39.60,40.29,39.45,40.21,64500,40.21
2014-02-14,38.86,40.00,38.07,39.35,119600,39.35
2014-02-13,37.69,38.99,37.37,38.85,51900,38.85
2014-02-12,38.61,39.13,37.91,38.20,47900,38.20
2014-02-11,36.09,38.74,35.14,38.69,194900,38.69
2014-02-10,36.79,38.52,35.68,36.03,80100,36.03
2014-02-07,35.20,35.40,34.69,34.99,75500,34.99
2014-02-06,35.44,35.86,35.06,35.19,37500,35.19
2014-02-05,35.40,35.54,34.70,35.23,56900,35.23
2014-02-04,35.37,36.04,34.96,35.54,70400,35.54
2014-02-03,36.49,36.64,34.78,35.26,68700,35.26
2014-01-31,37.04,37.38,36.32,36.55,94800,36.55
2014-01-30,37.91,37.96,37.25,37.58,84600,37.58
2014-01-29,38.30,38.50,37.14,37.40,52000,37.40
2014-01-28,39.11,39.30,38.54,38.69,68100,38.69
2014-01-27,39.68,40.06,39.20,39.20,58100,39.20
2014-01-24,40.12,40.59,39.11,39.67,72400,39.67
2014-01-23,40.61,40.67,40.06,40.52,60900,40.52
2014-01-22,39.87,40.74,39.83,40.67,70500,40.67
2014-01-21,39.61,39.86,39.40,39.66,39900,39.66
2014-01-17,39.49,40.14,39.26,39.36,58700,39.36
2014-01-16,39.09,39.50,39.01,39.43,26600,39.43
2014-01-15,38.97,39.41,38.86,39.27,40200,39.27
2014-01-14,39.00,39.54,38.63,38.84,30500,38.84
2014-01-13,39.18,39.34,38.19,38.39,46300,38.39
2014-01-10,39.59,39.94,38.88,39.46,60800,39.46
2014-01-09,40.38,40.38,39.25,39.55,32100,39.55
2014-01-08,40.91,40.99,39.82,40.25,49500,40.25
2014-01-07,40.61,41.30,40.61,40.91,25000,40.91
2014-01-06,41.23,41.23,40.37,40.46,43000,40.46
2014-01-03,40.60,41.20,40.17,41.16,63200,41.16
2014-01-02,40.80,40.91,39.62,40.55,49200,40.55
2013-12-31,41.01,41.12,40.40,40.83,59600,40.83
2013-12-30,41.00,41.13,40.66,41.04,29000,41.04
2013-12-27,41.50,41.50,40.86,41.06,46400,41.06
2013-12-26,41.11,41.50,40.93,41.44,29500,41.35
2013-12-24,40.89,41.32,40.71,41.04,25400,40.95
2013-12-23,39.69,40.77,39.55,40.71,51700,40.62
2013-12-20,39.54,39.85,39.14,39.43,198200,39.34
2013-12-19,39.50,40.01,39.05,39.34,55100,39.25
2013-12-18,38.94,39.69,38.73,39.60,58000,39.51
2013-12-17,39.06,39.48,38.50,39.01,40600,38.93
2013-12-16,39.04,39.51,38.88,39.19,59800,39.10
2013-12-13,39.29,39.59,38.77,38.95,133100,38.87
2013-12-12,38.85,39.47,38.34,39.10,67700,39.02
2013-12-11,39.98,40.21,38.63,38.93,107300,38.85
2013-12-10,40.96,40.96,39.38,39.88,82300,39.79
2013-12-09,41.09,41.51,40.22,40.52,59000,40.43
2013-12-06,41.41,41.66,40.72,41.11,45200,41.02
2013-12-05,40.88,41.41,40.61,40.80,46700,40.71
2013-12-04,41.20,42.11,40.43,40.95,47400,40.86
2013-12-03,41.90,42.71,40.98,41.01,156900,40.92
2013-12-02,42.83,43.00,41.92,42.09,46200,42.00
