Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,76.79,77.18,76.70,76.71,55700,76.71
2014-02-21,76.89,77.03,76.21,76.41,130100,76.41
2014-02-20,76.25,76.82,76.11,76.74,95000,76.74
2014-02-19,76.09,76.56,76.01,76.22,46600,76.22
2014-02-18,76.19,76.35,75.72,76.29,56500,76.29
2014-02-14,75.51,76.18,75.33,76.09,388900,76.09
2014-02-13,74.41,75.63,74.27,75.60,115800,75.60
2014-02-12,74.30,74.83,74.30,74.75,136000,74.75
2014-02-11,73.26,74.28,73.26,74.10,274600,74.10
2014-02-10,72.87,73.23,72.82,73.14,115600,73.14
2014-02-07,71.92,72.84,71.68,72.77,133100,72.77
2014-02-06,70.64,71.75,70.64,71.64,151900,71.64
2014-02-05,70.13,70.81,69.71,70.52,202100,70.52
2014-02-04,70.52,70.55,70.02,70.43,316500,70.43
2014-02-03,71.86,71.86,70.16,70.31,579300,70.31
2014-01-31,71.34,72.19,71.29,71.92,174900,71.92
2014-01-30,71.98,72.46,71.75,72.25,437900,72.25
2014-01-29,71.16,71.98,71.16,71.35,307200,71.35
2014-01-28,71.33,71.77,70.96,71.62,165800,71.62
2014-01-27,71.98,72.12,70.90,71.33,274900,71.33
2014-01-24,73.10,73.22,71.78,71.83,375300,71.83
2014-01-23,73.88,73.92,73.15,73.54,95200,73.54
2014-01-22,73.48,74.39,73.34,74.28,149400,74.28
2014-01-21,73.37,73.53,72.93,73.49,170300,73.49
2014-01-17,73.12,73.56,72.92,73.09,181800,73.09
2014-01-16,73.65,73.88,73.35,73.49,200600,73.49
2014-01-15,73.62,74.12,73.51,73.87,253000,73.87
2014-01-14,71.86,73.36,71.86,73.22,127700,73.22
2014-01-13,72.38,72.61,71.45,71.68,181000,71.68
2014-01-10,72.22,72.61,72.15,72.50,52000,72.50
2014-01-09,72.87,72.87,71.90,72.17,71100,72.17
2014-01-08,72.20,72.78,72.00,72.71,114200,72.71
2014-01-07,71.29,71.75,71.20,71.64,131600,71.64
2014-01-06,71.52,71.52,71.02,71.15,245800,71.15
2014-01-03,71.70,71.70,71.22,71.50,142600,71.50
2014-01-02,72.27,72.27,71.41,71.71,288600,71.71
2013-12-31,72.31,72.73,72.31,72.71,295700,72.71
2013-12-30,71.94,72.23,71.88,72.03,90300,72.03
2013-12-27,71.91,72.10,71.88,71.91,493200,71.91
2013-12-26,71.87,72.00,71.72,71.85,84200,71.85
2013-12-24,71.51,71.82,71.50,71.57,25700,71.57
2013-12-23,71.16,71.49,71.09,71.41,145100,71.41
2013-12-20,70.53,71.26,70.53,71.11,302800,70.88
2013-12-19,70.80,70.80,70.20,70.48,64000,70.25
2013-12-18,70.44,70.96,69.38,70.77,127000,70.54
2013-12-17,69.73,70.57,69.73,70.40,55500,70.17
2013-12-16,69.65,70.10,69.28,69.67,93900,69.45
2013-12-13,69.18,69.19,68.68,68.82,45900,68.60
2013-12-12,69.50,69.57,68.82,68.96,56200,68.74
2013-12-11,70.20,70.31,69.40,69.53,107600,69.31
2013-12-10,70.28,70.46,70.03,70.14,43600,69.91
2013-12-09,70.48,70.62,70.25,70.33,63600,70.10
2013-12-06,70.09,70.33,70.05,70.17,93000,69.94
2013-12-05,69.29,69.68,69.25,69.36,49900,69.14
2013-12-04,69.40,69.70,68.77,69.22,281500,69.00
2013-12-03,69.13,69.77,69.13,69.54,227500,69.32
2013-12-02,69.46,69.66,69.22,69.30,58400,69.08
2013-11-29,69.38,69.70,69.37,69.47,39200,69.25
2013-11-27,68.95,69.44,68.75,69.36,407800,69.14
2013-11-26,68.64,69.29,68.64,69.17,55400,68.95
2013-11-25,68.70,68.72,68.10,68.59,24900,68.37
2013-11-22,68.49,68.73,68.30,68.68,27300,68.46
2013-11-21,67.60,68.64,67.60,68.59,41500,68.37
2013-11-20,67.76,67.91,67.29,67.37,59500,67.15
2013-11-19,68.62,68.67,67.68,67.73,54100,67.51
2013-11-18,69.25,69.25,68.40,68.52,67000,68.30
2013-11-15,68.85,69.25,68.48,69.14,35300,68.92
2013-11-14,68.84,68.93,68.57,68.70,36800,68.48
2013-11-13,68.05,69.05,68.04,68.99,58300,68.77
2013-11-12,67.73,68.44,67.73,68.44,120700,68.22
2013-11-11,68.22,68.22,67.71,68.02,14000,67.80
2013-11-08,67.37,68.04,67.27,68.02,60500,67.80
2013-11-07,68.55,68.55,67.19,67.29,81600,67.07
2013-11-06,68.65,68.80,68.21,68.50,52100,68.28
2013-11-05,68.08,68.58,67.77,68.36,147200,68.14
2013-11-04,68.75,68.75,68.41,68.52,77500,68.30
2013-11-01,69.06,69.13,68.33,68.57,69900,68.35
2013-10-31,68.54,69.22,68.53,68.87,138900,68.65
2013-10-30,68.83,68.92,68.21,68.42,36100,68.20
2013-10-29,67.92,68.80,67.92,68.80,277000,68.58
2013-10-28,67.41,67.80,67.24,67.71,38700,67.49
2013-10-25,67.28,67.38,67.06,67.25,359000,67.03
2013-10-24,67.04,67.32,66.88,67.04,84200,66.82
2013-10-23,67.66,67.68,66.15,66.45,112300,66.24
2013-10-22,69.00,69.01,68.40,68.72,71900,68.50
2013-10-21,68.79,68.96,68.65,68.88,63100,68.66
2013-10-18,68.59,68.75,68.14,68.71,66300,68.49
2013-10-17,67.59,68.52,67.36,68.52,38700,68.30
2013-10-16,67.48,68.09,67.46,68.02,116600,67.80
2013-10-15,67.90,68.12,67.32,67.38,90800,67.16
2013-10-14,67.06,68.08,67.00,67.99,93100,67.77
2013-10-11,67.04,67.67,66.85,67.46,66200,67.24
2013-10-10,66.50,67.44,66.50,67.33,351600,67.11
2013-10-09,66.20,66.20,65.18,65.86,324700,65.65
2013-10-08,67.26,67.38,65.85,66.10,311600,65.89
2013-10-07,66.91,67.60,66.76,67.17,91200,66.95
