Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,5.59,5.85,5.53,5.82,78800,5.82
2014-02-21,5.64,5.73,5.44,5.59,90700,5.59
2014-02-20,5.38,5.65,5.38,5.60,38600,5.60
2014-02-19,5.68,5.84,5.38,5.38,69600,5.38
2014-02-18,5.73,5.85,5.63,5.72,69400,5.72
2014-02-14,5.54,5.71,5.49,5.59,111700,5.59
2014-02-13,5.16,5.61,5.16,5.53,94900,5.53
2014-02-12,5.18,5.30,5.13,5.20,108700,5.20
2014-02-11,5.25,5.35,5.05,5.16,189500,5.16
2014-02-10,5.59,5.59,5.36,5.40,90700,5.40
2014-02-07,5.55,5.69,5.47,5.57,91400,5.57
2014-02-06,5.46,5.61,5.43,5.55,99700,5.55
2014-02-05,5.50,5.73,5.36,5.43,69400,5.43
2014-02-04,5.49,5.62,5.42,5.56,74000,5.56
2014-02-03,5.76,5.86,5.37,5.48,107900,5.48
2014-01-31,5.79,5.87,5.66,5.75,113200,5.75
2014-01-30,5.90,6.08,5.84,5.92,109400,5.92
2014-01-29,5.98,6.12,5.77,5.89,70800,5.89
2014-01-28,6.02,6.20,5.91,6.02,88400,6.02
2014-01-27,6.24,6.24,6.00,6.06,39300,6.06
2014-01-24,6.49,6.49,6.13,6.25,63300,6.25
2014-01-23,6.69,6.70,6.51,6.56,54800,6.56
2014-01-22,6.77,6.77,6.60,6.73,33500,6.73
2014-01-21,6.81,6.81,6.59,6.74,49700,6.74
2014-01-17,6.73,6.87,6.69,6.74,38400,6.74
2014-01-16,6.61,6.80,6.61,6.75,58600,6.75
2014-01-15,6.57,6.67,6.56,6.64,27800,6.64
2014-01-14,6.42,6.57,6.42,6.56,24400,6.56
2014-01-13,6.67,6.69,6.31,6.42,90800,6.42
2014-01-10,6.80,6.80,6.51,6.67,49500,6.67
2014-01-09,6.77,6.78,6.70,6.78,58200,6.78
2014-01-08,6.72,6.78,6.66,6.72,52300,6.72
2014-01-07,6.72,6.83,6.72,6.75,60500,6.75
2014-01-06,6.71,6.74,6.64,6.70,74500,6.70
2014-01-03,6.70,6.79,6.59,6.70,63100,6.70
2014-01-02,6.69,6.79,6.50,6.71,66400,6.71
2013-12-31,6.89,6.95,6.67,6.70,76900,6.70
2013-12-30,6.85,6.99,6.82,6.86,58800,6.86
2013-12-27,6.82,6.89,6.76,6.85,35300,6.85
2013-12-26,6.79,6.95,6.72,6.77,58700,6.77
2013-12-24,6.55,6.79,6.55,6.71,19300,6.71
2013-12-23,6.67,6.81,6.50,6.61,86300,6.61
2013-12-20,6.49,6.74,6.49,6.65,266000,6.65
2013-12-19,6.63,6.68,6.45,6.45,47800,6.45
2013-12-18,6.46,6.68,6.39,6.65,61600,6.65
2013-12-17,6.60,6.73,6.41,6.43,74300,6.43
2013-12-16,6.79,6.86,6.60,6.62,164200,6.62
2013-12-13,6.75,6.83,6.72,6.78,34900,6.78
2013-12-12,6.65,6.76,6.58,6.71,55400,6.71
2013-12-11,6.62,6.75,6.53,6.65,146300,6.65
2013-12-10,6.88,6.93,6.55,6.58,128600,6.58
2013-12-09,6.99,7.05,6.86,6.91,41400,6.91
2013-12-06,7.09,7.09,6.88,7.00,69400,7.00
2013-12-05,6.93,7.01,6.81,6.99,70500,6.99
2013-12-04,7.02,7.11,6.91,6.95,134600,6.95
2013-12-03,7.04,7.18,7.00,7.03,68900,7.03
2013-12-02,6.89,7.08,6.82,7.07,130300,7.07
2013-11-29,6.77,6.98,6.75,6.91,55800,6.91
2013-11-27,6.59,6.79,6.59,6.76,75400,6.76
2013-11-26,6.68,6.70,6.43,6.54,103100,6.54
2013-11-25,6.63,6.73,6.55,6.65,70600,6.65
2013-11-22,6.51,6.61,6.43,6.60,54200,6.60
2013-11-21,6.44,6.57,6.44,6.49,49400,6.49
2013-11-20,6.42,6.57,6.35,6.38,35900,6.38
2013-11-19,6.50,6.59,6.30,6.35,54600,6.35
2013-11-18,6.36,6.62,6.36,6.48,61600,6.48
2013-11-15,6.30,6.36,6.30,6.31,102500,6.31
2013-11-14,6.46,6.49,6.30,6.31,44900,6.31
2013-11-13,6.22,6.45,6.21,6.44,148400,6.44
2013-11-12,6.17,6.27,6.16,6.27,112900,6.27
2013-11-11,6.16,6.19,6.10,6.17,143500,6.12
2013-11-08,5.97,6.14,5.94,6.14,100300,6.09
2013-11-07,6.34,6.34,5.98,5.99,94900,5.94
2013-11-06,6.66,6.66,6.32,6.33,53100,6.28
2013-11-05,6.76,6.76,6.50,6.64,176900,6.59
2013-11-04,6.75,6.85,6.71,6.81,284500,6.75
2013-11-01,6.77,6.79,6.71,6.71,263500,6.66
2013-10-31,6.73,6.96,6.69,6.78,286700,6.73
2013-10-30,6.60,6.80,6.59,6.72,160500,6.67
2013-10-29,6.11,6.88,6.10,6.66,84300,6.61
2013-10-28,6.93,6.97,6.80,6.85,38100,6.79
2013-10-25,7.02,7.02,6.79,6.93,90700,6.87
2013-10-24,6.74,7.00,6.74,6.99,100600,6.93
2013-10-23,6.61,6.80,6.61,6.74,130000,6.69
2013-10-22,6.58,6.74,6.56,6.67,77200,6.62
2013-10-21,6.55,6.64,6.48,6.53,60000,6.48
2013-10-18,6.51,6.60,6.43,6.55,111300,6.50
2013-10-17,6.40,6.50,6.40,6.47,100300,6.42
2013-10-16,6.27,6.45,6.27,6.44,94300,6.39
2013-10-15,6.29,6.30,6.21,6.24,52200,6.19
2013-10-14,6.23,6.30,6.23,6.29,66400,6.24
2013-10-11,6.10,6.30,6.10,6.26,50800,6.21
2013-10-10,6.20,6.22,6.08,6.13,48700,6.08
2013-10-09,6.09,6.20,6.04,6.10,158300,6.05
2013-10-08,6.10,6.10,6.00,6.05,62500,6.00
2013-10-07,6.08,6.10,6.05,6.09,61100,6.04
2013-10-04,6.13,6.23,6.11,6.16,36100,6.11
2013-10-03,6.13,6.19,6.08,6.16,53300,6.11
2013-10-02,6.25,6.25,6.09,6.12,139800,6.07
2013-10-01,6.05,6.28,6.03,6.28,114700,6.23
2013-09-30,6.05,6.10,6.00,6.07,103500,6.02
2013-09-27,6.20,6.20,6.08,6.10,30800,6.05
2013-09-26,6.30,6.31,6.17,6.25,47800,6.20
2013-09-25,6.28,6.34,6.11,6.27,66300,6.22
2013-09-24,6.12,6.34,6.05,6.25,60400,6.20
2013-09-23,6.13,6.16,6.01,6.10,78400,6.05
2013-09-20,6.13,6.15,6.07,6.10,283400,6.05
2013-09-19,6.25,6.26,6.10,6.13,28000,6.08
2013-09-18,6.15,6.25,6.12,6.25,64400,6.20
2013-09-17,6.09,6.19,6.01,6.19,51800,6.14
2013-09-16,6.16,6.17,6.01,6.07,41200,6.02
2013-09-13,6.07,6.20,6.00,6.12,27200,6.07
2013-09-12,6.01,6.09,6.01,6.04,34000,5.99
2013-09-11,6.20,6.20,6.03,6.05,52800,6.00
2013-09-10,6.14,6.25,6.05,6.23,55100,6.18
2013-09-09,5.99,6.15,5.98,6.12,61100,6.07
2013-09-06,6.10,6.10,5.81,5.99,79000,5.94
2013-09-05,6.00,6.10,6.00,6.09,43300,6.04
2013-09-04,5.85,6.03,5.72,6.01,110700,5.96
2013-09-03,5.79,5.86,5.69,5.84,107400,5.79
2013-08-30,6.01,6.01,5.65,5.71,76600,5.66
2013-08-29,5.97,6.05,5.97,6.03,33700,5.98
2013-08-28,6.10,6.14,5.94,5.98,164500,5.93
2013-08-27,6.00,6.13,6.00,6.09,209200,6.04
2013-08-26,5.98,6.15,5.98,6.09,239200,6.04
2013-08-23,5.93,6.02,5.93,5.98,34500,5.93
2013-08-22,5.77,5.96,5.67,5.93,55100,5.88
2013-08-21,5.71,5.85,5.68,5.77,148200,5.72
2013-08-20,5.67,5.86,5.66,5.75,96900,5.70
2013-08-19,5.53,5.72,5.32,5.67,65700,5.62
2013-08-16,5.65,5.76,5.50,5.51,116600,5.47
2013-08-15,5.81,5.81,5.67,5.68,72100,5.63
2013-08-14,5.91,5.96,5.82,5.92,88600,5.87
2013-08-13,5.89,5.98,5.87,5.89,34500,5.84
2013-08-12,5.76,5.91,5.76,5.90,28500,5.85
2013-08-09,5.96,5.97,5.75,5.80,51200,5.75
2013-08-08,5.94,6.03,5.88,5.97,25600,5.92
2013-08-07,5.99,5.99,5.88,5.92,26700,5.87
2013-08-06,6.02,6.05,5.94,6.02,80500,5.97
2013-08-05,5.87,6.05,5.70,6.04,141400,5.99
2013-08-02,5.98,6.06,5.90,5.95,31900,5.90
2013-08-01,6.05,6.22,5.99,6.02,251200,5.97
2013-07-31,6.15,6.15,5.99,6.06,59100,6.01
2013-07-30,6.13,6.29,6.08,6.11,40400,6.06
2013-07-29,6.19,6.20,6.07,6.08,19700,6.03
2013-07-26,6.24,6.26,6.16,6.22,36600,6.17
2013-07-25,6.15,6.32,6.00,6.31,85800,6.26
2013-07-24,6.27,6.29,6.15,6.18,35800,6.13
2013-07-23,6.31,6.31,6.22,6.22,37800,6.17
2013-07-22,6.26,6.33,6.17,6.32,38600,6.27
2013-07-19,6.30,6.33,6.24,6.30,46000,6.25
2013-07-18,6.31,6.39,6.23,6.31,64900,6.26
2013-07-17,6.30,6.32,6.09,6.30,76200,6.25
2013-07-16,6.29,6.31,6.18,6.24,65500,6.19
2013-07-15,6.30,6.32,6.16,6.30,76000,6.25
2013-07-12,6.24,6.30,6.09,6.29,57100,6.24
2013-07-11,6.30,6.30,6.11,6.23,81600,6.18
2013-07-10,6.25,6.28,6.22,6.27,166600,6.22
2013-07-09,6.30,6.30,6.20,6.25,100400,6.20
2013-07-08,6.30,6.32,6.24,6.30,57700,6.25
2013-07-05,6.30,6.30,6.23,6.29,51500,6.24
2013-07-03,6.14,6.30,6.14,6.22,49300,6.17
2013-07-02,6.17,6.22,6.15,6.21,133600,6.16
2013-07-01,6.17,6.30,6.16,6.19,190500,6.14
2013-06-28,6.17,6.25,6.09,6.12,115400,6.07
2013-06-27,6.04,6.24,6.00,6.18,70200,6.13
2013-06-26,5.84,6.05,5.80,6.00,194200,5.95
2013-06-25,5.77,5.84,5.72,5.77,70000,5.72
2013-06-24,5.86,5.86,5.55,5.68,102500,5.63
2013-06-21,5.78,5.95,5.76,5.93,170100,5.88
2013-06-20,5.89,5.95,5.70,5.76,76500,5.71
2013-06-19,6.09,6.10,5.85,6.00,50100,5.95
2013-06-18,5.93,6.15,5.93,6.12,59000,6.07
2013-06-17,6.02,6.02,5.85,5.90,28000,5.85
2013-06-14,6.07,6.07,5.92,5.98,72500,5.93
2013-06-13,5.91,6.08,5.90,6.07,67800,6.02
2013-06-12,6.06,6.12,5.90,5.92,59000,5.87
2013-06-11,6.09,6.15,5.94,5.99,116200,5.94
2013-06-10,6.06,6.14,5.98,6.09,102000,6.04
2013-06-07,5.97,6.04,5.89,5.99,91800,5.94
2013-06-06,5.96,5.98,5.68,5.90,75100,5.85
2013-06-05,6.00,6.04,5.96,5.98,80600,5.93
2013-06-04,6.25,6.29,5.90,6.03,297800,5.98
2013-06-03,6.09,6.25,6.01,6.23,237300,6.18
