Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,52.28,52.37,51.00,51.62,4692800,51.62
2014-02-21,51.88,52.75,51.65,52.64,2910000,52.64
2014-02-20,52.99,53.68,52.05,52.34,4584100,52.34
2014-02-19,52.35,53.42,51.97,53.08,5340400,53.08
2014-02-18,52.55,52.93,51.75,52.07,3014600,52.07
2014-02-14,53.23,53.65,52.45,52.82,2791600,52.82
2014-02-13,55.53,55.54,53.02,53.12,4554000,53.12
2014-02-12,54.33,54.84,53.98,54.36,3651100,54.36
2014-02-11,56.30,56.42,54.34,54.67,2783300,54.67
2014-02-10,57.69,57.75,56.54,56.59,1748500,56.59
2014-02-07,59.82,60.35,57.48,57.59,3550700,57.59
2014-02-06,62.72,62.76,60.65,60.84,1406000,60.84
2014-02-05,63.40,65.39,62.61,63.31,2194000,63.31
2014-02-04,63.22,63.82,62.05,62.64,1688900,62.64
2014-02-03,60.40,64.69,59.60,64.24,3663300,64.24
2014-01-31,61.59,61.75,59.23,60.10,1827800,60.10
2014-01-30,60.74,60.98,58.97,59.77,1620600,59.77
2014-01-29,62.67,63.46,61.39,63.14,2166600,63.14
2014-01-28,61.92,62.27,60.95,61.09,1469800,61.09
2014-01-27,59.28,62.35,58.99,61.01,2883800,61.01
2014-01-24,56.64,59.40,56.60,59.40,2518500,59.40
2014-01-23,13.98,14.29,13.98,14.02,760900,56.08
2014-01-22,13.88,13.99,13.77,13.85,485100,55.40
2014-01-21,14.03,14.33,13.95,13.97,540600,55.88
2014-01-17,14.17,14.40,14.06,14.31,498600,57.24
2014-01-16,14.11,14.16,14.00,14.04,459400,56.16
2014-01-15,14.25,14.28,13.98,14.07,715200,56.28
2014-01-14,15.14,15.14,14.39,14.44,925400,57.76
2014-01-13,14.73,15.47,14.56,15.29,596100,61.16
2014-01-10,14.70,15.02,14.60,14.64,457600,58.56
2014-01-09,14.48,14.95,14.48,14.81,584200,59.24
2014-01-08,14.76,14.83,14.53,14.63,593500,58.52
2014-01-07,14.95,15.04,14.68,14.74,530700,58.96
2014-01-06,15.00,15.33,14.94,15.16,346000,60.64
2014-01-03,14.67,15.01,14.64,15.00,387800,60.00
2014-01-02,14.53,14.80,14.53,14.68,579500,58.72
2013-12-31,14.54,14.57,14.35,14.35,327100,57.40
2013-12-30,14.63,14.75,14.57,14.62,250300,58.48
2013-12-27,14.40,14.62,14.38,14.57,461500,58.28
2013-12-26,14.54,14.61,14.43,14.47,207700,57.88
2013-12-24,14.61,14.69,14.58,14.59,202400,58.36
2013-12-23,14.73,14.87,14.63,14.63,515700,58.52
2013-12-20,15.51,15.51,15.00,15.10,568000,60.40
2013-12-19,15.54,15.77,15.52,15.57,385100,62.28
2013-12-18,15.98,16.63,15.40,15.43,1013100,61.72
2013-12-17,15.89,16.10,15.81,15.98,387200,63.92
2013-12-16,15.93,15.97,15.63,15.90,441900,63.60
2013-12-13,15.88,16.27,15.87,16.18,355000,64.72
2013-12-12,15.99,16.15,15.86,16.10,478000,64.40
2013-12-11,15.42,16.06,15.35,16.00,658400,64.00
2013-12-10,15.45,15.49,15.32,15.40,285200,61.60
2013-12-09,15.39,15.45,15.27,15.39,258500,61.56
2013-12-06,15.52,15.79,15.46,15.56,504100,62.24
2013-12-05,15.80,16.03,15.76,15.90,577300,63.60
2013-12-04,16.09,16.24,15.69,15.84,628500,63.36
2013-12-03,15.90,16.08,15.77,15.87,643400,63.48
2013-12-02,15.67,15.92,15.59,15.87,562700,63.48
2013-11-29,15.83,15.86,15.65,15.76,290300,63.04
2013-11-27,16.25,16.29,15.99,16.00,469100,64.00
2013-11-26,16.60,16.70,16.23,16.36,503000,65.44
2013-11-25,16.54,16.74,16.50,16.62,360600,66.48
2013-11-22,16.90,16.96,16.72,16.73,412700,66.92
2013-11-21,17.35,17.37,16.96,17.01,591900,68.04
2013-11-20,17.28,17.70,17.09,17.54,647200,70.16
2013-11-19,17.28,17.50,17.05,17.41,812100,69.64
2013-11-18,16.80,17.36,16.70,17.26,486800,69.04
2013-11-15,16.84,17.00,16.78,16.78,409900,67.12
