Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,30.03,31.09,30.01,30.91,146300,30.91
2014-02-21,30.07,30.29,29.76,30.08,306200,30.08
2014-02-20,29.97,30.13,29.48,29.91,222300,29.91
2014-02-19,30.87,31.16,29.68,29.74,219600,29.74
2014-02-18,30.61,31.05,30.60,30.88,90700,30.88
2014-02-14,30.63,30.79,30.26,30.60,101500,30.60
2014-02-13,30.43,30.71,30.19,30.68,182000,30.68
2014-02-12,30.76,31.24,30.48,30.66,147300,30.66
2014-02-11,30.46,30.93,30.35,30.79,131900,30.79
2014-02-10,31.02,31.25,30.21,30.53,258500,30.33
2014-02-07,30.86,31.33,30.58,31.06,137900,30.86
2014-02-06,30.07,30.87,29.76,30.84,297200,30.64
2014-02-05,30.32,30.63,29.99,30.05,192400,29.85
2014-02-04,30.18,30.76,30.01,30.47,166500,30.27
2014-02-03,31.47,31.47,29.99,30.10,243200,29.90
2014-01-31,31.54,31.95,31.40,31.50,172900,31.29
2014-01-30,32.30,32.38,32.11,32.15,113600,31.94
2014-01-29,32.16,32.55,32.11,32.20,164400,31.99
2014-01-28,32.58,32.79,32.26,32.42,122800,32.21
2014-01-27,33.56,33.58,32.58,32.60,108100,32.39
2014-01-24,33.96,34.11,33.34,33.45,98800,33.23
2014-01-23,33.76,34.22,33.48,34.20,251100,33.98
2014-01-22,33.48,33.98,33.33,33.97,81000,33.75
2014-01-21,33.15,33.66,33.15,33.51,196400,33.29
2014-01-17,32.66,32.96,32.60,32.93,127900,32.71
2014-01-16,32.94,33.00,32.53,32.75,105300,32.54
2014-01-15,33.00,33.32,33.00,33.10,65900,32.88
2014-01-14,32.99,33.19,32.74,32.96,200500,32.74
2014-01-13,33.22,33.34,32.64,32.93,141400,32.71
2014-01-10,33.80,33.80,33.14,33.34,115600,33.12
2014-01-09,34.05,34.27,33.75,33.78,118100,33.56
2014-01-08,33.48,34.00,33.48,33.86,185100,33.64
2014-01-07,33.50,34.08,33.48,33.55,93300,33.33
2014-01-06,33.40,33.72,33.26,33.37,187100,33.15
2014-01-03,33.05,33.50,33.05,33.37,90700,33.15
2014-01-02,33.91,33.97,33.27,33.30,185800,33.08
2013-12-31,34.07,34.35,34.02,34.08,114000,33.86
2013-12-30,34.22,34.26,34.03,34.09,90100,33.87
2013-12-27,34.56,34.56,33.88,34.22,104400,34.00
2013-12-26,35.20,35.20,34.27,34.41,381500,34.18
2013-12-24,34.33,34.80,34.33,34.45,49300,34.22
2013-12-23,33.63,34.45,33.57,34.45,220600,34.22
2013-12-20,33.12,33.64,32.92,33.55,1269800,33.33
2013-12-19,33.26,33.39,32.84,32.97,219800,32.75
2013-12-18,33.21,33.28,32.55,33.27,393700,33.05
2013-12-17,32.85,33.14,32.68,33.08,170200,32.86
2013-12-16,32.55,32.93,32.44,32.93,195800,32.71
2013-12-13,32.74,32.81,32.22,32.47,259200,32.26
2013-12-12,32.22,32.86,32.11,32.65,140700,32.44
2013-12-11,32.30,32.53,32.00,32.22,282800,32.01
2013-12-10,32.59,32.71,32.01,32.24,340600,32.03
2013-12-09,33.06,33.20,32.41,32.68,504700,32.47
2013-12-06,32.88,33.38,32.78,33.13,144100,32.91
