Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,0.53,0.55,0.52,0.54,122900,0.54
2014-02-21,0.56,0.57,0.52,0.53,221800,0.53
2014-02-20,0.53,0.56,0.53,0.55,75500,0.55
2014-02-19,0.53,0.55,0.52,0.52,103200,0.52
2014-02-18,0.54,0.55,0.52,0.54,109900,0.54
2014-02-14,0.56,0.57,0.54,0.54,97800,0.54
2014-02-13,0.51,0.55,0.51,0.55,72700,0.55
2014-02-12,0.54,0.57,0.51,0.52,118300,0.52
2014-02-11,0.55,0.59,0.52,0.54,616100,0.54
2014-02-10,0.52,0.57,0.51,0.55,306400,0.55
2014-02-07,0.50,0.57,0.48,0.53,430800,0.53
2014-02-06,0.46,0.51,0.46,0.48,264300,0.48
2014-02-05,0.46,0.48,0.46,0.46,314200,0.46
2014-02-04,0.47,0.49,0.45,0.46,289000,0.46
2014-02-03,0.50,0.50,0.47,0.48,324100,0.48
2014-01-31,0.51,0.54,0.50,0.51,347700,0.51
2014-01-30,0.50,0.54,0.50,0.53,298000,0.53
2014-01-29,0.53,0.56,0.50,0.50,209900,0.50
2014-01-28,0.53,0.56,0.50,0.53,418500,0.53
2014-01-27,0.54,0.57,0.52,0.54,290000,0.54
2014-01-24,0.56,0.58,0.53,0.54,636500,0.54
2014-01-23,0.57,0.59,0.56,0.57,296500,0.57
2014-01-22,0.58,0.59,0.57,0.58,126300,0.58
2014-01-21,0.59,0.61,0.56,0.58,679300,0.58
2014-01-17,0.54,0.61,0.54,0.57,520200,0.57
2014-01-16,0.54,0.55,0.52,0.54,334800,0.54
2014-01-15,0.56,0.56,0.56,0.56,000,0.56
2014-01-14,0.58,0.59,0.51,0.51,482400,0.51
2014-01-13,0.57,0.57,0.55,0.56,365600,0.56
2014-01-10,0.56,0.61,0.56,0.57,374800,0.57
2014-01-09,0.62,0.64,0.55,0.56,1183500,0.56
2014-01-08,0.64,0.67,0.60,0.62,879700,0.62
2014-01-07,0.60,0.65,0.60,0.63,764900,0.63
2014-01-06,0.55,0.64,0.53,0.59,1605400,0.59
2014-01-03,0.52,0.55,0.52,0.55,493100,0.55
2014-01-02,0.54,0.55,0.52,0.52,312200,0.52
2013-12-31,0.54,0.55,0.51,0.51,527700,0.51
2013-12-30,0.53,0.56,0.51,0.54,595500,0.54
2013-12-27,0.54,0.56,0.50,0.54,2053000,0.54
2013-12-26,0.51,0.57,0.51,0.51,505600,0.51
2013-12-24,0.57,0.58,0.50,0.51,360400,0.51
2013-12-23,0.53,0.60,0.50,0.54,4223400,0.54
2013-12-20,0.47,0.55,0.46,0.53,1856600,0.53
2013-12-19,0.46,0.48,0.44,0.46,788200,0.46
2013-12-18,0.46,0.50,0.46,0.46,312500,0.46
2013-12-17,0.49,0.51,0.45,0.46,568200,0.46
2013-12-16,0.46,0.52,0.44,0.49,832000,0.49
2013-12-13,0.46,0.49,0.45,0.46,577000,0.46
2013-12-12,0.43,0.46,0.42,0.45,713300,0.45
2013-12-11,0.40,0.44,0.40,0.44,901900,0.44
2013-12-10,0.40,0.42,0.38,0.39,2211300,0.39
2013-12-09,0.41,0.43,0.38,0.40,1381600,0.40
2013-12-06,0.44,0.44,0.41,0.42,937300,0.42
2013-12-05,0.44,0.45,0.41,0.43,685300,0.43
2013-12-04,0.47,0.49,0.42,0.45,969400,0.45
2013-12-03,0.50,0.51,0.47,0.48,1297500,0.48
2013-12-02,0.52,0.53,0.50,0.50,540100,0.50
2013-11-29,0.51,0.54,0.51,0.53,167300,0.53
2013-11-27,0.53,0.55,0.50,0.53,728300,0.53
2013-11-26,0.54,0.57,0.54,0.55,1065100,0.55
2013-11-25,0.55,0.56,0.51,0.53,475300,0.53
2013-11-22,0.57,0.57,0.55,0.56,373000,0.56
2013-11-21,0.57,0.58,0.55,0.57,2598400,0.57
2013-11-20,0.57,0.59,0.57,0.58,168700,0.58
2013-11-19,0.59,0.59,0.56,0.56,946500,0.56
2013-11-18,0.60,0.61,0.55,0.59,658600,0.59
2013-11-15,0.58,0.61,0.56,0.60,1398800,0.60
2013-11-14,0.56,0.62,0.54,0.59,2021600,0.59
2013-11-13,0.58,0.60,0.55,0.56,964200,0.56
2013-11-12,0.60,0.60,0.58,0.59,746200,0.59
2013-11-11,0.60,0.62,0.58,0.61,537600,0.61
2013-11-08,0.58,0.62,0.58,0.61,357900,0.61
2013-11-07,0.59,0.62,0.58,0.59,176000,0.59
2013-11-06,0.63,0.64,0.59,0.59,187400,0.59
2013-11-05,0.61,0.65,0.60,0.63,287300,0.63
2013-11-04,0.64,0.66,0.61,0.62,263300,0.62
2013-11-01,0.60,0.71,0.59,0.65,435200,0.65
2013-10-31,0.62,0.66,0.60,0.60,374200,0.60
2013-10-30,0.65,0.68,0.62,0.62,392600,0.62
2013-10-29,0.69,0.69,0.63,0.65,364700,0.65
2013-10-28,0.68,0.70,0.67,0.69,147300,0.69
2013-10-25,0.70,0.70,0.66,0.67,278100,0.67
2013-10-24,0.65,0.71,0.65,0.69,189600,0.69
2013-10-23,0.67,0.68,0.65,0.67,241900,0.67
2013-10-22,0.67,0.70,0.65,0.68,265500,0.68
2013-10-21,0.70,0.75,0.66,0.67,290200,0.67
2013-10-18,0.74,0.74,0.66,0.70,424100,0.70
2013-10-17,0.65,0.73,0.64,0.72,565600,0.72
2013-10-16,0.66,0.68,0.63,0.65,104200,0.65
2013-10-15,0.65,0.67,0.64,0.65,293200,0.65
2013-10-14,0.67,0.70,0.65,0.67,311300,0.67
2013-10-11,0.67,0.67,0.64,0.67,194800,0.67
2013-10-10,0.68,0.73,0.66,0.67,176400,0.67
2013-10-09,0.73,0.75,0.67,0.67,275400,0.67
2013-10-08,0.68,0.76,0.66,0.74,385100,0.74
2013-10-07,0.62,0.69,0.59,0.68,371800,0.68
2013-10-04,0.62,0.63,0.61,0.62,432200,0.62
2013-10-03,0.62,0.63,0.61,0.62,628200,0.62
2013-10-02,0.63,0.63,0.61,0.62,464900,0.62
2013-10-01,0.62,0.64,0.59,0.63,847000,0.63
2013-09-30,0.65,0.67,0.58,0.61,937500,0.61
2013-09-27,0.70,0.70,0.65,0.67,201000,0.67
2013-09-26,0.70,0.71,0.66,0.71,472400,0.71
2013-09-25,0.71,0.71,0.70,0.70,302200,0.70
2013-09-24,0.70,0.71,0.69,0.71,390000,0.71
2013-09-23,0.74,0.75,0.69,0.70,754900,0.70
2013-09-20,0.76,0.76,0.71,0.72,2106300,0.72
2013-09-19,0.81,0.81,0.74,0.75,707600,0.75
2013-09-18,0.75,0.80,0.74,0.80,902500,0.80
2013-09-17,0.78,0.78,0.73,0.75,620500,0.75
2013-09-16,0.75,0.84,0.75,0.77,462000,0.77
2013-09-13,0.78,0.80,0.76,0.76,373600,0.76
2013-09-12,0.82,0.82,0.75,0.76,184800,0.76
2013-09-11,0.77,0.78,0.75,0.77,263900,0.77
2013-09-10,0.78,0.83,0.75,0.78,542200,0.78
2013-09-09,0.79,0.84,0.76,0.77,451700,0.77
2013-09-06,0.78,0.81,0.76,0.79,454500,0.79
2013-09-05,0.79,0.79,0.76,0.78,239900,0.78
2013-09-04,0.80,0.80,0.78,0.79,214400,0.79
