Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,28.74,29.63,28.74,29.27,34800,29.27
2014-02-21,28.81,29.09,28.76,28.78,23200,28.78
2014-02-20,28.33,28.77,28.33,28.62,10200,28.62
2014-02-19,29.09,29.09,28.17,28.18,22700,28.18
2014-02-18,28.76,29.27,28.45,29.05,24700,29.05
2014-02-14,28.78,29.04,28.43,28.76,30800,28.76
2014-02-13,28.24,28.89,28.24,28.72,11300,28.72
2014-02-12,28.38,28.80,28.25,28.44,88800,28.44
2014-02-11,28.01,29.22,28.01,28.26,16100,28.26
2014-02-10,28.27,28.37,27.42,27.92,63800,27.92
2014-02-07,28.07,28.37,27.89,28.27,24700,28.27
2014-02-06,28.08,28.29,27.91,28.02,20700,28.02
2014-02-05,28.25,28.74,27.90,28.02,35100,28.02
2014-02-04,28.75,28.75,28.04,28.36,26500,28.36
2014-02-03,29.57,29.78,28.09,28.49,37000,28.49
2014-01-31,29.41,30.01,29.41,29.59,29700,29.59
2014-01-30,29.72,30.24,29.54,30.04,35900,30.04
2014-01-29,29.36,29.88,29.16,29.54,50800,29.54
2014-01-28,29.47,30.09,29.37,29.60,84600,29.60
2014-01-27,29.92,30.15,29.01,29.35,25600,29.35
2014-01-24,30.27,30.38,29.79,29.83,23800,29.83
2014-01-23,30.19,30.71,30.19,30.38,20800,30.38
2014-01-22,30.53,31.20,30.41,31.11,20200,31.11
2014-01-21,29.80,30.52,29.63,30.40,26200,30.40
2014-01-17,29.75,30.00,29.66,29.71,38600,29.71
2014-01-16,29.71,29.90,29.54,29.70,38800,29.70
2014-01-15,30.15,30.15,29.72,29.79,57800,29.79
2014-01-14,30.01,30.19,29.81,30.05,38400,30.05
2014-01-13,30.07,30.13,29.61,29.99,45900,29.99
2014-01-10,30.37,30.59,29.98,30.09,66300,30.09
2014-01-09,29.99,30.19,29.68,29.87,25000,29.87
2014-01-08,30.14,30.24,29.66,29.94,21800,29.94
2014-01-07,30.06,30.36,30.01,30.09,12100,30.09
2014-01-06,30.40,30.56,29.55,29.96,26800,29.96
2014-01-03,30.58,30.76,30.14,30.38,23400,30.38
2014-01-02,31.75,31.75,30.42,30.56,38100,30.56
2013-12-31,31.94,32.25,31.82,31.92,24600,31.92
2013-12-30,32.33,32.49,31.64,31.80,53700,31.80
2013-12-27,32.50,32.51,32.09,32.48,13400,32.48
2013-12-26,32.44,32.53,32.39,32.49,11400,32.49
2013-12-24,32.50,32.56,32.50,32.50,26200,32.50
2013-12-23,32.64,32.74,32.28,32.50,49200,32.50
2013-12-20,32.41,32.50,31.93,32.40,201000,32.40
2013-12-19,32.75,32.75,32.43,32.46,13000,32.46
2013-12-18,32.34,33.42,32.06,33.07,24200,33.07
2013-12-17,31.50,32.37,31.50,32.23,10000,32.23
2013-12-16,31.27,32.66,31.22,32.25,28800,32.25
2013-12-13,31.30,31.78,30.82,31.13,22000,31.13
2013-12-12,31.09,31.62,31.03,31.20,14100,31.20
2013-12-11,31.64,32.76,31.01,31.06,27200,31.06
2013-12-10,31.59,32.02,31.41,31.47,25800,31.47
2013-12-09,32.01,32.06,31.68,31.98,16800,31.98
2013-12-06,32.28,32.99,31.92,32.08,36000,32.08
2013-12-05,31.70,32.29,31.41,31.91,21900,31.91
2013-12-04,32.07,32.40,31.66,32.05,31300,31.84
2013-12-03,32.54,32.96,32.06,32.13,55600,31.92
2013-12-02,33.36,33.68,32.61,32.67,60800,32.46
2013-11-29,33.13,33.84,33.13,33.77,9900,33.55
2013-11-27,32.23,33.00,32.05,32.85,17600,32.63
2013-11-26,31.50,32.30,31.12,32.25,15300,32.04
2013-11-25,31.27,31.71,31.24,31.37,12300,31.16
2013-11-22,30.70,31.54,30.30,31.20,20100,31.00
2013-11-21,30.33,30.79,30.20,30.78,25300,30.58
2013-11-20,29.80,30.37,29.75,30.18,11600,29.98
2013-11-19,30.25,30.75,29.89,30.07,14200,29.87
2013-11-18,30.00,30.97,29.87,30.26,11100,30.06
2013-11-15,30.17,30.25,29.75,30.16,14600,29.96
2013-11-14,30.27,30.27,29.96,30.22,8200,30.02
2013-11-13,30.27,30.36,29.79,30.32,12900,30.12
2013-11-12,30.10,30.34,29.76,30.13,14600,29.93
2013-11-11,30.50,30.50,29.84,30.29,9500,30.09
2013-11-08,29.46,31.00,29.46,30.57,21700,30.37
2013-11-07,29.59,30.16,29.24,29.48,12500,29.29
2013-11-06,30.32,30.69,29.95,29.98,7100,29.78
2013-11-05,30.96,30.96,30.10,30.11,8100,29.91
2013-11-04,30.05,30.75,29.57,30.36,25600,30.16
2013-11-01,29.91,30.46,29.68,30.00,38900,29.80
2013-10-31,30.37,30.63,29.94,30.01,37500,29.81
2013-10-30,30.52,30.82,30.34,30.44,25000,30.24
2013-10-29,30.90,31.00,30.30,30.53,39000,30.33
2013-10-28,30.89,31.00,29.39,30.90,18600,30.70
2013-10-25,30.40,30.97,29.99,30.84,24900,30.64
2013-10-24,29.58,30.29,28.44,30.29,30400,30.09
2013-10-23,29.25,30.13,25.24,29.78,32600,29.58
2013-10-22,29.65,30.10,29.49,29.74,29200,29.55
2013-10-21,29.33,30.00,29.33,29.64,19900,29.45
2013-10-18,29.73,29.98,28.40,29.80,32700,29.60
2013-10-17,29.27,29.48,29.02,29.43,31000,29.24
2013-10-16,29.15,29.49,29.14,29.16,21900,28.97
2013-10-15,29.34,29.34,28.83,28.94,11800,28.75
2013-10-14,28.48,29.49,28.44,29.22,23900,29.03
2013-10-11,27.99,28.92,27.91,28.76,16500,28.57
2013-10-10,27.61,28.10,27.32,28.00,43900,27.82
2013-10-09,27.44,27.59,27.05,27.23,18500,27.05
2013-10-08,27.42,27.75,27.23,27.39,17500,27.21
2013-10-07,27.35,27.72,27.35,27.35,10100,27.17
2013-10-04,27.81,28.01,27.46,27.68,12200,27.50
2013-10-03,28.04,28.19,27.32,27.88,21200,27.70
2013-10-02,29.06,29.20,28.00,28.00,41200,27.82
2013-10-01,28.47,29.75,28.45,29.18,54400,28.99
2013-09-30,28.17,28.50,27.97,28.33,43900,28.14
2013-09-27,28.15,28.50,28.15,28.33,8200,28.14
2013-09-26,28.22,28.50,27.94,28.38,21700,28.19
2013-09-25,27.97,28.41,27.75,28.12,20700,27.94
2013-09-24,28.01,28.05,27.80,27.86,45800,27.68
2013-09-23,27.73,28.09,27.73,27.94,23600,27.76
2013-09-20,27.49,27.97,27.42,27.75,46800,27.57
2013-09-19,27.84,27.84,27.17,27.48,22200,27.30
2013-09-18,26.83,28.23,26.62,27.86,33900,27.68
2013-09-17,26.66,26.69,26.55,26.69,15800,26.52
2013-09-16,26.70,26.70,26.47,26.67,25000,26.50
2013-09-13,26.50,26.67,26.41,26.48,8400,26.31
2013-09-12,26.32,26.70,26.29,26.36,19900,26.19
2013-09-11,26.59,26.87,26.38,26.58,36900,26.41
2013-09-10,26.54,26.62,26.21,26.61,24100,26.44
2013-09-09,26.32,26.40,26.15,26.33,16100,26.16
2013-09-06,26.49,26.71,26.12,26.32,15500,26.15
2013-09-05,26.43,26.50,26.22,26.39,13500,26.22
2013-09-04,26.55,26.88,26.30,26.52,13600,26.15
2013-09-03,26.87,27.01,26.46,26.56,26800,26.19
2013-08-30,26.71,26.83,26.18,26.55,37300,26.18
2013-08-29,26.86,26.99,26.66,26.82,13000,26.44
2013-08-28,26.81,26.98,26.59,26.63,14100,26.26
2013-08-27,27.22,27.53,26.71,26.73,24900,26.35
2013-08-26,27.79,27.80,27.34,27.58,20900,27.19
2013-08-23,27.72,27.84,27.72,27.80,19300,27.41
2013-08-22,27.53,27.83,27.50,27.75,45300,27.36
2013-08-21,27.43,27.63,27.15,27.27,16400,26.89
2013-08-20,27.09,27.59,27.05,27.54,32500,27.15
2013-08-19,27.15,27.61,27.07,27.12,17200,26.74
2013-08-16,27.28,27.75,27.18,27.31,38700,26.93
2013-08-15,27.36,27.71,27.16,27.43,25300,27.04
2013-08-14,27.41,28.04,27.38,27.70,46000,27.31
2013-08-13,27.46,27.61,27.15,27.48,15900,27.09
2013-08-12,27.19,27.75,27.19,27.56,8900,27.17
2013-08-09,27.60,27.75,27.35,27.35,13400,26.97
2013-08-08,28.03,28.03,27.60,27.69,6300,27.30
2013-08-07,28.01,28.22,27.60,27.76,13600,27.37
2013-08-06,27.84,28.24,27.57,28.02,25100,27.63
2013-08-05,27.80,27.93,27.75,27.85,18000,27.46
2013-08-02,27.82,28.04,27.51,27.83,23800,27.44
2013-08-01,28.01,28.13,27.70,27.97,39800,27.58
2013-07-31,27.52,28.13,27.51,27.63,24200,27.24
2013-07-30,27.90,27.92,27.55,27.64,7500,27.25
2013-07-29,27.87,27.88,27.47,27.66,15700,27.27
2013-07-26,28.24,28.25,27.63,27.88,27100,27.49
2013-07-25,27.16,28.46,26.57,28.46,40700,28.06
2013-07-24,27.40,27.41,27.06,27.32,16300,26.94
2013-07-23,27.48,27.48,27.01,27.31,26800,26.93
2013-07-22,26.98,27.69,26.94,27.50,15000,27.11
2013-07-19,26.92,27.11,26.75,26.98,35700,26.60
2013-07-18,26.66,27.10,26.66,26.99,15000,26.61
2013-07-17,26.83,26.99,26.57,26.68,16000,26.31
2013-07-16,26.45,26.92,26.09,26.74,16900,26.36
2013-07-15,26.23,26.45,26.22,26.35,16900,25.98
2013-07-12,26.28,26.41,26.00,26.28,19100,25.91
2013-07-11,26.51,26.81,26.12,26.24,22200,25.87
2013-07-10,25.98,26.48,25.85,26.37,28700,26.00
2013-07-09,26.32,26.53,25.84,26.37,32600,26.00
2013-07-08,26.10,26.37,25.55,26.24,45000,25.87
2013-07-05,25.81,26.26,25.01,26.21,33400,25.84
2013-07-03,24.90,25.46,24.90,25.41,10800,25.05
2013-07-02,25.02,25.25,24.87,25.08,32600,24.73
2013-07-01,24.82,25.09,24.51,24.99,29400,24.64
2013-06-28,24.57,24.95,24.31,24.53,238700,24.19
2013-06-27,24.32,24.80,24.07,24.68,20900,24.33
2013-06-26,24.80,24.80,24.07,24.31,17000,23.97
2013-06-25,24.14,24.69,23.48,24.69,28400,24.34
2013-06-24,23.74,24.19,23.55,23.87,24100,23.53
2013-06-21,23.52,23.98,23.19,23.93,49200,23.59
2013-06-20,23.47,23.54,22.91,23.42,73700,23.09
2013-06-19,24.40,24.53,23.76,23.80,22500,23.47
2013-06-18,24.23,24.79,24.13,24.49,20900,24.15
2013-06-17,23.92,24.46,23.78,24.25,25000,23.91
2013-06-14,24.08,24.08,23.54,23.68,21500,23.35
2013-06-13,23.77,24.14,23.58,24.07,12600,23.73
2013-06-12,24.01,24.12,23.55,23.77,21400,23.44
2013-06-11,24.01,24.22,23.83,23.94,12000,23.60
2013-06-10,23.92,24.75,23.92,24.40,13500,24.06
2013-06-07,24.21,24.26,23.84,24.14,10200,23.80
2013-06-06,23.83,24.06,23.60,24.01,11600,23.67
2013-06-05,24.59,24.59,23.78,23.95,10200,23.42
2013-06-04,24.95,24.95,24.17,24.58,14900,24.03
2013-06-03,24.11,25.00,23.76,24.99,54800,24.43
2013-05-31,24.40,24.40,24.06,24.10,18300,23.56
2013-05-30,24.36,24.60,24.20,24.60,13100,24.05
2013-05-29,24.31,24.41,24.09,24.23,12500,23.69
2013-05-28,24.50,24.87,24.30,24.50,30100,23.95
2013-05-24,24.03,24.45,23.85,24.28,8800,23.74
2013-05-23,23.90,24.10,23.75,24.10,12800,23.56
2013-05-22,24.18,24.50,23.82,23.92,23400,23.39
2013-05-21,24.25,24.38,24.05,24.22,10300,23.68
2013-05-20,24.00,24.40,24.00,24.26,14500,23.72
2013-05-17,23.99,24.21,23.65,24.14,36400,23.60
2013-05-16,23.77,24.07,23.74,23.97,17400,23.44
2013-05-15,23.54,23.90,23.39,23.90,23500,23.37
2013-05-14,23.15,23.69,23.03,23.63,28400,23.10
2013-05-13,23.20,23.40,23.20,23.39,9500,22.87
2013-05-10,23.37,23.37,23.11,23.30,14400,22.78
2013-05-09,23.21,23.38,22.99,23.27,17700,22.75
2013-05-08,23.06,23.31,22.99,23.31,16700,22.79
2013-05-07,23.05,23.29,22.93,23.21,23000,22.69
2013-05-06,23.00,23.08,22.93,23.08,21600,22.57
2013-05-03,23.08,23.25,22.88,22.93,11500,22.42
2013-05-02,22.20,22.98,21.91,22.80,33000,22.29
2013-05-01,22.88,23.06,22.11,22.12,53800,21.63
2013-04-30,22.60,22.98,22.57,22.96,30600,22.45
2013-04-29,22.24,22.66,22.20,22.65,20400,22.15
2013-04-26,22.27,22.32,22.00,22.04,22300,21.55
2013-04-25,22.38,22.58,22.19,22.27,23500,21.77
2013-04-24,21.87,22.32,21.65,22.31,27100,21.81
2013-04-23,21.92,22.03,21.80,21.98,9900,21.49
2013-04-22,21.78,21.82,21.50,21.72,13200,21.24
2013-04-19,21.50,21.81,21.50,21.77,23400,21.29
2013-04-18,21.58,21.78,21.50,21.55,15500,21.07
2013-04-17,21.72,21.99,21.27,21.51,35700,21.03
2013-04-16,21.64,21.98,21.52,21.86,50000,21.37
2013-04-15,22.10,22.25,21.51,21.51,35700,21.03
