Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,14.59,14.84,14.56,14.66,10300,14.66
2014-02-21,14.76,14.95,14.64,14.75,20600,14.75
2014-02-20,14.87,14.87,14.66,14.81,10100,14.81
2014-02-19,14.88,14.90,14.62,14.74,9000,14.74
2014-02-18,15.00,15.01,14.71,14.87,6000,14.87
2014-02-14,14.88,15.21,14.70,15.09,7000,15.09
2014-02-13,14.86,15.07,14.61,14.98,11800,14.98
2014-02-12,14.91,15.09,14.81,14.94,8500,14.94
2014-02-11,14.55,15.00,14.55,15.00,10700,15.00
2014-02-10,14.75,14.81,14.55,14.79,41100,14.79
2014-02-07,14.95,15.10,14.62,14.75,7300,14.75
2014-02-06,14.97,15.29,14.62,15.01,37400,15.01
2014-02-05,14.68,15.47,14.55,15.40,21000,15.40
2014-02-04,15.08,15.08,14.54,14.64,29500,14.64
2014-02-03,15.20,15.21,15.20,15.21,1200,15.21
2014-01-31,15.08,15.49,15.08,15.29,12600,15.29
2014-01-30,15.24,15.41,15.10,15.20,13600,15.20
2014-01-29,15.09,15.31,15.09,15.21,12600,15.21
2014-01-28,15.08,15.28,15.08,15.19,9600,15.19
2014-01-27,15.19,15.38,15.07,15.08,21700,15.08
2014-01-24,15.50,15.50,15.12,15.21,6200,15.21
2014-01-23,15.53,15.59,15.19,15.48,6800,15.48
2014-01-22,15.42,15.59,15.36,15.50,11400,15.50
2014-01-21,15.50,15.57,15.16,15.47,19500,15.47
2014-01-17,15.42,15.61,15.27,15.50,9300,15.50
2014-01-16,15.44,15.65,15.27,15.65,8100,15.65
2014-01-15,15.25,15.72,15.25,15.61,11700,15.61
2014-01-14,15.45,15.72,15.45,15.45,6400,15.45
2014-01-13,15.20,15.53,15.13,15.47,6800,15.47
2014-01-10,15.22,15.27,15.05,15.23,5800,15.23
2014-01-09,15.21,15.37,15.08,15.27,14400,15.27
2014-01-08,15.23,15.50,15.12,15.29,25100,15.29
2014-01-07,15.52,15.56,15.18,15.50,8400,15.50
2014-01-06,15.26,15.59,15.26,15.59,8800,15.59
2014-01-03,15.75,15.75,15.11,15.23,2100,15.23
2014-01-02,15.38,15.51,15.21,15.39,6900,15.39
2013-12-31,15.53,15.60,15.21,15.36,13200,15.36
2013-12-30,15.53,15.71,15.20,15.43,12000,15.43
2013-12-27,15.49,15.76,15.41,15.53,10500,15.53
2013-12-26,15.43,15.59,15.31,15.45,3300,15.45
2013-12-24,15.53,15.53,15.20,15.36,38800,15.36
2013-12-23,15.59,15.70,15.20,15.30,22800,15.30
2013-12-20,15.77,15.77,15.10,15.42,111000,15.42
2013-12-19,15.36,15.50,15.01,15.15,154800,15.15
2013-12-18,15.13,15.44,15.00,15.44,145500,15.44
2013-12-17,15.45,15.74,14.96,15.20,305500,15.20
2013-12-16,16.20,16.39,15.85,16.01,66300,16.01
2013-12-13,16.22,16.44,16.22,16.30,6100,16.30
2013-12-12,16.36,16.42,16.20,16.27,5300,16.27
2013-12-11,16.35,16.44,16.22,16.29,2400,16.29
2013-12-10,16.09,16.50,16.09,16.44,26900,16.44
2013-12-09,16.30,16.30,16.07,16.14,3600,16.14
2013-12-06,16.23,16.39,16.06,16.39,6800,16.39
2013-12-05,16.10,16.26,16.07,16.07,3400,16.07
2013-12-04,16.24,16.40,16.04,16.40,19300,16.40
2013-12-03,16.00,16.40,16.00,16.20,15500,16.20
2013-12-02,16.27,16.31,15.77,16.00,16500,16.00
2013-11-29,16.32,16.32,16.11,16.11,500,16.11
2013-11-27,16.01,16.37,15.85,16.31,12700,16.31
2013-11-26,16.13,16.37,15.99,16.11,4500,16.11
2013-11-25,16.23,16.39,15.80,16.10,3100,16.10
2013-11-22,16.06,16.31,15.80,16.09,1900,16.09
2013-11-21,15.96,16.31,15.81,16.23,15800,16.23
2013-11-20,16.23,16.29,15.80,16.02,16000,16.02
2013-11-19,16.35,16.40,16.01,16.23,22400,16.23
2013-11-18,16.23,16.44,16.20,16.40,14600,16.40
2013-11-15,16.22,16.49,16.10,16.34,13000,16.34
2013-11-14,16.00,16.49,16.00,16.25,10300,16.25
2013-11-13,16.37,16.49,16.03,16.18,8800,15.92
2013-11-12,16.06,16.42,15.81,16.39,14800,16.13
2013-11-11,15.80,16.49,15.80,15.87,34700,15.61
2013-11-08,15.65,16.05,15.51,15.86,3000,15.61
2013-11-07,15.94,16.13,15.80,16.13,15700,15.87
2013-11-06,15.82,16.16,15.80,15.88,12700,15.62
2013-11-05,15.51,16.10,15.51,15.82,5700,15.57
2013-11-04,15.72,16.05,15.72,15.95,4500,15.69
2013-11-01,15.95,15.95,15.07,15.72,9400,15.47
2013-10-31,15.90,16.20,15.75,16.09,14800,15.83
2013-10-30,15.49,15.89,15.45,15.87,16400,15.61
2013-10-29,15.56,15.71,15.50,15.51,17600,15.26
2013-10-28,16.15,16.15,15.50,15.61,16000,15.36
2013-10-25,16.06,16.28,15.71,16.05,5700,15.79
2013-10-24,15.53,16.30,15.45,16.05,15700,15.79
2013-10-23,15.22,15.94,14.95,15.41,21200,15.16
2013-10-22,15.19,15.45,14.59,15.24,77900,15.00
2013-10-21,16.00,16.24,13.80,14.75,128100,14.51
2013-10-18,16.65,16.75,16.46,16.46,23100,16.20
2013-10-17,16.28,16.70,16.28,16.59,25600,16.32
2013-10-16,16.20,16.49,16.20,16.36,33700,16.10
2013-10-15,16.28,16.50,16.26,16.48,35200,16.22
2013-10-14,16.40,16.44,16.02,16.44,8500,16.18
2013-10-11,16.48,16.52,16.41,16.41,12500,16.15
2013-10-10,16.25,16.52,16.25,16.49,21900,16.23
2013-10-09,16.19,16.45,16.00,16.15,13600,15.89
2013-10-08,16.52,16.52,16.03,16.07,23400,15.81
2013-10-07,16.25,16.51,16.18,16.40,13500,16.14
2013-10-04,16.45,16.51,15.92,16.25,83400,15.99
2013-10-03,16.60,16.69,16.40,16.45,12500,16.19
2013-10-02,16.27,16.69,16.27,16.49,25200,16.23
2013-10-01,16.41,16.72,16.30,16.40,22700,16.14
2013-09-30,16.35,16.57,16.25,16.38,25200,16.12
2013-09-27,16.45,16.50,16.25,16.27,10200,16.01
2013-09-26,16.75,16.75,16.25,16.59,14400,16.32
2013-09-25,16.15,16.75,16.00,16.50,417800,16.23
2013-09-24,15.55,16.45,15.36,15.82,12600,15.57
2013-09-23,15.84,16.13,15.84,15.99,900,15.73
2013-09-20,16.05,16.13,16.03,16.03,2100,15.77
2013-09-19,16.51,16.51,15.86,16.29,2500,16.03
2013-09-18,16.40,16.55,16.15,16.40,4700,16.14
2013-09-17,15.50,16.52,15.50,16.51,9800,16.24
2013-09-16,15.50,15.81,15.15,15.65,24000,15.40
2013-09-13,16.43,16.43,16.01,16.02,2700,15.76
2013-09-12,16.31,16.38,16.00,16.06,2000,15.80
2013-09-11,16.50,16.50,16.08,16.36,5700,16.10
2013-09-10,16.39,16.39,15.86,16.35,8800,16.09
2013-09-09,16.40,16.52,16.06,16.26,2500,16.00
2013-09-06,15.66,16.47,15.60,16.29,3000,16.03
2013-09-05,15.68,16.52,15.68,16.22,2200,15.96
2013-09-04,15.76,16.02,15.20,15.66,62800,15.41
2013-09-03,15.63,16.32,15.52,16.00,3500,15.74
2013-08-30,16.11,16.11,15.50,15.63,5600,15.38
2013-08-29,15.85,16.49,15.75,15.75,2400,15.50
2013-08-28,15.62,15.81,15.57,15.78,1100,15.53
2013-08-27,15.99,16.09,15.75,15.94,3900,15.68
2013-08-26,16.25,16.40,15.82,16.09,5400,15.83
2013-08-23,16.39,16.96,16.25,16.40,2000,16.14
2013-08-22,16.73,16.77,16.26,16.31,1800,16.05
2013-08-21,16.30,16.57,15.96,16.20,7200,15.94
2013-08-20,16.40,16.50,16.32,16.40,2300,16.14
2013-08-19,16.40,16.52,16.28,16.37,2800,16.11
2013-08-16,15.26,16.53,15.24,16.27,5300,16.01
