Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,3.69,3.94,3.69,3.90,134300,3.90
2014-02-21,3.79,3.83,3.70,3.70,42100,3.70
2014-02-20,3.87,3.87,3.68,3.76,63600,3.76
2014-02-19,3.84,3.91,3.77,3.89,75200,3.89
2014-02-18,3.72,3.85,3.67,3.83,111000,3.83
2014-02-14,3.57,3.73,3.57,3.69,91400,3.69
2014-02-13,3.51,3.57,3.51,3.56,66500,3.56
2014-02-12,3.49,3.57,3.46,3.53,75000,3.53
2014-02-11,3.51,3.60,3.45,3.49,67100,3.49
2014-02-10,3.53,3.61,3.45,3.53,171200,3.53
2014-02-07,3.47,3.60,3.40,3.55,159500,3.55
2014-02-06,3.38,3.53,3.36,3.47,81500,3.47
2014-02-05,3.32,3.41,3.19,3.40,76200,3.40
2014-02-04,3.28,3.35,3.23,3.35,37200,3.35
2014-02-03,3.36,3.36,3.21,3.25,122300,3.25
2014-01-31,3.36,3.50,3.34,3.35,22700,3.35
2014-01-30,3.42,3.45,3.38,3.41,37900,3.41
2014-01-29,3.35,3.43,3.33,3.38,66300,3.38
2014-01-28,3.40,3.48,3.36,3.38,91100,3.38
2014-01-27,3.40,3.50,3.35,3.35,100300,3.35
2014-01-24,3.50,3.55,3.40,3.44,87900,3.44
2014-01-23,3.82,3.85,3.43,3.54,134000,3.54
2014-01-22,3.77,3.86,3.67,3.83,80600,3.83
2014-01-21,3.66,3.77,3.63,3.77,109000,3.77
2014-01-17,3.48,3.67,3.45,3.65,123600,3.65
2014-01-16,3.48,3.58,3.38,3.58,83300,3.58
2014-01-15,3.48,3.59,3.43,3.50,87600,3.50
2014-01-14,3.42,3.59,3.36,3.49,109000,3.49
2014-01-13,3.42,3.42,3.33,3.38,195500,3.38
2014-01-10,3.40,3.44,3.35,3.43,81700,3.43
2014-01-09,3.45,3.45,3.34,3.42,154800,3.42
2014-01-08,3.53,3.59,3.45,3.49,85900,3.49
2014-01-07,3.38,3.59,3.34,3.57,207500,3.57
2014-01-06,3.49,3.49,3.37,3.40,133000,3.40
2014-01-03,3.49,3.49,3.40,3.44,59700,3.44
2014-01-02,3.36,3.49,3.33,3.49,135500,3.49
2013-12-31,3.45,3.50,3.30,3.39,79800,3.39
2013-12-30,3.31,3.57,3.31,3.50,117700,3.50
2013-12-27,3.22,3.34,3.15,3.31,106000,3.31
2013-12-26,3.25,3.35,3.19,3.24,79400,3.24
2013-12-24,3.18,3.29,3.12,3.27,47800,3.27
2013-12-23,3.32,3.32,3.15,3.20,92300,3.20
2013-12-20,3.11,3.32,3.07,3.32,158800,3.32
2013-12-19,3.25,3.34,3.02,3.14,212700,3.14
2013-12-18,3.42,3.79,3.18,3.34,1109200,3.34
2013-12-17,2.55,2.55,2.39,2.46,108900,2.46
2013-12-16,2.60,2.62,2.50,2.58,91900,2.58
2013-12-13,2.65,2.68,2.60,2.60,31700,2.60
2013-12-12,2.62,2.67,2.52,2.63,44100,2.63
2013-12-11,2.86,2.90,2.56,2.65,92300,2.65
2013-12-10,3.28,3.29,2.63,2.81,173400,2.81
2013-12-09,3.08,3.25,3.05,3.25,61900,3.25
2013-12-06,3.16,3.16,3.05,3.08,70100,3.08
2013-12-05,3.36,3.41,3.07,3.16,69500,3.16
2013-12-04,3.35,3.46,3.33,3.33,29800,3.33
2013-12-03,3.42,3.42,3.30,3.37,65900,3.37
2013-12-02,3.45,3.47,3.29,3.46,45700,3.46
2013-11-29,3.41,3.47,3.33,3.45,24700,3.45
2013-11-27,3.40,3.46,3.23,3.40,34600,3.40
2013-11-26,3.31,3.48,3.30,3.32,62300,3.32
2013-11-25,3.28,3.55,3.28,3.49,51300,3.49
2013-11-22,3.25,3.57,3.23,3.51,92900,3.51
2013-11-21,3.40,3.62,3.20,3.28,69600,3.28
2013-11-20,3.51,3.74,3.40,3.40,51000,3.40
2013-11-19,3.64,3.72,3.53,3.53,118800,3.53
2013-11-18,3.73,3.75,3.67,3.68,38400,3.68
2013-11-15,3.76,3.89,3.72,3.77,47600,3.77
2013-11-14,3.80,3.97,3.74,3.87,15900,3.87
2013-11-13,4.08,4.09,3.79,3.84,53000,3.84
2013-11-12,3.87,4.16,3.87,4.08,63100,4.08
2013-11-11,3.67,4.01,3.67,3.90,110300,3.90
2013-11-08,3.74,3.81,3.66,3.67,61200,3.67
2013-11-07,4.10,4.10,3.74,3.79,80600,3.79
2013-11-06,3.85,4.16,3.79,4.11,33800,4.11
2013-11-05,3.73,3.89,3.73,3.83,53100,3.83
2013-11-04,3.92,3.92,3.73,3.77,29300,3.77
2013-11-01,4.09,4.10,3.80,3.95,35900,3.95
2013-10-31,3.72,4.09,3.65,4.09,93800,4.09
2013-10-30,3.90,3.90,3.74,3.76,3400,3.76
2013-10-29,3.68,3.98,3.67,3.88,62900,3.88
2013-10-28,3.71,3.74,3.64,3.66,27600,3.66
2013-10-25,3.86,3.86,3.64,3.72,50900,3.72
2013-10-24,3.90,3.90,3.72,3.89,56200,3.89
2013-10-23,4.00,4.00,3.85,3.92,30000,3.92
2013-10-22,3.95,4.00,3.80,3.98,27600,3.98
2013-10-21,3.92,3.99,3.82,3.95,50700,3.95
2013-10-18,4.07,4.12,3.88,3.95,60300,3.95
2013-10-17,4.14,4.14,4.00,4.08,19300,4.08
2013-10-16,4.07,4.15,4.04,4.13,9900,4.13
2013-10-15,4.02,4.14,4.00,4.06,37200,4.06
2013-10-14,4.18,4.18,4.01,4.02,88800,4.02
2013-10-11,4.22,4.25,4.14,4.18,17900,4.18
2013-10-10,4.29,4.35,4.16,4.25,29900,4.25
