Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,26.43,26.43,25.83,26.00,40200,26.00
2014-02-21,26.76,27.38,26.39,26.70,11700,26.70
2014-02-20,26.49,27.23,26.26,26.26,19500,26.26
2014-02-19,26.38,26.43,26.30,26.42,12700,26.42
2014-02-18,26.47,26.47,26.20,26.23,1800,26.23
2014-02-14,26.17,26.38,26.17,26.38,6000,26.38
2014-02-13,26.08,26.10,25.97,25.97,9000,25.97
2014-02-12,25.85,26.10,25.80,25.85,3900,25.85
2014-02-11,25.98,26.02,25.85,26.00,11300,26.00
2014-02-10,25.61,26.00,25.61,25.80,25900,25.80
2014-02-07,25.71,25.90,25.50,25.70,6000,25.70
2014-02-06,25.76,25.89,25.75,25.75,2000,25.75
2014-02-05,25.77,25.95,25.75,25.95,8200,25.95
2014-02-04,25.77,25.81,25.75,25.75,8700,25.75
2014-02-03,25.72,25.80,25.72,25.80,800,25.80
2014-01-31,25.78,26.04,25.75,25.79,3000,25.79
2014-01-30,25.59,25.61,25.55,25.61,5400,25.61
2014-01-29,25.41,25.51,25.40,25.51,5000,25.51
2014-01-28,25.82,25.85,25.71,25.79,16600,25.29
2014-01-27,25.71,25.85,25.71,25.82,9100,25.32
2014-01-24,25.80,25.96,25.80,25.94,7100,25.44
2014-01-23,25.80,25.95,25.80,25.95,2200,25.45
2014-01-22,25.88,25.93,25.83,25.93,140300,25.43
2014-01-21,25.70,25.92,25.70,25.83,12900,25.33
2014-01-17,26.05,26.15,25.61,25.61,117400,25.11
2014-01-16,25.78,26.01,25.78,26.01,5800,25.51
2014-01-15,26.00,26.08,25.79,26.01,21900,25.51
2014-01-14,26.43,26.43,26.04,26.04,13900,25.54
2014-01-13,26.37,26.37,26.03,26.03,4300,25.53
2014-01-10,26.34,26.38,25.95,25.99,4900,25.49
2014-01-09,25.90,25.95,25.85,25.90,7000,25.40
2014-01-08,25.90,25.95,25.75,25.85,18700,25.35
2014-01-07,26.03,26.05,26.00,26.05,4800,25.54
2014-01-06,26.05,26.39,26.03,26.03,800,25.53
2014-01-03,25.93,26.00,25.80,25.94,5300,25.44
2014-01-02,25.91,26.09,25.91,26.06,2600,25.55
2013-12-31,25.91,26.05,25.91,26.00,8600,25.50
2013-12-30,26.23,26.23,25.96,25.99,4000,25.49
2013-12-27,26.29,26.39,26.03,26.05,4800,25.54
2013-12-26,26.13,26.30,25.96,26.30,8700,25.79
2013-12-24,26.22,26.22,26.10,26.10,10700,25.59
2013-12-23,26.24,26.30,26.21,26.22,10500,25.71
2013-12-20,26.10,26.40,26.00,26.17,6200,25.66
2013-12-19,26.45,26.51,25.96,26.03,11500,25.53
2013-12-18,25.99,26.25,25.99,26.05,7500,25.54
2013-12-17,26.10,26.35,25.81,25.81,11500,25.31
2013-12-16,26.20,26.33,26.10,26.20,8500,25.69
2013-12-13,26.24,26.43,26.00,26.38,7200,25.87
2013-12-12,26.36,26.42,26.17,26.42,8200,25.91
2013-12-11,26.13,26.37,26.13,26.36,7700,25.85
2013-12-10,26.19,26.40,26.19,26.40,8200,25.89
2013-12-09,26.20,26.43,26.17,26.17,1500,25.66
2013-12-06,26.26,26.26,26.26,26.26,1000,25.75
2013-12-05,26.34,26.34,26.04,26.04,2100,25.54
2013-12-04,26.33,26.41,26.25,26.41,12900,25.90
2013-12-03,26.36,26.44,26.30,26.36,2300,25.85
2013-12-02,26.19,26.38,26.19,26.20,4400,25.69
2013-11-29,26.43,26.43,26.43,26.43,000,25.92
2013-11-27,26.44,26.44,26.22,26.43,4000,25.92
2013-11-26,26.34,26.38,26.30,26.32,3700,25.81
2013-11-25,26.27,26.38,26.25,26.27,2100,25.76
2013-11-22,26.28,26.41,26.27,26.38,4200,25.87
2013-11-21,26.42,26.42,26.25,26.26,4600,25.75
2013-11-20,26.28,26.45,26.21,26.21,5900,25.70
2013-11-19,26.38,26.45,26.29,26.45,8400,25.94
2013-11-18,25.99,26.25,25.90,26.09,15500,25.58
2013-11-15,26.49,26.49,26.00,26.47,6500,25.96
2013-11-14,25.76,26.25,25.76,26.25,12200,25.74
2013-11-13,25.81,25.99,25.80,25.97,2400,25.47
2013-11-12,25.80,26.20,25.80,25.99,8400,25.49
2013-11-11,26.00,26.00,25.76,25.80,1300,25.30
2013-11-08,25.75,26.22,25.75,26.22,4000,25.71
2013-11-07,26.04,26.22,25.80,26.22,1800,25.71
2013-11-06,26.27,26.27,26.04,26.04,2600,25.54
2013-11-05,26.35,26.35,26.05,26.06,2400,25.55
2013-11-04,26.50,26.50,26.36,26.40,3500,25.89
2013-11-01,26.49,26.50,26.35,26.50,3300,25.99
2013-10-31,26.68,26.75,26.19,26.75,4300,26.23
2013-10-30,26.50,26.70,26.11,26.50,9400,25.99
2013-10-29,26.23,26.75,26.23,26.74,10000,26.22
2013-10-28,26.53,26.56,26.53,26.56,1800,25.55
2013-10-25,26.36,26.72,26.36,26.48,1700,25.48
2013-10-24,26.60,26.70,26.60,26.70,7400,25.69
2013-10-23,26.39,26.78,26.31,26.64,8900,25.63
2013-10-22,26.21,26.51,26.20,26.50,9000,25.50
2013-10-21,25.74,26.23,25.74,26.23,9600,25.24
2013-10-18,25.94,26.00,25.52,25.56,69800,24.59
2013-10-17,25.89,25.95,25.80,25.95,2400,24.97
2013-10-16,25.84,25.85,25.55,25.72,3700,24.75
2013-10-15,25.85,25.85,25.51,25.51,5100,24.54
2013-10-14,25.95,25.95,25.80,25.80,1800,24.82
2013-10-11,25.85,25.95,25.66,25.66,5500,24.69
2013-10-10,25.94,25.95,25.80,25.90,6800,24.92
2013-10-09,25.80,25.90,25.80,25.90,3000,24.92
2013-10-08,25.77,25.86,25.77,25.77,1200,24.79
2013-10-07,25.80,25.95,25.77,25.77,6300,24.79
2013-10-04,25.75,25.80,25.75,25.80,900,24.82
2013-10-03,25.94,25.94,25.77,25.88,8500,24.90
2013-10-02,25.72,25.94,25.70,25.70,1000,24.73
2013-10-01,25.80,25.95,25.70,25.70,9700,24.73
2013-09-30,25.70,25.70,25.52,25.60,4900,24.63
2013-09-27,25.70,25.70,25.70,25.70,2100,24.73
2013-09-26,25.84,25.88,25.54,25.74,8600,24.77
2013-09-25,25.53,25.89,25.53,25.89,2200,24.91
2013-09-24,25.50,25.75,25.50,25.75,3300,24.78
2013-09-23,25.45,25.55,25.45,25.55,1500,24.58
2013-09-20,25.94,25.94,25.37,25.63,194000,24.66
2013-09-19,25.58,25.88,25.37,25.82,24300,24.84
2013-09-18,25.50,25.97,25.41,25.70,9600,24.73
2013-09-17,25.35,25.62,25.35,25.58,3900,24.61
2013-09-16,25.72,25.75,25.33,25.54,4300,24.57
2013-09-13,25.83,25.83,25.83,25.83,1000,24.85
2013-09-12,25.60,25.60,25.45,25.45,6700,24.49
2013-09-11,25.64,25.98,25.47,25.49,4500,24.53
2013-09-10,25.94,25.94,25.51,25.67,1600,24.70
2013-09-09,25.60,25.94,25.60,25.92,13000,24.94
2013-09-06,25.26,25.50,25.26,25.50,400,24.53
2013-09-05,25.71,25.71,25.30,25.50,8400,24.53
2013-09-04,25.65,25.65,25.26,25.61,5000,24.64
2013-09-03,25.49,25.50,25.33,25.50,2000,24.53
2013-08-30,25.74,25.74,25.25,25.70,6100,24.73
2013-08-29,25.26,26.30,25.26,25.74,7400,24.77
2013-08-28,25.64,25.64,25.50,25.52,13200,24.55
2013-08-27,25.42,25.64,25.30,25.64,13400,24.67
2013-08-26,25.42,25.60,25.30,25.60,17300,24.63
