Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,23.50,23.78,23.50,23.55,10300,23.55
2014-02-21,23.70,23.87,23.46,23.52,5800,23.52
2014-02-20,23.63,23.97,23.45,23.49,5300,23.49
2014-02-19,23.70,23.86,23.65,23.78,6000,23.78
2014-02-18,23.49,23.70,23.36,23.43,7400,23.43
2014-02-14,23.50,23.74,23.44,23.47,3700,23.47
2014-02-13,23.37,24.06,23.35,23.46,18600,23.46
2014-02-12,23.32,23.47,23.29,23.47,4500,23.47
2014-02-11,23.42,23.42,23.30,23.38,4300,23.38
2014-02-10,23.13,23.41,23.13,23.36,5800,23.36
2014-02-07,23.20,23.40,23.09,23.30,10900,23.30
2014-02-06,23.29,23.29,23.02,23.17,11700,23.17
2014-02-05,23.16,23.36,22.87,23.23,7800,23.23
2014-02-04,23.42,23.45,22.87,23.28,6800,23.28
2014-02-03,23.58,23.66,22.81,22.81,12500,22.81
2014-01-31,23.15,23.84,23.02,23.73,9100,23.73
2014-01-30,23.15,23.15,23.00,23.14,5100,23.14
2014-01-29,23.15,23.15,22.89,22.89,3900,22.89
2014-01-28,22.83,23.15,22.83,22.98,7400,22.98
2014-01-27,23.19,23.19,22.80,22.91,8800,22.91
2014-01-24,23.09,23.21,22.76,23.00,13000,23.00
2014-01-23,22.95,23.19,22.94,22.95,8000,22.95
2014-01-22,22.85,23.20,22.33,22.99,13600,22.99
2014-01-21,23.26,23.27,22.77,22.83,18200,22.83
2014-01-17,23.20,23.30,22.85,22.91,16400,22.91
2014-01-16,22.55,23.04,22.46,22.72,6900,22.72
2014-01-15,22.75,22.75,22.51,22.69,6800,22.69
2014-01-14,22.75,22.75,22.38,22.74,8800,22.74
2014-01-13,22.18,22.77,22.18,22.67,17500,22.67
2014-01-10,22.74,22.74,22.45,22.50,4800,22.50
2014-01-09,22.39,22.44,22.15,22.44,6500,22.44
2014-01-08,22.20,22.24,21.75,22.00,18200,22.00
2014-01-07,22.35,22.41,22.16,22.24,7100,22.24
2014-01-06,22.08,22.30,22.00,22.30,13700,22.30
2014-01-03,21.95,22.06,21.51,22.00,14700,22.00
2014-01-02,21.87,21.88,21.52,21.69,11300,21.69
2013-12-31,21.30,21.87,21.27,21.41,43700,21.41
2013-12-30,21.36,21.61,21.27,21.27,30100,21.27
2013-12-27,21.64,21.67,21.32,21.37,24200,21.37
2013-12-26,21.90,21.90,21.57,21.60,34500,21.60
2013-12-24,21.62,21.76,21.61,21.70,15100,21.70
2013-12-23,21.50,21.75,21.50,21.61,32800,21.61
2013-12-20,21.79,21.83,21.67,21.68,22100,21.68
2013-12-19,21.76,21.92,21.68,21.74,32500,21.74
2013-12-18,21.90,21.98,21.83,21.90,24100,21.90
2013-12-17,21.89,22.13,21.89,21.90,38500,21.90
2013-12-16,22.12,22.20,21.81,22.00,14600,22.00
2013-12-13,22.08,22.20,22.00,22.00,15800,22.00
2013-12-12,21.96,22.22,21.75,22.05,22600,22.05
2013-12-11,22.24,22.35,22.00,22.00,16300,22.00
2013-12-10,22.08,22.25,22.08,22.20,11000,22.20
2013-12-09,22.15,22.33,22.12,22.24,20400,22.24
2013-12-06,21.81,22.42,21.80,21.95,22200,21.95
2013-12-05,21.69,21.98,21.65,21.80,36600,21.80
2013-12-04,21.90,21.99,21.80,21.82,12000,21.82
2013-12-03,22.11,22.17,21.84,21.96,118900,21.96
2013-12-02,22.24,22.32,22.11,22.11,31100,22.11
2013-11-29,22.10,22.23,22.10,22.15,9700,22.15
2013-11-27,22.10,22.31,22.00,22.11,48800,22.11
2013-11-26,22.27,22.40,22.27,22.40,13700,21.99
2013-11-25,22.34,22.40,22.26,22.28,15400,21.88
2013-11-22,22.16,22.34,22.06,22.27,28500,21.87
2013-11-21,22.06,22.30,22.05,22.05,13500,21.65
2013-11-20,22.17,22.47,22.01,22.11,21800,21.71
2013-11-19,22.27,22.29,22.17,22.19,3800,21.79
2013-11-18,22.30,22.30,22.05,22.27,8500,21.87
2013-11-15,22.06,22.16,22.05,22.11,6000,21.71
2013-11-14,22.20,22.47,22.06,22.13,10900,21.73
2013-11-13,22.00,22.38,22.00,22.19,17200,21.79
2013-11-12,22.20,22.22,21.95,22.01,17500,21.61
2013-11-11,21.95,22.35,21.95,22.19,4700,21.79
2013-11-08,22.16,22.40,22.00,22.00,7400,21.60
2013-11-07,22.20,22.44,22.15,22.16,6900,21.76
2013-11-06,22.20,22.43,22.20,22.21,6300,21.81
2013-11-05,22.22,22.44,22.22,22.40,7200,21.99
2013-11-04,22.49,22.50,22.18,22.36,3500,21.95
2013-11-01,22.32,22.47,22.19,22.35,10700,21.94
2013-10-31,22.16,22.49,22.04,22.26,15100,21.86
2013-10-30,22.24,22.48,22.16,22.16,13800,21.76
2013-10-29,22.30,22.49,22.15,22.24,10000,21.84
2013-10-28,22.30,22.30,22.15,22.19,12000,21.79
