Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,42.50,42.50,42.50,42.50,000,42.50
2014-02-21,42.50,42.50,42.50,42.50,000,42.50
2014-02-20,42.50,42.50,42.50,42.50,000,42.50
2014-02-19,42.50,42.50,42.50,42.50,000,42.50
2014-02-18,42.50,42.50,42.50,42.50,000,42.50
2014-02-14,42.50,42.50,42.50,42.50,000,42.50
2014-02-13,42.50,42.50,42.50,42.50,000,42.50
2014-02-12,42.50,42.50,42.50,42.50,000,42.50
2014-02-11,42.50,42.50,42.50,42.50,000,42.50
2014-02-10,42.50,42.50,42.50,42.50,000,42.50
2014-02-07,42.50,42.50,42.50,42.50,100,42.50
2014-02-06,45.35,45.35,45.35,45.35,000,45.35
2014-02-05,45.35,45.35,45.35,45.35,000,45.35
2014-02-04,45.35,45.35,45.35,45.35,000,45.35
2014-02-03,45.35,45.35,45.35,45.35,000,45.35
2014-01-31,45.35,45.35,45.35,45.35,000,45.35
2014-01-30,45.35,45.35,45.35,45.35,000,45.35
2014-01-29,45.35,45.35,45.35,45.35,000,45.35
2014-01-28,45.35,45.35,45.35,45.35,000,45.35
2014-01-27,45.35,45.35,45.35,45.35,000,45.35
2014-01-24,45.35,45.35,45.35,45.35,5000,45.35
2014-01-23,44.43,45.40,43.93,45.40,5700,45.40
2014-01-22,48.25,48.25,48.25,48.25,000,48.25
2014-01-21,47.80,48.33,47.80,48.25,7900,48.25
2014-01-17,48.09,48.09,48.09,48.09,000,48.09
2014-01-16,48.12,48.12,48.09,48.09,400,48.09
2014-01-15,48.50,48.50,48.48,48.50,1900,48.50
2014-01-14,48.23,48.23,48.23,48.23,000,48.23
2014-01-13,48.23,48.23,48.23,48.23,000,48.23
2014-01-10,47.90,48.23,47.90,48.23,500,48.23
2014-01-09,47.75,47.80,47.75,47.80,13700,47.80
2014-01-08,47.20,47.20,47.20,47.20,1000,47.20
2014-01-07,46.32,46.32,46.32,46.32,000,46.32
2014-01-06,46.32,46.32,46.32,46.32,200,46.32
2014-01-03,47.25,47.25,47.25,47.25,000,47.25
2014-01-02,47.25,47.25,47.25,47.25,000,47.25
2013-12-31,47.25,47.25,47.25,47.25,100,47.25
2013-12-30,46.65,46.65,46.65,46.65,000,46.65
2013-12-27,46.65,46.65,46.65,46.65,000,46.65
2013-12-26,46.65,46.65,46.65,46.65,000,46.65
2013-12-24,46.65,46.65,46.65,46.65,000,46.65
