Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,20.98,20.98,20.50,20.50,500,20.50
2014-02-21,20.52,20.52,20.52,20.52,300,20.52
2014-02-20,20.55,20.57,20.55,20.55,2000,20.55
2014-02-19,20.62,20.62,20.60,20.60,200,20.60
2014-02-18,20.31,20.95,20.31,20.95,400,20.95
2014-02-14,20.41,20.95,20.41,20.60,2400,20.60
2014-02-13,20.53,20.55,20.53,20.55,3100,20.55
2014-02-12,20.50,20.50,20.50,20.50,42800,20.50
2014-02-11,20.50,20.74,20.40,20.40,67600,20.40
2014-02-10,20.56,20.56,20.50,20.50,300,20.50
2014-02-07,20.32,20.32,20.29,20.29,700,20.29
2014-02-06,20.31,21.04,20.31,20.99,900,20.99
2014-02-05,20.25,20.27,20.25,20.27,2500,20.27
2014-02-04,20.20,20.22,20.20,20.22,1500,20.22
2014-02-03,20.20,20.32,20.20,20.25,4000,20.25
2014-01-31,20.20,20.23,20.20,20.20,1600,20.20
2014-01-30,20.25,20.35,20.20,20.20,7300,20.20
2014-01-29,20.00,20.22,20.00,20.22,4500,20.22
2014-01-28,20.01,20.01,20.00,20.00,2000,20.00
2014-01-27,20.03,20.39,20.03,20.10,1800,20.10
2014-01-24,19.98,20.50,19.38,19.98,5600,19.98
2014-01-23,20.01,20.28,20.01,20.28,400,20.28
2014-01-22,20.06,20.33,20.05,20.05,1400,20.05
2014-01-21,20.95,20.95,20.03,20.03,200,20.03
2014-01-17,21.21,21.21,21.21,21.21,100,21.21
2014-01-16,21.30,21.30,20.62,20.62,600,20.62
2014-01-15,21.50,21.50,19.87,20.39,28800,20.39
2014-01-14,21.05,21.36,21.00,21.36,1100,21.36
2014-01-13,21.50,21.50,20.61,21.35,800,21.35
2014-01-10,21.11,21.11,21.11,21.11,100,21.11
2014-01-09,21.00,21.22,21.00,21.21,1100,21.21
2014-01-08,21.00,21.25,20.58,21.25,400,21.25
2014-01-07,20.61,21.00,20.61,21.00,3900,21.00
2014-01-06,20.71,20.73,20.54,20.60,1800,20.60
2014-01-03,20.49,20.80,20.41,20.80,600,20.80
2014-01-02,20.49,20.50,20.40,20.50,45900,20.50
2013-12-31,20.73,20.75,20.21,20.71,2600,20.71
2013-12-30,20.50,22.18,20.08,22.18,3600,22.18
2013-12-27,22.18,22.18,22.18,22.18,300,22.18
2013-12-26,20.65,20.65,20.65,20.65,000,20.65
2013-12-24,20.55,20.65,20.55,20.65,1300,20.55
2013-12-23,20.75,20.75,20.30,20.30,1100,20.20
2013-12-20,20.02,20.75,20.02,20.05,19000,19.95
2013-12-19,20.00,20.10,20.00,20.10,2200,20.00
2013-12-18,20.04,20.75,19.79,20.73,4900,20.63
2013-12-17,21.19,21.19,20.00,20.00,4600,19.90
2013-12-16,21.18,21.19,20.60,20.75,16600,20.65
2013-12-13,20.92,20.92,20.65,20.65,400,20.55
2013-12-12,20.00,21.45,20.00,21.36,11000,21.26
2013-12-11,19.53,20.00,19.53,20.00,1800,19.90
2013-12-10,19.87,20.26,19.70,20.00,4100,19.90
2013-12-09,19.60,19.87,19.60,19.87,400,19.77
2013-12-06,19.89,19.89,19.89,19.89,300,19.79
2013-12-05,19.75,19.75,19.75,19.75,3000,19.65
2013-12-04,19.65,19.65,19.65,19.65,500,19.55
2013-12-03,19.80,19.80,19.80,19.80,1000,19.70
2013-12-02,19.74,19.74,19.74,19.74,1000,19.64
2013-11-29,19.89,19.89,19.89,19.89,000,19.79
2013-11-27,19.86,19.89,19.86,19.89,300,19.79
2013-11-26,19.55,19.55,19.55,19.55,000,19.46
2013-11-25,19.55,19.55,19.55,19.55,000,19.46
2013-11-22,19.61,19.61,19.07,19.55,3600,19.46
2013-11-21,19.58,19.75,19.58,19.60,2700,19.51
2013-11-20,19.20,19.95,19.20,19.60,3000,19.51
2013-11-19,19.93,19.93,19.93,19.93,1000,19.83
2013-11-18,19.85,19.85,19.85,19.85,2100,19.75
2013-11-15,19.60,19.60,19.60,19.60,1400,19.51
2013-11-14,19.60,19.60,19.60,19.60,500,19.51
2013-11-13,19.07,19.61,19.07,19.60,3700,19.51
2013-11-12,20.05,20.05,19.60,19.60,7800,19.51
2013-11-11,19.66,19.68,19.60,19.60,1600,19.51
2013-11-08,19.55,20.00,19.06,19.70,34300,19.60
2013-11-07,19.60,19.60,19.60,19.60,000,19.51
2013-11-06,19.50,19.60,19.50,19.60,1300,19.51
2013-11-05,19.50,19.50,19.50,19.50,000,19.41
2013-11-04,19.50,19.50,19.50,19.50,700,19.41
2013-11-01,19.50,19.50,19.50,19.50,500,19.41
2013-10-31,19.52,19.52,19.19,19.19,500,19.10
2013-10-30,19.50,19.55,19.50,19.51,1800,19.42
2013-10-29,19.77,19.99,19.75,19.75,2200,19.65
2013-10-28,20.13,20.37,20.13,20.37,900,20.27
2013-10-25,20.65,20.65,20.65,20.65,500,20.55
2013-10-24,21.99,21.99,21.99,21.99,500,21.88
2013-10-23,19.75,21.00,19.75,21.00,3000,20.90
2013-10-22,20.00,20.00,20.00,20.00,5300,19.90
2013-10-21,19.53,20.25,19.53,20.25,1200,20.15
2013-10-18,20.25,20.25,20.25,20.25,900,20.15
2013-10-17,20.00,20.75,20.00,20.75,5200,20.55
2013-10-16,19.88,20.00,19.26,20.00,5800,19.81
2013-10-15,19.50,19.50,19.26,19.50,10500,19.31
2013-10-14,19.49,19.70,19.49,19.50,2900,19.31
2013-10-11,19.50,19.70,19.50,19.50,5000,19.31
2013-10-10,19.48,19.75,19.46,19.75,6100,19.56
2013-10-09,19.25,19.35,19.25,19.25,2500,19.06
2013-10-08,19.25,19.40,19.15,19.25,15900,19.06
2013-10-07,19.04,19.68,19.00,19.12,19100,18.94
2013-10-04,19.40,19.40,19.00,19.01,1400,18.83
2013-10-03,19.00,19.20,19.00,19.15,20700,18.97
