Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,15.83,16.02,15.82,15.98,189800,15.98
2014-02-21,15.82,15.94,15.73,15.86,195400,15.86
2014-02-20,15.60,15.81,15.55,15.76,122700,15.76
2014-02-19,15.88,15.95,15.51,15.55,165300,15.55
2014-02-18,15.67,15.99,15.65,15.93,179300,15.93
2014-02-14,15.69,15.73,15.61,15.70,99600,15.70
2014-02-13,15.43,15.74,15.29,15.67,148900,15.67
2014-02-12,15.50,15.60,15.42,15.51,129900,15.51
2014-02-11,15.29,15.50,15.26,15.48,134200,15.48
2014-02-10,15.26,15.27,15.08,15.25,179600,15.25
2014-02-07,15.34,15.40,15.16,15.26,171200,15.26
2014-02-06,15.29,15.42,15.20,15.28,139500,15.28
2014-02-05,15.19,15.30,15.06,15.22,156600,15.22
2014-02-04,15.12,15.34,15.05,15.24,174600,15.24
2014-02-03,15.75,15.88,14.80,15.09,736800,15.09
2014-01-31,15.80,15.96,15.72,15.82,162200,15.82
2014-01-30,15.85,16.11,15.79,16.01,102500,16.01
2014-01-29,15.90,15.99,15.75,15.76,161300,15.76
2014-01-28,15.77,16.02,15.75,16.00,196200,16.00
2014-01-27,16.18,16.30,15.61,15.77,303200,15.77
2014-01-24,16.28,16.29,15.96,16.10,207100,16.10
2014-01-23,16.25,16.34,16.25,16.28,123200,16.28
2014-01-22,16.34,16.38,16.20,16.26,183200,16.26
2014-01-21,16.23,16.41,16.12,16.29,194700,16.29
2014-01-17,16.32,16.32,16.15,16.22,181400,16.22
2014-01-16,16.28,16.42,16.28,16.30,111900,16.30
2014-01-15,16.30,16.38,16.26,16.36,215900,16.36
2014-01-14,16.38,16.43,16.29,16.30,124000,16.30
2014-01-13,16.43,16.58,16.31,16.34,138300,16.34
2014-01-10,16.44,16.53,16.36,16.47,168000,16.47
2014-01-09,16.57,16.61,16.41,16.49,143800,16.49
2014-01-08,16.50,16.59,16.38,16.57,149000,16.57
2014-01-07,16.49,16.55,16.38,16.52,175900,16.52
2014-01-06,16.55,16.61,16.49,16.50,139400,16.50
2014-01-03,16.55,16.58,16.45,16.52,204000,16.52
2014-01-02,16.42,16.58,16.25,16.43,268800,16.43
2013-12-31,16.51,16.55,16.45,16.49,186300,16.49
2013-12-30,16.37,16.50,16.33,16.45,159100,16.45
2013-12-27,16.40,16.55,16.35,16.44,150500,16.44
2013-12-26,16.59,16.61,16.41,16.44,131200,16.44
2013-12-24,16.46,16.60,16.30,16.59,61500,16.59
2013-12-23,16.63,16.63,16.40,16.47,161800,16.47
2013-12-20,16.34,16.60,16.28,16.55,274000,16.55
2013-12-19,16.44,16.46,16.27,16.30,187200,16.30
2013-12-18,16.24,16.44,16.19,16.44,156300,16.44
2013-12-17,16.29,16.33,16.17,16.20,158900,16.20
2013-12-16,16.16,16.35,16.15,16.24,218300,16.24
2013-12-13,16.19,16.39,16.05,16.23,174200,16.23
2013-12-12,16.32,16.42,16.16,16.20,248200,16.20
2013-12-11,16.83,16.91,16.64,16.73,265700,16.39
2013-12-10,16.82,16.86,16.71,16.81,243300,16.47
2013-12-09,16.85,16.85,16.70,16.80,145100,16.46
2013-12-06,16.78,17.00,16.69,16.79,173800,16.45
2013-12-05,16.70,16.88,16.60,16.63,162200,16.29
2013-12-04,16.66,16.83,16.60,16.75,215100,16.41
2013-12-03,16.61,16.75,16.59,16.74,682000,16.40
2013-12-02,16.99,16.99,16.60,16.68,274300,16.34
2013-11-29,16.89,17.00,16.86,16.97,115900,16.63
2013-11-27,16.72,16.88,16.69,16.86,171700,16.52
2013-11-26,16.57,16.74,16.57,16.64,218500,16.30
2013-11-25,16.75,16.85,16.72,16.77,233400,16.43
2013-11-22,16.63,16.75,16.60,16.73,175700,16.39
2013-11-21,16.50,16.74,16.45,16.66,146600,16.32
2013-11-20,16.40,16.49,16.20,16.42,141000,16.09
2013-11-19,16.43,16.49,16.26,16.31,135700,15.98
2013-11-18,16.39,16.47,16.31,16.38,147900,16.05
2013-11-15,16.30,16.43,16.27,16.33,273900,16.00
2013-11-14,16.21,16.34,16.19,16.29,175600,15.96
2013-11-13,16.19,16.26,16.14,16.25,269500,15.92
2013-11-12,16.19,16.27,16.15,16.24,152500,15.91
2013-11-11,16.15,16.27,16.06,16.23,149500,15.90
2013-11-08,15.96,16.13,15.85,16.11,230100,15.78
2013-11-07,16.26,16.27,15.94,15.95,302100,15.63
2013-11-06,16.45,16.59,16.19,16.20,237800,15.87
2013-11-05,16.49,16.66,16.27,16.30,223600,15.97
2013-11-04,16.18,16.76,16.16,16.56,276600,16.22
