Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,8.08,8.20,7.84,7.96,106500,7.96
2014-02-21,7.87,8.21,7.87,7.91,48100,7.91
2014-02-20,7.50,7.85,7.47,7.82,50900,7.82
2014-02-19,7.62,7.80,7.50,7.53,69100,7.53
2014-02-18,7.55,7.85,7.55,7.66,84700,7.66
2014-02-14,7.59,7.59,7.44,7.51,44700,7.51
2014-02-13,7.49,7.59,7.43,7.58,15200,7.58
2014-02-12,7.43,7.58,7.39,7.56,45600,7.56
2014-02-11,7.41,7.46,7.37,7.42,58500,7.42
2014-02-10,7.53,7.53,7.27,7.39,62900,7.39
2014-02-07,7.48,7.84,7.43,7.56,64500,7.56
2014-02-06,7.97,7.97,7.38,7.48,101400,7.48
2014-02-05,7.87,8.00,7.70,7.77,71400,7.77
2014-02-04,8.03,8.14,7.86,7.93,56400,7.93
2014-02-03,8.40,8.53,7.86,7.99,78400,7.99
2014-01-31,8.58,8.64,8.40,8.40,57300,8.40
2014-01-30,8.78,8.85,8.66,8.75,80500,8.75
2014-01-29,8.76,8.83,8.64,8.69,77200,8.69
2014-01-28,8.78,8.92,8.78,8.88,75300,8.88
2014-01-27,8.68,8.97,8.60,8.79,129000,8.79
2014-01-24,9.46,9.50,8.79,8.89,92000,8.89
2014-01-23,9.25,9.56,9.12,9.54,110700,9.54
2014-01-22,9.15,9.29,8.72,9.25,954700,9.25
2014-01-21,8.95,9.13,8.95,9.13,77600,9.13
2014-01-17,8.86,8.95,8.85,8.94,28800,8.94
2014-01-16,9.03,9.03,8.78,8.85,34800,8.85
2014-01-15,9.02,9.15,8.95,9.10,37500,9.10
2014-01-14,9.28,9.28,8.77,9.03,14500,9.03
2014-01-13,9.00,9.00,8.73,8.82,32200,8.82
2014-01-10,8.79,9.07,8.67,9.04,62000,9.04
2014-01-09,8.90,8.90,8.69,8.77,30900,8.77
2014-01-08,8.98,9.17,8.80,8.86,51400,8.86
2014-01-07,9.00,9.31,8.95,9.01,43100,9.01
2014-01-06,9.04,9.16,8.85,8.94,42700,8.94
2014-01-03,9.14,9.15,8.95,8.99,77000,8.99
2014-01-02,9.08,9.27,9.05,9.13,50000,9.13
2013-12-31,9.10,9.40,8.96,9.05,27000,9.05
2013-12-30,8.63,9.35,8.61,9.10,189200,9.10
2013-12-27,8.52,8.65,8.50,8.62,22800,8.62
2013-12-26,8.72,8.72,8.32,8.48,62500,8.48
2013-12-24,8.73,8.75,8.70,8.71,19800,8.71
2013-12-23,8.70,8.79,8.67,8.72,35000,8.72
2013-12-20,8.64,8.77,8.56,8.69,112300,8.69
2013-12-19,8.78,8.78,8.56,8.59,36600,8.59
2013-12-18,8.69,8.79,8.64,8.75,47300,8.75
2013-12-17,8.62,8.75,8.55,8.67,21300,8.67
2013-12-16,8.52,8.75,8.52,8.65,27700,8.65
2013-12-13,8.57,8.61,8.28,8.48,19900,8.48
2013-12-12,8.34,8.68,8.24,8.57,28800,8.57
2013-12-11,8.67,8.75,8.24,8.28,96500,8.28
2013-12-10,8.76,8.76,8.61,8.68,48900,8.68
2013-12-09,8.70,8.75,8.64,8.75,47000,8.75
2013-12-06,8.88,8.88,8.63,8.73,60900,8.73
2013-12-05,8.72,8.82,8.71,8.78,43900,8.78
2013-12-04,8.79,8.92,8.59,8.78,36400,8.78
2013-12-03,8.71,8.98,8.61,8.85,37900,8.85
2013-12-02,8.75,8.87,8.60,8.70,54500,8.70
2013-11-29,8.92,9.09,8.73,8.73,45400,8.73
2013-11-27,8.89,9.27,8.77,8.85,23300,8.85
2013-11-26,9.26,9.26,8.52,8.85,56800,8.85
2013-11-25,9.10,9.10,8.80,8.95,88000,8.95
2013-11-22,8.71,9.39,8.70,9.10,189900,9.10
2013-11-21,8.03,8.90,8.03,8.65,91800,8.65
2013-11-20,7.90,8.20,7.80,8.01,63100,8.01
2013-11-19,8.08,8.08,7.74,7.86,21000,7.86
2013-11-18,8.16,8.22,8.04,8.10,41100,8.10
2013-11-15,8.18,8.18,8.00,8.11,33100,8.11
2013-11-14,7.47,8.30,7.34,8.15,123500,8.15
2013-11-13,7.27,7.50,7.07,7.50,34700,7.50
2013-11-12,7.00,7.35,6.82,7.29,70400,7.29
2013-11-11,7.05,7.07,6.92,7.01,27000,7.01
2013-11-08,7.03,7.42,7.03,7.08,72000,7.08
