Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,1.35,1.36,1.35,1.36,13000,1.36
2014-02-21,1.32,1.36,1.32,1.32,45700,1.32
2014-02-20,1.36,1.36,1.32,1.32,19900,1.32
2014-02-19,1.40,1.40,1.36,1.36,11100,1.36
2014-02-18,1.33,1.40,1.32,1.38,25800,1.38
2014-02-14,1.37,1.37,1.33,1.33,11600,1.33
2014-02-13,1.35,1.36,1.35,1.36,10500,1.36
2014-02-12,1.38,1.40,1.37,1.37,9100,1.37
2014-02-11,1.40,1.40,1.35,1.36,4100,1.36
2014-02-10,1.35,1.44,1.34,1.36,19300,1.36
2014-02-07,1.33,1.40,1.33,1.37,2300,1.37
2014-02-06,1.34,1.41,1.33,1.33,10500,1.33
2014-02-05,1.41,1.44,1.32,1.32,22700,1.32
2014-02-04,1.35,1.46,1.35,1.36,6700,1.36
2014-02-03,1.47,1.48,1.35,1.39,25000,1.39
2014-01-31,1.45,1.52,1.41,1.47,37900,1.47
2014-01-30,1.45,1.47,1.42,1.47,13700,1.47
2014-01-29,1.40,1.49,1.40,1.45,20100,1.45
2014-01-28,1.42,1.49,1.40,1.40,17500,1.40
2014-01-27,1.40,1.45,1.40,1.40,24400,1.40
2014-01-24,1.44,1.44,1.36,1.38,30400,1.38
2014-01-23,1.44,1.44,1.37,1.43,10200,1.43
2014-01-22,1.42,1.42,1.38,1.38,38500,1.38
2014-01-21,1.48,1.48,1.42,1.44,46500,1.44
2014-01-17,1.59,1.59,1.45,1.48,98600,1.48
2014-01-16,1.62,1.67,1.55,1.58,77700,1.58
2014-01-15,1.62,1.73,1.56,1.68,295100,1.68
2014-01-14,1.41,1.78,1.40,1.76,594000,1.76
2014-01-13,1.46,1.47,1.35,1.38,26900,1.38
2014-01-10,1.42,1.47,1.35,1.44,91200,1.44
2014-01-09,1.23,1.49,1.23,1.39,284400,1.39
2014-01-08,1.26,1.28,1.24,1.24,7500,1.24
2014-01-07,1.28,1.29,1.23,1.28,15700,1.28
2014-01-06,1.20,1.29,1.20,1.29,21000,1.29
2014-01-03,1.30,1.30,1.22,1.23,14500,1.23
2014-01-02,1.21,1.25,1.19,1.24,22500,1.24
2013-12-31,1.21,1.27,1.19,1.19,30800,1.19
2013-12-30,1.25,1.25,1.21,1.21,26900,1.21
2013-12-27,1.20,1.26,1.20,1.25,42600,1.25
2013-12-26,1.23,1.25,1.21,1.22,16100,1.22
2013-12-24,1.21,1.23,1.21,1.21,19100,1.21
2013-12-23,1.22,1.25,1.21,1.22,15700,1.22
2013-12-20,1.24,1.31,1.22,1.22,54800,1.22
2013-12-19,1.25,1.30,1.24,1.27,16600,1.27
2013-12-18,1.24,1.33,1.21,1.30,68400,1.30
2013-12-17,1.25,1.26,1.24,1.26,8800,1.26
2013-12-16,1.22,1.25,1.22,1.22,11300,1.22
2013-12-13,1.25,1.25,1.21,1.25,20500,1.25
2013-12-12,1.22,1.24,1.21,1.21,13700,1.21
2013-12-11,1.23,1.25,1.22,1.22,5500,1.22
2013-12-10,1.29,1.29,1.23,1.28,9200,1.28
2013-12-09,1.20,1.30,1.20,1.29,13100,1.29
2013-12-06,1.32,1.35,1.27,1.30,29100,1.30
2013-12-05,1.33,1.33,1.27,1.31,21900,1.31
2013-12-04,1.27,1.35,1.24,1.28,22900,1.28
2013-12-03,1.18,1.34,1.18,1.27,67900,1.27
2013-12-02,1.23,1.25,1.18,1.20,120500,1.20
2013-11-29,1.24,1.29,1.24,1.29,5500,1.29
2013-11-27,1.29,1.29,1.22,1.26,20400,1.26
2013-11-26,1.32,1.32,1.25,1.31,40400,1.31
2013-11-25,1.25,1.28,1.22,1.25,34400,1.25
2013-11-22,1.35,1.35,1.25,1.25,42400,1.25
2013-11-21,1.35,1.37,1.25,1.29,42600,1.29
2013-11-20,1.40,1.50,1.33,1.34,49500,1.34
2013-11-19,1.35,1.43,1.33,1.35,43700,1.35
2013-11-18,1.37,1.39,1.32,1.33,50300,1.33
2013-11-15,1.30,1.39,1.30,1.30,59000,1.30
2013-11-14,1.39,1.39,1.31,1.31,41700,1.31
2013-11-13,1.26,1.40,1.25,1.40,216500,1.40
2013-11-12,1.27,1.56,1.25,1.55,308500,1.55
2013-11-11,1.29,1.37,1.24,1.29,104900,1.29
2013-11-08,1.45,1.46,1.26,1.31,181500,1.31
2013-11-07,1.65,2.15,1.44,1.46,1508600,1.46
2013-11-06,1.17,1.48,1.17,1.45,466500,1.45
2013-11-05,1.23,1.23,1.17,1.19,29500,1.19
2013-11-04,1.18,1.26,1.17,1.21,37300,1.21
2013-11-01,1.18,1.19,1.18,1.19,48500,1.19
2013-10-31,1.19,1.19,1.18,1.18,8200,1.18
2013-10-30,1.18,1.21,1.18,1.21,12300,1.21
2013-10-29,1.21,1.21,1.18,1.19,7000,1.19
2013-10-28,1.30,1.30,1.18,1.20,40100,1.20
2013-10-25,1.19,1.21,1.19,1.21,8200,1.21
2013-10-24,1.26,1.26,1.21,1.21,5600,1.21
2013-10-23,1.21,1.30,1.21,1.26,14900,1.26
2013-10-22,1.23,1.24,1.20,1.21,10400,1.21
2013-10-21,1.19,1.21,1.19,1.20,10200,1.20
2013-10-18,1.21,1.21,1.18,1.18,16800,1.18
