Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,36.35,37.48,36.34,37.05,20400,37.05
2014-02-21,37.04,37.16,36.47,36.75,14800,36.75
2014-02-20,36.39,37.24,36.10,36.79,24500,36.79
2014-02-19,37.00,37.24,36.11,36.48,20200,36.48
2014-02-18,37.97,37.97,36.88,37.06,33000,37.06
2014-02-14,37.65,38.27,37.46,37.97,14500,37.97
2014-02-13,36.50,38.35,36.50,37.62,35600,37.62
2014-02-12,36.28,36.98,36.26,36.59,33900,36.59
2014-02-11,34.69,36.42,34.69,36.06,30900,36.06
2014-02-10,34.45,35.66,33.44,34.69,44900,34.69
2014-02-07,33.59,35.02,33.04,34.66,39200,34.66
2014-02-06,33.55,34.19,33.23,33.59,22600,33.59
2014-02-05,32.39,34.10,32.39,33.21,46600,33.21
2014-02-04,33.33,34.18,32.40,32.48,44600,32.48
2014-02-03,33.11,34.36,32.66,33.25,73700,33.25
2014-01-31,32.50,33.77,32.25,33.29,42800,33.09
2014-01-30,32.60,33.42,32.46,33.30,35400,33.10
2014-01-29,32.54,32.85,31.98,32.17,28800,31.98
2014-01-28,32.23,33.25,31.28,33.03,59800,32.83
2014-01-27,33.85,34.28,32.35,32.40,45700,32.21
2014-01-24,37.32,37.32,33.15,33.61,142400,33.41
2014-01-23,39.71,39.97,39.30,39.70,12600,39.46
2014-01-22,39.74,40.50,39.42,39.87,15000,39.63
2014-01-21,40.21,40.78,39.10,39.81,28900,39.57
2014-01-17,40.55,40.55,40.04,40.04,9500,39.80
2014-01-16,39.67,41.00,39.55,40.48,48000,40.24
2014-01-15,40.24,40.34,39.16,39.50,42800,39.26
2014-01-14,39.35,40.73,39.20,40.23,37500,39.99
2014-01-13,39.21,39.95,38.79,39.07,18500,38.84
2014-01-10,39.10,40.07,38.72,39.21,10300,38.97
2014-01-09,39.75,39.82,38.85,39.00,22600,38.77
2014-01-08,39.84,39.97,39.60,39.66,16700,39.42
2014-01-07,39.74,40.49,39.74,39.99,14900,39.75
2014-01-06,39.98,40.74,39.42,39.43,15300,39.19
2014-01-03,39.82,40.49,39.82,39.91,10200,39.67
2014-01-02,40.12,40.41,39.44,39.81,22300,39.57
2013-12-31,40.70,40.76,38.60,40.32,24600,40.08
2013-12-30,40.76,41.24,40.44,40.73,13500,40.49
2013-12-27,41.97,41.97,40.56,40.76,14300,40.52
2013-12-26,41.77,41.99,41.39,41.77,7100,41.52
2013-12-24,41.27,41.99,41.12,41.54,4800,41.29
2013-12-23,39.99,41.67,39.45,41.11,24300,40.86
2013-12-20,40.67,41.40,39.65,39.71,78800,39.47
2013-12-19,39.99,40.96,39.70,40.73,27500,40.49
2013-12-18,39.24,40.00,39.05,39.99,28300,39.75
2013-12-17,39.09,39.76,38.92,39.08,46200,38.85
2013-12-16,37.98,39.13,37.01,39.04,53400,38.81
2013-12-13,37.18,38.00,37.18,37.95,42000,37.72
2013-12-12,37.24,38.02,37.10,37.63,23900,37.40
2013-12-11,38.16,38.16,36.82,37.21,31600,36.99
2013-12-10,38.43,38.88,38.34,38.36,16900,38.13
2013-12-09,39.04,39.10,38.27,38.42,30600,38.19
2013-12-06,38.78,39.12,38.51,38.89,24100,38.66
2013-12-05,38.71,38.90,38.05,38.30,13200,38.07
2013-12-04,38.86,39.60,38.65,38.73,29200,38.50
2013-12-03,38.72,39.15,38.65,38.87,24600,38.64
2013-12-02,39.28,39.35,38.51,38.72,43500,38.49
2013-11-29,39.33,39.99,38.72,39.41,23900,39.17
2013-11-27,38.98,39.20,38.52,39.04,10300,38.81
2013-11-26,38.50,39.29,37.97,39.06,27800,38.83
2013-11-25,38.36,39.41,38.20,38.78,34000,38.55
2013-11-22,38.00,39.06,37.68,38.39,24500,38.16
2013-11-21,37.32,38.14,37.01,38.02,30900,37.79
2013-11-20,37.29,37.50,36.78,37.35,10700,37.13
2013-11-19,37.00,38.13,36.69,37.10,18600,36.88
2013-11-18,37.28,38.20,36.60,36.60,19900,36.38
2013-11-15,36.86,37.26,36.82,37.26,15600,37.04
2013-11-14,37.20,37.26,36.74,37.03,14700,36.81
2013-11-13,35.85,37.45,35.85,37.11,13400,36.89
2013-11-12,35.75,36.17,35.75,35.97,24700,35.75
2013-11-11,35.19,35.85,34.98,35.67,5000,35.46
2013-11-08,35.03,35.91,34.71,35.17,42500,34.96
2013-11-07,36.16,36.16,34.74,35.05,41400,34.84
2013-11-06,35.87,36.00,35.54,35.90,11200,35.68
2013-11-05,35.83,36.00,35.27,35.52,18100,35.31
2013-11-04,35.76,36.18,32.55,35.65,34900,35.44
2013-11-01,35.62,36.18,34.95,35.74,29400,35.35
2013-10-31,35.66,36.02,35.12,35.43,19000,35.04
2013-10-30,36.00,36.08,35.40,35.75,11000,35.36
2013-10-29,34.03,36.18,32.94,35.97,23300,35.57
2013-10-28,34.67,34.67,33.76,34.11,26500,33.73
2013-10-25,36.75,36.75,33.15,34.44,73600,34.06
2013-10-24,38.02,38.48,36.31,37.34,33500,36.93
2013-10-23,38.25,38.25,37.34,37.40,22700,36.99
2013-10-22,38.09,39.08,38.02,38.22,9800,37.80
2013-10-21,39.20,39.75,38.30,38.43,23600,38.01
2013-10-18,38.42,39.32,38.01,39.29,21300,38.86
2013-10-17,37.98,38.35,37.78,38.00,25500,37.58
2013-10-16,37.20,38.37,37.20,38.15,16700,37.73
2013-10-15,36.73,37.66,36.73,37.08,14400,36.67
2013-10-14,36.67,37.52,36.67,37.00,19500,36.59
2013-10-11,35.17,37.27,35.17,36.58,26600,36.18
2013-10-10,34.74,35.26,34.50,35.15,27600,34.76
2013-10-09,33.79,34.48,33.69,34.40,22000,34.02
2013-10-08,34.15,34.54,33.01,33.89,44700,33.52
2013-10-07,33.58,34.25,33.48,34.09,13300,33.71
2013-10-04,33.99,34.18,33.82,34.04,10400,33.67
2013-10-03,34.40,34.41,33.52,33.88,22900,33.51
2013-10-02,34.50,34.88,34.28,34.40,19900,34.02
2013-10-01,33.88,35.00,33.84,35.00,18300,34.61
2013-09-30,33.05,34.07,33.05,33.70,34600,33.33
2013-09-27,33.23,34.32,33.23,33.41,14800,33.04
2013-09-26,33.51,34.21,33.14,33.50,16100,33.13
2013-09-25,33.56,34.04,33.48,33.51,11000,33.14
2013-09-24,32.45,33.78,32.27,33.46,22200,33.09
2013-09-23,32.21,32.50,32.10,32.35,28600,31.99
2013-09-20,32.07,32.56,31.69,32.03,32100,31.68
2013-09-19,32.39,32.39,31.90,32.06,27800,31.71
2013-09-18,32.11,32.60,31.76,32.26,15300,31.90
2013-09-17,32.07,32.40,31.96,32.18,34400,31.83
2013-09-16,31.87,32.54,31.83,32.17,20800,31.82
2013-09-13,31.94,32.24,31.78,32.13,32400,31.78
2013-09-12,32.20,32.36,31.95,32.19,32300,31.84
2013-09-11,32.33,32.44,31.75,32.20,43000,31.85
2013-09-10,32.43,32.43,31.82,32.33,23100,31.97
2013-09-09,32.15,32.44,32.06,32.42,17300,32.06
2013-09-06,32.41,32.44,31.92,32.35,27300,31.99
2013-09-05,32.26,32.60,32.07,32.21,16900,31.86
2013-09-04,32.11,32.67,32.00,32.20,23300,31.85
2013-09-03,31.89,32.51,31.76,32.20,30900,31.85
2013-08-30,32.00,32.08,31.51,31.56,39100,31.21
2013-08-29,31.07,32.18,31.07,32.01,20600,31.66
2013-08-28,30.70,31.52,30.70,31.25,21600,30.91
2013-08-27,31.00,31.00,30.32,30.79,33700,30.45
2013-08-26,31.20,31.45,30.84,31.00,26500,30.66
2013-08-23,30.95,31.39,30.73,31.20,12500,30.86
2013-08-22,30.65,31.12,30.02,30.96,23500,30.62
2013-08-21,30.97,31.00,30.54,30.59,26700,30.25
2013-08-20,30.81,31.24,30.71,31.04,35800,30.70
2013-08-19,31.30,31.45,30.64,30.71,30900,30.37
2013-08-16,31.26,31.62,31.06,31.22,60400,30.88
2013-08-15,31.65,31.88,31.00,31.18,21200,30.84
2013-08-14,32.05,32.20,31.91,31.97,20000,31.62
2013-08-13,32.26,32.29,31.92,32.09,16200,31.74
2013-08-12,31.88,32.20,31.78,32.00,20800,31.65
2013-08-09,32.08,32.40,31.79,31.79,15400,31.44
2013-08-08,32.10,32.25,31.78,32.05,22300,31.70
2013-08-07,32.15,32.36,31.91,32.07,12400,31.72
2013-08-06,32.44,32.44,31.92,32.13,32700,31.78
2013-08-05,31.44,32.66,31.44,32.43,25100,32.07
2013-08-02,32.11,32.52,31.65,32.14,38700,31.61
2013-08-01,32.56,32.56,31.78,32.12,36000,31.59
2013-07-31,32.29,32.44,31.55,32.04,44900,31.51
2013-07-30,32.40,32.60,31.82,32.10,52200,31.57
2013-07-29,31.35,32.63,31.35,32.19,42800,31.66
2013-07-26,32.81,32.96,30.05,31.20,61900,30.68
2013-07-25,30.28,33.40,29.67,33.37,41100,32.82
2013-07-24,29.71,30.03,29.58,29.76,54600,29.27
2013-07-23,29.96,30.38,29.43,29.55,34800,29.06
2013-07-22,29.75,30.21,29.61,29.96,25700,29.46
2013-07-19,29.96,30.03,29.63,29.81,21700,29.32
2013-07-18,30.20,30.40,29.75,30.12,32100,29.62
2013-07-17,30.62,30.89,29.56,30.40,63200,29.90
2013-07-16,30.92,31.00,30.22,30.41,44300,29.91
2013-07-15,30.93,31.46,30.68,30.85,36800,30.34
2013-07-12,30.65,31.50,30.65,30.98,22400,30.47
2013-07-11,30.68,31.70,29.82,30.61,121800,30.10
2013-07-10,29.26,30.74,29.25,30.71,36300,30.20
2013-07-09,29.90,29.98,28.56,29.20,55500,28.72
2013-07-08,29.45,29.99,29.45,29.77,45000,29.28
2013-07-05,27.80,29.42,27.79,29.42,27700,28.93
2013-07-03,27.20,27.71,27.01,27.71,14100,27.25
2013-07-02,27.03,27.47,26.79,27.17,92100,26.72
2013-07-01,26.50,27.22,26.35,26.93,41700,26.48
2013-06-28,26.47,26.57,26.28,26.40,154600,25.96
2013-06-27,26.11,26.50,26.11,26.47,97200,26.03
2013-06-26,25.95,26.11,25.59,25.80,48700,25.37
2013-06-25,25.42,25.87,25.01,25.75,39200,25.32
2013-06-24,24.61,25.25,24.51,25.20,92400,24.78
2013-06-21,24.49,24.77,24.39,24.71,66700,24.30
2013-06-20,24.15,24.62,24.15,24.42,45200,24.02
2013-06-19,24.12,24.66,24.08,24.50,28300,24.09
2013-06-18,23.27,24.15,23.13,24.07,32300,23.67
2013-06-17,23.45,23.45,23.08,23.16,20900,22.78
2013-06-14,23.26,23.26,22.83,23.10,17900,22.72
2013-06-13,23.10,23.33,22.99,23.27,54900,22.88
2013-06-12,23.02,23.24,22.80,23.10,27300,22.72
2013-06-11,23.30,23.30,22.58,22.89,33200,22.51
2013-06-10,22.95,23.41,22.81,23.28,25800,22.89
2013-06-07,23.04,23.46,22.72,22.91,36200,22.53
2013-06-06,22.70,23.06,22.54,22.79,26500,22.41
2013-06-05,22.62,22.85,22.50,22.50,24500,22.13
2013-06-04,22.42,22.75,22.40,22.64,27000,22.27
2013-06-03,23.06,23.10,22.50,22.60,40000,22.23
2013-05-31,23.00,23.27,22.76,22.86,36400,22.48
2013-05-30,22.89,22.90,22.54,22.87,12900,22.49
2013-05-29,23.19,23.30,22.67,22.86,49100,22.48
2013-05-28,22.92,23.58,22.51,23.47,14700,23.08
2013-05-24,22.89,22.94,22.50,22.62,54600,22.25
2013-05-23,22.39,23.00,22.05,22.99,27500,22.61
2013-05-22,22.64,22.74,22.50,22.51,64500,22.14
2013-05-21,22.51,22.75,22.04,22.63,50900,22.26
2013-05-20,21.83,22.20,21.17,22.09,50800,21.72
2013-05-17,21.65,22.02,21.56,22.02,54000,21.48
2013-05-16,21.14,21.82,21.11,21.65,16200,21.12
2013-05-15,21.36,21.36,21.05,21.15,26900,20.63
2013-05-14,21.58,21.93,21.27,21.36,29200,20.83
2013-05-13,21.28,21.59,21.00,21.59,24800,21.06
2013-05-10,21.50,21.72,21.13,21.27,19200,20.75
2013-05-09,21.85,21.89,21.03,21.47,21300,20.94
2013-05-08,21.25,22.00,21.18,21.89,34400,21.35
2013-05-07,21.11,21.48,21.05,21.39,17100,20.86
2013-05-06,21.26,21.47,21.09,21.39,15800,20.86
2013-05-03,20.71,21.40,20.66,21.33,22800,20.81
2013-05-02,20.27,20.51,19.90,20.47,28500,19.97
2013-05-01,20.28,20.60,20.01,20.09,30900,19.60
2013-04-30,20.07,20.44,20.07,20.44,14200,19.94
2013-04-29,20.02,20.29,19.39,20.22,9200,19.72
2013-04-26,20.27,20.40,19.89,20.00,27100,19.51
2013-04-25,20.14,20.46,19.93,20.31,16300,19.81
2013-04-24,20.15,20.60,19.95,20.12,14700,19.63
2013-04-23,20.00,20.24,19.80,20.24,18000,19.74
2013-04-22,19.30,19.89,19.06,19.80,16300,19.31
2013-04-19,18.81,19.78,18.81,19.42,56500,18.94
2013-04-18,19.50,19.71,18.60,18.75,25600,18.29
2013-04-17,20.25,20.38,19.30,19.39,39000,18.91
2013-04-16,21.13,21.13,20.41,20.65,21100,20.14
2013-04-15,21.04,21.39,20.79,21.00,37700,20.48
2013-04-12,20.93,21.40,20.69,21.26,18200,20.74
2013-04-11,20.26,21.17,20.22,21.11,31100,20.59
2013-04-10,19.91,20.45,19.79,20.39,24100,19.89
2013-04-09,20.02,20.09,19.70,19.95,31600,19.46
2013-04-08,20.96,21.00,19.55,20.04,99700,19.55
2013-04-05,21.00,21.77,21.00,21.41,26100,20.88
2013-04-04,21.35,21.50,21.11,21.32,5400,20.80
2013-04-03,21.79,22.00,21.20,21.31,47200,20.79
2013-04-02,21.59,21.93,21.39,21.86,20400,21.32
2013-04-01,21.75,21.85,21.03,21.38,41900,20.85
2013-03-28,21.70,21.86,21.39,21.64,11100,21.11
2013-03-27,21.63,21.94,21.15,21.83,25200,21.29
2013-03-26,22.12,22.12,21.24,21.63,45300,21.10
2013-03-25,21.92,22.12,21.66,21.97,15100,21.43
