Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,30.94,30.94,30.00,30.00,400,30.00
2014-02-21,30.04,30.04,30.04,30.04,000,30.04
2014-02-20,30.04,30.04,30.04,30.04,000,30.04
2014-02-19,30.04,30.04,30.04,30.04,200,30.04
2014-02-18,29.70,30.71,29.70,30.60,2800,30.60
2014-02-14,29.02,29.99,29.02,29.99,1700,29.99
2014-02-13,29.45,29.45,28.95,29.08,2200,29.08
2014-02-12,29.50,29.50,29.50,29.50,000,29.50
2014-02-11,29.50,29.50,29.50,29.50,1100,29.50
2014-02-10,29.00,29.00,28.60,28.64,1100,28.64
2014-02-07,29.53,29.84,28.26,29.50,3900,29.50
2014-02-06,29.05,29.05,29.05,29.05,200,29.05
2014-02-05,30.70,30.70,30.70,30.70,000,30.70
2014-02-04,30.70,30.70,30.70,30.70,000,30.58
2014-02-03,30.28,30.70,30.28,30.70,1600,30.58
2014-01-31,30.00,30.00,30.00,30.00,100,29.88
2014-01-30,29.80,29.80,29.80,29.80,000,29.68
2014-01-29,29.45,29.80,29.35,29.80,3900,29.68
2014-01-28,30.03,30.03,30.03,30.03,000,29.91
2014-01-27,30.03,30.03,30.03,30.03,000,29.91
2014-01-24,29.01,30.93,29.01,30.03,700,29.91
2014-01-23,30.48,30.48,30.48,30.48,200,30.36
2014-01-22,29.25,29.76,29.02,29.76,5300,29.64
2014-01-21,29.50,29.50,29.50,29.50,000,29.38
2014-01-17,29.50,29.50,29.20,29.50,3300,29.38
2014-01-16,28.74,28.74,28.74,28.74,000,28.63
2014-01-15,29.03,29.03,28.70,28.74,900,28.63
2014-01-14,28.90,28.90,28.90,28.90,000,28.79
2014-01-13,29.00,29.00,28.49,28.90,1300,28.79
2014-01-10,29.14,29.14,29.14,29.14,200,29.03
2014-01-09,28.29,28.29,28.29,28.29,100,28.18
2014-01-08,28.09,29.00,28.09,29.00,1900,28.89
2014-01-07,28.15,29.00,28.15,28.30,8700,28.19
2014-01-06,28.08,28.08,28.08,28.08,000,27.97
2014-01-03,28.08,28.08,28.08,28.08,400,27.97
2014-01-02,28.20,28.20,28.18,28.18,600,28.07
2013-12-31,28.16,28.16,28.16,28.16,200,28.05
2013-12-30,28.00,28.23,27.76,28.23,1100,28.12
2013-12-27,27.78,27.99,27.78,27.99,800,27.88
2013-12-26,27.90,28.00,27.90,28.00,800,27.89
2013-12-24,27.75,27.75,27.75,27.75,000,27.64
2013-12-23,27.90,27.90,27.75,27.75,500,27.64
2013-12-20,27.90,27.90,27.53,27.78,1200,27.67
2013-12-19,28.19,28.19,28.19,28.19,500,28.08
2013-12-18,27.52,28.37,27.50,27.51,2800,27.40
2013-12-17,27.54,27.70,27.54,27.70,1000,27.59
2013-12-16,27.50,28.50,27.50,27.75,31300,27.64
2013-12-13,27.52,27.60,27.25,27.50,12600,27.39
2013-12-12,27.90,27.90,27.51,27.51,3800,27.40
2013-12-11,28.00,28.03,28.00,28.00,2000,27.89
2013-12-10,27.90,27.90,27.90,27.90,200,27.79
2013-12-09,27.95,27.95,27.95,27.95,000,27.84
2013-12-06,28.00,28.52,27.67,27.95,5200,27.84
2013-12-05,27.94,28.46,27.94,28.46,6100,28.35
2013-12-04,27.60,28.00,27.60,28.00,900,27.89
2013-12-03,27.87,27.87,27.60,27.63,4600,27.52
2013-12-02,27.60,28.00,27.51,27.87,4400,27.76
2013-11-29,27.50,27.50,27.50,27.50,000,27.39
2013-11-27,27.57,27.57,27.50,27.50,1100,27.39
2013-11-26,27.58,27.58,27.58,27.58,200,27.47
2013-11-25,27.50,27.50,27.50,27.50,200,27.39
2013-11-22,27.22,27.25,27.20,27.20,6800,27.09
2013-11-21,27.31,27.40,27.30,27.30,17300,27.19
2013-11-20,27.50,27.50,27.40,27.43,800,27.32
2013-11-19,27.75,27.75,27.45,27.45,700,27.34
2013-11-18,28.00,28.00,28.00,28.00,100,27.89
2013-11-15,27.75,27.99,27.50,27.66,5400,27.55
2013-11-14,27.98,27.98,27.63,27.63,300,27.52
2013-11-13,28.24,28.24,27.96,28.06,400,27.95
2013-11-12,28.00,28.00,27.58,27.58,3300,27.47
2013-11-11,27.65,28.24,27.65,28.00,5000,27.89
2013-11-08,27.51,27.51,27.51,27.51,100,27.40
2013-11-07,27.40,27.40,27.30,27.30,1200,27.19
2013-11-06,27.80,27.80,27.26,27.29,1100,27.18
2013-11-05,27.75,28.00,27.75,27.79,2800,27.58
2013-11-04,28.19,28.19,27.50,28.00,4800,27.79
2013-11-01,28.10,28.24,28.03,28.19,2300,27.98
2013-10-31,27.50,28.10,27.50,27.80,1300,27.59
2013-10-30,27.25,27.25,27.25,27.25,000,27.05
2013-10-29,27.23,27.25,27.23,27.25,600,27.05
2013-10-28,27.24,27.24,27.24,27.24,200,27.04
2013-10-25,27.33,27.44,27.33,27.44,400,27.23
2013-10-24,26.80,26.80,26.73,26.73,2000,26.53
2013-10-23,26.80,26.95,26.80,26.80,900,26.60
2013-10-22,26.80,26.80,26.80,26.80,000,26.60
2013-10-21,26.46,26.80,26.45,26.80,5400,26.60
2013-10-18,26.79,26.79,26.79,26.79,100,26.59
2013-10-17,26.30,26.75,26.30,26.34,2200,26.14
2013-10-16,26.47,26.47,26.31,26.31,300,26.11
2013-10-15,26.23,26.30,26.23,26.25,2300,26.05
2013-10-14,26.92,26.92,26.25,26.25,200,26.05
2013-10-11,26.18,26.92,26.18,26.92,1100,26.72
2013-10-10,26.59,26.59,26.03,26.11,12400,25.91
2013-10-09,26.83,26.83,26.09,26.15,4300,25.95
2013-10-08,26.98,26.98,26.98,26.98,000,26.78
2013-10-07,26.79,27.01,26.79,26.98,800,26.78
2013-10-04,26.85,26.85,26.85,26.85,200,26.65
2013-10-03,27.84,28.30,27.70,27.71,1500,27.50
2013-10-02,27.71,27.71,27.71,27.71,100,27.50
2013-10-01,27.88,27.88,27.88,27.88,000,27.67
2013-09-30,27.40,28.95,27.38,27.88,9800,27.67
2013-09-27,27.01,27.01,27.01,27.01,400,26.81
2013-09-26,27.34,27.34,27.34,27.34,000,27.14
2013-09-25,26.90,27.34,26.90,27.34,400,27.14
2013-09-24,27.01,27.01,26.85,26.85,700,26.65
2013-09-23,26.93,27.79,26.82,26.82,2200,26.62
