Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,15.13,15.46,14.72,14.79,226700,14.79
2014-02-21,14.70,15.17,14.54,14.98,216000,14.98
2014-02-20,13.93,14.78,13.58,14.63,203600,14.63
2014-02-19,14.09,14.52,13.55,13.80,157800,13.80
2014-02-18,13.85,14.61,13.49,14.15,150000,14.15
2014-02-14,14.05,14.32,13.50,13.73,75300,13.73
2014-02-13,13.70,14.16,13.70,14.04,126300,14.04
2014-02-12,14.80,15.06,13.70,13.71,324600,13.71
2014-02-11,15.30,15.88,14.60,14.71,230900,14.71
2014-02-10,14.54,15.37,14.50,15.21,223800,15.21
2014-02-07,13.75,15.26,13.56,14.87,286900,14.87
2014-02-06,14.07,14.07,13.44,13.63,116600,13.63
2014-02-05,13.55,14.02,13.25,13.79,144100,13.79
2014-02-04,13.05,14.31,13.01,14.04,247200,14.04
2014-02-03,13.92,14.00,12.58,13.11,772500,13.11
2014-01-31,14.43,14.76,13.87,13.98,618500,13.98
2014-01-30,14.90,15.24,14.60,14.73,196000,14.73
2014-01-29,15.00,15.48,14.67,14.78,207400,14.78
2014-01-28,14.87,15.66,14.75,15.24,361300,15.24
2014-01-27,15.53,15.68,14.00,14.80,710600,14.80
2014-01-24,16.46,16.75,15.31,15.68,1597400,15.68
2014-01-23,17.61,17.94,16.26,16.40,499400,16.40
2014-01-22,18.61,19.88,17.25,17.86,602200,17.86
2014-01-21,16.33,18.60,16.14,18.24,565300,18.24
2014-01-17,17.31,17.31,15.25,15.45,390400,15.45
2014-01-16,16.57,16.57,15.80,16.10,167900,16.10
2014-01-15,16.65,17.03,15.75,16.29,313000,16.29
2014-01-14,18.17,18.97,15.33,16.66,999600,16.66
2014-01-13,17.91,21.00,17.10,18.67,661800,18.67
2014-01-10,17.72,18.20,16.66,17.92,589000,17.92
2014-01-09,14.51,17.24,14.51,16.75,453300,16.75
2014-01-08,13.40,15.49,13.15,14.43,378000,14.43
2014-01-07,12.91,13.50,12.87,13.22,156200,13.22
2014-01-06,12.99,13.95,12.51,13.19,352400,13.19
2014-01-03,11.23,13.30,11.23,12.82,442300,12.82
2014-01-02,10.38,11.75,10.24,11.48,344400,11.48
2013-12-31,10.59,10.64,10.06,10.31,46600,10.31
2013-12-30,10.67,10.75,10.00,10.47,61600,10.47
2013-12-27,11.00,11.35,9.04,10.67,281800,10.67
2013-12-26,10.20,11.20,9.88,11.04,530500,11.04
2013-12-24,9.27,10.20,9.26,10.00,270900,10.00
2013-12-23,9.05,9.29,8.90,9.15,100000,9.15
2013-12-20,8.92,9.24,8.65,8.85,238600,8.85
2013-12-19,8.64,8.75,8.42,8.74,140700,8.74
2013-12-18,8.82,8.98,8.30,8.59,162800,8.59
2013-12-17,9.11,9.21,8.78,8.99,132300,8.99
2013-12-16,9.45,9.65,8.76,9.10,323300,9.10
2013-12-13,7.91,8.78,7.70,8.59,392400,8.59
2013-12-12,8.01,8.13,7.45,7.50,231100,7.50
2013-12-11,9.05,9.17,7.50,8.18,500100,8.18
2013-12-10,9.35,9.50,8.55,9.03,412600,9.03
2013-12-09,9.10,10.72,8.60,9.23,1234600,9.23
2013-12-06,7.03,9.60,7.00,9.05,429200,9.05
2013-12-05,7.65,7.90,6.91,6.93,592200,6.93
2013-12-04,6.31,8.90,6.06,7.61,1568500,7.61
2013-12-03,5.89,6.28,5.85,5.85,421100,5.85
2013-12-02,5.45,6.10,5.39,5.88,558400,5.88
2013-11-29,5.25,5.45,5.20,5.45,76800,5.45
2013-11-27,5.24,5.40,5.01,5.25,166400,5.25
2013-11-26,4.85,5.18,4.63,5.16,391900,5.16
2013-11-25,4.49,5.00,4.40,4.93,261700,4.93
2013-11-22,4.24,4.38,4.24,4.31,27600,4.31
2013-11-21,4.21,4.29,4.20,4.22,44800,4.22
2013-11-20,4.27,4.40,4.22,4.25,106000,4.25
2013-11-19,4.30,4.35,4.15,4.29,60200,4.29
2013-11-18,4.26,4.49,4.26,4.29,100900,4.29
2013-11-15,4.27,4.42,4.20,4.24,99800,4.24
2013-11-14,4.15,4.53,4.10,4.22,506200,4.22
2013-11-13,4.16,4.20,4.15,4.18,9600,4.18
