Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,22.73,23.05,22.17,22.90,24500,22.90
2014-02-21,22.43,22.66,22.39,22.54,2100,22.54
2014-02-20,22.72,22.72,22.72,22.72,000,22.72
2014-02-19,22.72,22.72,22.72,22.72,000,22.72
2014-02-18,22.90,22.90,22.70,22.72,5300,22.72
2014-02-14,22.91,22.91,22.91,22.91,000,22.91
2014-02-13,22.91,22.91,22.91,22.91,000,22.91
2014-02-12,22.11,23.10,22.11,22.91,1800,22.83
2014-02-11,22.79,22.82,22.79,22.82,1000,22.74
2014-02-10,22.69,22.78,22.61,22.76,4600,22.68
2014-02-07,22.69,22.77,22.69,22.77,400,22.69
2014-02-06,22.67,22.77,22.58,22.72,1800,22.64
2014-02-05,22.58,22.64,22.58,22.63,1500,22.55
2014-02-04,22.70,22.88,22.58,22.74,7100,22.66
2014-02-03,22.70,22.76,21.75,22.44,5300,22.36
2014-01-31,23.33,23.33,23.33,23.33,2600,23.25
2014-01-30,23.40,23.40,23.40,23.40,000,23.32
2014-01-29,23.39,23.41,23.39,23.40,3100,23.32
2014-01-28,23.50,23.85,23.42,23.60,4000,23.52
2014-01-27,23.78,23.78,23.65,23.76,3600,23.68
2014-01-24,24.05,24.05,24.05,24.05,900,23.97
2014-01-23,23.94,24.10,23.90,24.10,4300,24.02
2014-01-22,23.99,24.35,23.88,24.19,9900,24.11
2014-01-21,23.81,24.24,23.53,24.08,8400,24.00
2014-01-17,23.86,23.86,23.86,23.86,200,23.78
2014-01-16,23.82,23.84,23.73,23.80,4100,23.72
2014-01-15,24.17,24.21,24.05,24.05,1800,23.97
2014-01-14,23.96,24.03,23.94,24.03,5200,23.95
2014-01-13,24.11,24.12,23.87,24.02,6300,23.94
2014-01-10,24.20,24.25,24.11,24.12,2500,24.04
2014-01-09,24.25,24.40,24.11,24.37,6000,24.28
2014-01-08,24.65,24.80,24.24,24.24,1900,24.16
2014-01-07,24.56,24.56,24.56,24.56,200,24.47
2014-01-06,24.68,24.80,24.68,24.78,2400,24.69
2014-01-03,24.58,24.66,24.11,24.66,27800,24.57
2014-01-02,24.82,24.82,24.50,24.51,12200,24.42
2013-12-31,24.97,24.97,24.83,24.83,8300,24.74
2013-12-30,25.13,25.13,24.88,24.89,7500,24.80
2013-12-27,24.87,24.87,24.87,24.87,000,24.78
2013-12-26,25.21,25.21,24.87,24.87,6000,24.78
2013-12-24,26.00,26.00,25.25,25.25,800,25.16
2013-12-23,24.90,25.21,24.90,25.21,5600,25.12
