Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,1.35,1.35,1.31,1.33,9000,1.33
2014-02-21,1.40,1.40,1.35,1.35,20000,1.35
2014-02-20,1.49,1.49,1.38,1.40,7800,1.40
2014-02-19,1.31,1.51,1.31,1.43,28200,1.43
2014-02-18,1.51,1.54,1.21,1.35,151000,1.35
2014-02-14,1.60,1.60,1.60,1.60,000,1.60
2014-02-13,1.60,1.60,1.60,1.60,000,1.60
2014-02-12,1.50,1.64,1.50,1.60,3600,1.60
2014-02-11,1.57,1.57,1.57,1.57,100,1.57
2014-02-10,1.60,1.65,1.55,1.65,1000,1.65
2014-02-07,1.58,1.70,1.55,1.65,8000,1.65
2014-02-06,1.67,1.67,1.50,1.66,25200,1.66
2014-02-05,1.61,1.72,1.53,1.69,4300,1.69
2014-02-04,1.67,1.69,1.60,1.65,12500,1.65
2014-02-03,1.74,1.74,1.69,1.69,6300,1.69
2014-01-31,1.67,1.74,1.67,1.73,7500,1.73
2014-01-30,1.75,1.75,1.67,1.70,4500,1.70
2014-01-29,1.83,1.83,1.68,1.74,6700,1.74
2014-01-28,1.82,1.82,1.82,1.82,1600,1.82
2014-01-27,1.89,2.00,1.82,1.84,6400,1.84
2014-01-24,1.83,1.89,1.83,1.89,2200,1.89
2014-01-23,1.80,2.00,1.80,1.91,7300,1.91
2014-01-22,1.94,2.02,1.77,1.99,8000,1.99
2014-01-21,2.10,2.11,1.76,1.87,22100,1.87
2014-01-17,1.79,2.00,1.75,1.75,11400,1.75
2014-01-16,1.70,1.75,1.69,1.75,6700,1.75
2014-01-15,1.75,1.83,1.70,1.70,5300,1.70
2014-01-14,1.65,1.73,1.63,1.73,7100,1.73
2014-01-13,1.82,1.82,1.64,1.64,7800,1.64
2014-01-10,1.83,1.83,1.75,1.75,300,1.75
2014-01-09,1.70,1.71,1.63,1.70,1700,1.70
2014-01-08,1.66,1.75,1.64,1.70,5400,1.70
2014-01-07,1.69,1.82,1.69,1.71,4000,1.71
2014-01-06,1.72,1.72,1.65,1.68,4700,1.68
2014-01-03,1.63,1.73,1.63,1.71,15700,1.71
2014-01-02,1.77,1.77,1.60,1.64,23100,1.64
2013-12-31,1.90,1.91,1.76,1.80,4300,1.80
2013-12-30,1.93,1.95,1.90,1.94,12900,1.94
2013-12-27,2.03,2.10,1.94,1.99,26500,1.99
2013-12-26,1.88,2.10,1.88,1.91,24900,1.91
2013-12-24,1.83,1.87,1.83,1.85,4900,1.85
2013-12-23,1.79,1.82,1.78,1.82,6800,1.82
2013-12-20,1.80,1.80,1.70,1.74,3500,1.74
2013-12-19,1.72,1.82,1.60,1.75,14600,1.75
2013-12-18,1.56,1.75,1.56,1.60,23000,1.60
2013-12-17,1.72,1.72,1.55,1.59,1700,1.59
2013-12-16,1.61,1.70,1.61,1.70,2500,1.70
2013-12-13,1.64,1.74,1.62,1.62,4400,1.62
2013-12-12,1.52,1.64,1.51,1.60,2600,1.60
2013-12-11,1.55,1.56,1.55,1.56,1600,1.56
2013-12-10,1.55,1.57,1.55,1.55,4300,1.55
2013-12-09,1.56,1.77,1.56,1.57,1700,1.57
2013-12-06,1.56,1.62,1.56,1.58,1200,1.58
2013-12-05,1.56,1.61,1.52,1.58,5300,1.58
2013-12-04,1.58,1.58,1.47,1.51,6100,1.51
2013-12-03,1.60,1.78,1.60,1.78,900,1.78
2013-12-02,1.77,1.77,1.70,1.70,3100,1.70
2013-11-29,1.78,1.78,1.70,1.77,2200,1.77
2013-11-27,1.50,1.71,1.50,1.60,7800,1.60
2013-11-26,1.44,1.51,1.44,1.48,4100,1.48
2013-11-25,1.32,1.51,1.30,1.39,12600,1.39
