Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,7.85,7.85,7.85,7.85,000,7.85
2014-02-21,7.85,7.85,7.85,7.85,200,7.85
2014-02-20,7.79,7.84,7.65,7.76,2500,7.76
2014-02-19,7.70,7.70,7.70,7.70,200,7.70
2014-02-18,7.75,7.75,7.75,7.75,27000,7.75
2014-02-14,7.68,7.68,7.65,7.65,7700,7.65
2014-02-13,7.64,7.70,7.63,7.68,2600,7.68
2014-02-12,7.70,7.85,7.60,7.66,23500,7.66
2014-02-11,7.63,7.79,7.50,7.69,18300,7.69
2014-02-10,7.70,7.95,7.65,7.68,42400,7.68
2014-02-07,7.51,7.65,7.49,7.65,3200,7.65
2014-02-06,7.74,7.74,7.52,7.52,12500,7.52
2014-02-05,7.55,7.74,7.50,7.68,1900,7.66
2014-02-04,7.58,7.70,7.56,7.68,4100,7.66
2014-02-03,7.56,7.60,7.56,7.56,31900,7.54
2014-01-31,7.54,7.54,7.54,7.54,000,7.52
2014-01-30,7.56,7.56,7.54,7.54,16000,7.52
2014-01-29,7.46,7.56,7.46,7.55,6200,7.53
2014-01-28,7.41,7.43,7.41,7.43,900,7.41
2014-01-27,7.50,7.50,7.35,7.35,2500,7.33
2014-01-24,7.50,7.50,7.50,7.50,1800,7.48
2014-01-23,7.35,7.50,7.35,7.50,700,7.48
2014-01-22,7.39,7.42,7.39,7.42,1000,7.40
2014-01-21,7.32,7.32,7.30,7.30,1100,7.28
2014-01-17,7.30,7.30,7.30,7.30,000,7.28
2014-01-16,7.21,7.30,7.21,7.30,1000,7.28
2014-01-15,7.20,7.20,7.20,7.20,000,7.18
2014-01-14,7.34,7.34,7.20,7.20,2000,7.18
2014-01-13,7.51,7.51,7.25,7.25,4700,7.23
2014-01-10,7.35,7.35,7.35,7.35,100,7.33
2014-01-09,7.51,7.51,7.51,7.51,000,7.49
2014-01-08,7.47,7.63,7.47,7.51,6900,7.49
2014-01-07,7.35,7.46,7.35,7.46,4700,7.44
2014-01-06,7.18,7.37,7.18,7.36,10200,7.34
2014-01-03,7.26,7.48,7.26,7.48,11400,7.46
2014-01-02,7.18,7.29,6.90,7.29,23700,7.27
2013-12-31,7.21,7.25,7.16,7.21,6400,7.19
2013-12-30,7.26,7.26,7.21,7.26,3600,7.24
2013-12-27,7.23,7.33,7.23,7.31,7200,7.29
2013-12-26,7.26,7.26,7.15,7.21,94400,7.19
2013-12-24,7.26,7.27,7.26,7.27,3100,7.25
2013-12-23,7.57,7.57,7.30,7.30,5800,7.28
2013-12-20,7.35,7.44,7.30,7.35,4300,7.33
2013-12-19,7.30,7.35,7.15,7.25,6800,7.23
2013-12-18,7.30,7.30,7.30,7.30,2000,7.28
2013-12-17,7.29,7.51,7.17,7.51,1000,7.49
2013-12-16,7.39,7.40,7.21,7.40,3100,7.38
2013-12-13,7.44,7.44,7.43,7.44,1800,7.42
