Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,26.63,27.14,26.55,26.69,397700,26.69
2014-02-21,26.77,26.81,26.48,26.55,24300,26.55
2014-02-20,26.62,26.78,26.51,26.71,91900,26.71
2014-02-19,26.59,26.77,26.48,26.51,64000,26.51
2014-02-18,27.00,27.38,26.65,26.81,100700,26.81
2014-02-14,26.00,27.20,25.77,26.88,126200,26.88
2014-02-13,25.52,26.18,25.51,26.00,44900,26.00
2014-02-12,25.80,25.99,25.46,25.68,45300,25.68
2014-02-11,25.58,25.85,25.06,25.80,135600,25.80
2014-02-10,25.46,25.79,24.79,25.60,15800,25.60
2014-02-07,24.52,25.74,24.51,25.34,46700,25.34
2014-02-06,24.00,25.75,24.00,25.44,23200,25.44
2014-02-05,24.89,25.77,24.09,25.43,45100,25.43
2014-02-04,25.07,25.49,24.56,25.02,100200,25.02
2014-02-03,25.53,25.68,24.77,25.12,93900,25.12
2014-01-31,25.75,26.19,25.20,25.96,22200,25.96
2014-01-30,26.10,26.56,25.80,26.05,46800,26.05
2014-01-29,25.25,26.27,25.00,25.82,152200,25.82
2014-01-28,24.94,25.19,24.74,25.02,52200,25.02
2014-01-27,25.53,25.66,24.44,24.99,101400,24.99
2014-01-24,26.34,26.48,25.38,25.68,106000,25.68
2014-01-23,26.71,26.71,26.07,26.60,94000,26.60
2014-01-22,26.94,27.00,26.53,26.76,49500,26.76
2014-01-21,27.62,27.62,26.76,27.04,72100,27.04
2014-01-17,27.74,27.80,27.50,27.71,46200,27.71
2014-01-16,27.40,28.00,27.26,27.87,144400,27.87
2014-01-15,27.23,27.39,27.00,27.39,59800,27.39
2014-01-14,27.38,27.87,27.05,27.22,82600,27.22
2014-01-13,27.31,27.68,27.08,27.23,45300,27.23
2014-01-10,27.00,28.00,26.70,27.20,69100,27.20
2014-01-09,26.00,27.75,25.92,27.01,187800,27.01
2014-01-08,25.77,26.23,24.84,26.23,99200,26.23
2014-01-07,25.25,26.00,25.10,25.86,110400,25.86
2014-01-06,24.59,25.68,24.07,25.54,90200,25.54
2014-01-03,24.39,24.86,24.26,24.60,40800,24.60
2014-01-02,25.00,25.15,23.40,24.91,55200,24.91
2013-12-31,24.70,25.30,24.50,25.14,59800,25.14
2013-12-30,24.68,24.75,24.02,24.68,55400,24.68
2013-12-27,24.66,24.75,24.50,24.57,17200,24.57
2013-12-26,24.50,24.75,24.30,24.53,39000,24.53
2013-12-24,24.20,24.57,23.45,24.28,50900,24.28
2013-12-23,24.09,24.71,23.84,24.08,62300,24.08
2013-12-20,23.90,24.00,23.75,23.97,47700,23.97
2013-12-19,23.47,24.15,23.41,23.83,41500,23.83
2013-12-18,22.72,23.95,22.72,23.56,79200,23.56
2013-12-17,22.75,22.96,22.42,22.76,46700,22.76
2013-12-16,23.12,23.22,22.01,22.94,61300,22.94
2013-12-13,22.80,23.32,22.37,23.01,23100,23.01
2013-12-12,22.19,23.10,22.01,22.86,61600,22.86
2013-12-11,23.30,23.42,22.03,22.31,155300,22.31
2013-12-10,23.64,23.77,23.25,23.49,57200,23.49
2013-12-09,24.01,24.42,23.24,23.90,48000,23.90
2013-12-06,24.19,24.32,23.84,24.12,37200,24.12
2013-12-05,24.03,24.24,23.63,24.10,35000,24.10
2013-12-04,24.63,24.73,24.06,24.17,32500,24.17
2013-12-03,25.24,25.45,24.56,24.80,61200,24.80
2013-12-02,25.50,25.57,24.97,25.42,82700,25.42
2013-11-29,25.50,25.63,25.32,25.63,12400,25.63
2013-11-27,24.94,25.48,24.94,25.40,48700,25.40
2013-11-26,24.59,25.25,24.55,25.04,63000,25.04
2013-11-25,24.99,25.09,24.77,24.89,47700,24.89
2013-11-22,24.55,25.10,24.53,25.09,73200,25.09
2013-11-21,24.70,25.10,24.70,24.91,54800,24.91
2013-11-20,24.96,25.15,24.45,24.70,67500,24.70
2013-11-19,24.50,25.00,24.34,24.68,76100,24.68
2013-11-18,25.25,25.25,24.35,24.60,60600,24.60
2013-11-15,25.44,25.48,24.91,25.25,175000,25.25
2013-11-14,25.05,25.51,24.85,25.35,89800,25.35
2013-11-13,25.00,25.22,24.91,25.05,69800,25.05
2013-11-12,25.02,25.34,24.80,25.11,65900,25.11
2013-11-11,25.03,25.35,24.83,25.10,47300,25.10
2013-11-08,24.76,25.26,24.76,25.10,102500,25.10
2013-11-07,24.89,25.07,24.76,24.97,101900,24.97
2013-11-06,25.07,25.32,24.75,24.96,89000,24.96
2013-11-05,25.00,25.27,24.71,25.10,67700,25.10
2013-11-04,25.06,25.33,24.87,25.00,42400,25.00
2013-11-01,24.98,25.16,24.81,25.05,81600,25.05
2013-10-31,24.40,25.20,24.40,25.00,130900,25.00
2013-10-30,24.25,24.66,24.15,24.60,94100,24.60
2013-10-29,24.34,24.50,24.17,24.28,167400,24.28
2013-10-28,24.13,24.59,24.01,24.44,59000,24.44
2013-10-25,24.14,24.40,24.02,24.23,35800,24.23
2013-10-24,24.08,24.17,23.46,24.10,85100,24.10
2013-10-23,23.40,24.12,23.26,23.96,82600,23.96
2013-10-22,23.65,23.69,23.35,23.56,100400,23.56
2013-10-21,23.53,23.64,23.01,23.56,82300,23.56
2013-10-18,23.21,23.50,22.99,23.47,108500,23.47
2013-10-17,22.50,23.16,22.30,23.06,215800,23.06
2013-10-16,22.18,22.60,22.09,22.45,82800,22.45
2013-10-15,22.48,22.80,21.90,22.21,117800,22.21
2013-10-14,22.20,22.79,22.00,22.51,39200,22.51
2013-10-11,21.71,22.50,21.71,22.33,175100,22.33
2013-10-10,21.81,21.95,21.28,21.74,111500,21.74
2013-10-09,21.83,22.18,21.34,21.58,86700,21.58
2013-10-08,23.01,23.01,21.84,21.92,178700,21.92
2013-10-07,22.90,23.23,22.73,22.99,108000,22.99
2013-10-04,22.96,22.96,22.75,22.88,25400,22.88
2013-10-03,22.75,22.92,22.35,22.78,140500,22.78
2013-10-02,22.37,23.10,22.08,22.85,119800,22.85
2013-10-01,21.73,22.59,21.40,22.36,103100,22.36
2013-09-30,21.40,21.83,21.17,21.76,40400,21.76
2013-09-27,21.50,21.70,21.25,21.63,31500,21.63
2013-09-26,21.40,21.56,21.36,21.49,58400,21.49
2013-09-25,21.56,22.00,21.40,21.47,85100,21.47
2013-09-24,20.67,22.00,20.67,21.51,109100,21.51
2013-09-23,20.68,20.85,20.32,20.67,99300,20.67
2013-09-20,20.25,20.84,20.06,20.74,103400,20.74
2013-09-19,19.75,20.25,19.75,20.18,61100,20.18
2013-09-18,20.00,20.20,19.60,19.89,52200,19.89
2013-09-17,19.91,20.15,19.63,20.15,25400,20.15
2013-09-16,20.25,20.25,19.67,20.01,39700,20.01
2013-09-13,19.69,20.14,19.69,20.01,48100,20.01
2013-09-12,20.06,20.06,19.58,19.71,41500,19.71
2013-09-11,19.94,20.02,19.55,19.74,33000,19.74
2013-09-10,19.95,20.07,19.60,19.98,23700,19.98
2013-09-09,19.56,20.17,19.52,19.93,109900,19.93
2013-09-06,19.30,19.69,19.07,19.60,158500,19.60
2013-09-05,19.18,19.55,19.00,19.32,65200,19.32
2013-09-04,19.00,19.51,18.80,19.15,78000,19.15
2013-09-03,19.12,19.20,18.90,18.95,27500,18.95
2013-08-30,19.30,19.30,18.95,19.03,40700,19.03
2013-08-29,19.18,19.79,19.18,19.29,22900,19.29
2013-08-28,19.15,19.72,18.77,19.20,118400,19.20
2013-08-27,19.36,19.78,19.20,19.28,54200,19.28
2013-08-26,19.58,19.87,19.14,19.45,65300,19.45
2013-08-23,19.73,19.89,19.54,19.69,54900,19.69
2013-08-22,19.90,19.90,19.50,19.73,48400,19.73
2013-08-21,20.13,20.13,19.81,19.88,38600,19.88
