Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,1.44,1.44,1.44,1.44,000,1.44
2014-02-21,1.44,1.44,1.44,1.44,000,1.44
2014-02-20,1.44,1.44,1.44,1.44,000,1.44
2014-02-19,1.44,1.44,1.44,1.44,000,1.44
2014-02-18,1.44,1.44,1.44,1.44,000,1.44
2014-02-14,1.44,1.44,1.44,1.44,000,1.44
2014-02-13,1.44,1.44,1.44,1.44,000,1.44
2014-02-12,1.44,1.44,1.44,1.44,000,1.44
2014-02-11,1.44,1.44,1.44,1.44,000,1.44
2014-02-10,1.44,1.44,1.44,1.44,000,1.44
2014-02-07,1.44,1.44,1.44,1.44,000,1.44
2014-02-06,1.44,1.44,1.44,1.44,000,1.44
2014-02-05,1.44,1.44,1.44,1.44,000,1.44
2014-02-04,1.44,1.44,1.44,1.44,000,1.44
2014-02-03,1.44,1.44,1.44,1.44,000,1.44
2014-01-31,1.44,1.44,1.44,1.44,000,1.44
2014-01-30,1.44,1.44,1.44,1.44,000,1.44
2014-01-29,1.44,1.44,1.44,1.44,000,1.44
2014-01-28,1.44,1.44,1.44,1.44,000,1.44
2014-01-27,1.44,1.44,1.44,1.44,000,1.44
2014-01-24,1.44,1.44,1.44,1.44,000,1.44
2014-01-23,1.44,1.44,1.44,1.44,000,1.44
2014-01-22,1.44,1.44,1.44,1.44,000,1.44
2014-01-21,1.44,1.44,1.44,1.44,000,1.44
2014-01-17,1.44,1.44,1.44,1.44,000,1.44
2014-01-16,1.44,1.44,1.44,1.44,000,1.44
2014-01-15,1.44,1.44,1.44,1.44,000,1.44
2014-01-14,1.44,1.44,1.44,1.44,000,1.44
2014-01-13,1.44,1.44,1.44,1.44,000,1.44
2014-01-10,1.44,1.44,1.44,1.44,000,1.44
2014-01-09,1.44,1.44,1.44,1.44,000,1.44
2014-01-08,1.44,1.44,1.44,1.44,000,1.44
2014-01-07,1.44,1.44,1.44,1.44,000,1.44
2014-01-06,1.44,1.44,1.44,1.44,000,1.44
2014-01-03,1.44,1.44,1.44,1.44,000,1.44
2014-01-02,1.44,1.44,1.44,1.44,000,1.44
2013-12-31,1.44,1.44,1.44,1.44,000,1.44
2013-12-30,1.44,1.44,1.44,1.44,000,1.44
2013-12-27,1.44,1.44,1.44,1.44,000,1.44
2013-12-26,1.44,1.44,1.44,1.44,000,1.44
2013-12-24,1.44,1.44,1.44,1.44,000,1.44
2013-12-23,1.44,1.44,1.44,1.44,000,1.44
2013-12-20,1.44,1.44,1.44,1.44,000,1.44
2013-12-19,1.44,1.44,1.44,1.44,000,1.44
2013-12-18,1.44,1.44,1.44,1.44,000,1.44
2013-12-17,1.44,1.44,1.44,1.44,000,1.44
2013-12-16,1.44,1.44,1.44,1.44,000,1.44
2013-12-13,1.44,1.44,1.44,1.44,000,1.44
2013-12-12,1.48,1.52,1.41,1.44,94100,1.44
2013-12-11,1.56,1.67,1.54,1.61,64200,1.61
2013-12-10,1.63,1.72,1.53,1.56,53200,1.56
2013-12-09,1.69,1.75,1.50,1.60,87900,1.60
2013-12-06,1.40,1.79,1.39,1.68,346300,1.68
2013-12-05,1.44,1.48,1.40,1.44,26700,1.44
2013-12-04,1.40,1.41,1.38,1.38,18600,1.38
2013-12-03,1.48,1.48,1.38,1.40,28400,1.40
2013-12-02,1.42,1.48,1.41,1.41,13800,1.41
2013-11-29,1.42,1.43,1.40,1.40,14000,1.40
2013-11-27,1.42,1.51,1.42,1.43,3000,1.43
2013-11-26,1.54,1.54,1.41,1.42,19000,1.42
2013-11-25,1.41,1.53,1.41,1.50,19400,1.50
2013-11-22,1.45,1.54,1.41,1.45,22200,1.45
2013-11-21,1.40,1.53,1.40,1.49,55500,1.49
2013-11-20,1.43,1.43,1.39,1.40,64200,1.40
2013-11-19,1.55,1.57,1.41,1.43,77000,1.43
2013-11-18,1.61,1.63,1.48,1.50,130900,1.50
2013-11-15,1.78,1.81,1.63,1.68,62600,1.68
2013-11-14,1.72,1.97,1.60,1.81,116500,1.81
2013-11-13,1.64,1.72,1.57,1.70,55400,1.70
2013-11-12,1.70,1.73,1.61,1.66,7600,1.66
2013-11-11,1.52,1.71,1.52,1.67,58900,1.67
2013-11-08,1.56,1.61,1.45,1.56,80600,1.56
2013-11-07,1.74,1.74,1.58,1.60,37300,1.60
2013-11-06,1.74,1.85,1.74,1.74,11900,1.74
2013-11-05,1.68,1.82,1.68,1.79,19900,1.79
2013-11-04,1.69,1.80,1.69,1.72,79600,1.72
2013-11-01,1.83,1.83,1.70,1.70,57900,1.70
2013-10-31,1.93,1.94,1.74,1.83,93500,1.83
2013-10-30,2.06,2.16,1.97,1.97,33900,1.97
2013-10-29,1.97,2.04,1.95,2.04,28000,2.04
2013-10-28,2.04,2.04,1.90,1.93,16600,1.93
2013-10-25,1.91,2.05,1.87,2.04,55100,2.04
2013-10-24,2.02,2.05,1.85,1.91,89300,1.91
2013-10-23,2.14,2.14,2.01,2.03,62300,2.03
2013-10-22,2.13,2.40,2.00,2.04,260400,2.04
2013-10-21,2.36,2.39,2.00,2.06,212600,2.06
2013-10-18,2.48,2.63,2.18,2.28,314200,2.28
2013-10-17,1.90,2.85,1.90,2.48,1221100,2.48
2013-10-16,1.89,2.40,1.87,1.93,1034100,1.93
2013-10-15,1.38,2.00,1.38,1.85,792400,1.85
2013-10-14,1.39,1.42,1.31,1.36,21300,1.36
2013-10-11,1.38,1.49,1.38,1.42,33300,1.42
2013-10-10,1.39,1.49,1.31,1.39,30600,1.39
2013-10-09,1.39,1.45,1.35,1.40,7600,1.40
2013-10-08,1.43,1.45,1.41,1.41,37300,1.41
2013-10-07,1.40,1.44,1.40,1.42,29400,1.42
2013-10-04,1.40,1.44,1.40,1.44,3100,1.44
2013-10-03,1.45,1.45,1.37,1.42,27800,1.42
2013-10-02,1.40,1.45,1.40,1.42,16200,1.42
2013-10-01,1.42,1.49,1.40,1.41,31000,1.41
2013-09-30,1.42,1.47,1.40,1.43,15800,1.43
2013-09-27,1.41,1.43,1.41,1.43,900,1.43
2013-09-26,1.45,1.46,1.41,1.46,23400,1.46
2013-09-25,1.40,1.45,1.40,1.41,44300,1.41
2013-09-24,1.45,1.45,1.40,1.40,49200,1.40
2013-09-23,1.45,1.49,1.42,1.45,30300,1.45
2013-09-20,1.44,1.46,1.40,1.45,19000,1.45
2013-09-19,1.49,1.50,1.40,1.43,32800,1.43
2013-09-18,1.49,1.52,1.48,1.52,7000,1.52
2013-09-17,1.54,1.54,1.44,1.45,18700,1.45
2013-09-16,1.52,1.58,1.52,1.52,25000,1.52
2013-09-13,1.51,1.51,1.46,1.50,12300,1.50
2013-09-12,1.53,1.53,1.47,1.47,28100,1.47
2013-09-11,1.58,1.60,1.52,1.53,23300,1.53
2013-09-10,1.53,1.63,1.53,1.58,56100,1.58
2013-09-09,1.55,1.61,1.52,1.52,51900,1.52
2013-09-06,1.51,1.56,1.49,1.55,9100,1.55
2013-09-05,1.48,1.56,1.48,1.50,52400,1.50
2013-09-04,1.48,1.60,1.48,1.49,7400,1.49
2013-09-03,1.48,1.49,1.46,1.46,23400,1.46
2013-08-30,1.48,1.48,1.46,1.48,3900,1.48
2013-08-29,1.50,1.51,1.48,1.48,13900,1.48
2013-08-28,1.43,1.55,1.43,1.54,25500,1.54
2013-08-27,1.46,1.53,1.45,1.45,29000,1.45
2013-08-26,1.44,1.51,1.43,1.44,16500,1.44
2013-08-23,1.47,1.47,1.40,1.44,32100,1.44
2013-08-22,1.43,1.46,1.40,1.45,6000,1.45
2013-08-21,1.42,1.68,1.40,1.40,352900,1.40
2013-08-20,1.43,1.46,1.40,1.41,7200,1.41
2013-08-19,1.41,1.41,1.40,1.40,8300,1.40
2013-08-16,1.46,1.46,1.41,1.41,19500,1.41
2013-08-15,1.55,1.55,1.45,1.46,22900,1.46
2013-08-14,1.56,1.59,1.49,1.52,37300,1.52
2013-08-13,1.58,1.59,1.57,1.59,34600,1.59
2013-08-12,1.60,1.60,1.50,1.56,17600,1.56
2013-08-09,1.59,1.60,1.55,1.59,20500,1.59
2013-08-08,1.54,1.60,1.50,1.53,51400,1.53
