Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,23.08,23.63,23.08,23.55,365000,23.55
2014-02-21,23.02,23.17,22.87,23.10,565500,23.10
2014-02-20,22.98,23.24,22.75,22.90,430100,22.90
2014-02-19,23.92,23.92,22.85,22.94,657200,22.94
2014-02-18,23.81,23.97,23.59,23.92,268100,23.92
2014-02-14,23.52,23.82,23.42,23.80,283500,23.80
2014-02-13,23.27,23.62,23.15,23.56,204600,23.56
2014-02-12,23.37,23.87,23.30,23.45,273700,23.45
2014-02-11,23.01,23.57,22.91,23.40,356700,23.40
2014-02-10,22.94,23.11,22.60,22.99,441200,22.99
2014-02-07,23.12,23.44,22.75,23.00,372100,23.00
2014-02-06,22.71,23.05,22.56,23.04,342200,23.04
2014-02-05,22.69,22.94,22.47,22.72,388100,22.72
2014-02-04,22.57,23.41,22.36,22.82,594900,22.82
2014-02-03,23.71,23.84,22.47,22.53,950800,22.53
2014-01-31,23.83,24.24,23.70,23.76,624200,23.76
2014-01-30,24.60,24.60,23.98,24.30,548800,24.30
2014-01-29,25.00,25.29,24.44,24.51,513100,24.51
2014-01-28,25.48,25.77,25.34,25.58,349000,25.58
2014-01-27,25.50,26.09,25.50,25.50,323300,25.50
2014-01-24,26.09,26.24,25.75,25.87,306600,25.87
2014-01-23,26.68,26.74,26.18,26.30,328900,26.30
2014-01-22,26.61,26.85,26.57,26.79,219900,26.79
2014-01-21,26.34,26.99,26.31,26.61,449000,26.61
2014-01-17,26.17,26.50,26.15,26.33,300800,26.33
2014-01-16,26.44,26.44,26.01,26.20,301700,26.20
2014-01-15,26.58,26.88,26.43,26.46,306600,26.46
2014-01-14,26.49,26.59,26.19,26.54,251200,26.54
2014-01-13,26.54,26.62,26.28,26.44,263700,26.44
2014-01-10,26.69,26.69,26.40,26.68,186100,26.68
2014-01-09,26.72,26.80,26.44,26.65,336400,26.65
2014-01-08,26.72,26.81,26.49,26.59,211000,26.59
2014-01-07,26.71,26.99,26.58,26.78,250800,26.78
2014-01-06,26.85,26.97,26.51,26.57,419200,26.57
2014-01-03,26.68,26.88,26.62,26.79,412600,26.79
2014-01-02,26.68,26.81,26.42,26.53,385500,26.53
2013-12-31,27.00,27.15,26.77,26.84,450300,26.84
2013-12-30,27.27,27.27,27.01,27.08,168100,27.08
2013-12-27,27.40,27.50,27.14,27.21,172600,27.21
2013-12-26,27.55,27.61,27.26,27.30,309400,27.30
2013-12-24,27.53,27.73,27.36,27.50,158400,27.50
2013-12-23,27.16,27.46,26.99,27.46,546600,27.46
2013-12-20,26.99,27.24,26.67,26.99,988100,26.99
2013-12-19,27.05,27.13,26.78,26.81,396200,26.81
2013-12-18,26.93,27.35,26.76,27.14,536500,27.14
2013-12-17,26.96,27.07,26.72,26.90,239800,26.90
2013-12-16,26.79,27.20,26.37,27.03,293500,27.03
2013-12-13,26.58,26.66,26.31,26.60,231600,26.60
2013-12-12,26.43,26.67,26.33,26.49,192800,26.49
2013-12-11,26.81,26.81,26.40,26.43,290000,26.43
2013-12-10,27.16,27.24,26.74,26.80,201500,26.80
2013-12-09,27.36,27.53,27.15,27.25,242600,27.25
2013-12-06,27.27,27.58,27.22,27.42,256400,27.42
2013-12-05,26.95,27.11,26.79,26.99,256200,26.99
2013-12-04,26.90,27.29,26.76,27.03,350000,27.03
2013-12-03,27.40,27.53,26.77,26.95,727200,26.95
2013-12-02,28.07,28.25,27.49,27.51,354600,27.51
2013-11-29,28.20,28.20,27.88,28.05,169700,28.05
2013-11-27,28.08,28.24,27.88,28.05,345600,28.05
2013-11-26,28.17,28.22,27.88,28.05,386900,28.05
2013-11-25,28.56,28.88,28.30,28.46,315400,28.23
2013-11-22,28.20,28.50,28.01,28.49,270200,28.26
2013-11-21,27.77,28.31,27.69,28.27,304900,28.04
2013-11-20,27.67,27.85,27.48,27.66,322100,27.44
2013-11-19,27.52,27.87,27.31,27.60,268700,27.38
2013-11-18,27.44,27.90,27.26,27.55,341700,27.33
2013-11-15,27.58,27.77,27.31,27.41,279200,27.19
2013-11-14,27.49,27.66,27.36,27.62,110900,27.40
