Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,7.04,7.09,7.04,7.05,98500,7.05
2014-02-21,6.99,7.06,6.94,7.01,144300,7.01
2014-02-20,7.11,7.21,6.90,6.94,321100,6.94
2014-02-19,7.18,7.18,7.01,7.15,190300,7.15
2014-02-18,7.33,7.33,7.06,7.24,608800,7.24
2014-02-14,7.50,7.50,7.36,7.40,161900,7.40
2014-02-13,7.35,7.51,7.24,7.50,476400,7.50
2014-02-12,7.04,7.20,7.02,7.12,265700,7.12
2014-02-11,6.90,7.12,6.85,7.03,644800,7.03
2014-02-10,6.79,7.00,6.67,6.76,424800,6.76
2014-02-07,6.63,6.71,6.55,6.66,141900,6.66
2014-02-06,6.22,6.77,6.22,6.65,308000,6.65
2014-02-05,6.10,6.20,5.96,6.15,75200,6.15
2014-02-04,5.98,6.01,5.86,5.99,98300,5.99
2014-02-03,6.03,6.06,5.90,5.95,154400,5.95
2014-01-31,6.17,6.23,6.06,6.16,116800,6.16
2014-01-30,6.27,6.29,6.06,6.26,109100,6.26
2014-01-29,6.20,6.34,6.16,6.21,313100,6.21
2014-01-28,5.90,6.00,5.86,6.00,90000,6.00
2014-01-27,6.00,6.03,5.87,5.90,113400,5.90
2014-01-24,6.12,6.16,6.01,6.02,130600,6.02
2014-01-23,6.15,6.18,6.11,6.17,52200,6.17
2014-01-22,6.17,6.25,6.10,6.12,128000,6.12
2014-01-21,6.25,6.34,6.15,6.20,199000,6.20
2014-01-17,6.30,6.39,6.27,6.36,246200,6.36
2014-01-16,6.28,6.33,6.20,6.28,168300,6.28
2014-01-15,6.00,6.45,5.88,6.30,2612500,6.30
2014-01-14,5.65,5.99,5.58,5.94,561000,5.94
2014-01-13,5.73,5.80,5.65,5.67,169800,5.67
2014-01-10,5.52,5.59,5.44,5.54,107000,5.54
2014-01-09,5.54,5.56,5.52,5.54,77900,5.54
2014-01-08,5.58,5.63,5.57,5.59,53100,5.59
2014-01-07,5.63,5.71,5.54,5.57,291500,5.57
2014-01-06,5.75,5.75,5.66,5.69,145200,5.69
2014-01-03,5.91,5.96,5.75,5.75,97500,5.75
2014-01-02,5.83,6.11,5.76,5.91,246700,5.91
2013-12-31,5.72,5.84,5.69,5.84,305700,5.84
2013-12-30,5.76,5.84,5.71,5.72,137400,5.72
2013-12-27,5.97,6.01,5.75,5.82,329700,5.82
2013-12-26,5.67,6.07,5.66,5.95,347200,5.95
2013-12-24,5.75,5.84,5.69,5.76,246300,5.76
2013-12-23,6.00,6.05,5.77,5.99,742600,5.99
2013-12-20,6.03,7.53,6.00,6.50,4089600,6.50
