Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,3.31,3.33,3.28,3.31,100700,3.31
2014-02-21,3.30,3.34,3.30,3.33,9900,3.33
2014-02-20,3.30,3.34,3.30,3.31,16700,3.31
2014-02-19,3.34,3.34,3.31,3.33,38300,3.33
2014-02-18,3.30,3.34,3.30,3.34,6500,3.34
2014-02-14,3.33,3.34,3.30,3.30,4000,3.30
2014-02-13,3.29,3.34,3.29,3.31,43900,3.31
2014-02-12,3.31,3.33,3.31,3.32,7500,3.32
2014-02-11,3.31,3.36,3.31,3.33,22400,3.33
2014-02-10,3.32,3.34,3.32,3.33,2300,3.33
2014-02-07,3.32,3.37,3.32,3.34,11600,3.34
2014-02-06,3.30,3.35,3.27,3.33,25300,3.33
2014-02-05,3.31,3.34,3.27,3.31,55300,3.31
2014-02-04,3.29,3.35,3.29,3.33,8300,3.33
2014-02-03,3.37,3.37,3.28,3.32,51500,3.32
2014-01-31,3.33,3.37,3.31,3.32,15200,3.32
2014-01-30,3.28,3.37,3.27,3.35,28400,3.35
2014-01-29,3.36,3.36,3.27,3.28,17300,3.28
2014-01-28,3.35,3.38,3.31,3.33,50600,3.33
2014-01-27,3.31,3.35,3.27,3.33,34000,3.33
2014-01-24,3.37,3.40,3.35,3.36,45600,3.36
2014-01-23,3.45,3.45,3.35,3.36,24200,3.36
2014-01-22,3.42,3.45,3.40,3.44,21800,3.44
2014-01-21,3.39,3.45,3.37,3.45,90900,3.45
2014-01-17,3.43,3.45,3.41,3.42,87700,3.42
2014-01-16,3.43,3.45,3.39,3.45,44700,3.45
2014-01-15,3.42,3.45,3.41,3.43,16300,3.43
2014-01-14,3.44,3.45,3.41,3.42,22100,3.42
2014-01-13,3.44,3.46,3.40,3.40,46000,3.40
2014-01-10,3.39,3.46,3.38,3.46,93000,3.46
2014-01-09,3.41,3.48,3.40,3.41,115600,3.41
2014-01-08,3.39,3.41,3.39,3.41,123600,3.41
2014-01-07,3.39,3.41,3.38,3.39,41600,3.39
2014-01-06,3.38,3.41,3.36,3.38,33500,3.38
2014-01-03,3.39,3.41,3.38,3.39,40500,3.39
2014-01-02,3.37,3.39,3.35,3.36,29400,3.36
2013-12-31,3.39,3.39,3.35,3.36,42500,3.36
2013-12-30,3.37,3.40,3.35,3.35,58200,3.35
2013-12-27,3.33,3.40,3.33,3.40,100900,3.40
2013-12-26,3.32,3.37,3.32,3.34,98700,3.34
2013-12-24,3.34,3.38,3.30,3.34,22600,3.34
2013-12-23,3.34,3.37,3.32,3.33,66200,3.33
2013-12-20,3.34,3.44,3.29,3.31,130200,3.31
2013-12-19,3.42,3.42,3.24,3.35,53000,3.35
2013-12-18,3.48,3.51,3.44,3.46,58400,3.46
2013-12-17,3.35,3.49,3.35,3.45,73000,3.45
2013-12-16,3.46,3.60,3.26,3.30,143600,3.30
2013-12-13,3.54,3.62,3.52,3.58,111900,3.58
2013-12-12,3.61,3.64,3.52,3.57,150800,3.57
2013-12-11,3.52,3.60,3.50,3.60,108900,3.60
2013-12-10,3.57,3.63,3.53,3.55,113700,3.55
2013-12-09,3.51,3.64,3.51,3.55,100500,3.55
2013-12-06,3.54,3.56,3.45,3.53,204100,3.53
2013-12-05,3.47,3.57,3.47,3.54,105400,3.54
2013-12-04,3.47,3.52,3.47,3.52,20300,3.52
2013-12-03,3.43,3.60,3.42,3.50,336700,3.50
2013-12-02,3.57,3.63,3.54,3.59,28100,3.59
2013-11-29,3.52,3.63,3.51,3.59,44200,3.59
2013-11-27,3.46,3.55,3.46,3.55,50400,3.55
2013-11-26,3.36,3.54,3.36,3.43,112700,3.43
2013-11-25,3.78,3.78,3.41,3.49,237400,3.49
2013-11-22,3.63,3.77,3.57,3.62,130300,3.62
2013-11-21,3.59,3.65,3.56,3.65,54700,3.65
2013-11-20,3.56,3.64,3.56,3.59,113900,3.59
2013-11-19,3.55,3.62,3.55,3.58,331800,3.58
2013-11-18,3.55,3.63,3.55,3.59,76900,3.59
2013-11-15,3.63,3.88,3.58,3.60,134400,3.60
2013-11-14,3.50,3.62,3.50,3.61,41100,3.61
2013-11-13,3.45,3.64,3.45,3.54,33200,3.54
