Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,7.48,7.78,7.48,7.58,28300,7.58
2014-02-21,7.08,7.75,7.08,7.75,16000,7.75
2014-02-20,7.24,7.79,7.12,7.27,18900,7.27
2014-02-19,7.35,7.50,7.14,7.20,13000,7.20
2014-02-18,7.55,7.81,7.35,7.45,19900,7.45
2014-02-14,7.75,7.85,7.39,7.41,34100,7.41
2014-02-13,7.80,7.84,7.41,7.70,7300,7.70
2014-02-12,7.42,7.96,7.37,7.72,28500,7.72
2014-02-11,7.47,7.88,7.27,7.45,23500,7.45
2014-02-10,7.33,7.75,7.26,7.42,24600,7.42
2014-02-07,7.34,7.40,7.25,7.40,26400,7.40
2014-02-06,7.62,7.68,7.30,7.57,25600,7.57
2014-02-05,7.88,7.89,7.64,7.66,29500,7.66
2014-02-04,7.87,8.25,7.87,7.97,22200,7.97
2014-02-03,8.01,8.06,7.89,8.01,38600,8.01
2014-01-31,8.17,8.17,8.00,8.08,31200,8.08
2014-01-30,7.92,8.34,7.90,8.20,87000,8.20
2014-01-29,7.87,8.02,7.87,7.94,57500,7.94
2014-01-28,7.70,7.85,7.63,7.85,23900,7.85
2014-01-27,7.44,8.00,7.32,7.89,51100,7.89
2014-01-24,8.00,8.37,7.26,7.34,141000,7.34
2014-01-23,8.12,8.12,7.57,8.06,119900,8.06
2014-01-22,7.25,8.50,7.25,8.10,322400,8.10
2014-01-21,6.82,7.25,6.62,7.21,32000,7.21
2014-01-17,6.94,6.95,6.88,6.91,9300,6.91
2014-01-16,6.98,6.98,6.82,6.91,5500,6.91
2014-01-15,6.85,6.98,6.85,6.93,20600,6.93
2014-01-14,6.64,6.85,6.60,6.80,35100,6.80
2014-01-13,6.35,6.69,6.35,6.67,21100,6.67
2014-01-10,6.33,6.41,6.31,6.38,6900,6.38
2014-01-09,6.36,6.41,6.28,6.28,20400,6.28
2014-01-08,6.40,6.42,6.36,6.36,8100,6.36
2014-01-07,6.40,6.44,6.40,6.42,2700,6.42
2014-01-06,6.38,6.40,6.30,6.40,6400,6.40
2014-01-03,6.28,6.43,6.28,6.41,6500,6.41
2014-01-02,6.33,6.33,6.25,6.33,11300,6.33
2013-12-31,6.23,6.37,6.23,6.33,51900,6.33
2013-12-30,6.26,6.39,6.10,6.28,99500,6.28
2013-12-27,6.26,6.40,6.25,6.27,20400,5.15
2013-12-26,6.12,6.34,6.12,6.26,24800,5.14
2013-12-24,6.10,6.26,6.10,6.21,29200,5.10
2013-12-23,6.32,6.80,6.15,6.25,68900,5.14
2013-12-20,6.19,6.52,6.19,6.25,51700,5.14
2013-12-19,6.30,6.55,6.17,6.31,85700,5.18
2013-12-18,6.20,6.77,6.06,6.31,69900,5.11
2013-12-17,6.34,6.73,6.05,6.19,50900,5.01
2013-12-16,6.35,6.47,6.34,6.34,13400,5.13
2013-12-13,6.52,6.72,6.35,6.35,35800,5.14
2013-12-12,6.60,6.73,6.55,6.56,2800,5.31
2013-12-11,6.59,6.68,6.55,6.59,4900,5.33
2013-12-10,6.61,6.85,6.54,6.65,37100,5.38
2013-12-09,6.50,6.99,6.50,6.62,27700,5.36
2013-12-06,6.58,6.62,6.48,6.62,9500,5.36
2013-12-05,6.59,6.72,6.57,6.62,11600,5.36
2013-12-04,6.82,6.90,6.49,6.66,38100,5.39
2013-12-03,7.06,7.06,6.91,6.92,9100,5.60
2013-12-02,7.00,7.10,7.00,7.04,34800,5.70
2013-11-29,7.00,7.10,6.91,7.02,38500,5.68
2013-11-27,6.97,7.10,6.95,7.00,14600,5.67
2013-11-26,6.88,7.09,6.85,7.09,27300,5.74
2013-11-25,6.90,7.10,6.88,6.88,15600,5.57
2013-11-22,7.04,7.10,7.04,7.06,11700,5.71
2013-11-21,7.00,7.10,7.00,7.08,111700,5.73
2013-11-20,6.90,7.01,6.88,7.01,17600,5.67
2013-11-19,6.93,6.95,6.75,6.95,39400,5.62
2013-11-18,6.72,6.94,6.66,6.80,9700,5.50
2013-11-15,6.55,6.84,6.54,6.78,20900,5.49
2013-11-14,6.45,6.55,6.41,6.46,32500,5.23
2013-11-13,6.33,6.55,6.33,6.45,290400,5.22
2013-11-12,6.52,6.56,6.33,6.40,67400,5.18
2013-11-11,6.78,6.80,6.47,6.76,6900,5.47
2013-11-08,7.01,7.01,6.66,6.79,9500,5.50
2013-11-07,6.86,6.96,6.76,6.79,28000,5.50
2013-11-06,6.82,7.00,6.82,6.98,10700,5.65
2013-11-05,7.02,7.03,6.81,6.95,19600,5.62
2013-11-04,6.75,7.11,6.50,7.11,49300,5.75
2013-11-01,6.95,6.95,6.66,6.75,24300,5.46
2013-10-31,6.80,6.95,6.80,6.93,8300,5.61
2013-10-30,6.92,6.93,6.76,6.93,13800,5.61
2013-10-29,6.89,6.93,6.83,6.83,4000,5.53
2013-10-28,6.81,7.30,6.81,6.89,13800,5.58
2013-10-25,6.93,7.13,6.75,6.85,59100,5.54
