Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,13.90,14.17,13.83,13.99,93300,13.99
2014-02-21,14.04,14.35,13.75,13.88,174700,13.88
2014-02-20,13.99,14.30,13.88,13.94,324300,13.94
2014-02-19,13.93,14.36,13.88,13.93,129900,13.93
2014-02-18,14.08,14.24,13.95,14.02,117900,14.02
2014-02-14,14.31,14.43,13.79,13.97,104000,13.97
2014-02-13,13.72,14.18,13.36,14.06,176700,14.06
2014-02-12,14.49,14.50,13.66,13.91,197700,13.91
2014-02-11,14.57,15.01,14.00,14.29,748200,14.29
2014-02-10,14.52,14.76,14.08,14.34,156600,14.34
2014-02-07,14.29,14.52,14.10,14.47,130500,14.47
2014-02-06,14.16,15.00,14.06,14.26,79900,14.26
2014-02-05,14.52,14.54,13.60,14.06,114700,14.06
2014-02-04,14.32,15.18,13.95,14.62,125400,14.62
2014-02-03,15.41,15.84,14.10,14.45,187100,14.45
2014-01-31,15.60,15.90,15.32,15.51,142300,15.51
2014-01-30,16.13,16.17,15.89,15.95,219200,15.95
2014-01-29,16.20,16.38,15.75,15.97,127400,15.97
2014-01-28,15.86,16.55,15.86,16.30,212500,16.30
2014-01-27,17.00,17.13,15.51,15.90,263400,15.90
2014-01-24,17.36,17.36,16.44,16.96,124900,16.96
2014-01-23,16.16,17.74,15.86,17.43,266400,17.43
2014-01-22,15.46,16.45,15.44,16.18,280200,16.18
2014-01-21,15.46,15.92,15.12,15.50,129100,15.50
2014-01-17,15.75,15.76,15.39,15.51,100900,15.51
2014-01-16,16.01,16.21,15.71,15.76,70300,15.76
2014-01-15,16.38,16.40,15.63,15.99,63200,15.99
2014-01-14,15.68,16.48,15.68,16.26,129500,16.26
2014-01-13,15.91,16.81,15.10,15.56,173500,15.56
2014-01-10,16.05,16.05,15.00,15.89,119500,15.89
2014-01-09,15.01,16.50,14.99,16.00,174600,16.00
2014-01-08,14.35,15.00,14.21,14.99,105100,14.99
2014-01-07,14.08,14.33,13.97,14.19,109000,14.19
2014-01-06,13.80,14.77,13.75,14.05,166500,14.05
2014-01-03,13.59,13.75,13.36,13.75,79700,13.75
2014-01-02,13.38,13.59,13.09,13.56,66200,13.56
2013-12-31,13.67,13.74,13.24,13.52,81600,13.52
2013-12-30,13.42,13.70,13.42,13.58,79500,13.58
2013-12-27,13.28,13.89,12.93,13.50,65300,13.50
2013-12-26,13.25,13.71,12.82,13.20,57600,13.20
2013-12-24,13.30,13.38,13.09,13.23,50500,13.23
2013-12-23,12.90,13.28,12.80,13.25,87800,13.25
2013-12-20,12.27,12.92,12.23,12.73,439900,12.73
2013-12-19,12.20,12.33,11.86,12.20,63800,12.20
2013-12-18,12.17,12.17,11.76,12.15,88200,12.15
2013-12-17,12.23,12.23,11.98,12.11,67200,12.11
2013-12-16,12.41,12.51,11.72,12.17,111500,12.17
2013-12-13,12.11,12.42,11.89,12.26,147900,12.26
2013-12-12,12.06,12.10,11.74,12.04,111600,12.04
2013-12-11,12.00,12.09,11.76,11.99,85400,11.99
2013-12-10,12.00,12.12,11.75,11.97,105300,11.97
2013-12-09,11.89,12.19,11.89,12.07,155800,12.07
2013-12-06,11.74,11.94,11.65,11.88,46700,11.88
2013-12-05,11.73,11.78,11.42,11.66,17300,11.66
2013-12-04,11.21,11.80,11.11,11.71,60800,11.71
2013-12-03,11.54,11.57,10.96,11.23,138000,11.23
2013-12-02,11.73,11.97,11.50,11.56,70700,11.56
2013-11-29,11.82,12.08,11.30,11.76,50200,11.76
2013-11-27,12.00,12.00,11.19,11.76,139700,11.76
2013-11-26,11.15,12.24,11.07,12.00,169300,12.00
2013-11-25,10.69,11.19,10.61,11.06,47700,11.06
2013-11-22,10.76,11.06,10.52,10.73,90900,10.73
2013-11-21,11.00,11.20,10.55,10.73,228000,10.73
2013-11-20,10.68,11.23,10.65,10.88,126100,10.88
2013-11-19,11.17,11.17,10.60,10.63,112600,10.63
2013-11-18,11.58,11.63,11.12,11.25,83100,11.25
2013-11-15,12.00,12.36,11.46,11.53,210000,11.53
2013-11-14,10.65,12.24,10.55,12.06,295200,12.06
2013-11-13,10.70,10.96,10.23,10.59,316500,10.59
2013-11-12,10.28,10.43,10.12,10.22,128600,10.22
2013-11-11,10.19,10.50,10.05,10.34,277300,10.34
2013-11-08,10.08,10.48,10.00,10.12,275500,10.12
2013-11-07,10.50,10.50,9.85,10.04,1579200,10.04
2013-11-06,12.07,12.10,11.26,11.31,112500,11.31
2013-11-05,12.36,12.48,11.96,12.16,37900,12.16
2013-11-04,12.00,12.49,11.64,12.28,79600,12.28
2013-11-01,12.53,12.78,11.70,12.22,121400,12.22
2013-10-31,12.65,12.65,12.50,12.53,29300,12.53
2013-10-30,12.88,12.99,12.63,12.64,26600,12.64
2013-10-29,12.75,12.90,12.71,12.84,34400,12.84
2013-10-28,12.95,12.95,12.60,12.72,57400,12.72
2013-10-25,12.92,13.10,12.81,12.95,51600,12.95
2013-10-24,13.08,13.08,12.92,12.97,31300,12.97
2013-10-23,13.07,13.18,12.73,13.08,77300,13.08
2013-10-22,13.20,13.20,12.51,13.09,84000,13.09
2013-10-21,13.28,13.42,12.68,13.20,107200,13.20
2013-10-18,11.33,13.38,11.30,13.20,145900,13.20
2013-10-17,11.18,11.82,11.01,11.15,70700,11.15
2013-10-16,11.99,12.04,10.99,11.07,83900,11.07
2013-10-15,12.81,12.81,11.76,11.90,142000,11.90
2013-10-14,12.70,13.55,12.20,12.53,122700,12.53
