Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,5.22,5.25,5.08,5.23,12600,5.23
2014-02-21,5.16,5.22,5.13,5.22,1200,5.22
2014-02-20,5.05,5.11,5.01,5.04,13900,5.04
2014-02-19,5.06,5.10,5.05,5.05,7400,5.05
2014-02-18,5.05,5.10,5.05,5.07,4000,5.07
2014-02-14,5.10,5.10,5.03,5.03,900,5.03
2014-02-13,5.01,5.01,4.95,5.01,24300,5.01
2014-02-12,5.03,5.06,5.00,5.06,500,5.06
2014-02-11,4.96,5.09,4.96,5.09,5400,5.09
2014-02-10,4.88,4.99,4.88,4.99,4100,4.99
2014-02-07,4.93,4.94,4.87,4.94,17000,4.94
2014-02-06,5.07,5.07,5.07,5.07,100,5.07
2014-02-05,4.94,5.10,4.94,4.97,1400,4.97
2014-02-04,4.91,5.08,4.85,4.97,1800,4.97
2014-02-03,5.03,5.03,4.90,4.94,3200,4.94
2014-01-31,4.98,4.98,4.91,4.93,3700,4.93
2014-01-30,5.07,5.07,4.92,4.92,2500,4.92
2014-01-29,4.85,4.93,4.85,4.93,4000,4.93
2014-01-28,5.00,5.01,5.00,5.01,1100,5.01
2014-01-27,5.07,5.07,5.07,5.07,500,5.07
2014-01-24,4.98,5.08,4.98,5.01,2600,5.01
2014-01-23,5.07,5.07,4.98,5.07,1200,5.07
2014-01-22,5.00,5.10,5.00,5.01,4800,5.01
2014-01-21,4.95,5.01,4.95,5.01,800,5.01
2014-01-17,4.96,5.05,4.95,5.05,1500,5.05
2014-01-16,4.95,5.02,4.95,4.96,8600,4.96
2014-01-15,5.00,5.04,4.86,5.00,8400,5.00
2014-01-14,4.99,5.05,4.90,4.99,9000,4.99
2014-01-13,4.82,4.90,4.82,4.90,4800,4.90
2014-01-10,4.89,4.94,4.54,4.85,8000,4.85
2014-01-09,4.94,4.95,4.65,4.92,6100,4.92
2014-01-08,4.74,4.91,4.74,4.91,8900,4.91
2014-01-07,4.91,4.91,4.56,4.75,97500,4.70
2014-01-06,4.94,4.95,4.90,4.91,2600,4.86
2014-01-03,4.95,4.95,4.90,4.94,14700,4.89
2014-01-02,5.07,5.08,4.92,5.00,4900,4.95
2013-12-31,5.09,5.09,4.90,4.92,2100,4.87
2013-12-30,4.90,4.97,4.89,4.97,7000,4.92
2013-12-27,4.97,4.97,4.97,4.97,800,4.92
2013-12-26,4.96,4.97,4.96,4.97,1800,4.92
2013-12-24,4.88,4.88,4.88,4.88,000,4.83
2013-12-23,4.97,4.97,4.80,4.88,5700,4.83
2013-12-20,4.82,4.98,4.80,4.80,4100,4.75
2013-12-19,4.81,4.90,4.81,4.90,2100,4.85
2013-12-18,4.95,5.01,4.94,4.94,11500,4.89
2013-12-17,4.94,4.95,4.93,4.94,3900,4.89
2013-12-16,5.00,5.02,4.95,4.95,1100,4.90
2013-12-13,4.85,4.85,4.85,4.85,000,4.80
2013-12-12,4.81,4.85,4.81,4.85,300,4.80
2013-12-11,4.82,4.85,4.81,4.85,1200,4.80
2013-12-10,4.71,4.91,4.71,4.83,3100,4.78
2013-12-09,5.00,5.00,4.75,4.98,8500,4.93
2013-12-06,4.99,5.10,4.99,5.02,4700,4.97
2013-12-05,4.94,4.94,4.94,4.94,200,4.89
2013-12-04,4.80,4.94,4.75,4.81,2200,4.76
2013-12-03,4.70,5.00,4.70,4.72,400,4.67
2013-12-02,4.84,4.84,4.69,4.70,4400,4.65
2013-11-29,4.76,4.78,4.76,4.78,400,4.73
2013-11-27,4.53,4.74,4.53,4.70,3400,4.65
2013-11-26,4.83,4.97,4.40,4.40,5700,4.36
2013-11-25,4.90,4.90,4.90,4.90,500,4.85
2013-11-22,4.78,4.90,4.78,4.89,400,4.84
2013-11-21,4.79,4.79,4.67,4.77,8400,4.72
2013-11-20,4.59,4.79,4.59,4.79,1000,4.74
2013-11-19,4.68,4.72,4.68,4.70,3800,4.65
2013-11-18,4.78,4.79,4.68,4.70,5800,4.65
2013-11-15,4.71,4.71,4.71,4.71,000,4.66
2013-11-14,4.65,4.74,4.65,4.71,4600,4.66
2013-11-13,4.90,4.90,4.65,4.65,4500,4.60
2013-11-12,4.65,4.77,4.65,4.65,2000,4.60
2013-11-11,4.61,4.68,4.61,4.64,15000,4.59
2013-11-08,4.87,4.90,4.45,4.65,34800,4.60
2013-11-07,4.92,4.92,4.92,4.92,100,4.87
2013-11-06,5.05,5.05,4.55,4.63,41200,4.58
2013-11-05,4.93,5.02,4.93,5.02,2200,4.97
2013-11-04,5.00,5.00,4.80,4.90,8200,4.85
2013-11-01,4.95,5.15,4.95,4.95,1200,4.90
2013-10-31,5.34,5.34,5.00,5.00,2900,4.95
2013-10-30,5.41,5.41,5.07,5.16,800,5.11
2013-10-29,5.01,5.47,5.01,5.47,700,5.42
2013-10-28,5.08,5.51,5.00,5.00,800,4.95
2013-10-25,4.99,4.99,4.99,4.99,100,4.94
2013-10-24,5.24,5.69,4.85,5.10,6600,5.05
2013-10-23,5.39,5.73,5.25,5.26,6300,5.21
2013-10-22,5.19,5.30,5.18,5.23,4300,5.18
2013-10-21,5.17,5.17,5.17,5.17,000,5.12
2013-10-18,5.30,5.30,4.72,5.17,1400,5.12
2013-10-17,4.40,5.19,4.39,5.19,11700,5.14
2013-10-16,4.27,4.39,4.27,4.39,8700,4.35
2013-10-15,4.29,4.33,4.25,4.32,1000,4.28
2013-10-14,4.29,4.29,4.29,4.29,000,4.25
2013-10-11,4.29,4.29,4.29,4.29,300,4.25
2013-10-10,4.27,4.27,4.27,4.27,100,4.23
2013-10-09,4.51,4.52,4.35,4.44,4800,4.40
2013-10-08,4.35,4.84,4.35,4.60,30000,4.51
2013-10-07,4.23,4.35,4.20,4.35,7000,4.26
2013-10-04,4.21,4.23,4.19,4.20,2300,4.12
2013-10-03,4.24,4.35,4.20,4.22,15900,4.14
2013-10-02,4.30,4.35,4.21,4.35,5800,4.26
2013-10-01,4.35,4.38,4.26,4.38,2200,4.29
2013-09-30,4.27,4.27,4.23,4.23,600,4.15
2013-09-27,4.28,4.28,4.25,4.26,3100,4.18
2013-09-26,4.28,4.28,4.28,4.28,100,4.20
2013-09-25,4.30,4.30,4.20,4.28,12600,4.20
2013-09-24,4.30,4.30,4.26,4.26,300,4.18
2013-09-23,4.36,4.36,4.26,4.28,4700,4.20
2013-09-20,4.28,4.36,4.22,4.35,2100,4.26
2013-09-19,4.27,4.30,4.21,4.26,2100,4.18
2013-09-18,4.31,4.31,4.20,4.23,4400,4.15
2013-09-17,4.25,4.40,4.25,4.36,800,4.27
2013-09-16,4.30,4.30,4.20,4.25,20500,4.17
2013-09-13,4.30,4.30,4.20,4.30,3300,4.22
2013-09-12,4.35,4.35,4.35,4.35,000,4.26
2013-09-11,4.35,4.35,4.35,4.35,000,4.26
2013-09-10,4.18,4.35,4.18,4.35,9300,4.26
2013-09-09,4.31,4.31,4.31,4.31,000,4.23
2013-09-06,4.30,4.31,4.29,4.31,1100,4.23
2013-09-05,4.27,4.28,4.20,4.28,1800,4.20
2013-09-04,4.09,4.28,4.09,4.25,2100,4.17
2013-09-03,4.25,4.25,4.25,4.25,000,4.17
2013-08-30,4.15,4.28,4.15,4.28,4900,4.20
2013-08-29,4.23,4.30,4.10,4.30,7800,4.22
2013-08-28,4.07,4.23,4.07,4.23,2000,4.15
2013-08-27,4.16,4.16,4.01,4.01,8500,3.93
2013-08-26,4.30,4.30,4.20,4.20,3400,4.12
2013-08-23,4.27,4.27,4.25,4.27,1100,4.19
2013-08-22,4.33,4.33,4.33,4.33,000,4.24
2013-08-21,4.33,4.33,4.33,4.33,000,4.24
2013-08-20,4.30,4.33,4.29,4.33,3300,4.24
2013-08-19,4.30,4.32,4.30,4.30,3600,4.22
2013-08-16,4.28,4.32,4.28,4.32,11900,4.23
2013-08-15,4.31,4.31,4.30,4.30,8000,4.22
2013-08-14,4.21,4.30,4.20,4.30,2900,4.22
2013-08-13,4.31,4.31,4.22,4.22,900,4.14
2013-08-12,4.28,4.30,4.28,4.30,2300,4.22
2013-08-09,4.21,4.29,4.21,4.26,400,4.18
2013-08-08,4.22,4.29,4.17,4.28,6900,4.20
2013-08-07,4.29,4.29,4.19,4.19,200,4.11
2013-08-06,4.18,4.29,4.17,4.22,3700,4.14
2013-08-05,4.29,4.29,4.29,4.29,2400,4.21
2013-08-02,4.25,4.31,4.25,4.29,4600,4.21
2013-08-01,4.30,4.31,4.25,4.31,19200,4.23
2013-07-31,4.14,4.31,4.14,4.31,2600,4.23
2013-07-30,4.23,4.26,4.15,4.25,1700,4.17
2013-07-29,4.29,4.31,4.12,4.26,29300,4.18
2013-07-26,4.31,4.31,4.27,4.29,3100,4.21
2013-07-25,4.26,4.31,4.25,4.31,5400,4.23
2013-07-24,4.14,4.31,4.14,4.31,9400,4.23
2013-07-23,4.08,4.24,4.08,4.24,9100,4.16
2013-07-22,4.07,4.09,4.07,4.07,1300,3.99
2013-07-19,4.18,4.27,4.15,4.16,2200,4.08
2013-07-18,4.15,4.19,4.15,4.16,600,4.08
2013-07-17,4.18,4.21,4.12,4.12,3000,4.04
2013-07-16,4.17,4.17,4.16,4.16,1000,4.08
2013-07-15,4.09,4.25,4.01,4.25,15700,4.17
2013-07-12,4.09,4.09,4.07,4.07,500,3.99
2013-07-11,4.03,4.09,4.03,4.09,300,4.01
2013-07-10,3.96,4.01,3.95,4.00,19400,3.92
2013-07-09,4.05,4.09,4.02,4.02,9700,3.90
2013-07-08,4.08,4.08,3.96,3.97,21700,3.85
2013-07-05,4.18,4.18,4.15,4.15,2600,4.03
2013-07-03,4.18,4.18,4.18,4.18,000,4.06
2013-07-02,4.25,4.25,4.16,4.18,7300,4.06
2013-07-01,4.26,4.26,4.24,4.24,300,4.12
2013-06-28,4.15,4.27,4.11,4.24,4700,4.12
2013-06-27,4.18,4.28,4.18,4.27,5800,4.14
2013-06-26,4.18,4.18,4.11,4.11,1000,3.99
2013-06-25,4.17,4.24,4.10,4.20,1400,4.08
2013-06-24,3.99,4.16,3.96,4.16,3300,4.04
2013-06-21,4.05,4.30,4.00,4.30,3300,4.17
2013-06-20,4.10,4.11,4.00,4.06,22000,3.94
2013-06-19,4.11,4.19,4.10,4.15,3600,4.03
2013-06-18,4.13,4.20,4.11,4.15,3200,4.03
2013-06-17,4.15,4.22,4.15,4.21,6500,4.09
2013-06-14,4.14,4.17,4.11,4.15,1400,4.03
2013-06-13,4.25,4.25,4.25,4.25,000,4.13
2013-06-12,4.25,4.25,4.25,4.25,000,4.13
2013-06-11,4.11,4.33,4.11,4.25,800,4.13
2013-06-10,4.14,4.30,4.14,4.28,11300,4.15
2013-06-07,4.30,4.30,4.25,4.25,1600,4.13
2013-06-06,4.26,4.28,4.25,4.28,500,4.15
2013-06-05,4.25,4.30,4.25,4.29,1900,4.16
2013-06-04,4.29,4.30,4.25,4.29,900,4.16
2013-06-03,4.11,4.29,4.11,4.25,1900,4.13
2013-05-31,4.30,4.30,4.11,4.28,2300,4.15
2013-05-30,4.26,4.26,4.26,4.26,000,4.13
2013-05-29,4.45,4.45,4.22,4.26,3600,4.13
2013-05-28,4.35,4.52,4.27,4.27,2100,4.14
2013-05-24,4.39,4.39,4.29,4.35,4100,4.22
2013-05-23,4.31,4.31,4.21,4.21,400,4.09
2013-05-22,4.28,4.28,4.20,4.20,600,4.08
2013-05-21,4.29,4.29,4.18,4.18,2400,4.06
2013-05-20,4.17,4.30,4.17,4.30,1600,4.17
2013-05-17,4.20,4.20,4.15,4.16,23100,4.04
2013-05-16,4.26,4.26,4.26,4.26,200,4.13
2013-05-15,4.28,4.28,4.28,4.28,000,4.15
2013-05-14,4.17,4.28,4.17,4.28,300,4.15
2013-05-13,4.29,4.30,4.29,4.30,300,4.17
2013-05-10,4.30,4.30,4.28,4.28,2900,4.15
2013-05-09,4.13,4.32,4.13,4.30,6500,4.17
2013-05-08,4.11,4.13,4.11,4.13,400,4.01
2013-05-07,4.15,4.15,4.05,4.12,2300,4.00
2013-05-06,4.15,4.15,4.05,4.13,7700,4.01
2013-05-03,4.13,4.13,4.09,4.09,19000,3.97
2013-05-02,4.10,4.13,4.05,4.12,900,4.00
2013-05-01,4.10,4.13,4.05,4.12,19200,4.00
2013-04-30,4.08,4.11,4.07,4.10,4900,3.98
2013-04-29,4.10,4.11,4.10,4.11,1200,3.99
2013-04-26,4.09,4.10,4.07,4.10,3000,3.98
2013-04-25,4.10,4.10,4.00,4.06,13300,3.94
2013-04-24,4.01,4.10,4.01,4.09,3100,3.97
2013-04-23,4.08,4.10,4.06,4.06,4400,3.94
2013-04-22,4.15,4.18,4.15,4.17,2600,4.05
2013-04-19,4.08,4.11,4.07,4.11,2600,3.99
2013-04-18,4.11,4.11,3.96,4.00,25600,3.88
2013-04-17,4.15,4.15,4.09,4.11,13000,3.99
2013-04-16,4.16,4.31,4.09,4.17,3400,4.05
2013-04-15,4.19,4.24,4.00,4.19,12900,4.07
2013-04-12,4.19,4.24,4.19,4.22,1200,4.10
2013-04-11,4.42,4.44,4.01,4.03,6000,3.91
2013-04-10,4.21,4.47,4.20,4.24,7500,4.12
2013-04-09,4.33,4.33,4.21,4.21,5200,4.05
2013-04-08,4.27,4.53,4.27,4.27,1500,4.10
2013-04-05,4.37,4.37,4.24,4.25,1000,4.08
2013-04-04,4.46,4.46,4.31,4.37,1000,4.20
2013-04-03,4.33,4.39,4.33,4.34,700,4.17
2013-04-02,4.35,4.46,4.35,4.41,9400,4.24
2013-04-01,4.45,4.46,4.33,4.33,8100,4.16
2013-03-28,4.40,4.47,4.36,4.45,7400,4.28
2013-03-27,4.35,4.47,4.35,4.40,4200,4.23
2013-03-26,4.35,4.46,4.35,4.35,3200,4.18
2013-03-25,4.45,4.45,4.40,4.40,800,4.23
2013-03-22,4.47,4.47,4.35,4.35,3800,4.18
2013-03-21,4.46,4.50,4.26,4.49,2600,4.31
2013-03-20,4.37,4.53,4.35,4.46,3700,4.29
2013-03-19,4.25,4.40,4.17,4.21,22900,4.05
2013-03-18,4.22,4.24,4.12,4.12,10700,3.96
2013-03-15,4.24,4.24,4.22,4.22,800,4.06
2013-03-14,4.22,4.24,4.17,4.24,2900,4.07
2013-03-13,4.20,4.20,4.18,4.19,900,4.03
2013-03-12,4.12,4.20,4.03,4.11,2200,3.95
2013-03-11,3.99,4.14,3.90,4.14,9200,3.98
2013-03-08,4.02,4.02,3.90,3.92,6400,3.77
2013-03-07,3.96,4.01,3.96,3.97,1700,3.82
2013-03-06,3.95,3.96,3.94,3.96,2900,3.81
2013-03-05,3.91,3.95,3.91,3.94,600,3.79
2013-03-04,3.85,3.95,3.85,3.95,2600,3.80
2013-03-01,3.83,3.89,3.81,3.89,4300,3.74
2013-02-28,3.79,3.82,3.79,3.81,8000,3.66
2013-02-27,3.80,3.82,3.80,3.81,25700,3.66
2013-02-26,3.84,3.85,3.80,3.83,18500,3.68
2013-02-25,3.84,3.84,3.84,3.84,600,3.69
2013-02-22,3.80,3.85,3.80,3.84,3700,3.69
2013-02-21,3.71,3.85,3.71,3.85,6300,3.70
2013-02-20,3.76,3.76,3.73,3.73,12100,3.58
2013-02-19,3.83,3.85,3.75,3.76,8000,3.61
2013-02-15,3.80,3.85,3.80,3.84,18500,3.69
2013-02-14,3.81,3.81,3.80,3.80,1200,3.65
2013-02-13,3.81,3.82,3.81,3.82,9200,3.67
2013-02-12,3.81,3.85,3.74,3.83,66500,3.68
2013-02-11,3.65,3.85,3.63,3.85,21700,3.70
2013-02-08,3.77,3.78,3.51,3.76,13600,3.61
2013-02-07,3.90,3.90,3.74,3.80,4800,3.65
2013-02-06,3.85,3.95,3.80,3.90,18200,3.75
2013-02-05,3.72,3.95,3.72,3.94,62700,3.79
2013-02-04,3.69,3.75,3.52,3.71,4000,3.57
2013-02-01,3.76,3.78,3.51,3.68,3900,3.54
2013-01-31,3.67,3.87,3.67,3.71,3100,3.57
2013-01-30,3.70,3.77,3.66,3.66,8000,3.52
2013-01-29,3.50,3.67,3.50,3.65,600,3.51
2013-01-28,3.50,3.58,3.49,3.50,1700,3.36
2013-01-25,3.47,3.57,3.46,3.46,8900,3.32
2013-01-24,3.45,3.45,3.45,3.45,100,3.32
2013-01-23,3.42,3.57,3.35,3.47,29800,3.33
2013-01-22,3.29,3.50,3.29,3.40,30000,3.27
2013-01-18,3.40,3.40,3.25,3.29,69600,3.16
2013-01-17,3.29,3.43,3.14,3.34,48900,3.21
2013-01-16,3.01,3.28,3.01,3.28,25300,3.15
2013-01-15,2.88,3.06,2.88,3.05,38700,2.93
2013-01-14,2.83,2.89,2.81,2.84,17500,2.73
2013-01-11,2.83,2.83,2.75,2.81,14100,2.70
2013-01-10,2.70,2.87,2.70,2.82,41900,2.71
2013-01-09,2.62,2.70,2.62,2.70,2400,2.59
2013-01-08,2.70,2.70,2.63,2.68,1500,2.55
2013-01-07,2.55,2.76,2.55,2.72,11800,2.59
2013-01-04,2.60,2.60,2.50,2.51,3500,2.39
2013-01-03,2.60,2.60,2.59,2.60,7700,2.47
2013-01-02,2.69,2.69,2.54,2.60,900,2.47
2012-12-31,2.53,2.57,2.53,2.56,6900,2.44
2012-12-28,2.55,2.59,2.51,2.59,9800,2.46
2012-12-27,2.56,2.56,2.51,2.51,3600,2.39
2012-12-26,2.50,2.60,2.50,2.59,7100,2.46
2012-12-24,2.60,2.61,2.50,2.50,4400,2.38
2012-12-21,2.61,2.62,2.53,2.53,2100,2.41
2012-12-20,2.51,2.51,2.51,2.51,000,2.39
2012-12-19,2.53,2.53,2.50,2.51,800,2.39
2012-12-18,2.61,2.62,2.52,2.52,9100,2.40
2012-12-17,2.62,2.69,2.49,2.60,10500,2.47
2012-12-14,2.68,2.70,2.60,2.63,7600,2.50
2012-12-13,2.77,2.77,2.70,2.70,25600,2.57
2012-12-12,2.86,2.86,2.75,2.78,5200,2.65
2012-12-11,2.77,2.86,2.75,2.75,19000,2.62
2012-12-10,2.86,2.87,2.75,2.77,3100,2.64
2012-12-07,2.84,2.84,2.75,2.75,900,2.62
2012-12-06,2.68,2.79,2.68,2.71,32300,2.58
2012-12-05,2.80,2.96,2.68,2.68,19200,2.55
2012-12-04,2.69,2.69,2.68,2.68,800,2.55
2012-12-03,2.70,2.74,2.69,2.69,4500,2.56
2012-11-30,2.70,2.86,2.69,2.70,6300,2.57
2012-11-29,2.97,2.97,2.88,2.90,700,2.76
2012-11-28,2.97,2.97,2.97,2.97,200,2.83
2012-11-27,2.95,2.96,2.62,2.92,1000,2.78
2012-11-26,2.76,2.84,2.75,2.84,1100,2.70
