Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,17.56,17.84,17.49,17.73,83000,17.73
2014-02-21,17.71,17.78,17.56,17.59,101600,17.59
2014-02-20,17.40,17.65,17.36,17.62,34800,17.62
2014-02-19,17.35,17.59,17.34,17.43,58300,17.43
2014-02-18,17.47,17.50,17.32,17.43,92500,17.43
2014-02-14,17.34,17.50,17.25,17.48,16800,17.48
2014-02-13,17.22,17.37,17.22,17.29,24500,17.29
2014-02-12,17.50,17.55,17.27,17.31,40400,17.31
2014-02-11,17.56,17.73,17.36,17.45,78000,17.45
2014-02-10,18.17,18.17,17.13,17.39,37500,17.39
2014-02-07,17.36,17.52,17.13,17.28,43400,17.28
2014-02-06,17.13,17.61,17.13,17.38,56000,17.38
2014-02-05,17.48,17.62,17.29,17.32,51800,17.32
2014-02-04,17.39,17.64,17.39,17.61,70300,17.50
2014-02-03,17.78,17.89,17.32,17.39,76800,17.28
2014-01-31,17.78,17.99,17.71,17.73,59300,17.62
2014-01-30,17.93,18.05,17.80,18.01,134300,17.90
2014-01-29,18.46,18.62,17.74,17.82,81900,17.71
2014-01-28,18.53,18.69,18.37,18.62,95700,18.50
2014-01-27,18.89,19.10,18.58,18.60,88500,18.48
2014-01-24,18.80,19.11,18.78,18.90,50200,18.78
2014-01-23,19.27,19.27,18.95,19.10,21400,18.98
2014-01-22,19.45,19.45,19.25,19.30,20600,19.18
2014-01-21,19.07,19.40,19.01,19.40,35300,19.28
2014-01-17,18.99,19.11,18.90,18.94,36000,18.82
2014-01-16,19.00,19.04,18.75,18.96,44700,18.84
2014-01-15,19.05,19.06,18.90,18.99,25100,18.87
2014-01-14,19.04,19.25,18.95,19.07,51500,18.95
2014-01-13,19.07,19.14,18.81,19.01,64900,18.89
2014-01-10,19.18,19.18,19.00,19.08,51500,18.96
2014-01-09,19.10,19.32,19.00,19.12,33600,19.00
2014-01-08,19.00,19.10,18.93,19.08,31100,18.96
2014-01-07,18.88,19.22,18.84,19.13,41700,19.01
2014-01-06,18.89,18.95,18.75,18.89,33800,18.77
2014-01-03,18.74,18.90,18.70,18.85,30000,18.73
2014-01-02,18.79,18.81,18.61,18.75,79600,18.63
2013-12-31,19.06,19.27,18.81,18.89,27200,18.77
2013-12-30,19.21,19.30,18.92,19.00,26300,18.88
2013-12-27,19.36,19.41,19.00,19.25,62700,19.13
2013-12-26,19.71,19.71,19.23,19.29,44600,19.17
2013-12-24,19.34,19.99,19.31,19.48,47900,19.36
2013-12-23,19.24,19.43,19.01,19.27,60600,19.15
2013-12-20,18.78,19.25,18.75,19.14,155700,19.02
2013-12-19,18.76,18.76,18.54,18.70,32500,18.58
2013-12-18,18.71,18.84,18.57,18.83,87800,18.71
2013-12-17,18.74,18.75,18.51,18.63,24600,18.51
2013-12-16,18.75,18.85,18.74,18.75,41500,18.63
2013-12-13,18.86,18.99,18.56,18.80,65000,18.68
2013-12-12,18.84,18.98,18.60,18.87,45300,18.75
2013-12-11,18.82,18.99,18.65,18.80,51300,18.68
2013-12-10,19.00,19.00,18.69,18.86,67400,18.74
