Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,14.64,15.00,13.25,14.01,227200,14.01
2014-02-21,14.90,14.90,14.45,14.64,75000,14.64
2014-02-20,14.50,14.91,13.98,14.59,106700,14.59
2014-02-19,12.77,13.30,12.77,13.28,50600,13.28
2014-02-18,12.85,13.15,12.59,12.88,89600,12.88
2014-02-14,13.20,13.24,12.78,12.89,51800,12.89
2014-02-13,13.09,13.36,13.09,13.26,31300,13.26
2014-02-12,12.94,13.40,12.82,13.16,52600,13.16
2014-02-11,12.60,13.08,12.60,13.04,34000,13.04
2014-02-10,13.10,13.21,12.50,12.63,97900,12.63
2014-02-07,13.10,13.51,12.82,13.28,75200,13.28
2014-02-06,12.52,13.02,12.20,12.79,35800,12.79
2014-02-05,12.33,12.49,12.20,12.46,20600,12.46
2014-02-04,12.35,12.47,12.12,12.42,52400,12.42
2014-02-03,13.06,13.06,12.09,12.39,80600,12.39
2014-01-31,12.96,13.17,12.76,13.16,35100,13.16
2014-01-30,13.07,13.22,13.00,13.18,90200,13.18
2014-01-29,12.98,13.30,12.83,13.11,65800,13.11
2014-01-28,12.87,13.21,12.81,13.12,104600,13.12
2014-01-27,12.84,13.00,12.00,12.94,133800,12.94
2014-01-24,12.71,12.89,12.45,12.84,73200,12.84
2014-01-23,12.75,12.85,12.45,12.72,114900,12.72
2014-01-22,13.32,13.38,12.50,12.88,120100,12.88
2014-01-21,13.65,13.65,13.00,13.32,90100,13.32
2014-01-17,13.80,13.80,13.56,13.65,103800,13.65
2014-01-16,13.70,13.82,13.60,13.80,76000,13.80
2014-01-15,13.52,13.82,13.41,13.75,79200,13.75
2014-01-14,13.15,13.50,13.06,13.48,115000,13.48
2014-01-13,13.10,13.36,12.80,13.13,112800,13.13
2014-01-10,13.01,13.20,12.87,13.13,77000,13.13
2014-01-09,12.73,13.07,12.66,13.00,119300,13.00
2014-01-08,12.97,12.97,12.34,12.60,111800,12.60
2014-01-07,12.98,13.18,12.93,13.00,97300,13.00
2014-01-06,13.31,13.40,12.84,12.99,149000,12.99
2014-01-03,12.74,13.30,12.66,13.19,95600,13.19
2014-01-02,13.57,13.67,12.73,12.83,210900,12.83
2013-12-31,14.00,14.19,13.89,14.08,78700,14.08
2013-12-30,13.66,14.11,13.35,14.00,78600,14.00
2013-12-27,13.71,13.84,13.20,13.45,83100,13.45
2013-12-26,13.80,13.99,13.70,13.77,36800,13.77
2013-12-24,13.89,14.06,13.71,13.80,27300,13.80
2013-12-23,13.86,14.48,13.46,13.81,206600,13.81
2013-12-20,12.85,13.83,12.60,13.83,302600,13.83
2013-12-19,11.51,13.03,11.51,12.75,206700,12.75
2013-12-18,11.42,11.68,11.32,11.61,121100,11.61
2013-12-17,11.40,11.49,11.21,11.32,118900,11.32
2013-12-16,10.95,11.50,10.90,11.39,251200,11.39
2013-12-13,10.61,10.90,10.61,10.79,132600,10.79
2013-12-12,10.71,10.89,10.60,10.75,49000,10.75
2013-12-11,11.14,11.14,10.70,10.76,106100,10.76
2013-12-10,11.15,11.34,11.08,11.17,174100,11.17
2013-12-09,10.46,11.16,10.38,11.13,462800,11.13
2013-12-06,10.10,10.15,10.10,10.11,9500,10.11
2013-12-05,10.23,10.23,10.10,10.10,22400,10.10
2013-12-04,10.11,10.24,10.11,10.16,20000,10.16
2013-12-03,10.18,10.24,10.15,10.21,11500,10.21
2013-12-02,10.19,10.25,10.01,10.24,52000,10.24
2013-11-29,10.08,10.21,9.95,10.08,8700,10.08
2013-11-27,10.21,10.21,10.11,10.16,9400,10.16
2013-11-26,10.10,10.21,10.08,10.21,28700,10.21
2013-11-25,10.10,10.19,10.01,10.10,23500,10.07
2013-11-22,10.12,10.19,9.87,10.19,21100,10.16
2013-11-21,10.19,10.21,9.92,10.07,32100,10.04
2013-11-20,10.20,10.23,10.15,10.17,16200,10.14
2013-11-19,10.10,10.25,10.10,10.25,42900,10.22
2013-11-18,10.22,10.24,10.04,10.13,44700,10.10
2013-11-15,10.13,10.17,9.99,10.16,47300,10.13
2013-11-14,10.00,10.17,10.00,10.14,29300,10.11
2013-11-13,10.08,10.19,10.00,10.03,14700,10.00
2013-11-12,10.06,10.24,10.06,10.18,63500,10.15
2013-11-11,10.15,10.30,10.05,10.06,46800,10.03
2013-11-08,10.02,10.25,10.00,10.05,27500,10.02
2013-11-07,10.33,10.36,9.91,10.01,25400,9.98
2013-11-06,10.44,10.48,10.07,10.31,52000,10.28
2013-11-05,9.41,10.52,9.08,10.27,116700,10.24
2013-11-04,8.75,9.48,8.75,9.48,84600,9.45
2013-11-01,8.90,9.42,8.85,9.01,162900,8.98
2013-10-31,9.13,9.13,8.72,8.90,27400,8.87
2013-10-30,8.85,8.90,8.65,8.86,24400,8.83
2013-10-29,8.90,8.90,8.81,8.90,26900,8.87
2013-10-28,8.82,8.93,8.57,8.92,42100,8.89
2013-10-25,8.54,8.75,8.52,8.74,49700,8.71
2013-10-24,8.53,8.53,8.49,8.51,7200,8.48
2013-10-23,8.54,8.54,8.40,8.48,16200,8.45
2013-10-22,8.60,8.60,8.47,8.54,28600,8.51
2013-10-21,8.57,8.58,8.43,8.54,42500,8.51
2013-10-18,8.53,8.60,8.42,8.58,50200,8.55
2013-10-17,8.52,8.59,8.47,8.59,18900,8.56
2013-10-16,8.41,8.54,8.40,8.53,17100,8.50
2013-10-15,8.56,8.58,8.40,8.54,14900,8.51
2013-10-14,8.51,8.56,8.46,8.50,21700,8.47
2013-10-11,8.50,8.58,8.50,8.57,9100,8.54
2013-10-10,8.55,8.58,8.54,8.58,36000,8.55
2013-10-09,8.42,8.48,8.42,8.45,9100,8.42
2013-10-08,8.52,8.58,8.41,8.41,12500,8.39
2013-10-07,8.60,8.60,8.33,8.50,34100,8.47
2013-10-04,8.75,8.76,8.68,8.71,18500,8.68
2013-10-03,8.68,8.80,8.68,8.72,25700,8.69
2013-10-02,8.70,8.75,8.70,8.70,17800,8.67
2013-10-01,8.75,8.75,8.70,8.70,18500,8.67
2013-09-30,8.72,8.84,8.70,8.83,46000,8.80
2013-09-27,8.64,8.80,8.64,8.80,20600,8.77
2013-09-26,8.50,8.70,8.40,8.69,51600,8.66
2013-09-25,8.36,8.55,8.36,8.49,34800,8.46
2013-09-24,8.50,8.59,8.41,8.45,60200,8.42
2013-09-23,8.49,8.54,8.33,8.44,34800,8.41
2013-09-20,8.80,8.83,8.30,8.31,91500,8.29
2013-09-19,8.77,8.81,8.77,8.81,43700,8.78
2013-09-18,8.73,8.78,8.70,8.78,18300,8.75
2013-09-17,8.78,8.78,8.54,8.71,31500,8.68
2013-09-16,8.78,8.78,8.61,8.78,30400,8.75
2013-09-13,8.43,8.78,8.43,8.77,42800,8.74
2013-09-12,8.76,8.78,8.56,8.58,18800,8.55
2013-09-11,8.71,8.78,8.36,8.71,73600,8.68
2013-09-10,8.82,8.82,8.62,8.78,38900,8.75
2013-09-09,8.37,8.99,8.33,8.71,114900,8.68
2013-09-06,8.05,8.35,8.05,8.28,56300,8.26
2013-09-05,8.00,8.05,7.97,8.01,59800,7.99
2013-09-04,7.83,8.29,7.81,8.03,75800,8.01
2013-09-03,7.81,7.95,7.68,7.84,33900,7.82
2013-08-30,7.66,7.78,7.56,7.72,13400,7.70
2013-08-29,7.74,7.78,7.66,7.66,4100,7.64
2013-08-28,7.59,7.75,7.50,7.74,15700,7.72
2013-08-27,7.70,7.78,7.51,7.61,28700,7.56
2013-08-26,7.90,7.90,7.50,7.61,85700,7.56
2013-08-23,7.50,7.69,7.45,7.49,25500,7.44
2013-08-22,7.50,7.60,7.35,7.50,177800,7.45
2013-08-21,7.64,7.69,7.60,7.64,12700,7.59
2013-08-20,7.60,7.69,7.60,7.69,16800,7.64
2013-08-19,7.80,7.80,7.60,7.64,29100,7.59
2013-08-16,7.68,7.80,7.60,7.80,13200,7.75
2013-08-15,7.65,7.65,7.50,7.64,27200,7.59
2013-08-14,7.59,7.69,7.57,7.57,32700,7.52
2013-08-13,7.55,7.70,7.50,7.62,16600,7.57
2013-08-12,7.60,7.75,7.58,7.58,24400,7.53
2013-08-09,7.72,7.75,7.60,7.65,21100,7.60
2013-08-08,7.75,7.75,7.51,7.75,51600,7.70
2013-08-07,7.66,7.79,7.65,7.79,16600,7.74
2013-08-06,7.54,7.65,7.41,7.60,43200,7.55
2013-08-05,7.72,7.72,7.35,7.55,12400,7.50
2013-08-02,7.56,7.70,7.37,7.61,8600,7.56
2013-08-01,7.56,7.60,7.25,7.59,34600,7.54
2013-07-31,7.64,7.70,7.51,7.51,10900,7.46
2013-07-30,7.76,7.76,7.50,7.54,3600,7.49
2013-07-29,7.80,7.80,7.48,7.75,53400,7.70
2013-07-26,7.48,8.00,7.48,7.82,28100,7.77
2013-07-25,7.50,7.52,7.41,7.47,20300,7.42
2013-07-24,7.50,7.60,7.38,7.51,50800,7.46
2013-07-23,7.40,7.53,7.20,7.50,53400,7.45
2013-07-22,7.41,7.41,7.27,7.41,32400,7.36
2013-07-19,7.29,7.44,7.25,7.44,26400,7.39
2013-07-18,7.19,7.40,7.19,7.34,3300,7.29
2013-07-17,7.30,7.38,6.82,7.34,28000,7.29
2013-07-16,7.35,7.40,7.09,7.40,7700,7.35
2013-07-15,7.32,7.50,7.25,7.40,24100,7.35
2013-07-12,7.22,7.46,7.21,7.32,11900,7.27
2013-07-11,7.14,7.32,7.11,7.32,37300,7.27
2013-07-10,7.13,7.18,7.11,7.14,7700,7.09
2013-07-09,7.10,7.15,7.05,7.09,11700,7.04
2013-07-08,7.20,7.26,7.06,7.15,17000,7.10
2013-07-05,7.12,7.20,7.07,7.20,11600,7.15
2013-07-03,7.07,7.08,7.07,7.08,300,7.03
2013-07-02,7.09,7.25,7.06,7.09,21500,7.04
2013-07-01,6.99,7.64,6.84,7.10,51200,7.05
2013-06-28,6.65,7.10,6.65,6.99,146000,6.94
2013-06-27,6.60,6.62,6.49,6.62,20200,6.57
2013-06-26,6.65,6.70,6.44,6.64,12800,6.59
2013-06-25,6.42,6.60,6.42,6.59,9200,6.54
2013-06-24,6.59,6.70,6.35,6.35,45100,6.31
2013-06-21,6.69,6.70,6.50,6.54,18300,6.49
2013-06-20,6.58,6.65,6.56,6.58,8900,6.53
2013-06-19,6.74,6.74,6.60,6.66,23900,6.61
2013-06-18,6.49,6.60,6.49,6.58,43400,6.53
2013-06-17,6.59,6.60,6.50,6.58,74400,6.53
2013-06-14,6.60,6.60,6.52,6.52,44200,6.48
2013-06-13,6.56,6.60,6.53,6.57,7200,6.52
2013-06-12,6.63,6.63,6.50,6.50,3000,6.46
2013-06-11,6.41,6.60,6.41,6.59,41700,6.54
2013-06-10,6.54,6.60,6.40,6.40,13000,6.36
2013-06-07,6.41,6.55,6.41,6.49,13600,6.45
2013-06-06,6.48,6.51,6.42,6.43,20600,6.39
2013-06-05,6.59,6.65,6.50,6.55,8200,6.50
2013-06-04,6.63,6.65,6.52,6.55,22500,6.50
2013-06-03,6.50,6.77,6.33,6.58,110400,6.53
2013-05-31,6.38,6.50,6.32,6.45,74600,6.41
2013-05-30,6.35,6.45,6.33,6.38,35400,6.34
2013-05-29,6.30,6.39,6.29,6.39,32600,6.35
2013-05-28,6.35,6.35,6.21,6.32,24000,6.25
2013-05-24,6.25,6.56,6.21,6.35,64300,6.28
2013-05-23,6.18,6.34,6.02,6.20,34600,6.13
2013-05-22,6.20,6.34,6.16,6.24,10600,6.17
2013-05-21,6.14,6.26,6.10,6.25,156100,6.18
2013-05-20,6.24,6.29,6.14,6.14,46300,6.07
2013-05-17,6.10,6.21,6.10,6.21,104400,6.14
2013-05-16,6.20,6.20,6.15,6.17,30600,6.10
2013-05-15,6.07,6.30,6.00,6.17,37300,6.10
