Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,12.30,12.67,11.50,11.55,849200,11.55
2014-02-21,14.41,14.42,12.48,12.55,1673600,12.55
2014-02-20,11.05,15.88,10.50,14.28,3676100,14.28
2014-02-19,11.36,11.69,10.83,11.03,976400,11.03
2014-02-18,10.65,11.49,9.91,11.36,1051500,11.36
2014-02-14,10.27,10.63,10.19,10.58,373100,10.58
2014-02-13,10.47,10.56,10.12,10.33,369100,10.33
2014-02-12,10.18,10.66,10.15,10.56,594700,10.56
2014-02-11,10.07,10.35,9.94,10.14,434500,10.14
2014-02-10,9.64,10.25,9.50,10.10,637700,10.10
2014-02-07,9.50,9.98,9.43,9.61,500600,9.61
2014-02-06,9.29,9.61,9.29,9.49,515900,9.49
2014-02-05,9.85,10.58,9.20,9.23,875400,9.23
2014-02-04,10.65,10.77,9.76,9.97,927000,9.97
2014-02-03,11.50,11.73,10.50,10.62,1237200,10.62
2014-01-31,12.18,12.30,11.94,12.11,429200,12.11
2014-01-30,12.66,12.82,12.35,12.35,225800,12.35
2014-01-29,12.49,12.61,12.29,12.48,393500,12.48
2014-01-28,12.38,12.80,12.33,12.60,278100,12.60
2014-01-27,12.55,13.25,12.02,12.33,295500,12.33
2014-01-24,12.88,12.88,12.26,12.55,425200,12.55
2014-01-23,13.08,13.13,12.83,12.97,295300,12.97
2014-01-22,13.40,13.40,13.09,13.18,306200,13.18
2014-01-21,13.31,13.49,13.20,13.36,264500,13.36
2014-01-17,13.63,13.63,13.18,13.24,462100,13.24
2014-01-16,13.57,13.65,13.38,13.60,306300,13.60
2014-01-15,13.66,13.72,13.45,13.64,338000,13.64
2014-01-14,13.44,13.68,13.27,13.57,340200,13.57
2014-01-13,13.25,13.62,13.08,13.36,733000,13.36
2014-01-10,13.40,13.40,13.14,13.34,338500,13.34
2014-01-09,13.03,13.36,12.73,13.35,673200,13.35
2014-01-08,13.66,13.72,13.00,13.03,928100,13.03
2014-01-07,13.52,13.74,13.28,13.67,483500,13.67
2014-01-06,13.42,13.55,13.00,13.42,429300,13.42
2014-01-03,13.61,13.63,13.23,13.40,436400,13.40
2014-01-02,13.69,13.69,13.09,13.60,525200,13.60
2013-12-31,13.74,13.82,13.49,13.76,271700,13.76
2013-12-30,13.76,13.80,13.40,13.73,274400,13.73
2013-12-27,13.97,14.00,13.62,13.76,284800,13.76
2013-12-26,14.15,14.37,13.81,13.92,322900,13.92
2013-12-24,14.12,14.54,14.09,14.12,275700,14.12
2013-12-23,14.45,14.45,14.02,14.16,456500,14.16
2013-12-20,13.84,14.36,13.41,14.28,1848500,14.28
2013-12-19,13.47,13.97,13.40,13.76,756700,13.76
2013-12-18,13.28,13.54,13.20,13.47,486100,13.47
2013-12-17,13.46,13.69,13.21,13.29,618600,13.29
2013-12-16,13.83,13.90,13.31,13.51,558800,13.51
2013-12-13,13.68,14.14,13.49,13.79,623800,13.79
2013-12-12,13.73,13.99,13.52,13.70,461800,13.70
2013-12-11,13.69,13.74,13.14,13.71,549800,13.71
2013-12-10,13.94,13.94,13.59,13.70,386300,13.70
2013-12-09,13.84,14.01,13.30,14.00,549700,14.00
2013-12-06,14.09,14.09,13.68,13.85,424300,13.85
2013-12-05,14.44,14.44,13.95,14.00,509000,14.00
2013-12-04,14.43,14.53,14.13,14.39,542000,14.39
2013-12-03,14.68,15.02,14.27,14.45,977400,14.45
2013-12-02,15.85,15.87,14.37,14.68,897300,14.68
2013-11-29,15.87,15.87,15.76,15.83,197200,15.83
2013-11-27,15.65,15.86,15.41,15.85,434700,15.85
2013-11-26,15.87,15.98,15.71,15.72,276300,15.72
2013-11-25,16.50,16.50,15.81,15.88,442400,15.88
2013-11-22,16.43,16.94,16.15,16.39,520000,16.39
2013-11-21,16.50,16.99,16.39,16.39,420200,16.39
2013-11-20,17.28,17.28,16.39,16.42,393300,16.42
2013-11-19,17.47,17.70,17.11,17.16,422800,17.16
2013-11-18,18.53,18.68,17.47,17.55,424600,17.55
2013-11-15,18.82,18.96,18.15,18.48,482400,18.48
2013-11-14,18.50,19.08,18.46,18.83,688000,18.83
2013-11-13,18.28,19.10,18.05,18.47,838100,18.47
2013-11-12,18.71,19.07,18.36,18.41,976400,18.41
2013-11-11,17.15,19.48,16.82,19.08,1272900,18.93
2013-11-08,16.50,17.99,16.31,17.92,904900,17.78
2013-11-07,16.83,16.99,16.00,16.50,992500,16.37
2013-11-06,17.21,17.45,15.84,16.78,1063900,16.65
2013-11-05,15.13,17.60,15.02,17.20,1687300,17.06
2013-11-04,12.83,15.66,12.80,15.17,1561400,15.05
2013-11-01,11.66,14.30,11.65,12.99,2486400,12.89
2013-10-31,8.60,8.84,8.41,8.65,2265300,11.29
2013-10-30,8.45,8.64,8.39,8.55,283300,11.16
2013-10-29,8.39,8.48,8.29,8.46,1655700,11.05
2013-10-28,8.41,8.44,8.24,8.39,1178100,10.95
2013-10-25,8.25,8.63,8.25,8.44,1416100,11.02
2013-10-24,8.55,8.62,8.47,8.55,725900,11.16
2013-10-23,8.54,8.67,8.44,8.55,906800,11.16
2013-10-22,8.48,8.65,8.39,8.59,1013400,11.22
2013-10-21,8.36,8.59,8.34,8.47,1163100,11.06
2013-10-18,8.30,8.37,8.20,8.37,823300,10.93
2013-10-17,8.09,8.25,8.07,8.19,1382900,10.69
2013-10-16,8.10,8.16,8.06,8.13,682500,10.62
2013-10-15,8.12,8.25,8.01,8.04,1094600,10.50
2013-10-14,8.05,8.30,7.96,8.16,1565900,10.65
2013-10-11,7.83,8.16,7.80,8.13,1305900,10.62
2013-10-10,7.78,7.97,7.68,7.87,1669700,10.28
2013-10-09,7.77,7.81,7.64,7.70,722900,10.05
2013-10-08,7.94,8.01,7.76,7.77,1252100,10.15
2013-10-07,7.91,8.05,7.90,7.92,554000,10.34
2013-10-04,7.96,8.08,7.90,8.02,496500,10.47
2013-10-03,8.18,8.20,7.94,7.98,823500,10.42
2013-10-02,8.19,8.26,8.06,8.23,494500,10.75
2013-10-01,7.96,8.35,7.96,8.22,1048000,10.73
2013-09-30,7.94,8.04,7.80,7.97,880200,10.41
2013-09-27,8.13,8.20,8.08,8.11,432900,10.59
2013-09-26,8.09,8.33,8.08,8.25,732900,10.77
2013-09-25,8.11,8.18,8.06,8.08,809700,10.55
2013-09-24,8.13,8.25,8.01,8.17,535200,10.67
2013-09-23,8.22,8.23,8.06,8.14,779000,10.63
2013-09-20,8.10,8.25,7.98,8.22,1098000,10.73
2013-09-19,8.13,8.18,8.04,8.11,442600,10.59
2013-09-18,7.98,8.17,7.95,8.13,475800,10.62
2013-09-17,7.82,8.00,7.80,8.00,764600,10.45
2013-09-16,8.01,8.03,7.81,7.84,631200,10.24
2013-09-13,7.87,8.00,7.81,7.96,265300,10.39
2013-09-12,7.95,7.96,7.82,7.87,544500,10.28
2013-09-11,7.82,8.06,7.82,7.99,618100,10.43
2013-09-10,8.21,8.23,8.02,8.06,533700,10.52
2013-09-09,7.82,8.23,7.82,8.16,908200,10.65
2013-09-06,8.00,8.00,7.72,7.83,536000,10.22
2013-09-05,7.82,7.98,7.81,7.94,642000,10.37
2013-09-04,7.74,7.87,7.67,7.82,1366500,10.21
2013-09-03,7.99,8.04,7.75,7.75,1009200,10.12
2013-08-30,8.12,8.21,7.84,7.85,939200,10.25
2013-08-29,8.02,8.22,8.02,8.15,419600,10.64
2013-08-28,8.01,8.15,8.00,8.05,429200,10.51
2013-08-27,8.08,8.21,8.01,8.03,712500,10.48
2013-08-26,8.04,8.21,7.99,8.19,523000,10.69
2013-08-23,7.99,8.10,7.88,8.04,641200,10.50
2013-08-22,8.00,8.14,7.84,7.99,869700,10.43
2013-08-21,7.98,8.05,7.75,7.92,637700,10.34
2013-08-20,7.93,8.17,7.90,8.06,564500,10.52
2013-08-19,7.93,8.12,7.90,7.91,485900,10.33
2013-08-16,7.96,8.06,7.91,7.93,851300,10.35
2013-08-15,8.13,8.34,8.00,8.01,718100,10.46
2013-08-14,8.10,8.49,8.05,8.25,1416100,10.77
2013-08-13,8.10,8.18,8.06,8.11,685900,10.59
2013-08-12,8.13,8.27,7.91,8.13,745000,10.62
2013-08-09,8.35,8.40,8.20,8.22,788400,10.60
2013-08-08,8.59,8.70,8.32,8.40,1443300,10.83
2013-08-07,8.56,8.90,8.55,8.76,988300,11.30
2013-08-06,8.46,8.63,8.41,8.56,1372800,11.04
2013-08-05,8.01,8.64,8.01,8.48,2476100,10.94
2013-08-02,7.88,8.18,7.87,8.02,1191800,10.34
2013-08-01,8.21,8.21,7.55,7.83,1018800,10.10
2013-07-31,7.95,8.15,7.85,8.12,621600,10.47
2013-07-30,7.90,8.00,7.87,7.96,278300,10.27
2013-07-29,8.10,8.12,7.84,7.85,321600,10.13
2013-07-26,8.03,8.14,7.97,8.09,184300,10.43
2013-07-25,7.88,8.12,7.81,8.11,273100,10.46
2013-07-24,7.96,8.06,7.88,7.93,277100,10.23
2013-07-23,8.02,8.10,7.91,7.95,496300,10.25
2013-07-22,8.03,8.22,8.00,8.01,430500,10.33
2013-07-19,8.02,8.10,7.86,8.06,365000,10.40
2013-07-18,7.89,8.13,7.77,8.08,697500,10.42
2013-07-17,7.80,7.90,7.75,7.90,684900,10.19
2013-07-16,7.72,7.87,7.65,7.77,689300,10.02
2013-07-15,7.76,7.85,7.48,7.78,968800,10.03
2013-07-12,7.93,8.02,7.82,7.95,447300,10.25
2013-07-11,7.96,8.06,7.84,7.96,425100,10.27
2013-07-10,7.94,8.06,7.88,7.91,504600,10.20
2013-07-09,8.03,8.09,7.90,7.98,492800,10.29
2013-07-08,7.85,8.13,7.84,8.01,625100,10.33
2013-07-05,7.84,7.84,7.71,7.82,355100,10.09
2013-07-03,7.73,7.77,7.67,7.74,196200,9.98
2013-07-02,7.82,7.87,7.70,7.79,470100,10.05
2013-07-01,7.60,7.83,7.59,7.81,581600,10.07
2013-06-28,7.47,7.59,7.41,7.58,824100,9.78
2013-06-27,7.32,7.54,7.31,7.52,514300,9.70
2013-06-26,7.12,7.32,7.12,7.27,484000,9.38
2013-06-25,7.27,7.36,7.05,7.11,1053400,9.17
2013-06-24,7.49,7.50,7.27,7.27,762000,9.38
2013-06-21,7.60,7.72,7.54,7.54,1173100,9.73
2013-06-20,7.63,7.79,7.51,7.57,850700,9.76
2013-06-19,7.43,7.81,7.41,7.71,1149700,9.94
2013-06-18,7.34,7.50,7.31,7.46,736800,9.62
2013-06-17,7.16,7.43,7.10,7.31,612200,9.43
2013-06-14,7.18,7.23,7.03,7.13,879500,9.20
2013-06-13,6.92,7.19,6.90,7.17,633200,9.25
2013-06-12,6.97,7.02,6.88,6.95,585500,8.96
2013-06-11,6.93,7.04,6.83,6.94,650900,8.95
2013-06-10,6.78,7.00,6.75,7.00,732000,9.03
2013-06-07,6.82,6.84,6.74,6.78,621400,8.74
2013-06-06,6.81,6.91,6.73,6.80,682800,8.77
2013-06-05,6.76,6.86,6.72,6.79,604800,8.76
2013-06-04,6.96,6.99,6.80,6.80,808200,8.77
2013-06-03,6.79,6.97,6.76,6.93,810600,8.94
2013-05-31,6.80,6.98,6.78,6.81,719700,8.78
2013-05-30,6.68,6.85,6.65,6.80,465400,8.77
2013-05-29,6.56,6.69,6.51,6.68,384300,8.62
2013-05-28,6.46,6.70,6.45,6.58,643400,8.49
2013-05-24,6.35,6.47,6.33,6.40,356000,8.25
2013-05-23,6.21,6.38,6.15,6.37,542500,8.22
2013-05-22,6.36,6.43,6.23,6.26,476100,8.07
2013-05-21,6.36,6.40,6.32,6.38,279600,8.23
2013-05-20,6.24,6.39,6.24,6.34,693900,8.18
