Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,2.60,2.77,2.60,2.71,296000,2.71
2014-02-21,2.65,2.68,2.58,2.60,280300,2.60
2014-02-20,2.71,2.75,2.61,2.62,408100,2.62
2014-02-19,2.82,2.82,2.70,2.71,385900,2.71
2014-02-18,2.77,3.00,2.70,2.81,852900,2.81
2014-02-14,2.85,2.87,2.71,2.72,433900,2.72
2014-02-13,2.87,2.93,2.80,2.81,335000,2.81
2014-02-12,2.97,2.97,2.82,2.88,255100,2.88
2014-02-11,2.75,2.90,2.74,2.87,274600,2.87
2014-02-10,2.94,2.97,2.65,2.70,813200,2.70
2014-02-07,3.02,3.02,2.71,2.89,1103000,2.89
2014-02-06,3.29,3.51,3.29,3.44,99800,3.44
2014-02-05,3.26,3.29,3.23,3.28,85800,3.28
2014-02-04,3.30,3.40,3.23,3.23,156800,3.23
2014-02-03,3.28,3.46,3.25,3.33,168600,3.33
2014-01-31,3.40,3.44,3.25,3.25,198400,3.25
2014-01-30,3.48,3.59,3.41,3.46,77600,3.46
2014-01-29,3.45,3.61,3.40,3.49,149300,3.49
2014-01-28,3.51,3.78,3.44,3.50,517900,3.50
2014-01-27,3.49,3.54,3.25,3.45,297800,3.45
2014-01-24,3.84,3.84,3.35,3.51,407800,3.51
2014-01-23,3.92,3.92,3.66,3.80,364200,3.80
2014-01-22,3.67,4.05,3.61,4.04,945200,4.04
2014-01-21,3.68,3.80,3.51,3.66,282200,3.66
2014-01-17,3.90,3.95,3.52,3.68,376600,3.68
2014-01-16,3.71,3.97,3.70,3.84,442000,3.84
2014-01-15,3.45,3.67,3.35,3.67,535600,3.67
2014-01-14,3.19,3.35,3.14,3.34,188000,3.34
2014-01-13,3.09,3.18,3.05,3.06,163700,3.06
2014-01-10,3.14,3.19,3.02,3.06,141500,3.06
2014-01-09,3.32,3.36,3.10,3.17,173600,3.17
2014-01-08,3.50,3.54,3.17,3.29,234700,3.29
2014-01-07,3.20,3.53,3.14,3.53,552400,3.53
2014-01-06,3.09,3.20,3.05,3.19,166400,3.19
2014-01-03,3.01,3.09,2.90,3.06,81800,3.06
2014-01-02,3.02,3.05,2.92,3.02,113900,3.02
2013-12-31,3.10,3.12,3.01,3.03,120400,3.03
2013-12-30,3.13,3.14,2.95,3.13,136900,3.13
2013-12-27,2.98,3.13,2.90,3.12,160800,3.12
2013-12-26,2.94,3.02,2.87,2.99,93400,2.99
2013-12-24,3.00,3.00,2.80,2.95,36200,2.95
2013-12-23,2.91,3.02,2.71,3.00,129800,3.00
2013-12-20,2.74,2.92,2.70,2.92,115100,2.92
2013-12-19,2.66,2.78,2.66,2.70,80500,2.70
2013-12-18,2.71,2.72,2.62,2.64,115300,2.64
2013-12-17,2.64,2.70,2.60,2.68,94300,2.68
2013-12-16,2.80,2.85,2.58,2.61,309800,2.61
2013-12-13,2.92,2.94,2.82,2.82,58500,2.82
2013-12-12,2.80,2.96,2.75,2.88,130200,2.88
2013-12-11,2.95,2.95,2.82,2.84,92300,2.84
2013-12-10,2.95,2.95,2.75,2.92,248700,2.92
2013-12-09,3.19,3.19,2.90,2.96,309800,2.96
2013-12-06,3.24,3.26,3.11,3.12,185500,3.12
2013-12-05,3.26,3.35,3.20,3.24,127300,3.24
2013-12-04,3.20,3.24,3.11,3.18,113000,3.18
2013-12-03,3.35,3.35,3.11,3.22,263900,3.22
2013-12-02,3.31,3.42,3.30,3.39,183100,3.39
2013-11-29,3.30,3.47,3.26,3.31,159900,3.31
2013-11-27,3.11,3.33,3.08,3.26,295300,3.26
2013-11-26,3.21,3.24,3.07,3.10,187400,3.10
2013-11-25,3.55,3.55,3.06,3.23,456000,3.23
2013-11-22,3.43,3.45,3.30,3.41,479700,3.41
2013-11-21,3.09,3.26,3.03,3.20,362500,3.20
