Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,85.66,85.80,85.37,85.42,62100,85.42
2014-02-21,85.33,85.64,85.20,85.62,68200,85.62
2014-02-20,85.35,85.40,85.00,85.20,70400,85.20
2014-02-19,85.86,85.92,85.18,85.18,128700,85.18
2014-02-18,85.38,85.77,85.28,85.60,58200,85.60
2014-02-14,85.17,85.58,85.15,85.18,234200,85.18
2014-02-13,85.26,85.37,85.03,85.23,696800,85.23
2014-02-12,85.40,85.56,85.10,85.10,1296100,85.10
2014-02-11,85.52,85.60,85.25,85.56,275900,85.56
2014-02-10,85.37,85.59,85.27,85.59,106300,85.59
2014-02-07,85.46,85.65,85.25,85.48,53100,85.48
2014-02-06,85.26,85.56,85.11,85.17,213400,85.17
2014-02-05,85.89,85.94,85.35,85.55,774300,85.55
2014-02-04,86.26,86.26,85.86,85.95,160800,85.95
2014-02-03,85.61,86.65,85.46,86.65,196700,86.65
2014-01-31,86.00,86.03,85.64,86.02,54000,85.68
2014-01-30,85.41,85.75,85.23,85.62,85700,85.28
2014-01-29,85.68,85.94,85.10,85.72,53900,85.38
2014-01-28,85.05,85.29,84.78,85.29,57200,84.95
2014-01-27,85.12,85.36,84.66,84.66,39800,84.32
2014-01-24,85.61,85.61,85.12,85.32,42300,84.98
2014-01-23,85.07,85.51,84.96,85.33,87900,84.99
2014-01-22,84.87,84.94,84.71,84.78,190300,84.44
2014-01-21,85.00,85.02,84.80,84.91,60800,84.57
2014-01-17,84.41,84.97,84.41,84.97,59000,84.63
2014-01-16,84.31,84.72,84.30,84.51,98200,84.17
2014-01-15,84.09,84.31,83.99,84.12,96500,83.78
2014-01-14,84.54,84.73,84.36,84.40,25900,84.06
2014-01-13,84.59,84.96,84.48,84.86,96300,84.52
2014-01-10,84.00,84.60,84.00,84.50,139900,84.16
2014-01-09,83.85,83.90,83.51,83.90,10500,83.57
2014-01-08,83.66,83.66,83.13,83.47,51400,83.14
2014-01-07,83.63,83.91,83.60,83.84,58200,83.51
2014-01-06,83.69,83.87,83.55,83.55,21800,83.22
2014-01-03,83.21,83.59,83.12,83.54,25900,83.21
2014-01-02,83.24,83.59,83.15,83.21,61900,82.88
2013-12-31,83.48,83.50,82.64,82.99,67900,82.66
2013-12-30,82.93,83.41,82.93,83.30,28700,82.97
2013-12-27,83.00,83.21,82.75,82.75,28600,82.42
2013-12-26,83.11,83.22,83.00,83.02,64700,82.69
2013-12-24,83.62,83.62,83.14,83.28,47900,82.95
2013-12-23,83.94,84.19,83.72,83.99,91800,83.32
2013-12-20,83.82,84.00,83.58,83.99,40800,83.32
2013-12-19,83.47,83.47,83.02,83.10,29000,82.44
2013-12-18,83.03,83.73,82.78,83.32,82900,82.66
2013-12-17,82.80,83.35,82.80,83.22,28700,82.56
2013-12-16,83.15,83.39,82.81,83.07,40100,82.41
2013-12-13,82.75,83.00,82.71,82.99,68400,82.33
2013-12-12,82.68,82.83,82.45,82.45,168300,81.80
2013-12-11,83.02,83.21,82.71,82.83,90600,82.17
2013-12-10,82.70,83.26,82.70,83.22,32400,82.56
2013-12-09,82.34,82.63,82.34,82.63,33800,81.98
2013-12-06,81.85,82.35,81.85,82.34,44900,81.69
2013-12-05,82.21,82.21,81.91,82.04,36200,81.39
2013-12-04,82.25,82.31,81.87,82.09,73400,81.44
2013-12-03,82.78,82.82,82.49,82.49,259600,81.84
2013-12-02,82.50,82.82,82.34,82.43,196400,81.78
2013-11-29,82.72,82.72,82.25,82.62,106300,81.97
2013-11-27,83.00,83.17,82.84,82.87,206300,81.88
2013-11-26,82.80,83.30,82.80,83.01,67200,82.02
2013-11-25,82.23,82.97,82.23,82.71,567700,81.73
2013-11-22,81.96,82.38,81.96,82.21,113000,81.23
2013-11-21,81.30,81.87,81.24,81.71,74300,80.74
2013-11-20,82.60,82.71,81.33,81.53,30700,80.56
2013-11-19,82.51,82.78,82.37,82.54,43200,81.56
2013-11-18,82.19,82.72,82.19,82.71,70600,81.73
2013-11-15,82.37,82.38,82.11,82.24,64000,81.26
2013-11-14,82.03,82.42,81.88,82.16,146600,81.18
2013-11-13,81.72,81.80,81.52,81.75,57900,80.78
2013-11-12,81.26,81.43,81.20,81.27,17400,80.30
2013-11-11,81.36,81.52,81.12,81.20,14800,80.23
2013-11-08,81.81,81.81,81.37,81.37,47100,80.40
2013-11-07,82.63,82.92,82.47,82.84,36700,81.85
2013-11-06,82.62,82.62,82.36,82.43,23100,81.45
2013-11-05,82.95,82.95,82.40,82.40,46700,81.42
2013-11-04,83.43,83.69,83.31,83.35,53800,82.36
2013-11-01,83.91,83.95,83.26,83.31,61400,82.32
2013-10-31,84.20,84.31,83.73,83.73,80000,82.73
2013-10-30,84.47,84.79,84.17,84.38,66800,83.07
2013-10-29,84.39,84.58,84.29,84.46,120100,83.15
2013-10-28,84.56,84.78,84.48,84.62,19500,83.30
2013-10-25,84.57,84.84,84.48,84.80,97400,83.48
2013-10-24,84.84,84.85,84.31,84.45,116100,83.14
2013-10-23,84.41,84.75,84.12,84.57,65900,83.25
2013-10-22,84.00,84.44,84.00,84.42,20400,83.11
2013-10-21,83.71,83.73,83.30,83.73,530200,82.43
2013-10-18,83.66,83.74,83.45,83.61,26400,82.31
2013-10-17,83.01,83.43,82.92,83.39,29500,82.09
2013-10-16,81.91,82.64,81.72,82.63,97400,81.34
2013-10-15,82.03,82.21,81.77,81.85,41100,80.58
2013-10-14,82.04,82.33,81.67,81.70,22200,80.43
2013-10-11,82.47,82.69,82.13,82.20,59200,80.92
2013-10-10,81.66,82.21,81.55,82.12,130900,80.84
2013-10-09,82.06,82.15,81.83,81.96,29800,80.68
2013-10-08,82.11,82.30,82.09,82.23,159800,80.95
2013-10-07,82.07,82.20,82.07,82.11,34500,80.83
2013-10-04,81.99,82.04,81.78,82.03,36700,80.75
2013-10-03,81.98,82.35,81.97,81.97,66000,80.69
2013-10-02,82.04,82.11,81.92,82.10,703900,80.82
2013-10-01,81.86,82.01,81.75,81.89,48200,80.62
2013-09-30,82.18,82.27,81.86,81.99,230000,80.71
2013-09-27,82.40,82.79,82.40,82.53,186100,80.91
2013-09-26,82.60,82.83,82.53,82.57,70800,80.95
2013-09-25,82.79,83.07,82.52,82.97,62100,81.34
2013-09-24,82.04,82.77,82.04,82.68,136100,81.06
2013-09-23,81.53,81.97,81.53,81.86,44400,80.25
2013-09-20,81.47,81.89,81.31,81.70,35300,80.10
2013-09-19,81.89,81.94,81.25,81.56,77200,79.96
2013-09-18,80.46,81.92,80.12,81.57,152600,79.97
2013-09-17,80.30,80.57,80.17,80.54,46500,78.96
2013-09-16,81.01,81.04,80.02,80.03,168100,78.46
2013-09-13,80.55,80.63,80.31,80.43,26800,78.85
2013-09-12,80.81,81.00,80.20,80.28,166700,78.71
2013-09-11,80.11,80.58,79.94,80.58,71900,79.00
2013-09-10,80.39,80.63,79.91,79.93,18700,78.36
2013-09-09,80.88,80.88,80.26,80.45,204600,78.87
2013-09-06,80.59,80.71,80.11,80.25,72500,78.68
2013-09-05,80.80,80.82,79.81,79.92,283200,78.35
2013-09-04,81.59,81.59,81.02,81.05,64500,79.46
2013-09-03,81.84,81.84,80.74,81.16,83500,79.57
2013-08-30,82.10,82.38,81.65,81.86,74100,80.25
2013-08-29,81.62,82.44,81.57,82.12,154700,80.17
2013-08-28,81.76,81.96,81.59,81.76,75300,79.81
2013-08-27,81.53,82.27,81.50,81.99,21600,80.04
2013-08-26,81.77,81.77,81.26,81.67,28000,79.73
2013-08-23,80.20,81.26,80.20,81.26,107300,79.33
2013-08-22,79.80,80.33,79.80,80.33,61500,78.42
2013-08-21,80.00,80.19,79.64,79.64,65800,77.74
2013-08-20,80.19,80.50,80.05,80.50,344500,78.58
2013-08-19,80.31,80.31,79.80,79.94,67500,78.04
2013-08-16,80.82,81.00,80.19,80.47,41300,78.55
2013-08-15,81.20,81.30,80.78,80.92,81400,78.99
2013-08-14,81.99,82.12,81.81,81.83,30900,79.88
2013-08-13,82.25,82.25,81.80,81.95,56200,80.00
2013-08-12,83.32,83.45,82.79,82.89,13900,80.92
2013-08-09,83.18,83.39,82.85,83.39,36000,81.41
2013-08-08,83.25,83.50,83.11,83.17,37600,81.19
2013-08-07,82.79,83.13,82.77,82.97,91100,81.00
2013-08-06,82.66,82.66,82.10,82.57,1466800,80.60
2013-08-05,82.65,82.75,82.43,82.56,44900,80.60
2013-08-02,82.70,83.19,82.70,83.15,261700,81.17
2013-08-01,83.21,83.21,82.34,82.44,115100,80.48
2013-07-31,82.63,83.55,82.42,83.43,95600,81.44
2013-07-30,83.76,84.08,83.50,83.57,66600,81.25
2013-07-29,83.90,83.94,83.39,83.61,39800,81.29
2013-07-26,84.00,84.27,83.65,84.15,274700,81.82
2013-07-25,83.71,83.95,83.38,83.60,384700,81.28
