Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,63.63,63.63,63.50,63.57,13200,63.57
2014-02-21,63.52,63.62,63.52,63.61,8700,63.61
2014-02-20,63.58,63.59,63.50,63.53,10900,63.53
2014-02-19,63.77,63.78,63.61,63.64,9300,63.64
2014-02-18,63.64,63.76,63.64,63.71,14800,63.71
2014-02-14,63.57,63.61,63.54,63.59,22900,63.59
2014-02-13,63.57,63.62,63.54,63.61,7400,63.61
2014-02-12,63.44,63.44,63.36,63.38,4700,63.38
2014-02-11,63.55,63.57,63.50,63.52,7100,63.52
2014-02-10,63.68,63.73,63.65,63.69,27400,63.69
2014-02-07,63.65,63.75,63.64,63.67,21000,63.67
2014-02-06,63.63,63.63,63.53,63.56,5000,63.56
2014-02-05,63.69,63.70,63.61,63.61,15200,63.61
2014-02-04,63.72,63.76,63.71,63.73,21200,63.73
2014-02-03,63.61,63.86,63.53,63.86,14000,63.86
2014-01-31,63.65,63.71,63.62,63.71,11900,63.63
2014-01-30,63.52,63.55,63.48,63.55,6900,63.47
2014-01-29,63.58,63.62,63.47,63.61,13400,63.53
2014-01-28,63.35,63.40,63.35,63.40,10400,63.32
2014-01-27,63.38,63.45,63.31,63.34,27900,63.26
2014-01-24,63.44,63.49,63.39,63.43,22100,63.35
2014-01-23,63.18,63.31,63.18,63.28,5600,63.20
2014-01-22,63.04,63.05,62.98,63.00,13700,62.92
2014-01-21,63.11,63.17,63.09,63.17,4200,63.09
2014-01-17,63.11,63.20,63.09,63.20,8200,63.12
2014-01-16,63.06,63.15,63.06,63.11,12300,63.03
2014-01-15,62.93,63.04,62.93,63.03,10100,62.95
2014-01-14,63.14,63.20,63.07,63.07,19200,62.99
2014-01-13,63.25,63.28,63.19,63.23,7900,63.15
2014-01-10,63.08,63.15,63.01,63.15,9300,63.07
2014-01-09,62.81,62.81,62.72,62.77,11900,62.69
2014-01-08,62.82,62.82,62.69,62.71,7000,62.63
2014-01-07,62.94,62.98,62.88,62.97,7100,62.89
2014-01-06,62.89,62.93,62.82,62.87,25100,62.79
2014-01-03,62.85,62.88,62.76,62.80,23300,62.72
2014-01-02,62.72,62.83,62.71,62.80,38100,62.72
2013-12-31,62.81,62.83,62.64,62.64,16900,62.56
2013-12-30,62.72,62.82,62.72,62.81,39400,62.73
2013-12-27,62.69,62.79,62.69,62.72,21200,62.64
2013-12-26,62.78,62.78,62.68,62.74,17500,62.66
2013-12-24,62.85,62.85,62.73,62.76,25500,62.68
2013-12-23,63.16,63.22,63.14,63.14,13800,62.80
2013-12-20,63.24,63.29,63.21,63.23,8200,62.89
2013-12-19,63.26,63.29,63.17,63.25,79600,62.91
2013-12-18,63.46,63.64,63.36,63.42,110000,63.08
2013-12-17,63.45,63.57,63.44,63.51,107000,63.17
2013-12-16,63.51,63.51,63.41,63.45,49400,63.11
2013-12-13,63.46,63.46,63.40,63.42,5100,63.08
2013-12-12,63.50,63.50,63.39,63.40,28100,63.06
2013-12-11,63.55,63.65,63.55,63.55,15400,63.21
2013-12-10,63.66,63.68,63.59,63.68,22200,63.34
2013-12-09,63.45,63.56,63.45,63.51,15700,63.17
2013-12-06,63.43,63.58,63.43,63.46,14400,63.12
2013-12-05,63.51,63.59,63.46,63.49,82700,63.15
2013-12-04,63.55,63.65,63.55,63.63,8300,63.29
2013-12-03,63.73,63.82,63.73,63.80,14500,63.46
2013-12-02,63.78,63.78,63.65,63.65,4500,63.31
2013-11-29,63.83,63.83,63.79,63.82,55100,63.48
2013-11-27,63.97,63.97,63.83,63.95,8500,63.53
2013-11-26,63.98,64.04,63.94,64.02,5500,63.60
2013-11-25,63.90,63.94,63.89,63.93,7600,63.51
2013-11-22,63.79,63.90,63.79,63.90,52700,63.48
2013-11-21,63.68,63.87,63.68,63.80,6500,63.38
2013-11-20,63.86,63.96,63.77,63.77,4300,63.35
2013-11-19,63.96,63.96,63.89,63.92,4300,63.50
2013-11-18,63.86,64.02,63.86,64.02,7300,63.60
2013-11-15,63.89,63.93,63.87,63.89,13900,63.47
2013-11-14,63.75,63.93,63.75,63.90,7200,63.48
2013-11-13,63.77,63.77,63.66,63.71,12600,63.29
2013-11-12,63.68,63.68,63.54,63.55,7100,63.13
2013-11-11,63.82,63.82,63.65,63.72,4400,63.30
2013-11-08,63.77,63.77,63.64,63.65,13200,63.23
2013-11-07,63.95,64.03,63.95,64.00,3600,63.58
2013-11-06,63.88,63.92,63.88,63.91,1700,63.49
2013-11-05,63.80,63.80,63.74,63.80,5600,63.38
2013-11-04,63.87,63.93,63.87,63.88,7900,63.46
2013-11-01,63.96,63.96,63.82,63.82,28800,63.40
2013-10-31,64.11,64.11,63.94,64.02,10100,63.60
2013-10-30,64.19,64.29,64.05,64.12,11000,63.63
2013-10-29,64.22,64.24,64.14,64.17,20800,63.68
2013-10-28,64.15,64.16,64.12,64.16,112500,63.67
2013-10-25,64.07,64.18,64.07,64.15,3800,63.66
2013-10-24,64.20,64.20,64.10,64.10,6300,63.61
2013-10-23,64.15,64.23,64.15,64.22,9600,63.73
2013-10-22,64.08,64.19,64.08,64.19,9100,63.70
2013-10-21,63.90,63.91,63.86,63.86,19100,63.37
2013-10-18,63.98,63.98,63.93,63.93,10900,63.44
2013-10-17,63.87,63.97,63.84,63.94,42000,63.45
2013-10-16,63.50,63.72,63.48,63.72,58900,63.23
2013-10-15,63.69,63.69,63.54,63.57,4000,63.08
2013-10-14,63.78,63.78,63.47,63.56,7300,63.07
2013-10-11,63.71,63.71,63.63,63.65,2100,63.16
2013-10-10,63.49,63.60,63.49,63.57,12000,63.08
2013-10-09,63.71,63.71,63.60,63.61,5600,63.12
2013-10-08,63.71,63.71,63.65,63.66,4600,63.17
2013-10-07,63.84,63.84,63.66,63.67,9700,63.18
2013-10-04,63.75,63.75,63.70,63.74,3600,63.25
2013-10-03,63.70,63.86,63.70,63.81,20500,63.32
2013-10-02,63.68,63.82,63.68,63.78,50600,63.29
2013-10-01,63.69,63.71,63.60,63.60,18500,63.11
2013-09-30,63.73,63.78,63.63,63.71,148000,63.22
2013-09-27,63.74,63.82,63.74,63.78,13200,63.23
2013-09-26,63.66,63.71,63.61,63.70,11500,63.15
2013-09-25,63.65,63.75,63.65,63.75,12000,63.20
2013-09-24,63.58,63.68,63.55,63.65,23800,63.10
2013-09-23,63.42,63.53,63.42,63.53,8200,62.98
2013-09-20,63.40,63.45,63.34,63.41,6100,62.86
2013-09-19,63.50,63.51,63.37,63.40,45800,62.85
2013-09-18,62.96,63.59,62.84,63.47,34800,62.92
2013-09-17,63.04,63.04,62.98,62.98,20900,62.43
2013-09-16,63.15,63.20,62.91,62.94,25700,62.39
2013-09-13,62.77,62.82,62.76,62.76,3700,62.22
2013-09-12,62.80,62.87,62.74,62.77,17400,62.23
2013-09-11,62.58,62.73,62.55,62.70,36900,62.16
2013-09-10,62.55,62.61,62.51,62.51,11300,61.97
2013-09-09,62.71,62.73,62.67,62.70,8300,62.16
2013-09-06,62.63,62.71,62.51,62.55,27800,62.01
2013-09-05,62.43,62.43,62.31,62.33,7900,61.79
2013-09-04,62.74,62.81,62.62,62.62,4700,62.08
2013-09-03,62.81,62.86,62.62,62.82,8400,62.27
2013-08-30,63.10,63.10,62.94,62.98,53600,62.43
2013-08-29,62.94,63.15,62.94,63.15,3800,62.53
2013-08-28,63.19,63.19,63.03,63.06,10200,62.44
2013-08-27,63.15,63.24,63.12,63.21,14400,62.59
2013-08-26,63.01,63.05,62.96,63.02,7200,62.40
2013-08-23,62.64,63.03,62.64,62.91,11700,62.30
2013-08-22,62.74,62.85,62.67,62.73,9400,62.12
2013-08-21,63.05,63.13,62.89,62.89,10300,62.28
2013-08-20,63.00,63.11,63.00,63.09,13800,62.47
2013-08-19,63.01,63.01,62.86,62.88,5500,62.27
2013-08-16,63.14,63.17,62.93,63.05,64600,62.43
2013-08-15,63.10,63.27,63.10,63.17,11400,62.55
2013-08-14,63.35,63.42,63.32,63.32,4600,62.70
2013-08-13,63.44,63.44,63.32,63.32,7400,62.70
2013-08-12,63.75,63.76,63.63,63.66,12100,63.04
2013-08-09,63.65,63.71,63.64,63.69,22800,63.07
2013-08-08,63.70,63.72,63.67,63.67,22200,63.05
2013-08-07,63.56,63.67,63.56,63.64,35000,63.02
2013-08-06,63.53,63.59,63.51,63.55,23700,62.93
