Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,67.09,67.09,66.84,66.84,2800,66.84
2014-02-21,66.64,67.02,66.64,67.02,5200,67.02
2014-02-20,66.83,66.87,66.60,66.69,2300,66.69
2014-02-19,67.37,67.37,66.83,66.84,9300,66.84
2014-02-18,67.06,67.31,67.04,67.13,6000,67.13
2014-02-14,67.03,67.03,66.83,66.90,134400,66.90
2014-02-13,66.95,67.03,66.86,66.98,48700,66.98
2014-02-12,66.72,66.72,66.49,66.56,5800,66.56
2014-02-11,66.99,67.00,66.75,66.90,17200,66.90
2014-02-10,66.91,67.25,66.91,67.20,25900,67.20
2014-02-07,66.86,67.29,66.86,67.08,22300,67.08
2014-02-06,67.14,67.23,67.01,67.05,11300,67.05
2014-02-05,67.65,67.65,67.27,67.31,23900,67.31
2014-02-04,68.05,68.13,67.82,67.91,17100,67.91
2014-02-03,67.69,68.55,67.60,68.49,63100,68.49
2014-01-31,67.94,68.01,67.80,67.97,41200,67.77
2014-01-30,67.47,67.56,67.39,67.56,5900,67.37
2014-01-29,67.41,67.84,67.30,67.74,252600,67.54
2014-01-28,67.16,67.16,66.99,67.15,12600,66.96
2014-01-27,67.34,67.54,67.10,67.13,20000,66.94
2014-01-24,67.39,67.50,67.29,67.49,30000,67.30
2014-01-23,66.58,67.12,66.58,67.07,5800,66.88
2014-01-22,66.21,66.48,66.20,66.30,5200,66.11
2014-01-21,66.49,66.49,66.30,66.44,4000,66.25
2014-01-17,65.91,66.44,65.91,66.41,121100,66.22
2014-01-16,65.94,66.10,65.94,66.03,6400,65.84
2014-01-15,65.42,65.60,65.42,65.52,63600,65.33
2014-01-14,65.83,65.99,65.71,65.71,22400,65.52
2014-01-13,65.80,66.12,65.80,66.06,59200,65.87
2014-01-10,65.37,65.77,65.30,65.77,3100,65.58
2014-01-09,64.86,64.97,64.86,64.92,4900,64.73
2014-01-08,64.58,64.71,64.53,64.71,8000,64.52
2014-01-07,64.75,64.92,64.73,64.85,3600,64.66
2014-01-06,64.51,64.81,64.51,64.81,3300,64.62
2014-01-03,64.24,64.41,64.24,64.41,1500,64.22
2014-01-02,64.12,64.54,64.12,64.41,10700,64.22
2013-12-31,64.50,64.64,63.92,64.01,16400,63.83
2013-12-30,64.43,64.67,64.43,64.65,44600,64.46
2013-12-27,64.33,64.44,64.22,64.22,5500,64.03
2013-12-26,64.55,64.55,64.38,64.45,1900,64.26
2013-12-24,64.80,64.83,64.76,64.83,1900,64.64
2013-12-23,65.42,65.62,65.21,65.22,15200,64.88
2013-12-20,65.35,65.55,65.26,65.55,3800,65.20
2013-12-19,64.79,65.49,64.65,64.79,245900,64.45
2013-12-18,64.76,65.09,64.70,64.79,11600,64.45
2013-12-17,65.07,65.12,65.07,65.12,1100,64.78
2013-12-16,65.31,65.31,64.82,64.87,7600,64.53
2013-12-13,65.00,65.07,64.99,65.07,1400,64.73
2013-12-12,64.87,64.97,64.74,64.74,10600,64.40
2013-12-11,65.31,65.31,64.96,64.96,26500,64.62
2013-12-10,65.36,65.46,65.31,65.46,3200,65.11
2013-12-09,64.81,65.00,64.81,64.97,2100,64.63
2013-12-06,64.66,64.90,64.66,64.68,159800,64.34
2013-12-05,64.65,64.80,64.57,64.57,10800,64.23
2013-12-04,64.74,64.87,64.74,64.79,2400,64.45
2013-12-03,65.33,65.40,65.33,65.39,1900,65.04
2013-12-02,65.43,65.43,65.10,65.16,15700,64.82
2013-11-29,65.37,65.49,65.37,65.48,1700,65.13
2013-11-27,65.69,65.77,65.52,65.69,1800,65.16
2013-11-26,65.78,66.00,65.78,66.00,1000,65.47
2013-11-25,65.53,65.77,65.53,65.65,4500,65.12
2013-11-22,65.26,65.60,65.26,65.46,3600,64.93
2013-11-21,64.66,65.01,64.66,64.97,1700,64.44
2013-11-20,65.78,65.91,64.83,64.88,2900,64.35
2013-11-19,66.04,66.04,66.00,66.00,2400,65.47
2013-11-18,66.01,66.27,66.01,66.17,2100,65.63
2013-11-15,66.00,66.00,65.82,65.93,1700,65.40
2013-11-14,65.75,65.90,65.75,65.90,1000,65.37
2013-11-13,65.55,65.55,65.38,65.38,600,64.85
2013-11-12,65.12,65.16,65.09,65.15,3800,64.62
2013-11-11,64.67,65.20,64.66,65.17,2400,64.64
2013-11-08,65.50,65.55,65.14,65.15,115900,64.62
2013-11-07,66.08,66.58,66.08,66.58,6000,66.04
2013-11-06,66.04,66.09,65.94,66.09,5700,65.55
2013-11-05,66.31,66.32,66.18,66.18,2400,65.64
2013-11-04,67.03,67.03,66.81,66.81,1100,66.27
2013-11-01,67.07,67.07,66.74,66.74,1500,66.20
2013-10-31,67.35,67.35,67.28,67.28,1500,66.74
2013-10-30,67.91,67.99,67.61,67.61,5300,66.90
2013-10-29,67.71,67.82,67.67,67.82,2600,67.10
2013-10-28,67.83,67.97,67.82,67.91,4100,67.19
2013-10-25,67.90,68.09,67.50,68.09,1500,67.37
2013-10-24,68.07,68.07,67.85,67.85,1000,67.13
2013-10-23,67.80,68.26,67.80,68.07,8200,67.35
2013-10-22,67.53,67.70,67.00,67.70,1400,66.99
2013-10-21,67.01,67.11,66.95,67.01,2300,66.30
2013-10-18,67.41,67.52,67.22,67.22,25300,66.51
2013-10-17,66.90,67.23,66.75,67.13,54800,66.42
2013-10-16,65.82,66.55,65.72,66.54,2900,65.84
2013-10-15,66.17,66.17,65.88,65.88,2800,65.18
2013-10-14,66.42,66.42,65.77,65.83,8100,65.14
2013-10-11,66.65,66.84,66.36,66.36,94400,65.66
2013-10-10,65.91,66.25,65.83,66.25,3800,65.55
2013-10-09,66.58,66.58,66.39,66.40,10200,65.70
2013-10-08,66.57,66.89,66.57,66.69,8600,65.99
2013-10-07,66.69,66.75,66.59,66.65,7900,65.95
2013-10-04,66.49,66.49,66.36,66.36,700,65.66
2013-10-03,66.43,66.66,66.43,66.61,5000,65.91
2013-10-02,66.66,66.94,66.58,66.59,2000,65.89
2013-10-01,66.75,66.75,66.75,66.75,000,66.05
2013-09-30,66.75,66.90,66.68,66.75,15700,66.05
2013-09-27,66.71,67.05,66.71,67.03,13000,66.16
2013-09-26,66.84,66.85,66.67,66.78,1200,65.91
2013-09-25,66.81,67.20,66.81,67.12,9500,66.25
2013-09-24,66.49,66.99,66.49,66.99,7300,66.12
2013-09-23,66.12,66.12,66.12,66.12,500,65.26
2013-09-20,65.77,66.01,65.68,65.95,6800,65.10
2013-09-19,66.00,66.00,65.55,65.65,31500,64.80
2013-09-18,65.23,66.17,65.23,66.07,13100,65.21
2013-09-17,65.04,65.28,65.00,65.28,4600,64.43
2013-09-16,65.60,65.60,64.80,64.98,23200,64.14
2013-09-13,65.08,65.10,64.98,65.10,95600,64.26
2013-09-12,65.25,65.25,64.97,64.97,700,64.13
2013-09-11,64.69,64.91,64.42,64.91,4800,64.07
2013-09-10,64.70,65.03,64.53,64.53,3600,63.69
2013-09-09,65.27,65.27,65.05,65.05,7300,64.21
2013-09-06,64.60,65.12,64.60,64.99,3800,64.15
2013-09-05,65.05,65.05,64.49,64.49,4300,63.65
2013-09-04,65.54,65.60,65.31,65.31,1600,64.46
2013-09-03,65.69,65.70,65.08,65.49,48900,64.64
2013-08-30,66.38,66.70,66.21,66.70,109400,65.84
2013-08-29,65.94,66.54,65.94,66.54,3300,65.48
